id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,license.key,license.name,license.spdx_id,license.url,license.node_id,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull,license
31269004,MDEwOlJlcG9zaXRvcnkzMTI2OTAwNA==,profile_collection,NSLS-II-HXN/profile_collection,False,https://github.com/NSLS-II-HXN/profile_collection,ophyd/bluesky startup configuration for NSLS-II's Hard X-ray Nanoprobe beamline,False,https://api.github.com/repos/NSLS-II-HXN/profile_collection,2015-02-24T16:21:37Z,2021-12-07T18:38:09Z,2024-06-07T17:56:19Z,,13068,0,0,Python,True,True,True,True,False,False,3,,False,False,3,True,False,False,"['nsls-ii', 'profile-collection']",public,3,3,0,master,NSLS-II-HXN,11178664,MDEyOk9yZ2FuaXphdGlvbjExMTc4NjY0,Organization,public,False,bsd-2-clause,"BSD 2-Clause ""Simplified"" License",BSD-2-Clause,https://api.github.com/licenses/bsd-2-clause,MDc6TGljZW5zZTQ=,False,False,False,False,True,
34082236,MDEwOlJlcG9zaXRvcnkzNDA4MjIzNg==,hxntools,NSLS-II-HXN/hxntools,False,https://github.com/NSLS-II-HXN/hxntools, NSLS-II's Hard X-ray Nanoprobe data acquisition tools,False,https://api.github.com/repos/NSLS-II-HXN/hxntools,2015-04-16T21:44:08Z,2024-08-15T17:25:33Z,2024-08-15T17:25:30Z,,350,0,0,Python,True,True,True,True,False,False,5,,False,False,2,True,False,False,[],public,5,2,0,master,NSLS-II-HXN,11178664,MDEyOk9yZ2FuaXphdGlvbjExMTc4NjY0,Organization,public,False,bsd-3-clause,"BSD 3-Clause ""New"" or ""Revised"" License",BSD-3-Clause,https://api.github.com/licenses/bsd-3-clause,MDc6TGljZW5zZTU=,False,False,False,False,True,
52904167,MDEwOlJlcG9zaXRvcnk1MjkwNDE2Nw==,pseudomotor,NSLS-II-HXN/pseudomotor,False,https://github.com/NSLS-II-HXN/pseudomotor,pre-ophyd upgrade pseudopositioner work-around,True,https://api.github.com/repos/NSLS-II-HXN/pseudomotor,2016-03-01T19:34:46Z,2016-03-01T19:47:31Z,2016-03-01T19:47:30Z,,5,0,0,Python,False,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,pseudomotor,NSLS-II-HXN,11178664,MDEyOk9yZ2FuaXphdGlvbjExMTc4NjY0,Organization,public,False,,,,,,False,False,False,False,True,
62073830,MDEwOlJlcG9zaXRvcnk2MjA3MzgzMA==,ppmac,NSLS-II-HXN/ppmac,False,https://github.com/NSLS-II-HXN/ppmac,Some Power PMAC Linux/Python tools,True,https://api.github.com/repos/NSLS-II-HXN/ppmac,2016-06-27T17:13:57Z,2016-06-27T17:13:58Z,2016-09-29T17:42:39Z,,199,0,0,Python,False,True,True,True,False,False,1,,False,False,0,True,False,False,[],public,1,0,0,master,NSLS-II-HXN,11178664,MDEyOk9yZ2FuaXphdGlvbjExMTc4NjY0,Organization,public,False,,,,,,False,False,False,False,True,
69591740,MDEwOlJlcG9zaXRvcnk2OTU5MTc0MA==,dpc,NSLS-II-HXN/dpc,False,https://github.com/NSLS-II-HXN/dpc,Cheng's DPC code,True,https://api.github.com/repos/NSLS-II-HXN/dpc,2016-09-29T17:36:51Z,2023-09-23T15:44:49Z,2021-09-07T20:36:47Z,,391,1,1,Python,False,True,True,True,False,False,1,,False,False,0,True,False,False,[],public,1,0,1,master,NSLS-II-HXN,11178664,MDEyOk9yZ2FuaXphdGlvbjExMTc4NjY0,Organization,public,False,,,,,,False,False,False,False,True,
132673211,MDEwOlJlcG9zaXRvcnkxMzI2NzMyMTE=,flyer_profile,NSLS-II-HXN/flyer_profile,False,https://github.com/NSLS-II-HXN/flyer_profile,IPython profile for HXN 2D flyer,False,https://api.github.com/repos/NSLS-II-HXN/flyer_profile,2018-05-08T22:47:58Z,2018-11-15T16:01:04Z,2018-11-15T16:01:02Z,,203,0,0,Python,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,master,NSLS-II-HXN,11178664,MDEyOk9yZ2FuaXphdGlvbjExMTc4NjY0,Organization,public,False,,,,,,False,False,False,False,True,
164522628,MDEwOlJlcG9zaXRvcnkxNjQ1MjI2Mjg=,hxnfly,NSLS-II-HXN/hxnfly,False,https://github.com/NSLS-II-HXN/hxnfly,Tools for NSLS-II HXN fly scans,False,https://api.github.com/repos/NSLS-II-HXN/hxnfly,2019-01-08T00:49:29Z,2021-11-24T15:22:26Z,2023-01-31T03:36:08Z,,119,0,0,Python,True,True,True,True,False,False,1,,False,False,1,True,False,False,[],public,1,1,0,master,NSLS-II-HXN,11178664,MDEyOk9yZ2FuaXphdGlvbjExMTc4NjY0,Organization,public,False,bsd-3-clause,"BSD 3-Clause ""New"" or ""Revised"" License",BSD-3-Clause,https://api.github.com/licenses/bsd-3-clause,MDc6TGljZW5zZTU=,False,False,False,False,True,
454825408,R_kgDOGxwVwA,fip-dev,NSLS-II-HXN/fip-dev,False,https://github.com/NSLS-II-HXN/fip-dev,Development code for FIP endstation,False,https://api.github.com/repos/NSLS-II-HXN/fip-dev,2022-02-02T15:17:46Z,2022-02-02T16:39:47Z,2023-03-23T02:30:26Z,,214,0,0,Python,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,main,NSLS-II-HXN,11178664,MDEyOk9yZ2FuaXphdGlvbjExMTc4NjY0,Organization,public,False,,,,,,False,False,False,False,True,
501797173,R_kgDOHejRNQ,hxn_gui,NSLS-II-HXN/hxn_gui,False,https://github.com/NSLS-II-HXN/hxn_gui,GUI control for data aquisition,False,https://api.github.com/repos/NSLS-II-HXN/hxn_gui,2022-06-09T20:19:59Z,2022-06-09T20:25:15Z,2023-04-17T21:16:01Z,,9877,0,0,Python,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,main,NSLS-II-HXN,11178664,MDEyOk9yZ2FuaXphdGlvbjExMTc4NjY0,Organization,public,False,,,,,,False,False,False,False,True,
531169261,R_kgDOH6j_7Q,profile_analysis,NSLS-II-HXN/profile_analysis,False,https://github.com/NSLS-II-HXN/profile_analysis,,False,https://api.github.com/repos/NSLS-II-HXN/profile_analysis,2022-08-31T16:33:03Z,2022-08-31T17:01:54Z,2023-10-13T22:12:30Z,,8,0,0,Shell,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,main,NSLS-II-HXN,11178664,MDEyOk9yZ2FuaXphdGlvbjExMTc4NjY0,Organization,public,False,bsd-3-clause,"BSD 3-Clause ""New"" or ""Revised"" License",BSD-3-Clause,https://api.github.com/licenses/bsd-3-clause,MDc6TGljZW5zZTU=,False,False,False,False,True,
