id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,license.key,license.name,license.spdx_id,license.url,license.node_id,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull,license
66657163,MDEwOlJlcG9zaXRvcnk2NjY1NzE2Mw==,isstools,NSLS-II-ISS/isstools,False,https://github.com/NSLS-II-ISS/isstools,,False,https://api.github.com/repos/NSLS-II-ISS/isstools,2016-08-26T15:09:45Z,2024-10-01T13:28:55Z,2024-10-01T13:28:51Z,,6562,6,6,Python,True,True,True,True,False,False,10,,False,False,3,True,False,False,[],public,10,3,6,main,NSLS-II-ISS,18219693,MDEyOk9yZ2FuaXphdGlvbjE4MjE5Njkz,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
114027828,MDEwOlJlcG9zaXRvcnkxMTQwMjc4Mjg=,ZeroMQ_Processing,NSLS-II-ISS/ZeroMQ_Processing,False,https://github.com/NSLS-II-ISS/ZeroMQ_Processing,,False,https://api.github.com/repos/NSLS-II-ISS/ZeroMQ_Processing,2017-12-12T18:58:02Z,2023-01-28T11:06:30Z,2018-04-20T13:54:51Z,,29,0,0,Python,True,True,True,True,False,False,0,,True,False,1,True,False,False,[],public,0,1,0,master,NSLS-II-ISS,18219693,MDEyOk9yZ2FuaXphdGlvbjE4MjE5Njkz,Organization,public,False,,,,,,False,False,False,False,True,
128085504,MDEwOlJlcG9zaXRvcnkxMjgwODU1MDQ=,profile_analysis,NSLS-II-ISS/profile_analysis,False,https://github.com/NSLS-II-ISS/profile_analysis,,False,https://api.github.com/repos/NSLS-II-ISS/profile_analysis,2018-04-04T15:51:39Z,2022-02-15T16:40:11Z,2022-09-06T19:50:31Z,,625,0,0,Python,True,True,True,True,False,False,1,,False,False,0,True,False,False,[],public,1,0,0,master,NSLS-II-ISS,18219693,MDEyOk9yZ2FuaXphdGlvbjE4MjE5Njkz,Organization,public,False,,,,,,False,False,False,False,True,
129107617,MDEwOlJlcG9zaXRvcnkxMjkxMDc2MTc=,workflows,NSLS-II-ISS/workflows,False,https://github.com/NSLS-II-ISS/workflows,,False,https://api.github.com/repos/NSLS-II-ISS/workflows,2018-04-11T14:35:45Z,2023-01-28T11:06:30Z,2018-05-30T22:57:17Z,,9,0,0,Python,True,True,True,True,False,False,1,,True,False,0,True,False,False,[],public,1,0,0,master,NSLS-II-ISS,18219693,MDEyOk9yZ2FuaXphdGlvbjE4MjE5Njkz,Organization,public,False,,,,,,False,False,False,False,True,
164456121,MDEwOlJlcG9zaXRvcnkxNjQ0NTYxMjE=,xas,NSLS-II-ISS/xas,False,https://github.com/NSLS-II-ISS/xas,Calculation tools for X-ray absorption spectroscopy at NSLS-II,False,https://api.github.com/repos/NSLS-II-ISS/xas,2019-01-07T15:57:15Z,2024-10-22T14:34:37Z,2024-12-06T15:59:41Z,,510,6,6,Python,True,True,True,True,False,False,6,,False,False,5,True,False,False,[],public,6,5,6,main,NSLS-II-ISS,18219693,MDEyOk9yZ2FuaXphdGlvbjE4MjE5Njkz,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
209645015,MDEwOlJlcG9zaXRvcnkyMDk2NDUwMTU=,isscloudtools,NSLS-II-ISS/isscloudtools,False,https://github.com/NSLS-II-ISS/isscloudtools,,False,https://api.github.com/repos/NSLS-II-ISS/isscloudtools,2019-09-19T20:41:30Z,2021-10-06T13:04:13Z,2023-07-18T18:17:23Z,,53,0,0,Python,True,True,True,True,False,False,1,,False,False,1,True,False,False,[],public,1,1,0,master,NSLS-II-ISS,18219693,MDEyOk9yZ2FuaXphdGlvbjE4MjE5Njkz,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
235877892,MDEwOlJlcG9zaXRvcnkyMzU4Nzc4OTI=,profile_sample-environment,NSLS-II-ISS/profile_sample-environment,False,https://github.com/NSLS-II-ISS/profile_sample-environment,,False,https://api.github.com/repos/NSLS-II-ISS/profile_sample-environment,2020-01-23T20:14:34Z,2021-10-21T19:18:28Z,2024-01-05T19:49:13Z,,93,0,0,Python,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,master,NSLS-II-ISS,18219693,MDEyOk9yZ2FuaXphdGlvbjE4MjE5Njkz,Organization,public,False,,,,,,False,False,False,False,True,
249853557,MDEwOlJlcG9zaXRvcnkyNDk4NTM1NTc=,xview,NSLS-II-ISS/xview,False,https://github.com/NSLS-II-ISS/xview,,False,https://api.github.com/repos/NSLS-II-ISS/xview,2020-03-25T00:57:14Z,2024-05-02T13:18:24Z,2024-09-12T20:59:00Z,,318,1,1,Python,True,True,True,True,False,False,3,,False,False,2,True,False,False,[],public,3,2,1,main,NSLS-II-ISS,18219693,MDEyOk9yZ2FuaXphdGlvbjE4MjE5Njkz,Organization,public,False,bsd-3-clause,"BSD 3-Clause ""New"" or ""Revised"" License",BSD-3-Clause,https://api.github.com/licenses/bsd-3-clause,MDc6TGljZW5zZTU=,False,False,False,False,True,
296472737,MDEwOlJlcG9zaXRvcnkyOTY0NzI3Mzc=,iss-workers,NSLS-II-ISS/iss-workers,False,https://github.com/NSLS-II-ISS/iss-workers,,False,https://api.github.com/repos/NSLS-II-ISS/iss-workers,2020-09-18T00:29:09Z,2020-09-18T14:35:55Z,2022-06-22T04:19:11Z,,36,0,0,Python,True,True,True,True,False,False,1,,False,False,1,True,False,False,[],public,1,1,0,master,NSLS-II-ISS,18219693,MDEyOk9yZ2FuaXphdGlvbjE4MjE5Njkz,Organization,public,False,bsd-3-clause,"BSD 3-Clause ""New"" or ""Revised"" License",BSD-3-Clause,https://api.github.com/licenses/bsd-3-clause,MDc6TGljZW5zZTU=,False,False,False,False,True,
329367736,MDEwOlJlcG9zaXRvcnkzMjkzNjc3MzY=,profile_collection,NSLS-II-ISS/profile_collection,False,https://github.com/NSLS-II-ISS/profile_collection,,False,https://api.github.com/repos/NSLS-II-ISS/profile_collection,2021-01-13T16:31:50Z,2024-11-22T15:03:13Z,2024-12-11T21:34:38Z,,3480,0,0,Python,True,True,True,True,False,False,2,,False,False,3,True,False,False,[],public,2,3,0,main,NSLS-II-ISS,18219693,MDEyOk9yZ2FuaXphdGlvbjE4MjE5Njkz,Organization,public,False,bsd-3-clause,"BSD 3-Clause ""New"" or ""Revised"" License",BSD-3-Clause,https://api.github.com/licenses/bsd-3-clause,MDc6TGljZW5zZTU=,False,False,False,False,True,
