id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,license.key,license.name,license.spdx_id,license.url,license.node_id,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull,license
46584482,MDEwOlJlcG9zaXRvcnk0NjU4NDQ4Mg==,profile_collection,NSLS-II-LIX/profile_collection,False,https://github.com/NSLS-II-LIX/profile_collection,IPython profile configuration - Collection,False,https://api.github.com/repos/NSLS-II-LIX/profile_collection,2015-11-20T20:15:43Z,2024-11-22T20:42:05Z,2024-11-22T20:42:01Z,,1230,0,0,Python,True,True,True,True,False,False,5,,False,False,3,True,False,False,"['nsls-ii', 'profile-collection']",public,5,3,0,master,NSLS-II-LIX,15330561,MDEyOk9yZ2FuaXphdGlvbjE1MzMwNTYx,Organization,public,False,bsd-3-clause,"BSD 3-Clause ""New"" or ""Revised"" License",BSD-3-Clause,https://api.github.com/licenses/bsd-3-clause,MDc6TGljZW5zZTU=,False,False,False,False,True,
48809509,MDEwOlJlcG9zaXRvcnk0ODgwOTUwOQ==,lixdc,NSLS-II-LIX/lixdc,False,https://github.com/NSLS-II-LIX/lixdc,User interface for data collection at LIX beam line.,False,https://api.github.com/repos/NSLS-II-LIX/lixdc,2015-12-30T16:30:09Z,2016-10-27T14:58:56Z,2022-06-22T04:20:35Z,,188,0,0,Python,True,True,True,True,False,False,1,,False,False,1,True,False,False,[],public,1,1,0,master,NSLS-II-LIX,15330561,MDEyOk9yZ2FuaXphdGlvbjE1MzMwNTYx,Organization,public,False,,,,,,False,False,False,False,True,
52307934,MDEwOlJlcG9zaXRvcnk1MjMwNzkzNA==,mongobak,NSLS-II-LIX/mongobak,False,https://github.com/NSLS-II-LIX/mongobak,Simple Backup Script for MongoDB,False,https://api.github.com/repos/NSLS-II-LIX/mongobak,2016-02-22T21:39:56Z,2021-05-04T03:03:01Z,2017-12-21T19:17:14Z,,9,2,2,Shell,True,True,True,True,False,False,1,,False,False,0,True,False,False,[],public,1,0,2,master,NSLS-II-LIX,15330561,MDEyOk9yZ2FuaXphdGlvbjE1MzMwNTYx,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
91277754,MDEwOlJlcG9zaXRvcnk5MTI3Nzc1NA==,xf16idc-ioc1,NSLS-II-LIX/xf16idc-ioc1,False,https://github.com/NSLS-II-LIX/xf16idc-ioc1,ioc scripts on xf16idc-ioc1,False,https://api.github.com/repos/NSLS-II-LIX/xf16idc-ioc1,2017-05-14T23:31:48Z,2021-04-27T12:53:38Z,2021-04-27T12:53:24Z,,39811,0,0,C++,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,master,NSLS-II-LIX,15330561,MDEyOk9yZ2FuaXphdGlvbjE1MzMwNTYx,Organization,public,False,,,,,,False,False,False,False,True,
117157642,MDEwOlJlcG9zaXRvcnkxMTcxNTc2NDI=,profile_processing,NSLS-II-LIX/profile_processing,False,https://github.com/NSLS-II-LIX/profile_processing,Auxiliary profile for profile_collection,False,https://api.github.com/repos/NSLS-II-LIX/profile_processing,2018-01-11T21:48:42Z,2018-01-11T21:50:58Z,2018-01-30T21:30:50Z,,23,0,0,Python,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,master,NSLS-II-LIX,15330561,MDEyOk9yZ2FuaXphdGlvbjE1MzMwNTYx,Organization,public,False,,,,,,False,False,False,False,True,
118817574,MDEwOlJlcG9zaXRvcnkxMTg4MTc1NzQ=,py4xs,NSLS-II-LIX/py4xs,False,https://github.com/NSLS-II-LIX/py4xs,py4xs: a python package for processing x-ray scattering data,False,https://api.github.com/repos/NSLS-II-LIX/py4xs,2018-01-24T20:22:06Z,2024-10-30T20:19:25Z,2024-10-30T20:19:21Z,,1225668,2,2,Python,True,True,True,True,False,False,2,,False,False,0,True,False,False,[],public,2,0,2,master,NSLS-II-LIX,15330561,MDEyOk9yZ2FuaXphdGlvbjE1MzMwNTYx,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
219597787,MDEwOlJlcG9zaXRvcnkyMTk1OTc3ODc=,atsas-pipelines,NSLS-II-LIX/atsas-pipelines,False,https://github.com/NSLS-II-LIX/atsas-pipelines,ATSAS pipelines for the NSLS-II LIX beamline,False,https://api.github.com/repos/NSLS-II-LIX/atsas-pipelines,2019-11-04T21:13:18Z,2022-08-11T14:52:53Z,2022-08-11T14:52:49Z,https://nsls-ii-lix.github.io/atsas-pipelines,5921,0,0,Python,True,True,True,True,True,False,4,,False,False,3,True,False,False,"['nsls-ii', 'pipelines']",public,4,3,0,master,NSLS-II-LIX,15330561,MDEyOk9yZ2FuaXphdGlvbjE1MzMwNTYx,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
242548175,MDEwOlJlcG9zaXRvcnkyNDI1NDgxNzU=,lix-workers,NSLS-II-LIX/lix-workers,False,https://github.com/NSLS-II-LIX/lix-workers,Background processes at the LIX beamline.,False,https://api.github.com/repos/NSLS-II-LIX/lix-workers,2020-02-23T16:09:34Z,2020-02-23T16:09:38Z,2020-02-23T16:09:35Z,,2,0,0,,True,True,True,True,False,False,1,,False,False,0,True,False,False,[],public,1,0,0,master,NSLS-II-LIX,15330561,MDEyOk9yZ2FuaXphdGlvbjE1MzMwNTYx,Organization,public,False,bsd-3-clause,"BSD 3-Clause ""New"" or ""Revised"" License",BSD-3-Clause,https://api.github.com/licenses/bsd-3-clause,MDc6TGljZW5zZTU=,False,False,False,False,True,
301819172,MDEwOlJlcG9zaXRvcnkzMDE4MTkxNzI=,lixtools,NSLS-II-LIX/lixtools,False,https://github.com/NSLS-II-LIX/lixtools,Software tools for data collection and processing at the LiX beamline,False,https://api.github.com/repos/NSLS-II-LIX/lixtools,2020-10-06T18:27:23Z,2024-12-12T12:59:46Z,2024-12-12T12:59:42Z,,867,2,2,Python,True,True,True,True,False,False,0,,False,False,1,True,False,False,[],public,0,1,2,main,NSLS-II-LIX,15330561,MDEyOk9yZ2FuaXphdGlvbjE1MzMwNTYx,Organization,public,False,bsd-3-clause,"BSD 3-Clause ""New"" or ""Revised"" License",BSD-3-Clause,https://api.github.com/licenses/bsd-3-clause,MDc6TGljZW5zZTU=,False,False,False,False,True,
503369096,R_kgDOHgDNiA,workflows,NSLS-II-LIX/workflows,False,https://github.com/NSLS-II-LIX/workflows,Repository of workflows for the LIX beamline.,False,https://api.github.com/repos/NSLS-II-LIX/workflows,2022-06-14T13:21:08Z,2024-05-01T21:21:08Z,2024-05-01T21:21:04Z,,157,0,0,Python,True,True,True,True,False,False,2,,False,False,0,True,False,False,[],public,2,0,0,main,NSLS-II-LIX,15330561,MDEyOk9yZ2FuaXphdGlvbjE1MzMwNTYx,Organization,public,False,bsd-3-clause,"BSD 3-Clause ""New"" or ""Revised"" License",BSD-3-Clause,https://api.github.com/licenses/bsd-3-clause,MDc6TGljZW5zZTU=,False,False,False,False,True,
