id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,license.key,license.name,license.spdx_id,license.url,license.node_id,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull,license
75974438,MDEwOlJlcG9zaXRvcnk3NTk3NDQzOA==,profile_collection,NSLS-II-SIX/profile_collection,False,https://github.com/NSLS-II-SIX/profile_collection,Collection ipython profile,False,https://api.github.com/repos/NSLS-II-SIX/profile_collection,2016-12-08T20:55:34Z,2022-04-15T15:14:55Z,2023-10-05T23:03:59Z,,251,0,0,Python,True,True,True,True,False,False,3,,False,False,15,True,False,False,"['nsls-ii', 'profile-collection']",public,3,15,0,master,NSLS-II-SIX,24460447,MDEyOk9yZ2FuaXphdGlvbjI0NDYwNDQ3,Organization,public,False,bsd-3-clause,"BSD 3-Clause ""New"" or ""Revised"" License",BSD-3-Clause,https://api.github.com/licenses/bsd-3-clause,MDc6TGljZW5zZTU=,False,False,False,False,True,
98944630,MDEwOlJlcG9zaXRvcnk5ODk0NDYzMA==,undcontrol,NSLS-II-SIX/undcontrol,False,https://github.com/NSLS-II-SIX/undcontrol,Undulator Interpolation for SIX,False,https://api.github.com/repos/NSLS-II-SIX/undcontrol,2017-08-01T01:16:00Z,2017-09-01T23:31:31Z,2017-09-01T23:30:11Z,https://github.com/NSLS-II-CSX/undcontrol/tree/six,1,0,0,,False,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,master,NSLS-II-SIX,24460447,MDEyOk9yZ2FuaXphdGlvbjI0NDYwNDQ3,Organization,public,False,,,,,,False,False,False,False,True,
102159627,MDEwOlJlcG9zaXRvcnkxMDIxNTk2Mjc=,lakeshore336,NSLS-II-SIX/lakeshore336,False,https://github.com/NSLS-II-SIX/lakeshore336,IOC for the Lakeshore 336 controller at SIX,False,https://api.github.com/repos/NSLS-II-SIX/lakeshore336,2017-09-01T23:16:56Z,2019-08-20T16:07:30Z,2019-08-20T16:07:28Z,https://github.com/NSLS-II-CSX/lakeshore336/tree/six,1,0,0,,False,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,master,NSLS-II-SIX,24460447,MDEyOk9yZ2FuaXphdGlvbjI0NDYwNDQ3,Organization,public,False,,,,,,False,False,False,False,True,
126719077,MDEwOlJlcG9zaXRvcnkxMjY3MTkwNzc=,FeedbackIOC,NSLS-II-SIX/FeedbackIOC,False,https://github.com/NSLS-II-SIX/FeedbackIOC,,False,https://api.github.com/repos/NSLS-II-SIX/FeedbackIOC,2018-03-25T16:53:44Z,2018-03-25T20:37:20Z,2018-03-25T20:37:19Z,,9,0,0,Makefile,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,master,NSLS-II-SIX,24460447,MDEyOk9yZ2FuaXphdGlvbjI0NDYwNDQ3,Organization,public,False,,,,,,False,False,False,False,True,
140298484,MDEwOlJlcG9zaXRvcnkxNDAyOTg0ODQ=,sixtools,NSLS-II-SIX/sixtools,False,https://github.com/NSLS-II-SIX/sixtools,Software for performing resonant inelastic xray scattering analysis at NSLS-II,False,https://api.github.com/repos/NSLS-II-SIX/sixtools,2018-07-09T14:36:59Z,2019-09-10T20:17:28Z,2022-06-22T04:20:54Z,https://pypi.org/project/sixtools,10648,1,1,Python,True,True,True,True,True,False,2,,False,False,16,True,False,False,[],public,2,16,1,master,NSLS-II-SIX,24460447,MDEyOk9yZ2FuaXphdGlvbjI0NDYwNDQ3,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
165086809,MDEwOlJlcG9zaXRvcnkxNjUwODY4MDk=,PfeifferEDU,NSLS-II-SIX/PfeifferEDU,False,https://github.com/NSLS-II-SIX/PfeifferEDU,IOC for the Pfieffer TMPs at SIX,False,https://api.github.com/repos/NSLS-II-SIX/PfeifferEDU,2019-01-10T15:46:55Z,2019-01-10T15:49:27Z,2019-01-10T15:49:25Z,https://github.com/NSLS-II-CSX/PfeifferEDU/tree/six,1,0,0,,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,master,NSLS-II-SIX,24460447,MDEyOk9yZ2FuaXphdGlvbjI0NDYwNDQ3,Organization,public,False,,,,,,False,False,False,False,True,
203409904,MDEwOlJlcG9zaXRvcnkyMDM0MDk5MDQ=,ami1700,NSLS-II-SIX/ami1700,False,https://github.com/NSLS-II-SIX/ami1700,Liquid helium level sensor during user operation,False,https://api.github.com/repos/NSLS-II-SIX/ami1700,2019-08-20T16:04:32Z,2019-08-20T16:09:02Z,2019-08-20T16:08:48Z,https://github.com/NSLS-II-CSX/ami1700/tree/six,0,0,0,,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,master,NSLS-II-SIX,24460447,MDEyOk9yZ2FuaXphdGlvbjI0NDYwNDQ3,Organization,public,False,,,,,,False,False,False,False,True,
210638955,MDEwOlJlcG9zaXRvcnkyMTA2Mzg5NTU=,six-utils,NSLS-II-SIX/six-utils,False,https://github.com/NSLS-II-SIX/six-utils,Utilities for SIX analysis servers,False,https://api.github.com/repos/NSLS-II-SIX/six-utils,2019-09-24T15:39:08Z,2020-11-23T16:22:52Z,2020-11-23T16:35:11Z,,6,0,0,Shell,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,master,NSLS-II-SIX,24460447,MDEyOk9yZ2FuaXphdGlvbjI0NDYwNDQ3,Organization,public,False,,,,,,False,False,False,False,True,
211380918,MDEwOlJlcG9zaXRvcnkyMTEzODA5MTg=,science_commissioning,NSLS-II-SIX/science_commissioning,False,https://github.com/NSLS-II-SIX/science_commissioning,SIX science commissioning scripts,False,https://api.github.com/repos/NSLS-II-SIX/science_commissioning,2019-09-27T18:38:26Z,2021-05-07T13:34:27Z,2021-05-07T13:34:24Z,,83,0,0,Python,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,master,NSLS-II-SIX,24460447,MDEyOk9yZ2FuaXphdGlvbjI0NDYwNDQ3,Organization,public,False,,,,,,False,False,False,False,True,
850064136,R_kgDOMqrzCA,six_jupyter_notebook,NSLS-II-SIX/six_jupyter_notebook,False,https://github.com/NSLS-II-SIX/six_jupyter_notebook,,False,https://api.github.com/repos/NSLS-II-SIX/six_jupyter_notebook,2024-08-30T20:01:53Z,2024-09-26T21:12:47Z,2024-09-26T21:12:43Z,,7459,0,0,Python,True,True,True,False,False,False,1,,False,False,1,True,False,False,[],public,1,1,0,main,NSLS-II-SIX,24460447,MDEyOk9yZ2FuaXphdGlvbjI0NDYwNDQ3,Organization,public,False,,,,,,False,False,False,False,True,
