id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,license.key,license.name,license.spdx_id,license.url,license.node_id,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull,license
30040291,MDEwOlJlcG9zaXRvcnkzMDA0MDI5MQ==,ipython_ophyd,NSLS-II-SRX/ipython_ophyd,False,https://github.com/NSLS-II-SRX/ipython_ophyd,This has been superseded by https://github.com/NSLS-II-SRX/profile_collection,False,https://api.github.com/repos/NSLS-II-SRX/ipython_ophyd,2015-01-29T20:42:39Z,2023-01-28T20:04:31Z,2018-09-06T23:25:28Z,,553,0,0,Python,True,True,True,True,False,False,4,,True,False,0,True,False,False,[],public,4,0,0,master,NSLS-II-SRX,10763591,MDEyOk9yZ2FuaXphdGlvbjEwNzYzNTkx,Organization,public,False,bsd-2-clause,"BSD 2-Clause ""Simplified"" License",BSD-2-Clause,https://api.github.com/licenses/bsd-2-clause,MDc6TGljZW5zZTQ=,False,False,False,False,True,
30458892,MDEwOlJlcG9zaXRvcnkzMDQ1ODg5Mg==,nsls2-xf-utils,NSLS-II-SRX/nsls2-xf-utils,False,https://github.com/NSLS-II-SRX/nsls2-xf-utils,A collection of tools used for monitoring and basic control of beamlines at NSLS2,False,https://api.github.com/repos/NSLS-II-SRX/nsls2-xf-utils,2015-02-07T14:54:34Z,2023-01-28T20:06:51Z,2017-03-22T12:12:01Z,,385,0,0,Python,True,True,True,True,False,False,2,,True,False,1,True,False,False,[],public,2,1,0,master,NSLS-II-SRX,10763591,MDEyOk9yZ2FuaXphdGlvbjEwNzYzNTkx,Organization,public,False,,,,,,False,False,False,False,True,
32748586,MDEwOlJlcG9zaXRvcnkzMjc0ODU4Ng==,controlsui,NSLS-II-SRX/controlsui,False,https://github.com/NSLS-II-SRX/controlsui,First pass at a scanning/controls ui for SRX,False,https://api.github.com/repos/NSLS-II-SRX/controlsui,2015-03-23T17:44:35Z,2023-01-28T11:08:10Z,2016-07-01T02:01:51Z,,91,0,0,Python,True,True,True,True,False,False,1,,True,False,3,True,False,False,[],public,1,3,0,master,NSLS-II-SRX,10763591,MDEyOk9yZ2FuaXphdGlvbjEwNzYzNTkx,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
34122728,MDEwOlJlcG9zaXRvcnkzNDEyMjcyOA==,srxtools,NSLS-II-SRX/srxtools,False,https://github.com/NSLS-II-SRX/srxtools,Useful python tools for SRX (05-ID),False,https://api.github.com/repos/NSLS-II-SRX/srxtools,2015-04-17T14:57:59Z,2023-01-28T11:08:11Z,2021-01-05T20:31:16Z,,104,0,0,Python,True,True,True,True,False,False,3,,True,False,1,True,False,False,[],public,3,1,0,master,NSLS-II-SRX,10763591,MDEyOk9yZ2FuaXphdGlvbjEwNzYzNTkx,Organization,public,False,,,,,,False,False,False,False,True,
51952680,MDEwOlJlcG9zaXRvcnk1MTk1MjY4MA==,NSLS-II-SRX.github.io,NSLS-II-SRX/NSLS-II-SRX.github.io,False,https://github.com/NSLS-II-SRX/NSLS-II-SRX.github.io,NSLS-II SRX beamline documentation,False,https://api.github.com/repos/NSLS-II-SRX/NSLS-II-SRX.github.io,2016-02-17T20:23:04Z,2023-10-24T15:45:30Z,2024-03-15T16:04:05Z,,16622,0,0,HTML,True,True,True,True,True,False,2,,False,False,0,True,False,False,[],public,2,0,0,master,NSLS-II-SRX,10763591,MDEyOk9yZ2FuaXphdGlvbjEwNzYzNTkx,Organization,public,False,bsd-3-clause,"BSD 3-Clause ""New"" or ""Revised"" License",BSD-3-Clause,https://api.github.com/licenses/bsd-3-clause,MDc6TGljZW5zZTU=,False,False,False,False,True,
52620257,MDEwOlJlcG9zaXRvcnk1MjYyMDI1Nw==,docs,NSLS-II-SRX/docs,False,https://github.com/NSLS-II-SRX/docs,,False,https://api.github.com/repos/NSLS-II-SRX/docs,2016-02-26T17:15:30Z,2021-01-11T21:49:58Z,2021-01-11T21:49:56Z,,4385,0,0,TeX,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,master,NSLS-II-SRX,10763591,MDEyOk9yZ2FuaXphdGlvbjEwNzYzNTkx,Organization,public,False,bsd-3-clause,"BSD 3-Clause ""New"" or ""Revised"" License",BSD-3-Clause,https://api.github.com/licenses/bsd-3-clause,MDc6TGljZW5zZTU=,False,False,False,False,True,
147745025,MDEwOlJlcG9zaXRvcnkxNDc3NDUwMjU=,profile_collection,NSLS-II-SRX/profile_collection,False,https://github.com/NSLS-II-SRX/profile_collection,NSLS-II SRX beamline IPython startup files for data collection,False,https://api.github.com/repos/NSLS-II-SRX/profile_collection,2018-09-06T23:31:42Z,2024-11-08T21:24:01Z,2024-11-27T20:17:45Z,https://doi.org/10.1016/j.nima.2022.166505,1553,3,3,Python,True,True,True,True,False,False,7,,False,False,7,True,False,False,"['nsls-ii', 'profile-collection']",public,7,7,3,master,NSLS-II-SRX,10763591,MDEyOk9yZ2FuaXphdGlvbjEwNzYzNTkx,Organization,public,False,bsd-3-clause,"BSD 3-Clause ""New"" or ""Revised"" License",BSD-3-Clause,https://api.github.com/licenses/bsd-3-clause,MDc6TGljZW5zZTU=,False,False,False,False,True,
206862573,MDEwOlJlcG9zaXRvcnkyMDY4NjI1NzM=,srxgui,NSLS-II-SRX/srxgui,False,https://github.com/NSLS-II-SRX/srxgui,Creating the SRX GUI,True,https://api.github.com/repos/NSLS-II-SRX/srxgui,2019-09-06T19:38:44Z,2021-01-11T21:52:03Z,2021-01-11T21:52:00Z,,380,0,0,Python,False,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,master,NSLS-II-SRX,10763591,MDEyOk9yZ2FuaXphdGlvbjEwNzYzNTkx,Organization,public,False,bsd-3-clause,"BSD 3-Clause ""New"" or ""Revised"" License",BSD-3-Clause,https://api.github.com/licenses/bsd-3-clause,MDc6TGljZW5zZTU=,False,False,False,False,True,
243022765,MDEwOlJlcG9zaXRvcnkyNDMwMjI3NjU=,srx-workers,NSLS-II-SRX/srx-workers,False,https://github.com/NSLS-II-SRX/srx-workers,Background processes running at SRX.,False,https://api.github.com/repos/NSLS-II-SRX/srx-workers,2020-02-25T14:40:41Z,2021-01-11T21:55:32Z,2021-01-11T21:55:30Z,,3,0,0,,True,True,True,True,False,False,1,,False,False,0,True,False,False,[],public,1,0,0,master,NSLS-II-SRX,10763591,MDEyOk9yZ2FuaXphdGlvbjEwNzYzNTkx,Organization,public,False,bsd-3-clause,"BSD 3-Clause ""New"" or ""Revised"" License",BSD-3-Clause,https://api.github.com/licenses/bsd-3-clause,MDc6TGljZW5zZTU=,False,False,False,False,True,
357332563,MDEwOlJlcG9zaXRvcnkzNTczMzI1NjM=,xrf-tomo,NSLS-II-SRX/xrf-tomo,False,https://github.com/NSLS-II-SRX/xrf-tomo,Workflow for XRF Tomography at the SRX Beamline at the NSLS-II,False,https://api.github.com/repos/NSLS-II-SRX/xrf-tomo,2021-04-12T20:38:16Z,2022-11-02T23:30:56Z,2022-11-17T20:35:05Z,,146,2,2,Python,True,True,True,True,False,False,2,,False,False,0,True,False,False,[],public,2,0,2,main,NSLS-II-SRX,10763591,MDEyOk9yZ2FuaXphdGlvbjEwNzYzNTkx,Organization,public,False,bsd-3-clause,"BSD 3-Clause ""New"" or ""Revised"" License",BSD-3-Clause,https://api.github.com/licenses/bsd-3-clause,MDc6TGljZW5zZTU=,False,False,False,False,True,
