id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,license.key,license.name,license.spdx_id,license.url,license.node_id,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull,license
33327345,MDEwOlJlcG9zaXRvcnkzMzMyNzM0NQ==,PyXRF,NSLS2/PyXRF,False,https://github.com/NSLS2/PyXRF,Fluorescence fitting GUI.,False,https://api.github.com/repos/NSLS2/PyXRF,2015-04-02T19:19:56Z,2024-12-13T18:52:50Z,2024-12-13T18:52:45Z,http://nsls-ii.github.io/PyXRF,10090,32,32,Python,True,True,True,True,False,False,24,,False,False,3,True,False,False,[],public,24,3,32,master,NSLS2,99744927,O_kgDOBfH8nw,Organization,public,False,bsd-3-clause,"BSD 3-Clause ""New"" or ""Revised"" License",BSD-3-Clause,https://api.github.com/licenses/bsd-3-clause,MDc6TGljZW5zZTU=,False,False,False,False,True,
94933153,MDEwOlJlcG9zaXRvcnk5NDkzMzE1Mw==,GeRM,NSLS2/GeRM,False,https://github.com/NSLS2/GeRM,Software for Germanium Readout Module,False,https://api.github.com/repos/NSLS2/GeRM,2017-06-20T20:39:49Z,2024-12-10T20:51:17Z,2019-09-17T20:01:47Z,,186,2,2,Python,True,True,True,True,False,False,3,,False,False,0,True,False,False,[],public,3,0,2,master,NSLS2,99744927,O_kgDOBfH8nw,Organization,public,False,bsd-3-clause,"BSD 3-Clause ""New"" or ""Revised"" License",BSD-3-Clause,https://api.github.com/licenses/bsd-3-clause,MDc6TGljZW5zZTU=,False,False,False,False,True,
136422997,MDEwOlJlcG9zaXRvcnkxMzY0MjI5OTc=,ptycho_gui,NSLS2/ptycho_gui,False,https://github.com/NSLS2/ptycho_gui,NSLS-II Ptychography Software - frontend,False,https://api.github.com/repos/NSLS2/ptycho_gui,2018-06-07T04:46:30Z,2024-12-13T14:27:48Z,2024-12-02T16:57:09Z,,664,15,15,Python,True,True,True,True,False,False,10,,False,False,30,True,False,False,"['cuda', 'cupy', 'gui', 'mpi', 'mpi4py', 'numba', 'ptychography', 'pyqt5', 'python', 'qt5']",public,10,30,15,master,NSLS2,99744927,O_kgDOBfH8nw,Organization,public,False,mit,MIT License,MIT,https://api.github.com/licenses/mit,MDc6TGljZW5zZTEz,False,False,False,False,True,
160576495,MDEwOlJlcG9zaXRvcnkxNjA1NzY0OTU=,ADEmergentVision,NSLS2/ADEmergentVision,False,https://github.com/NSLS2/ADEmergentVision,An area detector driver for Emergent Vision Technologies Cameras,False,https://api.github.com/repos/NSLS2/ADEmergentVision,2018-12-05T20:46:29Z,2024-12-13T18:23:13Z,2021-01-04T18:41:44Z,https://jwlodek.github.io/ADEmergentVision,136,1,1,C++,True,True,True,True,True,False,1,,False,False,2,True,False,False,[],public,1,2,1,master,NSLS2,99744927,O_kgDOBfH8nw,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
161810597,MDEwOlJlcG9zaXRvcnkxNjE4MTA1OTc=,suitcase-nexus,NSLS2/suitcase-nexus,False,https://github.com/NSLS2/suitcase-nexus,,False,https://api.github.com/repos/NSLS2/suitcase-nexus,2018-12-14T16:14:13Z,2024-12-10T19:33:46Z,2022-06-22T04:15:20Z,,26,1,1,Python,True,True,True,True,False,False,2,,False,False,1,True,False,False,[],public,2,1,1,master,NSLS2,99744927,O_kgDOBfH8nw,Organization,public,False,bsd-3-clause,"BSD 3-Clause ""New"" or ""Revised"" License",BSD-3-Clause,https://api.github.com/licenses/bsd-3-clause,MDc6TGljZW5zZTU=,False,False,False,False,True,
168441756,MDEwOlJlcG9zaXRvcnkxNjg0NDE3NTY=,installSynApps,NSLS2/installSynApps,False,https://github.com/NSLS2/installSynApps,A python3 module for downloading and building EPICS and synApps with one command,False,https://api.github.com/repos/NSLS2/installSynApps,2019-01-31T01:19:11Z,2024-12-13T18:28:57Z,2024-01-05T16:30:10Z,,1219,2,2,Python,True,True,True,True,False,False,7,,False,False,11,True,False,False,[],public,7,11,2,master,NSLS2,99744927,O_kgDOBfH8nw,Organization,public,False,bsd-3-clause,"BSD 3-Clause ""New"" or ""Revised"" License",BSD-3-Clause,https://api.github.com/licenses/bsd-3-clause,MDc6TGljZW5zZTU=,False,False,False,False,True,
188483063,MDEwOlJlcG9zaXRvcnkxODg0ODMwNjM=,docker-collection,NSLS2/docker-collection,False,https://github.com/NSLS2/docker-collection,Docker with the lightsource2-tag/collection metapackage,False,https://api.github.com/repos/NSLS2/docker-collection,2019-05-24T20:23:25Z,2024-12-14T19:54:54Z,2019-09-17T19:20:01Z,https://hub.docker.com/r/nsls2/nsls2-collection,6,1,1,Dockerfile,True,True,True,True,False,False,2,,True,False,0,True,False,False,[],public,2,0,1,master,NSLS2,99744927,O_kgDOBfH8nw,Organization,public,False,bsd-3-clause,"BSD 3-Clause ""New"" or ""Revised"" License",BSD-3-Clause,https://api.github.com/licenses/bsd-3-clause,MDc6TGljZW5zZTU=,False,False,False,False,True,
196423214,MDEwOlJlcG9zaXRvcnkxOTY0MjMyMTQ=,EPICS-Docker-Builder,NSLS2/EPICS-Docker-Builder,False,https://github.com/NSLS2/EPICS-Docker-Builder,An exploration into using docker containers to trigger EPICS builds on all distros with installSynApps,False,https://api.github.com/repos/NSLS2/EPICS-Docker-Builder,2019-07-11T15:43:51Z,2024-12-13T18:31:13Z,2022-01-10T17:54:35Z,,76,2,2,Dockerfile,True,True,True,True,False,False,5,,False,False,0,True,False,False,[],public,5,0,2,master,NSLS2,99744927,O_kgDOBfH8nw,Organization,public,False,,,,,,False,False,False,False,True,
206124891,MDEwOlJlcG9zaXRvcnkyMDYxMjQ4OTE=,EPICS-Install-Configurations,NSLS2/EPICS-Install-Configurations,False,https://github.com/NSLS2/EPICS-Install-Configurations,A repository containing install configrations for EPICS and areaDetector,False,https://api.github.com/repos/NSLS2/EPICS-Install-Configurations,2019-09-03T16:41:41Z,2024-12-13T18:29:54Z,2021-05-21T18:38:01Z,,174,1,1,Shell,True,True,True,True,False,False,1,,False,False,0,True,False,False,[],public,1,0,1,master,NSLS2,99744927,O_kgDOBfH8nw,Organization,public,False,,,,,,False,False,False,False,True,
346397022,MDEwOlJlcG9zaXRvcnkzNDYzOTcwMjI=,PyELEGANT,NSLS2/PyELEGANT,False,https://github.com/NSLS2/PyELEGANT,Python Interface to the 6D Accelerator Program ELEGANT (ELEctron Generation ANd Tracking),False,https://api.github.com/repos/NSLS2/PyELEGANT,2021-03-10T15:12:42Z,2024-12-12T14:49:53Z,2024-07-02T15:01:22Z,,1856,10,10,Python,True,True,True,True,False,False,1,,False,False,0,True,False,False,[],public,1,0,10,master,NSLS2,99744927,O_kgDOBfH8nw,Organization,public,False,bsd-3-clause,"BSD 3-Clause ""New"" or ""Revised"" License",BSD-3-Clause,https://api.github.com/licenses/bsd-3-clause,MDc6TGljZW5zZTU=,False,False,False,False,True,
351842825,MDEwOlJlcG9zaXRvcnkzNTE4NDI4MjU=,deep-beamline-simulation,NSLS2/deep-beamline-simulation,False,https://github.com/NSLS2/deep-beamline-simulation,Beamline Simulation using sirepo-bluesky and Synchrotron Radiation Workshop (SRW).,False,https://api.github.com/repos/NSLS2/deep-beamline-simulation,2021-03-26T16:19:59Z,2024-12-11T15:43:19Z,2022-10-11T14:13:13Z,,90092,3,3,Python,True,True,True,True,False,False,5,,True,False,0,True,False,False,[],public,5,0,3,main,NSLS2,99744927,O_kgDOBfH8nw,Organization,public,False,bsd-3-clause,"BSD 3-Clause ""New"" or ""Revised"" License",BSD-3-Clause,https://api.github.com/licenses/bsd-3-clause,MDc6TGljZW5zZTU=,False,False,False,False,True,
357248799,MDEwOlJlcG9zaXRvcnkzNTcyNDg3OTk=,eurotherm2k,NSLS2/eurotherm2k,False,https://github.com/NSLS2/eurotherm2k,,False,https://api.github.com/repos/NSLS2/eurotherm2k,2021-04-12T15:39:19Z,2024-12-13T18:35:42Z,2022-08-29T12:35:47Z,,830,1,1,C++,True,True,True,True,False,False,1,,False,False,0,True,False,False,[],public,1,0,1,master,NSLS2,99744927,O_kgDOBfH8nw,Organization,public,False,lgpl-3.0,GNU Lesser General Public License v3.0,LGPL-3.0,https://api.github.com/licenses/lgpl-3.0,MDc6TGljZW5zZTEy,False,False,False,False,True,
