id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,license,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull,license.key,license.name,license.spdx_id,license.url,license.node_id
136337433,MDEwOlJlcG9zaXRvcnkxMzYzMzc0MzM=,mvn-repo,NationalGalleryOfArt/mvn-repo,False,https://github.com/NationalGalleryOfArt/mvn-repo,,False,https://api.github.com/repos/NationalGalleryOfArt/mvn-repo,2018-06-06T14:05:32Z,2022-02-17T21:53:19Z,2022-12-12T20:41:58Z,,12965,0,0,,True,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,0,master,NationalGalleryOfArt,39136389,MDEyOk9yZ2FuaXphdGlvbjM5MTM2Mzg5,Organization,public,False,False,False,False,False,True,,,,,
139595445,MDEwOlJlcG9zaXRvcnkxMzk1OTU0NDU=,netx,NationalGalleryOfArt/netx,False,https://github.com/NationalGalleryOfArt/netx,,False,https://api.github.com/repos/NationalGalleryOfArt/netx,2018-07-03T14:28:25Z,2023-12-12T14:24:33Z,2024-04-05T18:27:02Z,,39,0,0,Shell,True,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,0,master,NationalGalleryOfArt,39136389,MDEyOk9yZ2FuaXphdGlvbjM5MTM2Mzg5,Organization,public,False,False,False,False,False,True,lgpl-2.1,GNU Lesser General Public License v2.1,LGPL-2.1,https://api.github.com/licenses/lgpl-2.1,MDc6TGljZW5zZTEx
143871364,MDEwOlJlcG9zaXRvcnkxNDM4NzEzNjQ=,iipsrv,NationalGalleryOfArt/iipsrv,False,https://github.com/NationalGalleryOfArt/iipsrv,iipsrv is an advanced high-performance feature-rich image server for web-based streamed viewing and zooming of ultra high-resolution images.,True,https://api.github.com/repos/NationalGalleryOfArt/iipsrv,2018-08-07T12:39:16Z,2024-02-13T02:54:33Z,2022-10-11T17:54:13Z,,3662,6,6,C++,False,True,True,True,False,False,3,,False,False,0,,True,False,False,[],public,3,0,6,master,NationalGalleryOfArt,39136389,MDEyOk9yZ2FuaXphdGlvbjM5MTM2Mzg5,Organization,public,False,False,False,False,False,True,gpl-3.0,GNU General Public License v3.0,GPL-3.0,https://api.github.com/licenses/gpl-3.0,MDc6TGljZW5zZTk=
144015554,MDEwOlJlcG9zaXRvcnkxNDQwMTU1NTQ=,dataServices,NationalGalleryOfArt/dataServices,False,https://github.com/NationalGalleryOfArt/dataServices,"NGA's Data Services APIs - a SpringBoot / RESTful but (for now at least) read-only services implementation for art data, media, and eventually, much more.",False,https://api.github.com/repos/NationalGalleryOfArt/dataServices,2018-08-08T13:11:26Z,2022-11-06T18:22:46Z,2024-10-03T16:59:41Z,,1040,3,3,Java,True,True,True,True,False,False,1,,False,False,1,,True,False,False,[],public,1,1,3,master,NationalGalleryOfArt,39136389,MDEyOk9yZ2FuaXphdGlvbjM5MTM2Mzg5,Organization,public,False,False,False,False,False,True,,,,,
278688613,MDEwOlJlcG9zaXRvcnkyNzg2ODg2MTM=,sqlUtils,NationalGalleryOfArt/sqlUtils,False,https://github.com/NationalGalleryOfArt/sqlUtils,TSQL functions and stored procedures that have applicability for general use,False,https://api.github.com/repos/NationalGalleryOfArt/sqlUtils,2020-07-10T17:00:54Z,2020-07-10T20:07:42Z,2020-07-10T20:07:40Z,,15,0,0,TSQL,True,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,0,master,NationalGalleryOfArt,39136389,MDEyOk9yZ2FuaXphdGlvbjM5MTM2Mzg5,Organization,public,False,False,False,False,False,True,lgpl-2.1,GNU Lesser General Public License v2.1,LGPL-2.1,https://api.github.com/licenses/lgpl-2.1,MDc6TGljZW5zZTEx
350741640,MDEwOlJlcG9zaXRvcnkzNTA3NDE2NDA=,opendata,NationalGalleryOfArt/opendata,False,https://github.com/NationalGalleryOfArt/opendata,The National Gallery of Art Open Data Program,False,https://api.github.com/repos/NationalGalleryOfArt/opendata,2021-03-23T14:24:49Z,2024-12-19T12:01:56Z,2024-07-08T11:24:01Z,https://www.nga.gov/open-access-images/open-data.html,3369970,368,368,Shell,True,True,True,True,False,False,65,,False,False,7,,True,False,False,"['art', 'collection', 'csv', 'csv-format', 'data', 'dataset', 'gallery', 'national-gallery', 'open']",public,65,7,368,main,NationalGalleryOfArt,39136389,MDEyOk9yZ2FuaXphdGlvbjM5MTM2Mzg5,Organization,public,False,False,False,False,False,True,cc0-1.0,Creative Commons Zero v1.0 Universal,CC0-1.0,https://api.github.com/licenses/cc0-1.0,MDc6TGljZW5zZTY=
387899297,MDEwOlJlcG9zaXRvcnkzODc4OTkyOTc=,heald-packages,NationalGalleryOfArt/heald-packages,False,https://github.com/NationalGalleryOfArt/heald-packages,For wiki page packages on heald.nga.gov,False,https://api.github.com/repos/NationalGalleryOfArt/heald-packages,2021-07-20T19:52:04Z,2021-09-10T20:36:28Z,2021-09-10T20:36:26Z,,174,0,0,,True,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,0,main,NationalGalleryOfArt,39136389,MDEyOk9yZ2FuaXphdGlvbjM5MTM2Mzg5,Organization,public,False,False,False,False,False,True,lgpl-2.1,GNU Lesser General Public License v2.1,LGPL-2.1,https://api.github.com/licenses/lgpl-2.1,MDc6TGljZW5zZTEx
388238949,MDEwOlJlcG9zaXRvcnkzODgyMzg5NDk=,mediawiki-pages-Dates,NationalGalleryOfArt/mediawiki-pages-Dates,False,https://github.com/NationalGalleryOfArt/mediawiki-pages-Dates,,False,https://api.github.com/repos/NationalGalleryOfArt/mediawiki-pages-Dates,2021-07-21T20:33:22Z,2021-07-21T21:10:29Z,2021-07-21T21:10:26Z,,16,0,0,,True,True,True,True,False,False,1,,False,False,0,,True,False,False,[],public,1,0,0,main,NationalGalleryOfArt,39136389,MDEyOk9yZ2FuaXphdGlvbjM5MTM2Mzg5,Organization,public,False,False,False,False,False,True,lgpl-2.1,GNU Lesser General Public License v2.1,LGPL-2.1,https://api.github.com/licenses/lgpl-2.1,MDc6TGljZW5zZTEx
388247537,MDEwOlJlcG9zaXRvcnkzODgyNDc1Mzc=,mediawiki-pages-Geolocation,NationalGalleryOfArt/mediawiki-pages-Geolocation,False,https://github.com/NationalGalleryOfArt/mediawiki-pages-Geolocation,,False,https://api.github.com/repos/NationalGalleryOfArt/mediawiki-pages-Geolocation,2021-07-21T21:15:12Z,2021-07-21T21:23:25Z,2021-07-21T21:23:22Z,,15,0,0,,True,True,True,True,False,False,1,,False,False,0,,True,False,False,[],public,1,0,0,main,NationalGalleryOfArt,39136389,MDEyOk9yZ2FuaXphdGlvbjM5MTM2Mzg5,Organization,public,False,False,False,False,False,True,lgpl-2.1,GNU Lesser General Public License v2.1,LGPL-2.1,https://api.github.com/licenses/lgpl-2.1,MDc6TGljZW5zZTEx
388250016,MDEwOlJlcG9zaXRvcnkzODgyNTAwMTY=,mediawiki-pages-ExternalLink,NationalGalleryOfArt/mediawiki-pages-ExternalLink,False,https://github.com/NationalGalleryOfArt/mediawiki-pages-ExternalLink,,False,https://api.github.com/repos/NationalGalleryOfArt/mediawiki-pages-ExternalLink,2021-07-21T21:27:51Z,2021-09-06T18:07:53Z,2021-09-06T18:07:50Z,,14,0,0,,True,True,True,True,False,False,1,,False,False,0,,True,False,False,[],public,1,0,0,main,NationalGalleryOfArt,39136389,MDEyOk9yZ2FuaXphdGlvbjM5MTM2Mzg5,Organization,public,False,False,False,False,False,True,lgpl-2.1,GNU Lesser General Public License v2.1,LGPL-2.1,https://api.github.com/licenses/lgpl-2.1,MDc6TGljZW5zZTEx
