id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,license.key,license.name,license.spdx_id,license.url,license.node_id,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull,license
34736869,MDEwOlJlcG9zaXRvcnkzNDczNjg2OQ==,SIMP,NationalSecurityAgency/SIMP,False,https://github.com/NationalSecurityAgency/SIMP,A system automation and configuration management stack targeted toward operational flexibility and policy compliance.,False,https://api.github.com/repos/NationalSecurityAgency/SIMP,2015-04-28T14:52:42Z,2024-12-17T19:13:52Z,2019-11-05T22:27:13Z,https://simp-project.com,71,1333,1333,Ruby,False,True,True,True,False,False,276,,True,False,0,True,False,False,[],public,276,0,1333,master,NationalSecurityAgency,11298292,MDEyOk9yZ2FuaXphdGlvbjExMjk4Mjky,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
56099345,MDEwOlJlcG9zaXRvcnk1NjA5OTM0NQ==,timely,NationalSecurityAgency/timely,False,https://github.com/NationalSecurityAgency/timely,Accumulo backed time series database,False,https://api.github.com/repos/NationalSecurityAgency/timely,2016-04-12T21:33:37Z,2024-11-22T21:46:57Z,2024-07-01T18:18:48Z,https://code.nsa.gov/timely/,56149,379,379,CSS,True,False,True,True,True,False,108,,False,False,19,True,False,False,"['accumulo', 'hacktoberfest', 'series-database', 'time-series', 'timeseries']",public,108,19,379,master,NationalSecurityAgency,11298292,MDEyOk9yZ2FuaXphdGlvbjExMjk4Mjky,Organization,public,False,apache-2.0,Apache License 2.0,Apache-2.0,https://api.github.com/licenses/apache-2.0,MDc6TGljZW5zZTI=,False,False,False,False,True,
56245517,MDEwOlJlcG9zaXRvcnk1NjI0NTUxNw==,qgis-latlontools-plugin,NationalSecurityAgency/qgis-latlontools-plugin,False,https://github.com/NationalSecurityAgency/qgis-latlontools-plugin,"QGIS tools to capture and zoom to coordinates using decimal, DMS, WKT, GeoJSON, MGRS, UTM, UPS, GEOREF, ECEF, H3, and Plus Codes notation. Provides external map support, MGRS & Plus Codes conversion and point digitizing tools.",False,https://api.github.com/repos/NationalSecurityAgency/qgis-latlontools-plugin,2016-04-14T14:44:03Z,2024-12-07T17:25:51Z,2024-06-10T16:10:49Z,,5896,306,306,Python,True,False,True,True,False,False,106,,False,False,2,True,False,False,"['capture', 'dms', 'ecef', 'epsg', 'geohash', 'geojson', 'georef', 'h3', 'latitude', 'longitude', 'mgrs', 'plugin', 'pluscode', 'qgis', 'ups', 'utm', 'wgs84', 'wkt']",public,106,2,306,master,NationalSecurityAgency,11298292,MDEyOk9yZ2FuaXphdGlvbjExMjk4Mjky,Organization,public,False,gpl-2.0,GNU General Public License v2.0,GPL-2.0,https://api.github.com/licenses/gpl-2.0,MDc6TGljZW5zZTg=,False,False,False,False,True,
60210076,MDEwOlJlcG9zaXRvcnk2MDIxMDA3Ng==,qgis-searchlayers-plugin,NationalSecurityAgency/qgis-searchlayers-plugin,False,https://github.com/NationalSecurityAgency/qgis-searchlayers-plugin,Enhanced textual vector layer searching in QGIS.,False,https://api.github.com/repos/NationalSecurityAgency/qgis-searchlayers-plugin,2016-06-01T20:54:08Z,2024-11-07T02:34:05Z,2024-06-10T16:14:41Z,,700,75,75,Python,True,False,True,True,False,False,50,,False,False,1,True,False,False,"['fuzzy', 'fuzzy-search', 'levenshtein', 'qgis', 'search', 'soundex']",public,50,1,75,master,NationalSecurityAgency,11298292,MDEyOk9yZ2FuaXphdGlvbjExMjk4Mjky,Organization,public,False,gpl-2.0,GNU General Public License v2.0,GPL-2.0,https://api.github.com/licenses/gpl-2.0,MDc6TGljZW5zZTg=,False,False,False,False,True,
60373386,MDEwOlJlcG9zaXRvcnk2MDM3MzM4Ng==,qgis-shapetools-plugin,NationalSecurityAgency/qgis-shapetools-plugin,False,https://github.com/NationalSecurityAgency/qgis-shapetools-plugin,"Shape Tools creates geodesic shapes and includes a number of geodesic tools for QGIS including the XY to Line tool, geodesic densify tool, geodesic line break, geodesic measure tool, geodesic measurement layer, geodesic scale, rotate and translate tool, and digitize points at an azimuth & distance tools.",False,https://api.github.com/repos/NationalSecurityAgency/qgis-shapetools-plugin,2016-06-03T19:43:25Z,2024-10-05T14:33:32Z,2024-06-10T16:14:02Z,,4308,157,157,Python,True,False,True,True,False,False,66,,False,False,1,True,False,False,"['arc', 'azimuth', 'bearing', 'decimate', 'donut', 'ellipse', 'geodesic', 'pie', 'polyfoil', 'polygon', 'qgis', 'rose', 'xytoline']",public,66,1,157,master,NationalSecurityAgency,11298292,MDEyOk9yZ2FuaXphdGlvbjExMjk4Mjky,Organization,public,False,gpl-2.0,GNU General Public License v2.0,GPL-2.0,https://api.github.com/licenses/gpl-2.0,MDc6TGljZW5zZTg=,False,False,False,False,True,
62402740,MDEwOlJlcG9zaXRvcnk2MjQwMjc0MA==,qgis-d3datavis-plugin,NationalSecurityAgency/qgis-d3datavis-plugin,False,https://github.com/NationalSecurityAgency/qgis-d3datavis-plugin,QGIS D3 Date and Time Heatmap,False,https://api.github.com/repos/NationalSecurityAgency/qgis-d3datavis-plugin,2016-07-01T15:34:20Z,2024-10-05T14:34:24Z,2024-06-10T16:00:42Z,,7510,131,131,Python,True,False,True,True,False,False,52,,False,False,0,True,False,False,[],public,52,0,131,master,NationalSecurityAgency,11298292,MDEyOk9yZ2FuaXphdGlvbjExMjk4Mjky,Organization,public,False,gpl-2.0,GNU General Public License v2.0,GPL-2.0,https://api.github.com/licenses/gpl-2.0,MDc6TGljZW5zZTg=,False,False,False,False,True,
64151115,MDEwOlJlcG9zaXRvcnk2NDE1MTExNQ==,lemongraph,NationalSecurityAgency/lemongraph,False,https://github.com/NationalSecurityAgency/lemongraph,Log-based transactional graph engine,False,https://api.github.com/repos/NationalSecurityAgency/lemongraph,2016-07-25T16:37:44Z,2024-12-02T18:35:24Z,2024-10-16T03:16:36Z,,426,1137,1137,Python,True,False,True,True,False,False,149,,False,False,6,True,False,False,[],public,149,6,1137,master,NationalSecurityAgency,11298292,MDEyOk9yZ2FuaXphdGlvbjExMjk4Mjky,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
64151177,MDEwOlJlcG9zaXRvcnk2NDE1MTE3Nw==,lemongrenade,NationalSecurityAgency/lemongrenade,False,https://github.com/NationalSecurityAgency/lemongrenade,Data-driven automation platform,False,https://api.github.com/repos/NationalSecurityAgency/lemongrenade,2016-07-25T16:38:34Z,2024-11-22T21:47:04Z,2023-06-13T22:54:14Z,,1363,301,301,Java,True,False,True,True,False,False,94,,False,False,10,True,False,False,[],public,94,10,301,master,NationalSecurityAgency,11298292,MDEyOk9yZ2FuaXphdGlvbjExMjk4Mjky,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
65034998,MDEwOlJlcG9zaXRvcnk2NTAzNDk5OA==,DCP,NationalSecurityAgency/DCP,False,https://github.com/NationalSecurityAgency/DCP,"Digest, stat, and copy files from one location to another in the same read pass",False,https://api.github.com/repos/NationalSecurityAgency/DCP,2016-08-05T16:56:14Z,2024-11-22T21:47:04Z,2019-06-06T00:47:34Z,,73,331,331,C,True,False,True,True,False,False,107,,False,False,7,True,False,False,[],public,107,7,331,master,NationalSecurityAgency,11298292,MDEyOk9yZ2FuaXphdGlvbjExMjk4Mjky,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
79569392,MDEwOlJlcG9zaXRvcnk3OTU2OTM5Mg==,qgis-bulk-nominatim,NationalSecurityAgency/qgis-bulk-nominatim,False,https://github.com/NationalSecurityAgency/qgis-bulk-nominatim,Provides bulk nominatim geocoding for QGIS,False,https://api.github.com/repos/NationalSecurityAgency/qgis-bulk-nominatim,2017-01-20T15:12:58Z,2024-10-05T14:34:29Z,2024-04-09T17:22:50Z,,369,37,37,Python,True,False,True,True,False,False,23,,False,False,0,True,False,False,[],public,23,0,37,master,NationalSecurityAgency,11298292,MDEyOk9yZ2FuaXphdGlvbjExMjk4Mjky,Organization,public,False,gpl-2.0,GNU General Public License v2.0,GPL-2.0,https://api.github.com/licenses/gpl-2.0,MDc6TGljZW5zZTg=,False,False,False,False,True,
87590916,MDEwOlJlcG9zaXRvcnk4NzU5MDkxNg==,qonduit,NationalSecurityAgency/qonduit,False,https://github.com/NationalSecurityAgency/qonduit,A WebSocket library for use with Apache Accumulo,False,https://api.github.com/repos/NationalSecurityAgency/qonduit,2017-04-07T22:14:58Z,2024-10-05T14:33:27Z,2024-09-25T14:32:01Z,,120,60,60,Java,True,False,True,True,False,False,41,,False,False,3,True,False,False,"['accumulo', 'java', 'proxy', 'websocket']",public,41,3,60,master,NationalSecurityAgency,11298292,MDEyOk9yZ2FuaXphdGlvbjExMjk4Mjky,Organization,public,False,apache-2.0,Apache License 2.0,Apache-2.0,https://api.github.com/licenses/apache-2.0,MDc6TGljZW5zZTI=,False,False,False,False,True,
116999027,MDEwOlJlcG9zaXRvcnkxMTY5OTkwMjc=,datawave,NationalSecurityAgency/datawave,False,https://github.com/NationalSecurityAgency/datawave,"DataWave is an ingest/query framework that leverages Apache Accumulo to provide fast, secure data access.",False,https://api.github.com/repos/NationalSecurityAgency/datawave,2018-01-10T19:05:58Z,2024-12-18T19:24:16Z,2024-12-19T02:13:33Z,https://code.nsa.gov/datawave,104453,567,567,Java,True,True,True,True,True,False,246,,False,False,385,True,False,False,"['accumulo', 'bigdata', 'java']",public,246,385,567,integration,NationalSecurityAgency,11298292,MDEyOk9yZ2FuaXphdGlvbjExMjk4Mjky,Organization,public,False,apache-2.0,Apache License 2.0,Apache-2.0,https://api.github.com/licenses/apache-2.0,MDc6TGljZW5zZTI=,False,False,False,False,True,
125577959,MDEwOlJlcG9zaXRvcnkxMjU1Nzc5NTk=,qgis-kmltools-plugin,NationalSecurityAgency/qgis-kmltools-plugin,False,https://github.com/NationalSecurityAgency/qgis-kmltools-plugin,Fast KML Import and Export Plugin for QGIS,False,https://api.github.com/repos/NationalSecurityAgency/qgis-kmltools-plugin,2018-03-16T22:53:59Z,2024-10-31T11:38:10Z,2024-06-10T16:12:48Z,,983,68,68,Python,True,False,True,True,False,False,31,,False,False,5,True,False,False,"['export', 'import', 'kml', 'kmz', 'qgis']",public,31,5,68,master,NationalSecurityAgency,11298292,MDEyOk9yZ2FuaXphdGlvbjExMjk4Mjky,Organization,public,False,gpl-2.0,GNU General Public License v2.0,GPL-2.0,https://api.github.com/licenses/gpl-2.0,MDc6TGljZW5zZTg=,False,False,False,False,True,
