id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,license.key,license.name,license.spdx_id,license.url,license.node_id,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull,license
714891,MDEwOlJlcG9zaXRvcnk3MTQ4OTE=,StereoPipeline,NeoGeographyToolkit/StereoPipeline,False,https://github.com/NeoGeographyToolkit/StereoPipeline,The NASA Ames Stereo Pipeline is a suite of automated geodesy & stereogrammetry tools designed for processing planetary imagery captured from orbiting and landed robotic explorers on other planets.,False,https://api.github.com/repos/NeoGeographyToolkit/StereoPipeline,2010-06-11T02:11:55Z,2024-12-19T01:15:08Z,2024-12-19T01:15:03Z,,218623,503,503,C++,True,True,True,True,False,True,173,,False,False,24,True,False,False,[],public,173,24,503,master,NeoGeographyToolkit,302310,MDEyOk9yZ2FuaXphdGlvbjMwMjMxMA==,Organization,public,False,apache-2.0,Apache License 2.0,Apache-2.0,https://api.github.com/licenses/apache-2.0,MDc6TGljZW5zZTI=,False,False,False,False,True,
1314606,MDEwOlJlcG9zaXRvcnkxMzE0NjA2,BinaryBuilder,NeoGeographyToolkit/BinaryBuilder,False,https://github.com/NeoGeographyToolkit/BinaryBuilder,Script for generating the binary builds of Stereo Pipeline,False,https://api.github.com/repos/NeoGeographyToolkit/BinaryBuilder,2011-02-01T01:54:49Z,2024-12-05T18:01:06Z,2024-12-05T18:01:02Z,https://ti.arc.nasa.gov/tech/asr/groups/intelligent-robotics/ngt/stereo/,32076,13,13,Python,True,True,True,True,False,False,22,,False,False,0,True,False,False,[],public,22,0,13,master,NeoGeographyToolkit,302310,MDEyOk9yZ2FuaXphdGlvbjMwMjMxMA==,Organization,public,False,,,,,,False,False,False,False,True,
1693898,MDEwOlJlcG9zaXRvcnkxNjkzODk4,kraken,NeoGeographyToolkit/kraken,False,https://github.com/NeoGeographyToolkit/kraken,A job dispatcher for distributed processing,False,https://api.github.com/repos/NeoGeographyToolkit/kraken,2011-05-02T23:26:08Z,2015-05-13T22:57:23Z,2012-01-09T09:00:40Z,,62808,3,3,Python,True,True,True,True,False,False,5,,False,False,0,True,False,False,[],public,5,0,3,master,NeoGeographyToolkit,302310,MDEyOk9yZ2FuaXphdGlvbjMwMjMxMA==,Organization,public,False,,,,,,False,False,False,False,True,
1855712,MDEwOlJlcG9zaXRvcnkxODU1NzEy,PhotometryTK,NeoGeographyToolkit/PhotometryTK,False,https://github.com/NeoGeographyToolkit/PhotometryTK,Tools to do photometric correction and mosaicking,False,https://api.github.com/repos/NeoGeographyToolkit/PhotometryTK,2011-06-06T17:04:27Z,2023-02-11T00:00:21Z,2015-06-03T17:16:21Z,,66381,11,11,C++,True,True,True,True,False,False,15,,False,False,0,True,False,False,[],public,15,0,11,master,NeoGeographyToolkit,302310,MDEyOk9yZ2FuaXphdGlvbjMwMjMxMA==,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
4522867,MDEwOlJlcG9zaXRvcnk0NTIyODY3,AutotoolsForISIS,NeoGeographyToolkit/AutotoolsForISIS,False,https://github.com/NeoGeographyToolkit/AutotoolsForISIS,This is a collection of scripts that will apply an Autotools build system to the USGS ISIS source code.,False,https://api.github.com/repos/NeoGeographyToolkit/AutotoolsForISIS,2012-06-01T18:31:10Z,2017-06-24T12:06:13Z,2017-01-31T21:53:32Z,,69,5,5,M4,True,True,True,True,False,False,7,,False,False,0,True,False,False,[],public,7,0,5,master,NeoGeographyToolkit,302310,MDEyOk9yZ2FuaXphdGlvbjMwMjMxMA==,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
9658952,MDEwOlJlcG9zaXRvcnk5NjU4OTUy,StereoPipelineTest,NeoGeographyToolkit/StereoPipelineTest,False,https://github.com/NeoGeographyToolkit/StereoPipelineTest,"A comprehensive, distributed, and fully automated test suite for the Ames Stereo Pipeline (ASP)",False,https://api.github.com/repos/NeoGeographyToolkit/StereoPipelineTest,2013-04-24T22:28:29Z,2024-12-18T21:03:28Z,2024-12-18T21:03:25Z,,1647,5,5,Shell,True,True,True,True,False,False,9,,False,False,0,True,False,False,[],public,9,0,5,master,NeoGeographyToolkit,302310,MDEyOk9yZ2FuaXphdGlvbjMwMjMxMA==,Organization,public,False,,,,,,False,False,False,False,True,
9990069,MDEwOlJlcG9zaXRvcnk5OTkwMDY5,MultipleViewPipeline,NeoGeographyToolkit/MultipleViewPipeline,False,https://github.com/NeoGeographyToolkit/MultipleViewPipeline,"MVP offers a method for extracting 3D that utilizes all views of the terrain, not just pair-wise combinations.",False,https://api.github.com/repos/NeoGeographyToolkit/MultipleViewPipeline,2013-05-10T20:45:57Z,2024-06-27T00:34:28Z,2013-06-13T01:02:45Z,,14906,14,14,C++,True,True,True,True,False,False,18,,False,False,0,True,False,False,[],public,18,0,14,master,NeoGeographyToolkit,302310,MDEyOk9yZ2FuaXphdGlvbjMwMjMxMA==,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
14505748,MDEwOlJlcG9zaXRvcnkxNDUwNTc0OA==,Tools,NeoGeographyToolkit/Tools,False,https://github.com/NeoGeographyToolkit/Tools,Additional tools for working with StereoPipeline data.,False,https://api.github.com/repos/NeoGeographyToolkit/Tools,2013-11-18T21:27:08Z,2024-06-23T09:34:45Z,2020-03-14T05:13:03Z,,15635,7,7,Python,True,True,True,True,False,False,8,,False,False,0,True,False,False,[],public,8,0,7,master,NeoGeographyToolkit,302310,MDEyOk9yZ2FuaXphdGlvbjMwMjMxMA==,Organization,public,False,apache-2.0,Apache License 2.0,Apache-2.0,https://api.github.com/licenses/apache-2.0,MDc6TGljZW5zZTI=,False,False,False,False,True,
21293764,MDEwOlJlcG9zaXRvcnkyMTI5Mzc2NA==,MassUpload,NeoGeographyToolkit/MassUpload,False,https://github.com/NeoGeographyToolkit/MassUpload,Tools for mass upload of data to mapping servers,False,https://api.github.com/repos/NeoGeographyToolkit/MassUpload,2014-06-28T01:39:09Z,2021-09-24T08:21:54Z,2015-10-26T18:58:05Z,,820,2,2,Python,True,True,True,True,False,False,4,,False,False,0,True,False,False,[],public,4,0,2,master,NeoGeographyToolkit,302310,MDEyOk9yZ2FuaXphdGlvbjMwMjMxMA==,Organization,public,False,,,,,,False,False,False,False,True,
31701298,MDEwOlJlcG9zaXRvcnkzMTcwMTI5OA==,TheiaSfM,NeoGeographyToolkit/TheiaSfM,False,https://github.com/NeoGeographyToolkit/TheiaSfM,An open source library for multiview geometry and structure from motion,True,https://api.github.com/repos/NeoGeographyToolkit/TheiaSfM,2015-03-05T07:27:26Z,2024-06-18T21:37:28Z,2024-03-29T22:45:16Z,,31411,0,0,C++,False,True,True,True,False,False,1,,False,False,0,True,False,False,[],public,1,0,0,master,NeoGeographyToolkit,302310,MDEyOk9yZ2FuaXphdGlvbjMwMjMxMA==,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
71300720,MDEwOlJlcG9zaXRvcnk3MTMwMDcyMA==,IsisCMake,NeoGeographyToolkit/IsisCMake,False,https://github.com/NeoGeographyToolkit/IsisCMake,A CMake build system for USGS ISIS,False,https://api.github.com/repos/NeoGeographyToolkit/IsisCMake,2016-10-18T23:40:28Z,2022-08-22T05:27:02Z,2017-04-24T22:43:14Z,,133343,2,2,C++,True,True,True,True,False,False,8,,False,False,0,True,False,False,[],public,8,0,2,master,NeoGeographyToolkit,302310,MDEyOk9yZ2FuaXphdGlvbjMwMjMxMA==,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
215629971,MDEwOlJlcG9zaXRvcnkyMTU2Mjk5NzE=,voxblox,NeoGeographyToolkit/voxblox,False,https://github.com/NeoGeographyToolkit/voxblox,"A library for flexible voxel-based mapping, mainly focusing on truncated and Euclidean signed distance fields.",True,https://api.github.com/repos/NeoGeographyToolkit/voxblox,2019-10-16T19:39:31Z,2024-06-18T21:39:13Z,2024-01-04T00:11:05Z,,38839,0,0,C++,False,True,True,False,False,False,1,,False,False,0,True,False,False,[],public,1,0,0,master,NeoGeographyToolkit,302310,MDEyOk9yZ2FuaXphdGlvbjMwMjMxMA==,Organization,public,False,bsd-3-clause,"BSD 3-Clause ""New"" or ""Revised"" License",BSD-3-Clause,https://api.github.com/licenses/bsd-3-clause,MDc6TGljZW5zZTU=,False,False,False,False,True,
227707011,MDEwOlJlcG9zaXRvcnkyMjc3MDcwMTE=,cgal,NeoGeographyToolkit/cgal,False,https://github.com/NeoGeographyToolkit/cgal,"The public CGAL repository, see the README below",True,https://api.github.com/repos/NeoGeographyToolkit/cgal,2019-12-12T22:19:19Z,2024-06-18T21:39:40Z,2023-05-08T14:27:30Z,https://github.com/CGAL/cgal#readme,651044,0,0,C++,False,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,master,NeoGeographyToolkit,302310,MDEyOk9yZ2FuaXphdGlvbjMwMjMxMA==,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
230511813,MDEwOlJlcG9zaXRvcnkyMzA1MTE4MTM=,mvs-texturing,NeoGeographyToolkit/mvs-texturing,False,https://github.com/NeoGeographyToolkit/mvs-texturing,Algorithm to texture 3D reconstructions from multi-view stereo images,True,https://api.github.com/repos/NeoGeographyToolkit/mvs-texturing,2019-12-27T20:11:52Z,2024-06-18T21:52:01Z,2024-06-18T21:51:57Z,,436,2,2,C++,False,True,True,True,False,False,3,,False,False,0,True,False,False,[],public,3,0,2,master,NeoGeographyToolkit,302310,MDEyOk9yZ2FuaXphdGlvbjMwMjMxMA==,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
273781472,MDEwOlJlcG9zaXRvcnkyNzM3ODE0NzI=,geoid-feedstock,NeoGeographyToolkit/geoid-feedstock,False,https://github.com/NeoGeographyToolkit/geoid-feedstock,Library to support geoids in the NASA Ames Stereo Pipeline,False,https://api.github.com/repos/NeoGeographyToolkit/geoid-feedstock,2020-06-20T20:43:34Z,2022-12-17T03:51:13Z,2022-12-17T03:51:10Z,,9,0,0,Shell,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,master,NeoGeographyToolkit,302310,MDEyOk9yZ2FuaXphdGlvbjMwMjMxMA==,Organization,public,False,apache-2.0,Apache License 2.0,Apache-2.0,https://api.github.com/licenses/apache-2.0,MDc6TGljZW5zZTI=,False,False,False,False,True,
274200208,MDEwOlJlcG9zaXRvcnkyNzQyMDAyMDg=,htdp-feedstock,NeoGeographyToolkit/htdp-feedstock,False,https://github.com/NeoGeographyToolkit/htdp-feedstock,Horizontal Time-Dependent Positioning,False,https://api.github.com/repos/NeoGeographyToolkit/htdp-feedstock,2020-06-22T17:22:12Z,2022-12-17T03:55:24Z,2022-12-17T03:55:19Z,,6,0,0,Shell,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,master,NeoGeographyToolkit,302310,MDEyOk9yZ2FuaXphdGlvbjMwMjMxMA==,Organization,public,False,apache-2.0,Apache License 2.0,Apache-2.0,https://api.github.com/licenses/apache-2.0,MDc6TGljZW5zZTI=,False,False,False,False,True,
274209528,MDEwOlJlcG9zaXRvcnkyNzQyMDk1Mjg=,fgr-feedstock,NeoGeographyToolkit/fgr-feedstock,False,https://github.com/NeoGeographyToolkit/fgr-feedstock,Conda recipe to build the Fast Global Registration software,False,https://api.github.com/repos/NeoGeographyToolkit/fgr-feedstock,2020-06-22T18:08:47Z,2022-05-18T23:35:00Z,2023-12-06T19:24:20Z,,10,0,0,Shell,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,master,NeoGeographyToolkit,302310,MDEyOk9yZ2FuaXphdGlvbjMwMjMxMA==,Organization,public,False,apache-2.0,Apache License 2.0,Apache-2.0,https://api.github.com/licenses/apache-2.0,MDc6TGljZW5zZTI=,False,False,False,False,True,
