id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,license,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull,license.key,license.name,license.spdx_id,license.url,license.node_id
73200094,MDEwOlJlcG9zaXRvcnk3MzIwMDA5NA==,qvm,ORNL-QCI/qvm,False,https://github.com/ORNL-QCI/qvm,The Quantum Virtual Machine,False,https://api.github.com/repos/ORNL-QCI/qvm,2016-11-08T15:33:08Z,2020-06-18T23:06:46Z,2016-11-11T15:33:43Z,,1,0,0,CMake,True,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,0,master,ORNL-QCI,22397803,MDEyOk9yZ2FuaXphdGlvbjIyMzk3ODAz,Organization,public,False,False,False,False,False,True,,,,,
73201829,MDEwOlJlcG9zaXRvcnk3MzIwMTgyOQ==,common,ORNL-QCI/common,False,https://github.com/ORNL-QCI/common,Common utilities for QCI software. ,False,https://api.github.com/repos/ORNL-QCI/common,2016-11-08T15:52:26Z,2020-06-18T23:10:06Z,2017-02-15T15:49:25Z,,29,1,1,C++,True,True,True,True,False,False,1,,False,False,4,,True,False,False,[],public,1,4,1,master,ORNL-QCI,22397803,MDEyOk9yZ2FuaXphdGlvbjIyMzk3ODAz,Organization,public,False,False,False,False,False,True,bsd-3-clause,"BSD 3-Clause ""New"" or ""Revised"" License",BSD-3-Clause,https://api.github.com/licenses/bsd-3-clause,MDc6TGljZW5zZTU=
73201965,MDEwOlJlcG9zaXRvcnk3MzIwMTk2NQ==,tnqvm,ORNL-QCI/tnqvm,False,https://github.com/ORNL-QCI/tnqvm,Tensor Network QPU Simulator for Eclipse XACC,False,https://api.github.com/repos/ORNL-QCI/tnqvm,2016-11-08T15:53:45Z,2024-09-02T14:49:32Z,2024-07-19T15:04:20Z,,2187,43,43,C++,True,True,True,True,False,False,10,,False,False,6,,True,False,False,[],public,10,6,43,master,ORNL-QCI,22397803,MDEyOk9yZ2FuaXphdGlvbjIyMzk3ODAz,Organization,public,False,False,False,False,False,True,,,,,
73496574,MDEwOlJlcG9zaXRvcnk3MzQ5NjU3NA==,ScaffCC,ORNL-QCI/ScaffCC,False,https://github.com/ORNL-QCI/ScaffCC,"Compilation, analysis and optimization framework for the Scaffold quantum programming language.",True,https://api.github.com/repos/ORNL-QCI/ScaffCC,2016-11-11T17:13:59Z,2018-02-05T18:42:04Z,2017-05-12T16:13:17Z,,46121,1,1,C++,False,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,1,master,ORNL-QCI,22397803,MDEyOk9yZ2FuaXphdGlvbjIyMzk3ODAz,Organization,public,False,False,False,False,False,True,bsd-2-clause,"BSD 2-Clause ""Simplified"" License",BSD-2-Clause,https://api.github.com/licenses/bsd-2-clause,MDc6TGljZW5zZTQ=
73836913,MDEwOlJlcG9zaXRvcnk3MzgzNjkxMw==,annie-rose,ORNL-QCI/annie-rose,False,https://github.com/ORNL-QCI/annie-rose,,False,https://api.github.com/repos/ORNL-QCI/annie-rose,2016-11-15T17:11:17Z,2020-06-18T23:08:48Z,2018-01-03T15:52:46Z,,1045,1,1,TeX,True,True,True,True,False,False,1,,False,False,0,,True,False,False,[],public,1,0,1,master,ORNL-QCI,22397803,MDEyOk9yZ2FuaXphdGlvbjIyMzk3ODAz,Organization,public,False,False,False,False,False,True,bsd-3-clause,"BSD 3-Clause ""New"" or ""Revised"" License",BSD-3-Clause,https://api.github.com/licenses/bsd-3-clause,MDc6TGljZW5zZTU=
73836970,MDEwOlJlcG9zaXRvcnk3MzgzNjk3MA==,sabot,ORNL-QCI/sabot,False,https://github.com/ORNL-QCI/sabot,,False,https://api.github.com/repos/ORNL-QCI/sabot,2016-11-15T17:11:59Z,2020-06-18T23:10:20Z,2017-04-10T16:43:35Z,,89,1,1,C++,True,True,True,True,False,False,1,,False,False,0,,True,False,False,[],public,1,0,1,master,ORNL-QCI,22397803,MDEyOk9yZ2FuaXphdGlvbjIyMzk3ODAz,Organization,public,False,False,False,False,False,True,bsd-3-clause,"BSD 3-Clause ""New"" or ""Revised"" License",BSD-3-Clause,https://api.github.com/licenses/bsd-3-clause,MDc6TGljZW5zZTU=
73837033,MDEwOlJlcG9zaXRvcnk3MzgzNzAzMw==,eldispacho,ORNL-QCI/eldispacho,False,https://github.com/ORNL-QCI/eldispacho,,False,https://api.github.com/repos/ORNL-QCI/eldispacho,2016-11-15T17:12:47Z,2020-06-18T23:10:12Z,2017-04-10T16:42:46Z,,105,1,1,C++,True,True,True,True,False,False,1,,False,False,0,,True,False,False,[],public,1,0,1,master,ORNL-QCI,22397803,MDEyOk9yZ2FuaXphdGlvbjIyMzk3ODAz,Organization,public,False,False,False,False,False,True,bsd-3-clause,"BSD 3-Clause ""New"" or ""Revised"" License",BSD-3-Clause,https://api.github.com/licenses/bsd-3-clause,MDc6TGljZW5zZTU=
73837055,MDEwOlJlcG9zaXRvcnk3MzgzNzA1NQ==,armish-fireplace,ORNL-QCI/armish-fireplace,False,https://github.com/ORNL-QCI/armish-fireplace,,False,https://api.github.com/repos/ORNL-QCI/armish-fireplace,2016-11-15T17:13:01Z,2020-06-18T23:09:10Z,2017-04-11T13:58:18Z,,82,1,1,C++,True,True,True,True,False,False,1,,False,False,0,,True,False,False,[],public,1,0,1,master,ORNL-QCI,22397803,MDEyOk9yZ2FuaXphdGlvbjIyMzk3ODAz,Organization,public,False,False,False,False,False,True,bsd-3-clause,"BSD 3-Clause ""New"" or ""Revised"" License",BSD-3-Clause,https://api.github.com/licenses/bsd-3-clause,MDc6TGljZW5zZTU=
74054114,MDEwOlJlcG9zaXRvcnk3NDA1NDExNA==,ovs,ORNL-QCI/ovs,False,https://github.com/ORNL-QCI/ovs,Open vSwitch,True,https://api.github.com/repos/ORNL-QCI/ovs,2016-11-17T18:10:14Z,2016-11-17T18:10:22Z,2017-01-10T17:57:42Z,,48772,0,0,C,False,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,0,qscon-action,ORNL-QCI,22397803,MDEyOk9yZ2FuaXphdGlvbjIyMzk3ODAz,Organization,public,False,False,False,False,False,True,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=
87842570,MDEwOlJlcG9zaXRvcnk4Nzg0MjU3MA==,orsoqs,ORNL-QCI/orsoqs,False,https://github.com/ORNL-QCI/orsoqs,,False,https://api.github.com/repos/ORNL-QCI/orsoqs,2017-04-10T18:11:50Z,2020-06-18T23:09:55Z,2017-04-10T18:32:34Z,,16,1,1,C,True,True,True,True,False,False,1,,False,False,0,,True,False,False,[],public,1,0,1,master,ORNL-QCI,22397803,MDEyOk9yZ2FuaXphdGlvbjIyMzk3ODAz,Organization,public,False,False,False,False,False,True,bsd-3-clause,"BSD 3-Clause ""New"" or ""Revised"" License",BSD-3-Clause,https://api.github.com/licenses/bsd-3-clause,MDc6TGljZW5zZTU=
