id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,license.key,license.name,license.spdx_id,license.url,license.node_id,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull,license
568973699,R_kgDOIenZgw,PSDOS,PIFSC-Protected-Species-Division/PSDOS,False,https://github.com/PIFSC-Protected-Species-Division/PSDOS,Resource hub for Protected Species Division Open Science (PSDOS),False,https://api.github.com/repos/PIFSC-Protected-Species-Division/PSDOS,2022-11-21T20:10:23Z,2024-01-12T18:48:17Z,2023-02-23T14:16:31Z,https://pifsc-protected-species-division.github.io/PSDOS/,895,2,2,HTML,True,True,True,True,True,True,0,,False,False,0,True,False,False,[],public,0,0,2,main,PIFSC-Protected-Species-Division,117859614,O_kgDOBwZlHg,Organization,public,False,cc0-1.0,Creative Commons Zero v1.0 Universal,CC0-1.0,https://api.github.com/licenses/cc0-1.0,MDc6TGljZW5zZTY=,False,False,False,False,True,
603246643,R_kgDOI_TQMw,cruise-maps-live,PIFSC-Protected-Species-Division/cruise-maps-live,False,https://github.com/PIFSC-Protected-Species-Division/cruise-maps-live,This repository contains code necessary to generate daily maps of the cetacean survey cruises,False,https://api.github.com/repos/PIFSC-Protected-Species-Division/cruise-maps-live,2023-02-17T23:46:17Z,2024-01-26T00:26:29Z,2023-12-06T18:36:03Z,https://storymaps.arcgis.com/stories/b3bbf0e90d0141f7bf47edc5339ccb7a,235450,3,3,R,True,True,True,True,False,False,0,,False,False,3,True,False,False,[],public,0,3,3,main,PIFSC-Protected-Species-Division,117859614,O_kgDOBwZlHg,Organization,public,False,mit,MIT License,MIT,https://api.github.com/licenses/mit,MDc6TGljZW5zZTEz,False,False,False,False,True,
639916416,R_kgDOJiRZgA,LTabundR,PIFSC-Protected-Species-Division/LTabundR,False,https://github.com/PIFSC-Protected-Species-Division/LTabundR,R package for design-based line-transect density estimation,False,https://api.github.com/repos/PIFSC-Protected-Species-Division/LTabundR,2023-05-12T14:15:23Z,2024-11-26T12:42:42Z,2024-11-26T12:42:38Z,https://pifsc-protected-species-division.github.io/LTabundR-vignette/,892064,0,0,R,True,True,True,True,False,False,0,,False,False,6,True,False,False,[],public,0,6,0,main,PIFSC-Protected-Species-Division,117859614,O_kgDOBwZlHg,Organization,public,False,cc0-1.0,Creative Commons Zero v1.0 Universal,CC0-1.0,https://api.github.com/licenses/cc0-1.0,MDc6TGljZW5zZTY=,False,False,False,False,True,
667646638,R_kgDOJ8t6rg,HI-Pelagic-FKWs,PIFSC-Protected-Species-Division/HI-Pelagic-FKWs,False,https://github.com/PIFSC-Protected-Species-Division/HI-Pelagic-FKWs,Repository for data related to the updated management area for Hawaiʻi pelagic false killer whales,False,https://api.github.com/repos/PIFSC-Protected-Species-Division/HI-Pelagic-FKWs,2023-07-18T02:04:20Z,2023-12-04T20:02:25Z,2023-12-04T20:01:19Z,https://repository.library.noaa.gov/view/noaa/56119,4365,1,1,,True,True,True,False,False,False,0,,False,False,0,True,False,False,[],public,0,0,1,main,PIFSC-Protected-Species-Division,117859614,O_kgDOBwZlHg,Organization,public,False,cc0-1.0,Creative Commons Zero v1.0 Universal,CC0-1.0,https://api.github.com/licenses/cc0-1.0,MDc6TGljZW5zZTY=,False,False,False,False,True,
668511113,R_kgDOJ9iriQ,HI-cet-stock-boundaries,PIFSC-Protected-Species-Division/HI-cet-stock-boundaries,False,https://github.com/PIFSC-Protected-Species-Division/HI-cet-stock-boundaries,Repository of stock boundaries for island-associated cetacean populations around the Hawaiian Islands,False,https://api.github.com/repos/PIFSC-Protected-Species-Division/HI-cet-stock-boundaries,2023-07-20T01:52:00Z,2024-11-19T21:26:51Z,2023-08-26T01:52:11Z,,37251,2,2,,True,True,True,False,False,False,0,,False,False,2,True,False,False,[],public,0,2,2,main,PIFSC-Protected-Species-Division,117859614,O_kgDOBwZlHg,Organization,public,False,cc0-1.0,Creative Commons Zero v1.0 Universal,CC0-1.0,https://api.github.com/licenses/cc0-1.0,MDc6TGljZW5zZTY=,False,False,False,False,True,
680219754,R_kgDOKItUag,crputils,PIFSC-Protected-Species-Division/crputils,False,https://github.com/PIFSC-Protected-Species-Division/crputils,Miscellaneous R utilities used by CRP,False,https://api.github.com/repos/PIFSC-Protected-Species-Division/crputils,2023-08-18T16:27:32Z,2024-07-16T14:27:20Z,2024-07-16T14:27:16Z,,85,0,0,R,True,True,True,False,False,False,0,,False,False,1,True,False,False,[],public,0,1,0,main,PIFSC-Protected-Species-Division,117859614,O_kgDOBwZlHg,Organization,public,False,,,,,,False,False,False,False,True,
764952906,R_kgDOLZhBSg,LTabundR-vignette,PIFSC-Protected-Species-Division/LTabundR-vignette,False,https://github.com/PIFSC-Protected-Species-Division/LTabundR-vignette,Vignette for R package 'LTabundR',False,https://api.github.com/repos/PIFSC-Protected-Species-Division/LTabundR-vignette,2024-02-29T02:17:40Z,2024-08-02T03:20:57Z,2024-08-02T03:20:54Z,https://pifsc-protected-species-division.github.io/LTabundR-vignette/,710017,0,0,HTML,True,True,True,True,True,False,0,,False,False,1,True,False,False,[],public,0,1,0,main,PIFSC-Protected-Species-Division,117859614,O_kgDOBwZlHg,Organization,public,False,cc0-1.0,Creative Commons Zero v1.0 Universal,CC0-1.0,https://api.github.com/licenses/cc0-1.0,MDc6TGljZW5zZTY=,False,False,False,False,True,
767688650,R_kgDOLcH_yg,pifsc-protected-species-division.r-universe.dev,PIFSC-Protected-Species-Division/pifsc-protected-species-division.r-universe.dev,False,https://github.com/PIFSC-Protected-Species-Division/pifsc-protected-species-division.r-universe.dev,,False,https://api.github.com/repos/PIFSC-Protected-Species-Division/pifsc-protected-species-division.r-universe.dev,2024-03-05T18:13:33Z,2024-03-07T19:47:40Z,2024-03-07T21:04:39Z,,5,0,0,,True,True,True,False,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,main,PIFSC-Protected-Species-Division,117859614,O_kgDOBwZlHg,Organization,public,False,,,,,,False,False,False,False,True,
768312881,R_kgDOLcuGMQ,picMaps,PIFSC-Protected-Species-Division/picMaps,False,https://github.com/PIFSC-Protected-Species-Division/picMaps,Mapping utilities for PIFSC,False,https://api.github.com/repos/PIFSC-Protected-Species-Division/picMaps,2024-03-06T21:21:43Z,2024-12-04T22:11:48Z,2024-12-04T22:11:44Z,,1988,2,2,HTML,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,2,main,PIFSC-Protected-Species-Division,117859614,O_kgDOBwZlHg,Organization,public,False,,,,,,False,False,False,False,True,
873790580,R_kgDONBT8dA,CRP_PAM_Manual,PIFSC-Protected-Species-Division/CRP_PAM_Manual,False,https://github.com/PIFSC-Protected-Species-Division/CRP_PAM_Manual,Cetacean Research Program - Passive Acoustics Monitoring - Lab Manual (PIFSC),False,https://api.github.com/repos/PIFSC-Protected-Species-Division/CRP_PAM_Manual,2024-10-16T18:12:45Z,2024-12-20T02:24:01Z,2024-12-20T02:28:39Z,https://pifsc-protected-species-division.github.io/CRP_PAM_Manual/,11647,3,3,JavaScript,True,True,True,True,True,False,0,,False,False,0,True,False,False,[],public,0,0,3,main,PIFSC-Protected-Species-Division,117859614,O_kgDOBwZlHg,Organization,public,False,cc0-1.0,Creative Commons Zero v1.0 Universal,CC0-1.0,https://api.github.com/licenses/cc0-1.0,MDc6TGljZW5zZTY=,False,False,False,False,True,
