id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,license.key,license.name,license.spdx_id,license.url,license.node_id,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull,license
15322544,MDEwOlJlcG9zaXRvcnkxNTMyMjU0NA==,protein-coverage-summarizer,PNNL-Comp-Mass-Spec/protein-coverage-summarizer,False,https://github.com/PNNL-Comp-Mass-Spec/protein-coverage-summarizer,"Computes the percent of the residues in each protein sequence that have been identified, based on a list of identified peptides.  A graphical user interface (GUI) is provided to allow the user to select the input files, set the options, and browse the coverage results.",False,https://api.github.com/repos/PNNL-Comp-Mass-Spec/protein-coverage-summarizer,2013-12-19T20:55:15Z,2024-07-27T20:55:36Z,2024-07-27T20:55:32Z,,36804,6,6,C#,True,True,True,True,True,False,3,,False,False,0,True,False,False,"['fasta', 'mass-spectrometry', 'protein-sequence', 'protein-sequences']",public,3,0,6,master,PNNL-Comp-Mass-Spec,6225798,MDEyOk9yZ2FuaXphdGlvbjYyMjU3OTg=,Organization,public,False,bsd-2-clause,"BSD 2-Clause ""Simplified"" License",BSD-2-Clause,https://api.github.com/licenses/bsd-2-clause,MDc6TGljZW5zZTQ=,False,False,False,False,True,
15322761,MDEwOlJlcG9zaXRvcnkxNTMyMjc2MQ==,rmd-runs,PNNL-Comp-Mass-Spec/rmd-runs,False,https://github.com/PNNL-Comp-Mass-Spec/rmd-runs,"The RMD_RUNS function will log10 transform peptide peak intensity, that is, peptide abundance data and determine if any LC-MS analyses (ie,runs) in a N x P peptide data set are statistical outliers. The statistical analysis is based on summarizing each LC-MS run as a vector of q=5 summary statistics which describe the peptide abundance distribution for a specific run; a N x q matrix is then analyzed using robust PCA to compute a robust estimate of the covariance matrix used in a the calculation of a robut Mahalanobis distance.",False,https://api.github.com/repos/PNNL-Comp-Mass-Spec/rmd-runs,2013-12-19T21:05:31Z,2017-11-16T20:43:58Z,2017-11-19T23:46:04Z,,18,0,0,Matlab,True,True,True,True,False,False,1,,False,False,0,True,False,False,[],public,1,0,0,master,PNNL-Comp-Mass-Spec,6225798,MDEyOk9yZ2FuaXphdGlvbjYyMjU3OTg=,Organization,public,False,apache-2.0,Apache License 2.0,Apache-2.0,https://api.github.com/licenses/apache-2.0,MDc6TGljZW5zZTI=,False,False,False,False,True,
15690190,MDEwOlJlcG9zaXRvcnkxNTY5MDE5MA==,PopulationVariationPlugin,PNNL-Comp-Mass-Spec/PopulationVariationPlugin,False,https://github.com/PNNL-Comp-Mass-Spec/PopulationVariationPlugin,A Population Variation plug-in for the Skyline software program that  can assist researchers in determining whether their target peptides have known mutations in the general human population.,False,https://api.github.com/repos/PNNL-Comp-Mass-Spec/PopulationVariationPlugin,2014-01-06T23:55:38Z,2021-10-27T05:03:41Z,2021-10-27T05:03:38Z,,32516,0,0,C#,True,True,True,True,True,False,1,,False,False,0,True,False,False,[],public,1,0,0,master,PNNL-Comp-Mass-Spec,6225798,MDEyOk9yZ2FuaXphdGlvbjYyMjU3OTg=,Organization,public,False,,,,,,False,False,False,False,True,
15743238,MDEwOlJlcG9zaXRvcnkxNTc0MzIzOA==,BP-Quant,PNNL-Comp-Mass-Spec/BP-Quant,False,https://github.com/PNNL-Comp-Mass-Spec/BP-Quant,,False,https://api.github.com/repos/PNNL-Comp-Mass-Spec/BP-Quant,2014-01-08T17:56:02Z,2016-02-18T04:14:57Z,2017-11-27T22:52:33Z,,189,2,2,HTML,True,True,True,True,False,False,4,,False,False,0,True,False,False,[],public,4,0,2,master,PNNL-Comp-Mass-Spec,6225798,MDEyOk9yZ2FuaXphdGlvbjYyMjU3OTg=,Organization,public,False,,,,,,False,False,False,False,True,
15780216,MDEwOlJlcG9zaXRvcnkxNTc4MDIxNg==,MASIC,PNNL-Comp-Mass-Spec/MASIC,False,https://github.com/PNNL-Comp-Mass-Spec/MASIC,"MASIC generates selected ion chromatograms (SICs) for all of the parent ions chosen for fragmentation in an LC-MS/MS analysis, characterizing the peak(s) in each SIC, computing peak statistics including elution time of the peak apex, peak area, and peak signal/noise. It can also extract reporter ion abundances (e.g. iTRAQ or TMT).",False,https://api.github.com/repos/PNNL-Comp-Mass-Spec/MASIC,2014-01-09T21:34:27Z,2024-11-06T02:04:14Z,2024-11-06T02:04:10Z,https://omics.pnl.gov/software/MASIC,123343,15,15,C#,True,True,True,True,True,False,4,,False,False,4,True,False,False,"['mass-spectrometry', 'ms-spectrum']",public,4,4,15,master,PNNL-Comp-Mass-Spec,6225798,MDEyOk9yZ2FuaXphdGlvbjYyMjU3OTg=,Organization,public,False,,,,,,False,False,False,False,True,
17455367,MDEwOlJlcG9zaXRvcnkxNzQ1NTM2Nw==,glmnetGLR,PNNL-Comp-Mass-Spec/glmnetGLR,False,https://github.com/PNNL-Comp-Mass-Spec/glmnetGLR,The primary goal was to build a classifier that accurately predicts a binary response. We utilized a Lasso logistic regression classifier (LLRC) which simultaneously restricts the size of model coefficients and the number of quality metrics included the model. Importantly the model does not treat false-negatives and false-positives as equally deleterious events.,False,https://api.github.com/repos/PNNL-Comp-Mass-Spec/glmnetGLR,2014-03-05T21:08:27Z,2023-07-14T23:38:21Z,2017-10-28T01:35:27Z,,458,0,0,R,True,True,True,True,False,False,0,,False,False,1,True,False,False,[],public,0,1,0,master,PNNL-Comp-Mass-Spec,6225798,MDEyOk9yZ2FuaXphdGlvbjYyMjU3OTg=,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
19161649,MDEwOlJlcG9zaXRvcnkxOTE2MTY0OQ==,Fasta-File-Splitter,PNNL-Comp-Mass-Spec/Fasta-File-Splitter,False,https://github.com/PNNL-Comp-Mass-Spec/Fasta-File-Splitter,"The FASTA File Splitter program can be used to split apart a protein FASTA file into a number of sections. Although the  splitting is random, each section will have a nearly identical number of residues.",False,https://api.github.com/repos/PNNL-Comp-Mass-Spec/Fasta-File-Splitter,2014-04-25T21:40:48Z,2023-01-08T10:32:38Z,2021-10-27T05:05:51Z,,147,3,3,C#,True,True,True,True,True,False,2,,False,False,0,True,False,False,"['fasta', 'fasta-files', 'mass-spectrometry']",public,2,0,3,master,PNNL-Comp-Mass-Spec,6225798,MDEyOk9yZ2FuaXphdGlvbjYyMjU3OTg=,Organization,public,False,,,,,,False,False,False,False,True,
19161940,MDEwOlJlcG9zaXRvcnkxOTE2MTk0MA==,File-Comparison-Sampler,PNNL-Comp-Mass-Spec/File-Comparison-Sampler,False,https://github.com/PNNL-Comp-Mass-Spec/File-Comparison-Sampler,"The File Comparison Sampler console application compares two or more files to check whether the start of the files match, the end of the files match, and selected sections inside the files also match. It is useful for comparing large files without reading the entire file.  It also supports comparison of files in two directories.",False,https://api.github.com/repos/PNNL-Comp-Mass-Spec/File-Comparison-Sampler,2014-04-25T21:53:54Z,2021-11-12T19:12:53Z,2022-09-04T03:41:41Z,,92,0,0,C#,True,True,True,True,False,False,1,,False,False,0,True,False,False,[],public,1,0,0,master,PNNL-Comp-Mass-Spec,6225798,MDEyOk9yZ2FuaXphdGlvbjYyMjU3OTg=,Organization,public,False,,,,,,False,False,False,False,True,
19163253,MDEwOlJlcG9zaXRvcnkxOTE2MzI1Mw==,PepAligner,PNNL-Comp-Mass-Spec/PepAligner,False,https://github.com/PNNL-Comp-Mass-Spec/PepAligner,The PepAligner program can read a file containing peptides and align them to a file of protein sequences (.Fasta or delimited text) using  Smith-Waterman alignment.,False,https://api.github.com/repos/PNNL-Comp-Mass-Spec/PepAligner,2014-04-25T22:58:30Z,2020-10-28T18:32:26Z,2014-09-26T02:52:02Z,,324,1,1,Visual Basic,True,True,True,True,False,False,2,,False,False,0,True,False,False,[],public,2,0,1,master,PNNL-Comp-Mass-Spec,6225798,MDEyOk9yZ2FuaXphdGlvbjYyMjU3OTg=,Organization,public,False,,,,,,False,False,False,False,True,
19163680,MDEwOlJlcG9zaXRvcnkxOTE2MzY4MA==,Peptide-Fragmentation-Modeller,PNNL-Comp-Mass-Spec/Peptide-Fragmentation-Modeller,False,https://github.com/PNNL-Comp-Mass-Spec/Peptide-Fragmentation-Modeller,"The Peptide Fragmentation Modeller is a command-line utility reads that reads in a text file of peptide sequences and generates the theoretical fragmentation pattern for each, outputting the results in a single concatenated DTA file, or in separate .Dta files. The ion intensity values are not predicted values; instead, b, c, y, and z ions are assigned an intensity of 100; while a ions and neutral loss ions receive an intensity of 20.",False,https://api.github.com/repos/PNNL-Comp-Mass-Spec/Peptide-Fragmentation-Modeller,2014-04-25T23:23:11Z,2020-10-28T18:32:26Z,2014-09-26T02:58:16Z,,328,1,1,Visual Basic,True,True,True,True,False,False,2,,False,False,0,True,False,False,[],public,2,0,1,master,PNNL-Comp-Mass-Spec,6225798,MDEyOk9yZ2FuaXphdGlvbjYyMjU3OTg=,Organization,public,False,,,,,,False,False,False,False,True,
