id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,license.key,license.name,license.spdx_id,license.url,license.node_id,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull,license
316076518,MDEwOlJlcG9zaXRvcnkzMTYwNzY1MTg=,m2m,PNNL-Projects/m2m,False,https://github.com/PNNL-Projects/m2m,,False,https://api.github.com/repos/PNNL-Projects/m2m,2020-11-25T23:31:40Z,2020-11-25T23:31:45Z,2020-11-25T23:31:42Z,,15,0,0,,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,main,PNNL-Projects,72525564,MDEyOk9yZ2FuaXphdGlvbjcyNTI1NTY0,Organization,public,False,gpl-3.0,GNU General Public License v3.0,GPL-3.0,https://api.github.com/licenses/gpl-3.0,MDc6TGljZW5zZTk=,False,False,False,False,True,
318017329,MDEwOlJlcG9zaXRvcnkzMTgwMTczMjk=,xCell,PNNL-Projects/xCell,False,https://github.com/PNNL-Projects/xCell,Cell types enrichment analysis,True,https://api.github.com/repos/PNNL-Projects/xCell,2020-12-02T23:17:31Z,2020-12-02T23:17:33Z,2020-11-16T11:07:48Z,,19144,0,0,,False,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,master,PNNL-Projects,72525564,MDEyOk9yZ2FuaXphdGlvbjcyNTI1NTY0,Organization,public,False,,,,,,False,False,False,False,True,
320105619,MDEwOlJlcG9zaXRvcnkzMjAxMDU2MTk=,prodigal,PNNL-Projects/prodigal,False,https://github.com/PNNL-Projects/prodigal,,True,https://api.github.com/repos/PNNL-Projects/prodigal,2020-12-09T23:29:43Z,2020-12-09T23:29:46Z,2019-12-05T17:32:39Z,,1046,0,0,,False,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,master,PNNL-Projects,72525564,MDEyOk9yZ2FuaXphdGlvbjcyNTI1NTY0,Organization,public,False,,,,,,False,False,False,False,True,
322415078,MDEwOlJlcG9zaXRvcnkzMjI0MTUwNzg=,deconvolution-papers,PNNL-Projects/deconvolution-papers,False,https://github.com/PNNL-Projects/deconvolution-papers,List of papers on deconvolution of cell types in bulk RNA-seq based on single-cell signatures,True,https://api.github.com/repos/PNNL-Projects/deconvolution-papers,2020-12-17T21:16:46Z,2020-12-17T21:16:48Z,2020-08-28T17:50:25Z,,16,0,0,,False,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,master,PNNL-Projects,72525564,MDEyOk9yZ2FuaXphdGlvbjcyNTI1NTY0,Organization,public,False,mit,MIT License,MIT,https://api.github.com/licenses/mit,MDc6TGljZW5zZTEz,False,False,False,False,True,
607417548,R_kgDOJDR0zA,CONCERTO,PNNL-Projects/CONCERTO,False,https://github.com/PNNL-Projects/CONCERTO,,True,https://api.github.com/repos/PNNL-Projects/CONCERTO,2023-02-27T23:40:12Z,2022-11-23T21:33:25Z,2023-02-01T21:00:40Z,,18018,0,0,,False,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,main,PNNL-Projects,72525564,MDEyOk9yZ2FuaXphdGlvbjcyNTI1NTY0,Organization,public,False,bsd-3-clause,"BSD 3-Clause ""New"" or ""Revised"" License",BSD-3-Clause,https://api.github.com/licenses/bsd-3-clause,MDc6TGljZW5zZTU=,False,False,False,False,True,
608914916,R_kgDOJEtN5A,CellDrift,PNNL-Projects/CellDrift,False,https://github.com/PNNL-Projects/CellDrift,CellDrift: temporal perturbation effects for single cell data,True,https://api.github.com/repos/PNNL-Projects/CellDrift,2023-03-03T01:38:29Z,2023-03-03T01:38:18Z,2022-12-03T20:11:46Z,,13433,0,0,,False,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,main,PNNL-Projects,72525564,MDEyOk9yZ2FuaXphdGlvbjcyNTI1NTY0,Organization,public,False,mit,MIT License,MIT,https://api.github.com/licenses/mit,MDc6TGljZW5zZTEz,False,False,False,False,True,
615394503,R_kgDOJK4sxw,NeighborhoodCoordination,PNNL-Projects/NeighborhoodCoordination,False,https://github.com/PNNL-Projects/NeighborhoodCoordination,"Code accompanying our manuscript ""Coordinated cellular neighborhoods orchestrate antitumoral immunity at the colorectal cancer invasive front""",True,https://api.github.com/repos/PNNL-Projects/NeighborhoodCoordination,2023-03-17T15:38:15Z,2023-03-11T15:04:23Z,2022-03-04T14:17:54Z,,29999,0,0,,False,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,master,PNNL-Projects,72525564,MDEyOk9yZ2FuaXphdGlvbjcyNTI1NTY0,Organization,public,False,,,,,,False,False,False,False,True,
627622034,R_kgDOJWjAkg,solver_benchmark,PNNL-Projects/solver_benchmark,False,https://github.com/PNNL-Projects/solver_benchmark,,True,https://api.github.com/repos/PNNL-Projects/solver_benchmark,2023-04-13T21:12:56Z,2023-04-13T21:12:45Z,2023-04-11T08:23:45Z,,9339,0,0,,False,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,main,PNNL-Projects,72525564,MDEyOk9yZ2FuaXphdGlvbjcyNTI1NTY0,Organization,public,False,,,,,,False,False,False,False,True,
639106390,R_kgDOJhf9Vg,AMON,PNNL-Projects/AMON,False,https://github.com/PNNL-Projects/AMON,Annotation of Metabolite Origin via Networks: A tool for predicting putative metabolite origins for microbes or between microbes and host with or without metabolomics data,True,https://api.github.com/repos/PNNL-Projects/AMON,2023-05-10T19:19:05Z,2023-05-10T19:19:05Z,2023-03-03T16:09:52Z,,94,0,0,,False,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,master,PNNL-Projects,72525564,MDEyOk9yZ2FuaXphdGlvbjcyNTI1NTY0,Organization,public,False,mit,MIT License,MIT,https://api.github.com/licenses/mit,MDc6TGljZW5zZTEz,False,False,False,False,True,
651307336,R_kgDOJtIpSA,docker-builds,PNNL-Projects/docker-builds,False,https://github.com/PNNL-Projects/docker-builds,:package: :whale: Dockerfiles and documentation on tools for public health bioinformatics,True,https://api.github.com/repos/PNNL-Projects/docker-builds,2023-06-09T01:02:38Z,2023-06-09T01:02:38Z,2023-06-07T04:36:53Z,,86650,0,0,,False,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,master,PNNL-Projects,72525564,MDEyOk9yZ2FuaXphdGlvbjcyNTI1NTY0,Organization,public,False,gpl-3.0,GNU General Public License v3.0,GPL-3.0,https://api.github.com/licenses/gpl-3.0,MDc6TGljZW5zZTk=,False,False,False,False,True,
654260305,R_kgDOJv84UQ,Zebrafish-GEM,PNNL-Projects/Zebrafish-GEM,False,https://github.com/PNNL-Projects/Zebrafish-GEM,Genome-scale model for Danio rerio,True,https://api.github.com/repos/PNNL-Projects/Zebrafish-GEM,2023-06-15T18:21:44Z,2023-06-15T18:21:45Z,2023-05-16T09:31:54Z,,16031,0,0,,False,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,main,PNNL-Projects,72525564,MDEyOk9yZ2FuaXphdGlvbjcyNTI1NTY0,Organization,public,False,cc-by-4.0,Creative Commons Attribution 4.0 International,CC-BY-4.0,https://api.github.com/licenses/cc-by-4.0,MDc6TGljZW5zZTI1,False,False,False,False,True,
654261135,R_kgDOJv87jw,Human-GEM,PNNL-Projects/Human-GEM,False,https://github.com/PNNL-Projects/Human-GEM,The generic genome-scale metabolic model of Homo sapiens,True,https://api.github.com/repos/PNNL-Projects/Human-GEM,2023-06-15T18:24:16Z,2023-06-15T18:24:16Z,2023-06-15T18:03:53Z,https://sysbiochalmers.github.io/Human-GEM-guide/,309021,0,0,,False,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,main,PNNL-Projects,72525564,MDEyOk9yZ2FuaXphdGlvbjcyNTI1NTY0,Organization,public,False,cc-by-4.0,Creative Commons Attribution 4.0 International,CC-BY-4.0,https://api.github.com/licenses/cc-by-4.0,MDc6TGljZW5zZTI1,False,False,False,False,True,
