id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,license.key,license.name,license.spdx_id,license.url,license.node_id,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull,license
84466735,MDEwOlJlcG9zaXRvcnk4NDQ2NjczNQ==,llvm,SOLLVE/llvm,False,https://github.com/SOLLVE/llvm,Mirror of official llvm git repository located at http://llvm.org/git/llvm.  Updated every five minutes.,True,https://api.github.com/repos/SOLLVE/llvm,2017-03-09T16:52:35Z,2023-01-28T11:11:17Z,2021-01-07T18:12:43Z,http://llvm.org,460809,0,0,LLVM,False,True,True,False,False,False,0,,True,False,0,True,False,False,[],public,0,0,0,master,SOLLVE,26306479,MDEyOk9yZ2FuaXphdGlvbjI2MzA2NDc5,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
84477832,MDEwOlJlcG9zaXRvcnk4NDQ3NzgzMg==,clang,SOLLVE/clang,False,https://github.com/SOLLVE/clang,Mirror of official clang git repository located at http://llvm.org/git/clang.  Updated every five minutes.,True,https://api.github.com/repos/SOLLVE/clang,2017-03-09T18:57:58Z,2023-01-28T11:11:17Z,2021-01-07T18:13:12Z,http://clang.llvm.org/,217008,0,0,C++,False,True,True,False,False,False,1,,True,False,0,True,False,False,[],public,1,0,0,master,SOLLVE,26306479,MDEyOk9yZ2FuaXphdGlvbjI2MzA2NDc5,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
92436256,MDEwOlJlcG9zaXRvcnk5MjQzNjI1Ng==,benchmarks,SOLLVE/benchmarks,False,https://github.com/SOLLVE/benchmarks,Benchmarks for experimentation of performance of features of OpenMP in the SOLLVE project.,False,https://api.github.com/repos/SOLLVE/benchmarks,2017-05-25T19:16:08Z,2024-04-14T21:27:38Z,2022-05-18T04:10:14Z,,56458,8,8,C,True,True,True,True,False,False,5,,False,False,5,True,False,False,[],public,5,5,8,master,SOLLVE,26306479,MDEyOk9yZ2FuaXphdGlvbjI2MzA2NDc5,Organization,public,False,,,,,,False,False,False,False,True,
159404675,MDEwOlJlcG9zaXRvcnkxNTk0MDQ2NzU=,ECP-ST-CAR-PUBLIC,SOLLVE/ECP-ST-CAR-PUBLIC,False,https://github.com/SOLLVE/ECP-ST-CAR-PUBLIC,The Exascale Computing Project Software Technologies Capability Assessment Report - Public Version,True,https://api.github.com/repos/SOLLVE/ECP-ST-CAR-PUBLIC,2018-11-27T21:55:37Z,2020-10-22T22:42:22Z,2020-10-22T22:42:19Z,,114299,0,0,TeX,False,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,master,SOLLVE,26306479,MDEyOk9yZ2FuaXphdGlvbjI2MzA2NDc5,Organization,public,False,bsd-2-clause,"BSD 2-Clause ""Simplified"" License",BSD-2-Clause,https://api.github.com/licenses/bsd-2-clause,MDc6TGljZW5zZTQ=,False,False,False,False,True,
164240231,MDEwOlJlcG9zaXRvcnkxNjQyNDAyMzE=,argobots,SOLLVE/argobots,False,https://github.com/SOLLVE/argobots,SOLLVE Argobots mirror,True,https://api.github.com/repos/SOLLVE/argobots,2019-01-05T18:19:05Z,2019-10-17T21:00:53Z,2019-10-17T21:00:51Z,http://www.argobots.org,1727,0,0,C,False,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,master,SOLLVE,26306479,MDEyOk9yZ2FuaXphdGlvbjI2MzA2NDc5,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
217584315,MDEwOlJlcG9zaXRvcnkyMTc1ODQzMTU=,llvm-project,SOLLVE/llvm-project,False,https://github.com/SOLLVE/llvm-project,ECP SOLLVE extensions to LLVM.,True,https://api.github.com/repos/SOLLVE/llvm-project,2019-10-25T17:33:55Z,2024-03-22T09:45:56Z,2023-12-08T17:39:22Z,https://www.exascaleproject.org/project/sollve-scaling-openmp-llvm-exascale-performance-portability/,2114076,5,5,,False,True,True,False,False,False,2,,False,False,0,True,False,False,[],public,2,0,5,main,SOLLVE,26306479,MDEyOk9yZ2FuaXphdGlvbjI2MzA2NDc5,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
225233811,MDEwOlJlcG9zaXRvcnkyMjUyMzM4MTE=,openmp-lws,SOLLVE/openmp-lws,False,https://github.com/SOLLVE/openmp-lws,This is a repository for lightweight scheduling. ,False,https://api.github.com/repos/SOLLVE/openmp-lws,2019-12-01T21:30:23Z,2019-12-02T00:21:57Z,2019-12-02T00:21:55Z,,5,0,0,TeX,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,master,SOLLVE,26306479,MDEyOk9yZ2FuaXphdGlvbjI2MzA2NDc5,Organization,public,False,mit,MIT License,MIT,https://api.github.com/licenses/mit,MDc6TGljZW5zZTEz,False,False,False,False,True,
254756815,MDEwOlJlcG9zaXRvcnkyNTQ3NTY4MTU=,sollve.github.io,SOLLVE/sollve.github.io,False,https://github.com/SOLLVE/sollve.github.io,Webpage for the SOLLVE project ,False,https://api.github.com/repos/SOLLVE/sollve.github.io,2020-04-10T23:35:00Z,2022-03-16T17:11:29Z,2022-03-16T17:11:24Z,,375,0,0,Ruby,True,True,True,True,True,False,3,,False,False,1,True,False,False,[],public,3,1,0,master,SOLLVE,26306479,MDEyOk9yZ2FuaXphdGlvbjI2MzA2NDc5,Organization,public,False,,,,,,False,False,False,False,True,
258392189,MDEwOlJlcG9zaXRvcnkyNTgzOTIxODk=,llvm-test-suite,SOLLVE/llvm-test-suite,False,https://github.com/SOLLVE/llvm-test-suite,,True,https://api.github.com/repos/SOLLVE/llvm-test-suite,2020-04-24T03:12:50Z,2021-01-07T00:00:46Z,2021-01-07T00:00:43Z,,458743,0,0,Logos,False,True,True,False,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,master,SOLLVE,26306479,MDEyOk9yZ2FuaXphdGlvbjI2MzA2NDc5,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
373990541,MDEwOlJlcG9zaXRvcnkzNzM5OTA1NDE=,AutoDock-GPU,SOLLVE/AutoDock-GPU,False,https://github.com/SOLLVE/AutoDock-GPU,AutoDock for GPUs and other accelerators,True,https://api.github.com/repos/SOLLVE/AutoDock-GPU,2021-06-05T00:48:29Z,2021-10-27T01:10:56Z,2022-04-06T14:05:35Z,https://ccsb.scripps.edu/autodock,58519,0,0,C++,False,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,develop,SOLLVE,26306479,MDEyOk9yZ2FuaXphdGlvbjI2MzA2NDc5,Organization,public,False,gpl-2.0,GNU General Public License v2.0,GPL-2.0,https://api.github.com/licenses/gpl-2.0,MDc6TGljZW5zZTg=,False,False,False,False,True,
536319908,R_kgDOH_eXpA,autosollvevv,SOLLVE/autosollvevv,False,https://github.com/SOLLVE/autosollvevv,autosollve is an automation command line tool for SOLLVE V&V,False,https://api.github.com/repos/SOLLVE/autosollvevv,2022-09-13T21:50:55Z,2022-10-30T17:53:46Z,2022-12-06T14:24:32Z,,741,0,0,Python,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,main,SOLLVE,26306479,MDEyOk9yZ2FuaXphdGlvbjI2MzA2NDc5,Organization,public,False,bsd-3-clause,"BSD 3-Clause ""New"" or ""Revised"" License",BSD-3-Clause,https://api.github.com/licenses/bsd-3-clause,MDc6TGljZW5zZTU=,False,False,False,False,True,
