id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,license,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull,license.key,license.name,license.spdx_id,license.url,license.node_id
99740062,MDEwOlJlcG9zaXRvcnk5OTc0MDA2Mg==,ELSO,SSAgov/ELSO,False,https://github.com/SSAgov/ELSO,"The Electronic Sign-in Sheet (ELSO) is a web-based application used to record meeting attendance. The ELSO application allows the creation of an electronic attendance record, saving time and resources by eliminating the need to manually record and transcribe attendance using paper sign-in sheets.",False,https://api.github.com/repos/SSAgov/ELSO,2017-08-08T22:06:00Z,2021-09-02T06:55:54Z,2018-06-07T19:00:14Z,,10870,6,6,C#,True,True,True,True,False,False,3,,False,False,0,,True,False,False,[],public,3,0,6,master,SSAgov,28628385,MDEyOk9yZ2FuaXphdGlvbjI4NjI4Mzg1,Organization,public,False,False,False,False,False,True,,,,,
99740209,MDEwOlJlcG9zaXRvcnk5OTc0MDIwOQ==,ANDI,SSAgov/ANDI,False,https://github.com/SSAgov/ANDI,A tool to test web content for accessibility and 508 compliance.,False,https://api.github.com/repos/SSAgov/ANDI,2017-08-08T22:08:05Z,2024-12-11T14:04:18Z,2024-12-11T14:04:13Z,https://www.ssa.gov/accessibility/andi/help/howtouse.html,3425,311,311,JavaScript,True,True,True,True,False,False,78,,False,False,52,,True,False,False,"['508', 'accessibility', 'bookmarklet', 'favelet', 'javascript']",public,78,52,311,master,SSAgov,28628385,MDEyOk9yZ2FuaXphdGlvbjI4NjI4Mzg1,Organization,public,False,False,False,False,False,True,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=
136515812,MDEwOlJlcG9zaXRvcnkxMzY1MTU4MTI=,dce-web,SSAgov/dce-web,False,https://github.com/SSAgov/dce-web,"DCE UI is a modern web architecture using .NET WebApi2 and React Application acting as an independent front end. DCE UI is a single page web app using ReactJS, React-Router for URL routing, React-Form API for the conversion forms, Fetch API to make calls to the DCE-WebAPI, and Gulp to automate deployments to our DEV environments.",False,https://api.github.com/repos/SSAgov/dce-web,2018-06-07T18:24:27Z,2023-07-15T02:42:44Z,2018-06-07T18:46:03Z,,741,6,6,JavaScript,True,True,True,True,False,False,1,,False,False,0,,True,False,False,[],public,1,0,6,master,SSAgov,28628385,MDEyOk9yZ2FuaXphdGlvbjI4NjI4Mzg1,Organization,public,False,False,False,False,False,True,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=
142574886,MDEwOlJlcG9zaXRvcnkxNDI1NzQ4ODY=,government.github.com,SSAgov/government.github.com,False,https://github.com/SSAgov/government.github.com,"Gather, curate, and feature stories of public servants and civic hackers using GitHub as part of their open government innovations",True,https://api.github.com/repos/SSAgov/government.github.com,2018-07-27T12:32:57Z,2024-01-26T14:47:06Z,2018-08-01T03:17:26Z,http://government.github.com/,21691,5,5,HTML,False,True,True,False,True,False,4,,False,False,0,,True,False,False,[],public,4,0,5,gh-pages,SSAgov,28628385,MDEyOk9yZ2FuaXphdGlvbjI4NjI4Mzg1,Organization,public,False,False,False,False,False,True,,,,,
148498254,MDEwOlJlcG9zaXRvcnkxNDg0OTgyNTQ=,MongoCodeWrapper,SSAgov/MongoCodeWrapper,False,https://github.com/SSAgov/MongoCodeWrapper,"MongoCodeWrapper is a standalone Python library to perform Create, Read, Update, and Delete (CRUD) against MongoDB.",False,https://api.github.com/repos/SSAgov/MongoCodeWrapper,2018-09-12T15:02:49Z,2021-06-28T07:30:16Z,2018-09-12T15:02:59Z,,7,3,3,Python,True,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,3,master,SSAgov,28628385,MDEyOk9yZ2FuaXphdGlvbjI4NjI4Mzg1,Organization,public,False,False,False,False,False,True,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=
148498992,MDEwOlJlcG9zaXRvcnkxNDg0OTg5OTI=,data.json-url-checker,SSAgov/data.json-url-checker,False,https://github.com/SSAgov/data.json-url-checker,Data.JSON URL Checker is a standalone PowerShell script to test the validity of URLs in the Data.JSON file.,False,https://api.github.com/repos/SSAgov/data.json-url-checker,2018-09-12T15:07:54Z,2023-10-27T15:35:06Z,2018-09-12T15:08:04Z,,6,5,5,PowerShell,True,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,5,master,SSAgov,28628385,MDEyOk9yZ2FuaXphdGlvbjI4NjI4Mzg1,Organization,public,False,False,False,False,False,True,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=
148501920,MDEwOlJlcG9zaXRvcnkxNDg1MDE5MjA=,YANKI,SSAgov/YANKI,False,https://github.com/SSAgov/YANKI,A troubleshooting tool that lets you quickly remove (yank) attributes from a web page. ,False,https://api.github.com/repos/SSAgov/YANKI,2018-09-12T15:28:22Z,2021-05-18T15:49:19Z,2018-09-12T15:28:32Z,,6,3,3,JavaScript,True,True,True,True,False,False,2,,False,False,0,,True,False,False,[],public,2,0,3,master,SSAgov,28628385,MDEyOk9yZ2FuaXphdGlvbjI4NjI4Mzg1,Organization,public,False,False,False,False,False,True,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=
150781091,MDEwOlJlcG9zaXRvcnkxNTA3ODEwOTE=,HealthIT,SSAgov/HealthIT,False,https://github.com/SSAgov/HealthIT,An overview of the Health IT program and supporting documentation about how organizations can become a SSA Health IT partner.,False,https://api.github.com/repos/SSAgov/HealthIT,2018-09-28T18:37:47Z,2024-07-24T17:49:00Z,2022-02-01T22:27:17Z,https://www.ssa.gov/hit/,5219,5,5,,True,True,True,True,False,False,2,,False,False,0,,True,False,False,[],public,2,0,5,master,SSAgov,28628385,MDEyOk9yZ2FuaXphdGlvbjI4NjI4Mzg1,Organization,public,False,False,False,False,False,True,,,,,
207892038,MDEwOlJlcG9zaXRvcnkyMDc4OTIwMzg=,ERE,SSAgov/ERE,False,https://github.com/SSAgov/ERE,The Electronic Records Express (ERE) program is an initiative by the Social Security Administration (SSA) and the state Disability Determination Services (DDS) to offer electronic options for submitting health and school records related to disability claims.,False,https://api.github.com/repos/SSAgov/ERE,2019-09-11T19:36:41Z,2024-03-12T12:45:06Z,2019-09-12T19:12:53Z,,29936,3,3,,True,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,3,master,SSAgov,28628385,MDEyOk9yZ2FuaXphdGlvbjI4NjI4Mzg1,Organization,public,False,False,False,False,False,True,,,,,
208254806,MDEwOlJlcG9zaXRvcnkyMDgyNTQ4MDY=,primitive-extensions,SSAgov/primitive-extensions,False,https://github.com/SSAgov/primitive-extensions,"A .NET Standard 2.0 library of extension methods for primitive types such as string, DateTime, boolean, el al. Most of these extensions just serve as helper methods that either make code easier to read or make it more efficient to do common tasks.",False,https://api.github.com/repos/SSAgov/primitive-extensions,2019-09-13T11:53:03Z,2024-03-12T12:45:07Z,2021-03-24T18:52:34Z,,180,2,2,C#,True,True,True,True,False,False,1,,False,False,0,,True,False,False,['primitive-types'],public,1,0,2,master,SSAgov,28628385,MDEyOk9yZ2FuaXphdGlvbjI4NjI4Mzg1,Organization,public,False,False,False,False,False,True,apache-2.0,Apache License 2.0,Apache-2.0,https://api.github.com/licenses/apache-2.0,MDc6TGljZW5zZTI=
208874227,MDEwOlJlcG9zaXRvcnkyMDg4NzQyMjc=,datatable-comparer,SSAgov/datatable-comparer,False,https://github.com/SSAgov/datatable-comparer,"A .NET Standard 2.0 class library that allows for the comparison of the data and structure in two or more System.DataTable objects, with a focus on data comparison. Table structures do not have to be identical, but they need to have the same primary key structure.",False,https://api.github.com/repos/SSAgov/datatable-comparer,2019-09-16T18:50:32Z,2024-08-26T10:02:17Z,2019-09-23T15:13:21Z,,27,16,16,C#,True,True,True,True,False,False,3,,False,False,0,,True,False,False,"['comparison', 'data-comparison', 'datatable-objects']",public,3,0,16,master,SSAgov,28628385,MDEyOk9yZ2FuaXphdGlvbjI4NjI4Mzg1,Organization,public,False,False,False,False,False,True,apache-2.0,Apache License 2.0,Apache-2.0,https://api.github.com/licenses/apache-2.0,MDc6TGljZW5zZTI=
256581732,MDEwOlJlcG9zaXRvcnkyNTY1ODE3MzI=,abbreviation-glossary,SSAgov/abbreviation-glossary,False,https://github.com/SSAgov/abbreviation-glossary,"This .NET Library enables checking terms and abbreviations for compliance against a glossary of approved terms and abbreviations. In addition, the glossary has methods to abbreviate terms or expand abbreviations based on the Items in the glossary.",False,https://api.github.com/repos/SSAgov/abbreviation-glossary,2020-04-17T18:35:57Z,2021-05-18T15:48:07Z,2020-07-09T21:29:11Z,,267,1,1,C#,True,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,1,master,SSAgov,28628385,MDEyOk9yZ2FuaXphdGlvbjI4NjI4Mzg1,Organization,public,False,False,False,False,False,True,apache-2.0,Apache License 2.0,Apache-2.0,https://api.github.com/licenses/apache-2.0,MDc6TGljZW5zZTI=
256607307,MDEwOlJlcG9zaXRvcnkyNTY2MDczMDc=,object-property-rule-engine,SSAgov/object-property-rule-engine,False,https://github.com/SSAgov/object-property-rule-engine,"This .NET Standard 2.0 library is a rules engine that allows for evaluating property values of objects for compliance with a set of rules at runtime.  It was originally designed to run rules checks against various objects in the System.Data namespace. However, it can evaluate properties of any object.",False,https://api.github.com/repos/SSAgov/object-property-rule-engine,2020-04-17T20:51:38Z,2024-03-12T12:46:04Z,2020-04-17T21:24:33Z,,261,5,5,C#,True,True,True,True,False,False,3,,False,False,0,,True,False,False,[],public,3,0,5,master,SSAgov,28628385,MDEyOk9yZ2FuaXphdGlvbjI4NjI4Mzg1,Organization,public,False,False,False,False,False,True,apache-2.0,Apache License 2.0,Apache-2.0,https://api.github.com/licenses/apache-2.0,MDc6TGljZW5zZTI=
333571617,MDEwOlJlcG9zaXRvcnkzMzM1NzE2MTc=,repo-documentation-generator,SSAgov/repo-documentation-generator,False,https://github.com/SSAgov/repo-documentation-generator,"A single page application for generating a codeMetadata.json, README.md, GETTING-STARTED.md, CONTRIBUTING.md, BACKLOG.md and CHANGELOG.md. The codeMetadata.json file contains basic data about a code asset such as it's name, office, hosted instances, and the like.",False,https://api.github.com/repos/SSAgov/repo-documentation-generator,2021-01-27T21:58:47Z,2024-03-12T12:46:57Z,2021-01-27T22:01:20Z,,18,2,2,JavaScript,True,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,2,main,SSAgov,28628385,MDEyOk9yZ2FuaXphdGlvbjI4NjI4Mzg1,Organization,public,False,False,False,False,False,True,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=
333574734,MDEwOlJlcG9zaXRvcnkzMzM1NzQ3MzQ=,uef-vscode-extension,SSAgov/uef-vscode-extension,False,https://github.com/SSAgov/uef-vscode-extension,A set of User Experience Framework (UEF) Snippets for Visual Studio Code.,False,https://api.github.com/repos/SSAgov/uef-vscode-extension,2021-01-27T22:13:49Z,2024-03-12T12:46:57Z,2023-04-06T13:33:53Z,,1799,3,3,HTML,True,True,True,True,True,False,0,,False,False,5,,True,False,False,"['design-system', 'visual-studio-code', 'vscode-extension']",public,0,5,3,main,SSAgov,28628385,MDEyOk9yZ2FuaXphdGlvbjI4NjI4Mzg1,Organization,public,False,False,False,False,False,True,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=
