id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,license.key,license.name,license.spdx_id,license.url,license.node_id,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull,license
283347564,MDEwOlJlcG9zaXRvcnkyODMzNDc1NjQ=,psfmachine,SSDataLab/psfmachine,False,https://github.com/SSDataLab/psfmachine,Tool kit for doing PSF photometry,False,https://api.github.com/repos/SSDataLab/psfmachine,2020-07-28T23:10:20Z,2023-12-06T16:29:22Z,2023-12-15T00:36:02Z,,58508,15,15,Python,True,True,True,True,True,False,5,,False,False,11,True,False,False,[],public,5,11,15,master,SSDataLab,65370866,MDEyOk9yZ2FuaXphdGlvbjY1MzcwODY2,Organization,public,False,mit,MIT License,MIT,https://api.github.com/licenses/mit,MDc6TGljZW5zZTEz,False,False,False,False,True,
289373300,MDEwOlJlcG9zaXRvcnkyODkzNzMzMDA=,asteroidhammer,SSDataLab/asteroidhammer,False,https://github.com/SSDataLab/asteroidhammer,Toolkit to remove the astrophysics background noise from NASA's best planetary mission,False,https://api.github.com/repos/SSDataLab/asteroidhammer,2020-08-21T22:03:12Z,2021-01-19T20:48:55Z,2021-03-11T21:41:29Z,,217,0,0,Python,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,master,SSDataLab,65370866,MDEyOk9yZ2FuaXphdGlvbjY1MzcwODY2,Organization,public,False,mit,MIT License,MIT,https://api.github.com/licenses/mit,MDc6TGljZW5zZTEz,False,False,False,False,True,
298429403,MDEwOlJlcG9zaXRvcnkyOTg0Mjk0MDM=,tess-tiler,SSDataLab/tess-tiler,False,https://github.com/SSDataLab/tess-tiler,Turns big FFI data into small FFI data.,False,https://api.github.com/repos/SSDataLab/tess-tiler,2020-09-25T00:46:44Z,2020-11-30T16:33:42Z,2020-09-25T03:12:59Z,,21,1,1,,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,1,main,SSDataLab,65370866,MDEyOk9yZ2FuaXphdGlvbjY1MzcwODY2,Organization,public,False,,,,,,False,False,False,False,True,
303581258,MDEwOlJlcG9zaXRvcnkzMDM1ODEyNTg=,tess-locator,SSDataLab/tess-locator,False,https://github.com/SSDataLab/tess-locator,Fast offline queries of TESS FFI positions and filenames.,False,https://api.github.com/repos/SSDataLab/tess-locator,2020-10-13T03:49:56Z,2023-12-08T02:21:05Z,2023-12-08T02:26:46Z,,8434,2,2,Python,True,True,True,True,False,False,1,,False,False,4,True,False,False,"['astrophysics', 'nasa', 'tess']",public,1,4,2,main,SSDataLab,65370866,MDEyOk9yZ2FuaXphdGlvbjY1MzcwODY2,Organization,public,False,mit,MIT License,MIT,https://api.github.com/licenses/mit,MDc6TGljZW5zZTEz,False,False,False,False,True,
307765784,MDEwOlJlcG9zaXRvcnkzMDc3NjU3ODQ=,tess-ephem,SSDataLab/tess-ephem,False,https://github.com/SSDataLab/tess-ephem,Where are Solar System objects located in TESS data?,False,https://api.github.com/repos/SSDataLab/tess-ephem,2020-10-27T16:42:58Z,2024-08-14T19:20:56Z,2024-08-14T19:31:12Z,,40,2,2,Python,True,True,True,True,False,False,2,,False,False,4,True,False,False,[],public,2,4,2,main,SSDataLab,65370866,MDEyOk9yZ2FuaXphdGlvbjY1MzcwODY2,Organization,public,False,mit,MIT License,MIT,https://api.github.com/licenses/mit,MDc6TGljZW5zZTEz,False,False,False,False,True,
328040255,MDEwOlJlcG9zaXRvcnkzMjgwNDAyNTU=,tess-asteroid-catalog-maker,SSDataLab/tess-asteroid-catalog-maker,False,https://github.com/SSDataLab/tess-asteroid-catalog-maker,notebooks that can be used to create catalogs of moving bodies in tess data,False,https://api.github.com/repos/SSDataLab/tess-asteroid-catalog-maker,2021-01-09T00:10:17Z,2021-06-24T23:04:34Z,2021-03-03T19:16:32Z,,187,1,1,Jupyter Notebook,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,1,main,SSDataLab,65370866,MDEyOk9yZ2FuaXphdGlvbjY1MzcwODY2,Organization,public,False,mit,MIT License,MIT,https://api.github.com/licenses/mit,MDc6TGljZW5zZTEz,False,False,False,False,True,
328052958,MDEwOlJlcG9zaXRvcnkzMjgwNTI5NTg=,vetting,SSDataLab/vetting,False,https://github.com/SSDataLab/vetting,"Simple, stand-alone tools for vetting transit signals in Kepler, K2 and TESS data",False,https://api.github.com/repos/SSDataLab/vetting,2021-01-09T01:50:31Z,2024-04-02T18:26:01Z,2024-03-20T15:14:17Z,,5759,2,2,Python,True,True,True,True,False,False,3,,False,False,3,True,False,False,[],public,3,3,2,main,SSDataLab,65370866,MDEyOk9yZ2FuaXphdGlvbjY1MzcwODY2,Organization,public,False,mit,MIT License,MIT,https://api.github.com/licenses/mit,MDc6TGljZW5zZTEz,False,False,False,False,True,
335123059,MDEwOlJlcG9zaXRvcnkzMzUxMjMwNTk=,tess-bite,SSDataLab/tess-bite,False,https://github.com/SSDataLab/tess-bite,Take a quick bite out of TESS Full Frame Images using HTTP range requests.,False,https://api.github.com/repos/SSDataLab/tess-bite,2021-02-02T00:31:23Z,2021-02-16T04:45:02Z,2021-02-16T04:45:00Z,,14,0,0,Python,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,main,SSDataLab,65370866,MDEyOk9yZ2FuaXphdGlvbjY1MzcwODY2,Organization,public,False,mit,MIT License,MIT,https://api.github.com/licenses/mit,MDc6TGljZW5zZTEz,False,False,False,False,True,
342284042,MDEwOlJlcG9zaXRvcnkzNDIyODQwNDI=,tess-cloud,SSDataLab/tess-cloud,False,https://github.com/SSDataLab/tess-cloud,Analyze the TESS open dataset in AWS S3,False,https://api.github.com/repos/SSDataLab/tess-cloud,2021-02-25T15:10:37Z,2023-10-11T18:55:31Z,2023-12-08T02:21:07Z,,61097,2,2,Python,True,True,True,True,False,False,2,,False,False,8,True,False,False,[],public,2,8,2,main,SSDataLab,65370866,MDEyOk9yZ2FuaXphdGlvbjY1MzcwODY2,Organization,public,False,,,,,,False,False,False,False,True,
364377724,MDEwOlJlcG9zaXRvcnkzNjQzNzc3MjQ=,tess-backdrop,SSDataLab/tess-backdrop,False,https://github.com/SSDataLab/tess-backdrop,Tool to correct the background scattered light in TESS FFIs,False,https://api.github.com/repos/SSDataLab/tess-backdrop,2021-05-04T20:27:26Z,2024-10-10T18:51:48Z,2021-09-15T18:06:10Z,,616574,9,9,Python,True,True,True,True,True,False,3,,False,False,2,True,False,False,[],public,3,2,9,main,SSDataLab,65370866,MDEyOk9yZ2FuaXphdGlvbjY1MzcwODY2,Organization,public,False,mit,MIT License,MIT,https://api.github.com/licenses/mit,MDc6TGljZW5zZTEz,False,False,False,False,True,
370812559,MDEwOlJlcG9zaXRvcnkzNzA4MTI1NTk=,tess-asteroids,SSDataLab/tess-asteroids,False,https://github.com/SSDataLab/tess-asteroids,,False,https://api.github.com/repos/SSDataLab/tess-asteroids,2021-05-25T19:56:00Z,2021-05-25T19:56:34Z,2021-06-03T21:09:46Z,,32,0,0,Makefile,True,True,True,True,False,False,0,,False,False,1,True,False,False,[],public,0,1,0,main,SSDataLab,65370866,MDEyOk9yZ2FuaXphdGlvbjY1MzcwODY2,Organization,public,False,mit,MIT License,MIT,https://api.github.com/licenses/mit,MDc6TGljZW5zZTEz,False,False,False,False,True,
437156178,R_kgDOGg55Ug,kbackground,SSDataLab/kbackground,False,https://github.com/SSDataLab/kbackground,Rolling Band Background removal tool for Kepler,False,https://api.github.com/repos/SSDataLab/kbackground,2021-12-11T01:10:25Z,2022-01-07T22:16:14Z,2022-12-13T19:52:14Z,,9911,0,0,Python,True,True,True,True,True,False,1,,False,False,2,True,False,False,[],public,1,2,0,main,SSDataLab,65370866,MDEyOk9yZ2FuaXphdGlvbjY1MzcwODY2,Organization,public,False,mit,MIT License,MIT,https://api.github.com/licenses/mit,MDc6TGljZW5zZTEz,False,False,False,False,True,
