id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,license.key,license.name,license.spdx_id,license.url,license.node_id,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull,license
62250821,MDEwOlJlcG9zaXRvcnk2MjI1MDgyMQ==,GTAS,US-CBP/GTAS,False,https://github.com/US-CBP/GTAS,Global Travel Assessment System | A passenger data screening and analysis system for enhancing global security,False,https://api.github.com/repos/US-CBP/GTAS,2016-06-29T19:03:39Z,2024-12-17T11:57:59Z,2023-12-27T10:37:30Z,https://us-cbp.github.io/GTAS/,100770,116,116,Java,True,True,True,True,True,False,77,,False,False,308,True,False,False,"['advance-passenger-information', 'angular', 'customs', 'drools', 'flight', 'gtas', 'hibernate', 'neo4j', 'parsing', 'passenger', 'passenger-name-record', 'pentaho-data-integration', 'pnr', 'pnrgov', 'risk-assessment', 'rules-engine', 'spring', 'travel', 'un-edifact', 'wco']",public,77,308,116,master,US-CBP,20208707,MDEyOk9yZ2FuaXphdGlvbjIwMjA4NzA3,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
62663252,MDEwOlJlcG9zaXRvcnk2MjY2MzI1Mg==,cbp-theme,US-CBP/cbp-theme,False,https://github.com/US-CBP/cbp-theme,UI Theme for U.S. Customs and Border Protection web applications,False,https://api.github.com/repos/US-CBP/cbp-theme,2016-07-05T19:21:01Z,2021-12-21T21:08:44Z,2022-10-20T17:56:25Z,https://us-cbp.github.io/cbp-theme,57328,28,28,JavaScript,True,True,True,True,True,False,36,,False,False,1,True,False,False,"['cbp', 'cbp-theme', 'design-system', 'ui-theme']",public,36,1,28,master,US-CBP,20208707,MDEyOk9yZ2FuaXphdGlvbjIwMjA4NzA3,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
62732449,MDEwOlJlcG9zaXRvcnk2MjczMjQ0OQ==,open-source-policy,US-CBP/open-source-policy,False,https://github.com/US-CBP/open-source-policy,This repository contains the official Open Source Policy of U.S. Customs and Border Protection,True,https://api.github.com/repos/US-CBP/open-source-policy,2016-07-06T15:33:44Z,2020-03-09T11:33:46Z,2016-07-06T20:39:24Z,https://www.cbp.gov,88,5,5,,True,True,True,False,False,False,0,,False,False,1,True,False,False,[],public,0,1,5,master,US-CBP,20208707,MDEyOk9yZ2FuaXphdGlvbjIwMjA4NzA3,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
64691787,MDEwOlJlcG9zaXRvcnk2NDY5MTc4Nw==,cbp-style-guide,US-CBP/cbp-style-guide,False,https://github.com/US-CBP/cbp-style-guide,The CBP Style Guide to compliment the CBP Theme.  The style guide describes CBP theme components and patterns and how to use them.,False,https://api.github.com/repos/US-CBP/cbp-style-guide,2016-08-01T18:33:40Z,2020-05-18T15:18:41Z,2022-12-06T17:22:36Z,https://us-cbp.github.io/cbp-style-guide,20817,13,13,HTML,True,True,True,True,True,False,10,,False,False,14,True,False,False,"['cbp-theme', 'jekyll', 'style-guide']",public,10,14,13,master,US-CBP,20208707,MDEyOk9yZ2FuaXphdGlvbjIwMjA4NzA3,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
71473107,MDEwOlJlcG9zaXRvcnk3MTQ3MzEwNw==,ng2-cbp-cf,US-CBP/ng2-cbp-cf,False,https://github.com/US-CBP/ng2-cbp-cf,Angular2 Library to get CBP-theme wrap up as components,False,https://api.github.com/repos/US-CBP/ng2-cbp-cf,2016-10-20T14:47:04Z,2019-01-29T00:49:52Z,2023-07-08T00:07:47Z,,3671,5,5,TypeScript,True,True,True,True,False,False,21,,False,False,14,True,False,False,[],public,21,14,5,master,US-CBP,20208707,MDEyOk9yZ2FuaXphdGlvbjIwMjA4NzA3,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
71473616,MDEwOlJlcG9zaXRvcnk3MTQ3MzYxNg==,ng2-cbp-quickStart,US-CBP/ng2-cbp-quickStart,False,https://github.com/US-CBP/ng2-cbp-quickStart,A quick start application to use the ng2-cbp-cf library,False,https://api.github.com/repos/US-CBP/ng2-cbp-quickStart,2016-10-20T14:52:14Z,2018-04-06T21:40:01Z,2018-04-06T21:39:59Z,,4169,6,6,TypeScript,True,True,True,True,False,False,13,,False,False,4,True,False,False,[],public,13,4,6,master,US-CBP,20208707,MDEyOk9yZ2FuaXphdGlvbjIwMjA4NzA3,Organization,public,False,mit,MIT License,MIT,https://api.github.com/licenses/mit,MDc6TGljZW5zZTEz,False,False,False,False,True,
84570956,MDEwOlJlcG9zaXRvcnk4NDU3MDk1Ng==,bems-theme-react-starter,US-CBP/bems-theme-react-starter,False,https://github.com/US-CBP/bems-theme-react-starter,BEMS React Start App ,False,https://api.github.com/repos/US-CBP/bems-theme-react-starter,2017-03-10T14:59:01Z,2017-12-07T01:47:01Z,2017-08-28T12:28:52Z,,25757,1,1,JavaScript,True,True,True,True,False,False,1,,False,False,0,True,False,False,[],public,1,0,1,master,US-CBP,20208707,MDEyOk9yZ2FuaXphdGlvbjIwMjA4NzA3,Organization,public,False,,,,,,False,False,False,False,True,
101925519,MDEwOlJlcG9zaXRvcnkxMDE5MjU1MTk=,ngx-cbp-theme,US-CBP/ngx-cbp-theme,False,https://github.com/US-CBP/ngx-cbp-theme,Angular 5/6/7 library based on the CBP Theme,False,https://api.github.com/repos/US-CBP/ngx-cbp-theme,2017-08-30T20:25:21Z,2023-12-19T17:40:55Z,2023-09-15T13:28:20Z,https://us-cbp.github.io/ngx-cbp-theme/,4173,12,12,TypeScript,True,True,True,True,True,False,5,,False,False,5,True,False,False,"['angular', 'angular-cbp-applications', 'angular-cli', 'angular-native-components', 'angular6', 'angular7', 'cbp', 'cbp-theme', 'material', 'material2', 'scss', 'typescript']",public,5,5,12,master,US-CBP,20208707,MDEyOk9yZ2FuaXphdGlvbjIwMjA4NzA3,Organization,public,False,cc0-1.0,Creative Commons Zero v1.0 Universal,CC0-1.0,https://api.github.com/licenses/cc0-1.0,MDc6TGljZW5zZTY=,False,False,False,False,True,
158242467,MDEwOlJlcG9zaXRvcnkxNTgyNDI0Njc=,MQ-Bridge,US-CBP/MQ-Bridge,False,https://github.com/US-CBP/MQ-Bridge,,False,https://api.github.com/repos/US-CBP/MQ-Bridge,2018-11-19T15:01:18Z,2024-04-04T05:46:10Z,2021-04-27T11:12:27Z,,96,4,4,Java,True,True,True,True,False,False,1,,False,False,2,True,False,False,[],public,1,2,4,master,US-CBP,20208707,MDEyOk9yZ2FuaXphdGlvbjIwMjA4NzA3,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
160848434,MDEwOlJlcG9zaXRvcnkxNjA4NDg0MzQ=,email-mq-bridge,US-CBP/email-mq-bridge,False,https://github.com/US-CBP/email-mq-bridge,"A bridge between a an email account and the GTAS loader that automates the receipt of API/PNR file attachments, and adds them to the queue ",False,https://api.github.com/repos/US-CBP/email-mq-bridge,2018-12-07T16:27:14Z,2024-04-04T05:46:11Z,2021-01-21T14:05:21Z,,59,4,4,Java,True,True,True,True,False,False,1,,False,False,3,True,False,False,[],public,1,3,4,master,US-CBP,20208707,MDEyOk9yZ2FuaXphdGlvbjIwMjA4NzA3,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
