id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,license,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull,license.key,license.name,license.spdx_id,license.url,license.node_id
82341446,MDEwOlJlcG9zaXRvcnk4MjM0MTQ0Ng==,ARS-RQC,USDA-ARS-GBRU/ARS-RQC,False,https://github.com/USDA-ARS-GBRU/ARS-RQC,A rolling quality control workflow for the USDA ARS GBRU,False,https://api.github.com/repos/USDA-ARS-GBRU/ARS-RQC,2017-02-17T21:54:51Z,2020-03-11T15:40:36Z,2020-03-11T15:40:34Z,,20322,0,0,R,True,True,True,True,False,False,3,,False,False,1,,True,False,False,[],public,3,1,0,master,USDA-ARS-GBRU,28271938,MDEyOk9yZ2FuaXphdGlvbjI4MjcxOTM4,Organization,public,False,False,False,False,False,True,,,,,
94577183,MDEwOlJlcG9zaXRvcnk5NDU3NzE4Mw==,Microbiome-workshop,USDA-ARS-GBRU/Microbiome-workshop,False,https://github.com/USDA-ARS-GBRU/Microbiome-workshop,2017 microbiome workshop website,True,https://api.github.com/repos/USDA-ARS-GBRU/Microbiome-workshop,2017-06-16T20:02:20Z,2023-12-27T10:57:51Z,2019-06-11T19:38:37Z,,195411,4,4,CSS,False,True,True,False,True,False,6,,False,False,0,,True,False,False,[],public,6,0,4,master,USDA-ARS-GBRU,28271938,MDEyOk9yZ2FuaXphdGlvbjI4MjcxOTM4,Organization,public,False,False,False,False,False,True,mit,MIT License,MIT,https://api.github.com/licenses/mit,MDc6TGljZW5zZTEz
105309222,MDEwOlJlcG9zaXRvcnkxMDUzMDkyMjI=,vica,USDA-ARS-GBRU/vica,False,https://github.com/USDA-ARS-GBRU/vica,Vica: Software to identify highly divergent DNA and RNA viruses and phages in microbiomes,False,https://api.github.com/repos/USDA-ARS-GBRU/vica,2017-09-29T19:25:00Z,2021-10-28T20:03:52Z,2020-09-11T12:37:11Z,,84385,5,5,Python,True,True,True,True,False,False,5,,False,False,0,,True,False,False,[],public,5,0,5,master,USDA-ARS-GBRU,28271938,MDEyOk9yZ2FuaXphdGlvbjI4MjcxOTM4,Organization,public,False,False,False,False,False,True,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=
125533689,MDEwOlJlcG9zaXRvcnkxMjU1MzM2ODk=,crossword,USDA-ARS-GBRU/crossword,False,https://github.com/USDA-ARS-GBRU/crossword,,False,https://api.github.com/repos/USDA-ARS-GBRU/crossword,2018-03-16T15:17:07Z,2024-10-11T00:38:29Z,2024-10-09T18:15:23Z,,40610,3,3,R,True,True,True,True,False,False,2,,False,False,4,,True,False,False,[],public,2,4,3,master,USDA-ARS-GBRU,28271938,MDEyOk9yZ2FuaXphdGlvbjI4MjcxOTM4,Organization,public,False,False,False,False,False,True,,,,,
126068873,MDEwOlJlcG9zaXRvcnkxMjYwNjg4NzM=,RNA-seq_JNV1,USDA-ARS-GBRU/RNA-seq_JNV1,False,https://github.com/USDA-ARS-GBRU/RNA-seq_JNV1,"General pipeline for RNA-seq using a pre-existing transcriptome, kallisto, and DESeq2",False,https://api.github.com/repos/USDA-ARS-GBRU/RNA-seq_JNV1,2018-03-20T19:04:36Z,2024-10-11T00:42:53Z,2018-06-28T16:21:20Z,,16,1,1,R,True,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,1,master,USDA-ARS-GBRU,28271938,MDEyOk9yZ2FuaXphdGlvbjI4MjcxOTM4,Organization,public,False,False,False,False,False,True,,,,,
133996928,MDEwOlJlcG9zaXRvcnkxMzM5OTY5Mjg=,itsxpress,USDA-ARS-GBRU/itsxpress,False,https://github.com/USDA-ARS-GBRU/itsxpress,Software to trim the ITS region of FASTQ sequences for amplicon sequencing analysis,False,https://api.github.com/repos/USDA-ARS-GBRU/itsxpress,2018-05-18T19:40:25Z,2024-11-14T19:18:21Z,2024-11-14T19:20:31Z,,12099,12,12,Python,True,True,True,True,False,False,9,,False,False,1,,True,False,False,[],public,9,1,12,main,USDA-ARS-GBRU,28271938,MDEyOk9yZ2FuaXphdGlvbjI4MjcxOTM4,Organization,public,False,False,False,False,False,True,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=
137936776,MDEwOlJlcG9zaXRvcnkxMzc5MzY3NzY=,website,USDA-ARS-GBRU/website,False,https://github.com/USDA-ARS-GBRU/website,Software Carpentry website,True,https://api.github.com/repos/USDA-ARS-GBRU/website,2018-06-19T19:34:05Z,2018-06-19T19:34:15Z,2018-06-15T04:50:39Z,http://software-carpentry.org,172290,0,0,HTML,False,True,True,False,False,False,0,,False,False,0,,True,False,False,[],public,0,0,0,gh-pages,USDA-ARS-GBRU,28271938,MDEyOk9yZ2FuaXphdGlvbjI4MjcxOTM4,Organization,public,False,False,False,False,False,True,mit,MIT License,MIT,https://api.github.com/licenses/mit,MDc6TGljZW5zZTEz
138209572,MDEwOlJlcG9zaXRvcnkxMzgyMDk1NzI=,q2_itsxpress,USDA-ARS-GBRU/q2_itsxpress,False,https://github.com/USDA-ARS-GBRU/q2_itsxpress,A plugin for qiime2 that runs ITSxpress,False,https://api.github.com/repos/USDA-ARS-GBRU/q2_itsxpress,2018-06-21T18:47:13Z,2024-10-18T06:20:48Z,2023-12-19T18:19:45Z,,8986,7,7,Python,True,True,True,True,False,False,5,,True,False,4,,True,False,False,[],public,5,4,7,main,USDA-ARS-GBRU,28271938,MDEyOk9yZ2FuaXphdGlvbjI4MjcxOTM4,Organization,public,False,False,False,False,False,True,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=
138931352,MDEwOlJlcG9zaXRvcnkxMzg5MzEzNTI=,bioconda-recipes,USDA-ARS-GBRU/bioconda-recipes,False,https://github.com/USDA-ARS-GBRU/bioconda-recipes,Conda recipes for the bioconda channel.,True,https://api.github.com/repos/USDA-ARS-GBRU/bioconda-recipes,2018-06-27T20:47:18Z,2022-01-31T15:48:11Z,2024-03-21T17:18:14Z,https://bioconda.github.io,419466,0,0,Shell,False,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,0,master,USDA-ARS-GBRU,28271938,MDEyOk9yZ2FuaXphdGlvbjI4MjcxOTM4,Organization,public,False,False,False,False,False,True,mit,MIT License,MIT,https://api.github.com/licenses/mit,MDc6TGljZW5zZTEz
140625204,MDEwOlJlcG9zaXRvcnkxNDA2MjUyMDQ=,itsxpress-paper,USDA-ARS-GBRU/itsxpress-paper,False,https://github.com/USDA-ARS-GBRU/itsxpress-paper,"Code supporting the paper ""ITSxpress: software to rapidly trim internally transcribed spacer sequences with quality scores for marker gene analysis""",False,https://api.github.com/repos/USDA-ARS-GBRU/itsxpress-paper,2018-07-11T20:36:50Z,2018-07-30T17:26:37Z,2024-02-21T21:02:45Z,,40,0,0,Shell,True,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,0,master,USDA-ARS-GBRU,28271938,MDEyOk9yZ2FuaXphdGlvbjI4MjcxOTM4,Organization,public,False,False,False,False,False,True,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=
146325844,MDEwOlJlcG9zaXRvcnkxNDYzMjU4NDQ=,itsxpress-tutorial,USDA-ARS-GBRU/itsxpress-tutorial,False,https://github.com/USDA-ARS-GBRU/itsxpress-tutorial,A tutorial for the QIIME2 forum,False,https://api.github.com/repos/USDA-ARS-GBRU/itsxpress-tutorial,2018-08-27T16:41:15Z,2024-01-06T04:00:38Z,2024-04-15T16:23:44Z,,162116,2,2,,True,True,True,True,True,False,1,,False,False,1,,True,False,False,[],public,1,1,2,master,USDA-ARS-GBRU,28271938,MDEyOk9yZ2FuaXphdGlvbjI4MjcxOTM4,Organization,public,False,False,False,False,False,True,,,,,
