id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,license.key,license.name,license.spdx_id,license.url,license.node_id,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull,license
88538878,MDEwOlJlcG9zaXRvcnk4ODUzODg3OA==,fs-open-forest-platform,USDAForestService/fs-open-forest-platform,False,https://github.com/USDAForestService/fs-open-forest-platform,Open Forest: The code for an online permitting platform for the U.S. Forest Service.,False,https://api.github.com/repos/USDAForestService/fs-open-forest-platform,2017-04-17T18:40:09Z,2024-02-29T14:43:48Z,2023-02-02T07:38:31Z,https://openforest.fs.usda.gov,897851,38,38,TypeScript,True,False,True,True,False,False,19,,True,False,188,True,False,False,"['agile', 'agile-bpa', 'forest-service', 'government']",public,19,188,38,dev,USDAForestService,21344804,MDEyOk9yZ2FuaXphdGlvbjIxMzQ0ODA0,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
88881186,MDEwOlJlcG9zaXRvcnk4ODg4MTE4Ng==,fs-open-forest,USDAForestService/fs-open-forest,False,https://github.com/USDAForestService/fs-open-forest,The focal point for the United States Forest Service Open Forest project,False,https://api.github.com/repos/USDAForestService/fs-open-forest,2017-04-20T15:25:30Z,2024-05-28T00:01:28Z,2021-04-19T17:49:26Z,https://openforest.fs.usda.gov,222823,25,25,,True,True,True,True,False,False,10,,True,False,19,True,False,False,"['agile', 'agile-bpa', 'forest-service', 'government', 'land-management', 'permitting']",public,10,19,25,master,USDAForestService,21344804,MDEyOk9yZ2FuaXphdGlvbjIxMzQ0ODA0,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
98936421,MDEwOlJlcG9zaXRvcnk5ODkzNjQyMQ==,fs-cloud-gov-migration,USDAForestService/fs-cloud-gov-migration,False,https://github.com/USDAForestService/fs-cloud-gov-migration,A repository to help migrate to a new cloud.gov org,False,https://api.github.com/repos/USDAForestService/fs-cloud-gov-migration,2017-07-31T22:48:01Z,2023-02-15T19:40:27Z,2019-06-05T23:53:17Z,,120,0,0,Shell,True,True,True,False,False,False,2,,True,False,0,True,False,False,[],public,2,0,0,master,USDAForestService,21344804,MDEyOk9yZ2FuaXphdGlvbjIxMzQ0ODA0,Organization,public,False,,,,,,False,False,False,False,True,
214296595,MDEwOlJlcG9zaXRvcnkyMTQyOTY1OTU=,USFS-timber-permitting,USDAForestService/USFS-timber-permitting,False,https://github.com/USDAForestService/USFS-timber-permitting,The focal point for an 18F/TTS project with the United States Forest Service on timber permitting,False,https://api.github.com/repos/USDAForestService/USFS-timber-permitting,2019-10-10T22:27:37Z,2023-02-14T21:37:27Z,2020-07-16T22:16:32Z,,96453,6,6,,True,True,True,True,False,False,3,,True,False,122,True,False,False,[],public,3,122,6,master,USDAForestService,21344804,MDEyOk9yZ2FuaXphdGlvbjIxMzQ0ODA0,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
256039909,MDEwOlJlcG9zaXRvcnkyNTYwMzk5MDk=,TreeMap2014_scripts,USDAForestService/TreeMap2014_scripts,False,https://github.com/USDAForestService/TreeMap2014_scripts,,False,https://api.github.com/repos/USDAForestService/TreeMap2014_scripts,2020-04-15T21:23:21Z,2023-06-21T19:43:05Z,2022-04-29T23:23:08Z,,14,2,2,R,True,True,True,True,False,False,2,,False,False,0,True,False,False,[],public,2,0,2,master,USDAForestService,21344804,MDEyOk9yZ2FuaXphdGlvbjIxMzQ0ODA0,Organization,public,False,,,,,,False,False,False,False,True,
298664951,MDEwOlJlcG9zaXRvcnkyOTg2NjQ5NTE=,FIESTA,USDAForestService/FIESTA,False,https://github.com/USDAForestService/FIESTA,"FIESTA (Forest Inventory ESTimation and Analysis) is a research estimation tool for analysts that work with sample-based inventory data from the U.S. Department of Agriculture, Forest Service, Forest Inventory and Analysis (FIA) Program. Follow the link below for more information:",False,https://api.github.com/repos/USDAForestService/FIESTA,2020-09-25T19:41:51Z,2024-12-20T17:09:10Z,2024-12-20T17:09:07Z,https://usdaforestservice.github.io/FIESTA/,121679,27,27,R,True,True,True,True,True,False,11,,False,False,2,True,False,False,[],public,11,2,27,master,USDAForestService,21344804,MDEyOk9yZ2FuaXphdGlvbjIxMzQ0ODA0,Organization,public,False,,,,,,False,False,False,False,True,
313428293,MDEwOlJlcG9zaXRvcnkzMTM0MjgyOTM=,NRM-Grants-Agreements,USDAForestService/NRM-Grants-Agreements,False,https://github.com/USDAForestService/NRM-Grants-Agreements,The focal point for an 18F/TTS collaboration with the USFS Natural Resource Manager (NRM),False,https://api.github.com/repos/USDAForestService/NRM-Grants-Agreements,2020-11-16T21:12:58Z,2024-03-12T12:46:49Z,2023-02-03T22:47:28Z,,7695,8,8,Python,True,True,True,True,False,True,2,,True,False,121,True,False,False,[],public,2,121,8,development,USDAForestService,21344804,MDEyOk9yZ2FuaXphdGlvbjIxMzQ0ODA0,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
353422634,MDEwOlJlcG9zaXRvcnkzNTM0MjI2MzQ=,windninja,USDAForestService/windninja,False,https://github.com/USDAForestService/windninja,A diagnostic wind model developed for use in wildland fire modeling.,True,https://api.github.com/repos/USDAForestService/windninja,2021-03-31T16:32:34Z,2024-05-13T11:37:15Z,2021-03-24T22:51:03Z,https://weather.firelab.org/windninja/,260753,2,2,,False,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,2,master,USDAForestService,21344804,MDEyOk9yZ2FuaXphdGlvbjIxMzQ0ODA0,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
447699773,R_kgDOGq9bPQ,FIESTAnalysis,USDAForestService/FIESTAnalysis,False,https://github.com/USDAForestService/FIESTAnalysis,,False,https://api.github.com/repos/USDAForestService/FIESTAnalysis,2022-01-13T17:57:20Z,2024-12-20T17:08:13Z,2024-12-20T17:08:09Z,,98944,3,3,R,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,3,main,USDAForestService,21344804,MDEyOk9yZ2FuaXphdGlvbjIxMzQ0ODA0,Organization,public,False,gpl-3.0,GNU General Public License v3.0,GPL-3.0,https://api.github.com/licenses/gpl-3.0,MDc6TGljZW5zZTk=,False,False,False,False,True,
447699904,R_kgDOGq9bwA,FIESTAutils,USDAForestService/FIESTAutils,False,https://github.com/USDAForestService/FIESTAutils,,False,https://api.github.com/repos/USDAForestService/FIESTAutils,2022-01-13T17:57:46Z,2024-12-20T17:07:38Z,2024-12-20T17:07:34Z,,3167,5,5,R,True,True,True,True,False,False,2,,False,False,0,True,False,False,[],public,2,0,5,main,USDAForestService,21344804,MDEyOk9yZ2FuaXphdGlvbjIxMzQ0ODA0,Organization,public,False,,,,,,False,False,False,False,True,
