id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,license.key,license.name,license.spdx_id,license.url,license.node_id,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull,license
20001423,MDEwOlJlcG9zaXRvcnkyMDAwMTQyMw==,gcis,USGCRP/gcis,False,https://github.com/USGCRP/gcis,Global Change Information System,False,https://api.github.com/repos/USGCRP/gcis,2014-05-20T23:40:56Z,2024-01-25T11:17:38Z,2022-02-01T17:19:04Z,https://data.globalchange.gov,6618,20,20,Perl,True,True,True,True,False,False,16,,False,False,0,True,False,False,"['climate-science', 'government-data', 'mojolicious', 'perl', 'provenance', 'rose-db', 'semantic-web']",public,16,0,20,master,USGCRP,7650012,MDEyOk9yZ2FuaXphdGlvbjc2NTAwMTI=,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
20033927,MDEwOlJlcG9zaXRvcnkyMDAzMzkyNw==,gcis-report-viewer,USGCRP/gcis-report-viewer,False,https://github.com/USGCRP/gcis-report-viewer,View information from reports using the Global Change Information System,True,https://api.github.com/repos/USGCRP/gcis-report-viewer,2014-05-21T19:15:34Z,2014-05-21T19:15:35Z,2014-05-05T19:04:06Z,,276,0,0,JavaScript,False,True,True,True,False,False,5,,False,False,0,True,False,False,[],public,5,0,0,gh-pages,USGCRP,7650012,MDEyOk9yZ2FuaXphdGlvbjc2NTAwMTI=,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
20037525,MDEwOlJlcG9zaXRvcnkyMDAzNzUyNQ==,gcis-pl-client,USGCRP/gcis-pl-client,False,https://github.com/USGCRP/gcis-pl-client,Perl GCIS Client,False,https://api.github.com/repos/USGCRP/gcis-pl-client,2014-05-21T21:10:51Z,2017-02-24T15:55:42Z,2018-02-15T20:14:09Z,,64,0,0,Perl,False,True,True,True,False,False,5,,False,False,0,True,False,False,[],public,5,0,0,master,USGCRP,7650012,MDEyOk9yZ2FuaXphdGlvbjc2NTAwMTI=,Organization,public,False,gpl-3.0,GNU General Public License v3.0,GPL-3.0,https://api.github.com/licenses/gpl-3.0,MDc6TGljZW5zZTk=,False,False,False,False,True,
20261992,MDEwOlJlcG9zaXRvcnkyMDI2MTk5Mg==,gcis-qa,USGCRP/gcis-qa,False,https://github.com/USGCRP/gcis-qa,GCIS QA tests,False,https://api.github.com/repos/USGCRP/gcis-qa,2014-05-28T15:09:57Z,2016-08-31T19:39:28Z,2016-08-31T19:47:07Z,,25,0,0,Perl,True,True,True,True,False,False,7,,False,False,0,True,False,False,[],public,7,0,0,master,USGCRP,7650012,MDEyOk9yZ2FuaXphdGlvbjc2NTAwMTI=,Organization,public,False,,,,,,False,False,False,False,True,
20262242,MDEwOlJlcG9zaXRvcnkyMDI2MjI0Mg==,gcis-sync,USGCRP/gcis-sync,False,https://github.com/USGCRP/gcis-sync,GCIS synchronization modules,False,https://api.github.com/repos/USGCRP/gcis-sync,2014-05-28T15:17:35Z,2015-05-01T13:20:29Z,2015-07-21T17:11:38Z,,884,0,0,Perl,True,True,True,True,False,False,8,,False,False,1,True,False,False,[],public,8,1,0,master,USGCRP,7650012,MDEyOk9yZ2FuaXphdGlvbjc2NTAwMTI=,Organization,public,False,,,,,,False,False,False,False,True,
21617789,MDEwOlJlcG9zaXRvcnkyMTYxNzc4OQ==,gcis-py-client,USGCRP/gcis-py-client,False,https://github.com/USGCRP/gcis-py-client,GCIS Python Client,False,https://api.github.com/repos/USGCRP/gcis-py-client,2014-07-08T15:17:58Z,2016-04-14T20:17:10Z,2017-09-25T19:11:45Z,,869,0,0,Python,True,True,True,True,False,False,6,,False,False,0,True,False,False,[],public,6,0,0,master,USGCRP,7650012,MDEyOk9yZ2FuaXphdGlvbjc2NTAwMTI=,Organization,public,False,bsd-3-clause,"BSD 3-Clause ""New"" or ""Revised"" License",BSD-3-Clause,https://api.github.com/licenses/bsd-3-clause,MDc6TGljZW5zZTU=,False,False,False,False,True,
22118890,MDEwOlJlcG9zaXRvcnkyMjExODg5MA==,gcis-scripts,USGCRP/gcis-scripts,False,https://github.com/USGCRP/gcis-scripts,Various GCIS scripts,False,https://api.github.com/repos/USGCRP/gcis-scripts,2014-07-22T20:08:31Z,2019-03-06T18:41:41Z,2019-03-06T18:41:39Z,,1118,0,0,Perl,True,True,True,True,False,False,11,,False,False,0,True,False,False,[],public,11,0,0,master,USGCRP,7650012,MDEyOk9yZ2FuaXphdGlvbjc2NTAwMTI=,Organization,public,False,,,,,,False,False,False,False,True,
24650017,MDEwOlJlcG9zaXRvcnkyNDY1MDAxNw==,gcis-rdf,USGCRP/gcis-rdf,False,https://github.com/USGCRP/gcis-rdf,GCIS RDF import scripts,False,https://api.github.com/repos/USGCRP/gcis-rdf,2014-09-30T18:23:08Z,2016-01-13T21:41:11Z,2016-08-22T16:29:21Z,,24,0,0,Perl,True,True,True,True,False,False,6,,False,False,0,True,False,False,[],public,6,0,0,master,USGCRP,7650012,MDEyOk9yZ2FuaXphdGlvbjc2NTAwMTI=,Organization,public,False,,,,,,False,False,False,False,True,
26966350,MDEwOlJlcG9zaXRvcnkyNjk2NjM1MA==,gcis-diff,USGCRP/gcis-diff,False,https://github.com/USGCRP/gcis-diff,Compare contents between instances of the Global Change Information System,False,https://api.github.com/repos/USGCRP/gcis-diff,2014-11-21T15:53:36Z,2016-08-31T18:25:49Z,2016-08-31T18:25:48Z,,2,0,0,Perl,True,True,True,True,False,False,5,,False,False,0,True,False,False,[],public,5,0,0,master,USGCRP,7650012,MDEyOk9yZ2FuaXphdGlvbjc2NTAwMTI=,Organization,public,False,,,,,,False,False,False,False,True,
35118735,MDEwOlJlcG9zaXRvcnkzNTExODczNQ==,gcis-ontology,USGCRP/gcis-ontology,False,https://github.com/USGCRP/gcis-ontology,Ontology for the Global Change Information System,False,https://api.github.com/repos/USGCRP/gcis-ontology,2015-05-05T19:09:44Z,2019-11-09T03:37:23Z,2016-08-31T19:03:28Z,,621,4,4,Shell,True,True,True,True,False,False,7,,False,False,10,True,False,False,[],public,7,10,4,master,USGCRP,7650012,MDEyOk9yZ2FuaXphdGlvbjc2NTAwMTI=,Organization,public,False,,,,,,False,False,False,False,True,
