id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,license,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull,license.key,license.name,license.spdx_id,license.url,license.node_id
23154906,MDEwOlJlcG9zaXRvcnkyMzE1NDkwNg==,usgs-cmg-portal,USGS-CMG/usgs-cmg-portal,False,https://github.com/USGS-CMG/usgs-cmg-portal,do_convert.sh,False,https://api.github.com/repos/USGS-CMG/usgs-cmg-portal,2014-08-20T16:05:00Z,2021-08-06T17:21:31Z,2021-07-08T20:28:30Z,,24759,6,6,Python,True,True,True,True,False,False,13,,False,False,71,,True,False,False,[],public,13,71,6,master,USGS-CMG,11758291,MDEyOk9yZ2FuaXphdGlvbjExNzU4Mjkx,Organization,public,False,False,False,False,False,True,,,,,
36510365,MDEwOlJlcG9zaXRvcnkzNjUxMDM2NQ==,yaml2ncml,USGS-CMG/yaml2ncml,False,https://github.com/USGS-CMG/yaml2ncml,Generate NcML that standardizes and aggregates datasets using YAML input,False,https://api.github.com/repos/USGS-CMG/yaml2ncml,2015-05-29T14:49:14Z,2023-04-17T20:08:14Z,2022-11-22T16:09:42Z,,18628,1,1,Python,True,True,True,True,False,False,10,,False,False,4,,True,False,False,[],public,10,4,1,master,USGS-CMG,11758291,MDEyOk9yZ2FuaXphdGlvbjExNzU4Mjkx,Organization,public,False,False,False,False,False,True,mit,MIT License,MIT,https://api.github.com/licenses/mit,MDc6TGljZW5zZTEz
53587937,MDEwOlJlcG9zaXRvcnk1MzU4NzkzNw==,terriajs-dive,USGS-CMG/terriajs-dive,False,https://github.com/USGS-CMG/terriajs-dive,USGS-CDI TerriaJS Project,False,https://api.github.com/repos/USGS-CMG/terriajs-dive,2016-03-10T13:49:16Z,2024-05-21T21:09:19Z,2024-08-16T13:58:58Z,,2264,5,5,,True,True,True,True,False,False,9,,False,False,8,,True,False,False,[],public,9,8,5,master,USGS-CMG,11758291,MDEyOk9yZ2FuaXphdGlvbjExNzU4Mjkx,Organization,public,False,False,False,False,False,True,,,,,
87823602,MDEwOlJlcG9zaXRvcnk4NzgyMzYwMg==,wetlands-synthesis,USGS-CMG/wetlands-synthesis,False,https://github.com/USGS-CMG/wetlands-synthesis,Wetlands synthesis project,False,https://api.github.com/repos/USGS-CMG/wetlands-synthesis,2017-04-10T14:55:38Z,2018-04-25T20:41:55Z,2018-04-25T20:41:54Z,,9,0,0,Python,True,True,True,True,False,False,0,,False,False,3,,True,False,False,[],public,0,3,0,master,USGS-CMG,11758291,MDEyOk9yZ2FuaXphdGlvbjExNzU4Mjkx,Organization,public,False,False,False,False,False,True,mit,MIT License,MIT,https://api.github.com/licenses/mit,MDc6TGljZW5zZTEz
96797903,MDEwOlJlcG9zaXRvcnk5Njc5NzkwMw==,data-life-cycle-cloud,USGS-CMG/data-life-cycle-cloud,False,https://github.com/USGS-CMG/data-life-cycle-cloud,Exploring the USGS Science Data Life Cycle in the Cloud:  a 2017 CDI-funded project,False,https://api.github.com/repos/USGS-CMG/data-life-cycle-cloud,2017-07-10T16:19:40Z,2021-12-14T17:07:00Z,2018-03-09T10:42:54Z,,422,1,1,Jupyter Notebook,True,True,True,True,False,False,2,,False,False,5,,True,False,False,[],public,2,5,1,master,USGS-CMG,11758291,MDEyOk9yZ2FuaXphdGlvbjExNzU4Mjkx,Organization,public,False,False,False,False,False,True,,,,,
99730237,MDEwOlJlcG9zaXRvcnk5OTczMDIzNw==,data-life-cycle-cloud-docker-thredds,USGS-CMG/data-life-cycle-cloud-docker-thredds,False,https://github.com/USGS-CMG/data-life-cycle-cloud-docker-thredds,Data Life Cycle Cloud - Docker configuration for THREDDS server,False,https://api.github.com/repos/USGS-CMG/data-life-cycle-cloud-docker-thredds,2017-08-08T19:46:43Z,2017-08-09T14:15:57Z,2017-08-09T14:13:28Z,,13,0,0,,True,True,True,True,False,False,1,,False,False,0,,True,False,False,"['docker', 'docker-compose', 'thredds', 'thredds-catalogs', 'usgs']",public,1,0,0,master,USGS-CMG,11758291,MDEyOk9yZ2FuaXphdGlvbjExNzU4Mjkx,Organization,public,False,False,False,False,False,True,,,,,
99731794,MDEwOlJlcG9zaXRvcnk5OTczMTc5NA==,data-life-cycle-cloud-docker-jupyterhub,USGS-CMG/data-life-cycle-cloud-docker-jupyterhub,False,https://github.com/USGS-CMG/data-life-cycle-cloud-docker-jupyterhub,data-life-cycle-cloud-docker-jupyterhub,False,https://api.github.com/repos/USGS-CMG/data-life-cycle-cloud-docker-jupyterhub,2017-08-08T20:07:18Z,2019-09-03T18:49:19Z,2017-10-17T21:32:32Z,https://jupyterhub.wma.usgs.chs.ead/,38,2,2,Python,True,True,True,True,False,False,1,,False,False,7,,True,False,False,[],public,1,7,2,master,USGS-CMG,11758291,MDEyOk9yZ2FuaXphdGlvbjExNzU4Mjkx,Organization,public,False,False,False,False,False,True,,,,,
114695046,MDEwOlJlcG9zaXRvcnkxMTQ2OTUwNDY=,stglib,USGS-CMG/stglib,False,https://github.com/USGS-CMG/stglib,Routines used by the USGS Coastal/Marine Hazards & Resources Program to process oceanographic time-series data,False,https://api.github.com/repos/USGS-CMG/stglib,2017-12-18T22:44:25Z,2024-12-19T22:32:49Z,2024-12-19T22:32:46Z,,10156,19,19,Python,True,True,True,True,False,False,15,,False,False,24,,True,False,False,[],public,15,24,19,master,USGS-CMG,11758291,MDEyOk9yZ2FuaXphdGlvbjExNzU4Mjkx,Organization,public,False,False,False,False,False,True,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=
147811198,MDEwOlJlcG9zaXRvcnkxNDc4MTExOTg=,pangeo-example-notebooks,USGS-CMG/pangeo-example-notebooks,False,https://github.com/USGS-CMG/pangeo-example-notebooks,Jupyter notebooks for use with pangeo-data/helm-chart,True,https://api.github.com/repos/USGS-CMG/pangeo-example-notebooks,2018-09-07T10:53:38Z,2022-12-30T20:58:59Z,2018-09-07T10:54:32Z,,1688,0,0,Jupyter Notebook,False,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,0,master,USGS-CMG,11758291,MDEyOk9yZ2FuaXphdGlvbjExNzU4Mjkx,Organization,public,False,False,False,False,False,True,,,,,
156690100,MDEwOlJlcG9zaXRvcnkxNTY2OTAxMDA=,TerriaMap,USGS-CMG/TerriaMap,False,https://github.com/USGS-CMG/TerriaMap,Catalog-based web geospatial visualisation platform.,True,https://api.github.com/repos/USGS-CMG/TerriaMap,2018-11-08T10:31:43Z,2020-05-15T18:29:23Z,2020-05-15T18:29:22Z,http://terria.io,40450,0,0,HTML,True,True,True,True,False,False,0,,False,False,1,,True,False,False,[],public,0,1,0,master,USGS-CMG,11758291,MDEyOk9yZ2FuaXphdGlvbjExNzU4Mjkx,Organization,public,False,False,False,False,False,True,apache-2.0,Apache License 2.0,Apache-2.0,https://api.github.com/licenses/apache-2.0,MDc6TGljZW5zZTI=
159348684,MDEwOlJlcG9zaXRvcnkxNTkzNDg2ODQ=,Chesapeake,USGS-CMG/Chesapeake,False,https://github.com/USGS-CMG/Chesapeake,Chesapeake Bay Integrated Science for Estuarine Habitats,False,https://api.github.com/repos/USGS-CMG/Chesapeake,2018-11-27T14:32:07Z,2018-11-27T14:33:20Z,2018-11-27T14:33:19Z,,1,0,0,,True,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,0,master,USGS-CMG,11758291,MDEyOk9yZ2FuaXphdGlvbjExNzU4Mjkx,Organization,public,False,False,False,False,False,True,mit,MIT License,MIT,https://api.github.com/licenses/mit,MDc6TGljZW5zZTEz
264087398,MDEwOlJlcG9zaXRvcnkyNjQwODczOTg=,nationalmap,USGS-CMG/nationalmap,False,https://github.com/USGS-CMG/nationalmap,Australia's NationalMap,True,https://api.github.com/repos/USGS-CMG/nationalmap,2020-05-15T03:34:25Z,2020-05-15T03:34:27Z,2020-05-13T04:08:33Z,https://nationalmap.gov.au,81581,0,0,,False,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,0,master,USGS-CMG,11758291,MDEyOk9yZ2FuaXphdGlvbjExNzU4Mjkx,Organization,public,False,False,False,False,False,True,apache-2.0,Apache License 2.0,Apache-2.0,https://api.github.com/licenses/apache-2.0,MDc6TGljZW5zZTI=
278466669,MDEwOlJlcG9zaXRvcnkyNzg0NjY2Njk=,dem-dashboard,USGS-CMG/dem-dashboard,False,https://github.com/USGS-CMG/dem-dashboard,Dashboard to visualize USGS Digital Terrain Data using Panel,False,https://api.github.com/repos/USGS-CMG/dem-dashboard,2020-07-09T20:42:36Z,2023-04-19T21:34:20Z,2020-08-20T18:09:06Z,,23562,7,7,Jupyter Notebook,True,True,True,True,False,False,1,,False,False,1,,True,False,False,[],public,1,1,7,master,USGS-CMG,11758291,MDEyOk9yZ2FuaXphdGlvbjExNzU4Mjkx,Organization,public,False,False,False,False,False,True,cc0-1.0,Creative Commons Zero v1.0 Universal,CC0-1.0,https://api.github.com/licenses/cc0-1.0,MDc6TGljZW5zZTY=
637961688,R_kgDOJgaF2A,ots2023,USGS-CMG/ots2023,False,https://github.com/USGS-CMG/ots2023,,False,https://api.github.com/repos/USGS-CMG/ots2023,2023-05-08T19:33:52Z,2023-05-18T13:52:40Z,2024-04-01T18:20:02Z,,42734,1,1,Jupyter Notebook,True,True,True,True,False,False,1,,False,False,0,,True,False,False,[],public,1,0,1,main,USGS-CMG,11758291,MDEyOk9yZ2FuaXphdGlvbjExNzU4Mjkx,Organization,public,False,False,False,False,False,True,,,,,
