id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,license.key,license.name,license.spdx_id,license.url,license.node_id,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull,license
56095430,MDEwOlJlcG9zaXRvcnk1NjA5NTQzMA==,example,USGS-VIZLAB/example,False,https://github.com/USGS-VIZLAB/example,"An example visualization, demonstrating features",False,https://api.github.com/repos/USGS-VIZLAB/example,2016-04-12T20:28:35Z,2022-09-02T17:31:53Z,2023-04-11T19:06:04Z,,468,2,2,R,True,True,True,True,False,False,11,,False,False,2,True,False,False,[],public,11,2,2,main,USGS-VIZLAB,18291557,MDEyOk9yZ2FuaXphdGlvbjE4MjkxNTU3,Organization,public,False,cc0-1.0,Creative Commons Zero v1.0 Universal,CC0-1.0,https://api.github.com/licenses/cc0-1.0,MDc6TGljZW5zZTY=,False,False,False,False,True,
60549533,MDEwOlJlcG9zaXRvcnk2MDU0OTUzMw==,vizlab,USGS-VIZLAB/vizlab,False,https://github.com/USGS-VIZLAB/vizlab,Package with utilities for building vizlab pages,False,https://api.github.com/repos/USGS-VIZLAB/vizlab,2016-06-06T18:04:11Z,2022-02-07T05:13:11Z,2023-04-11T19:06:06Z,,11453,25,25,R,True,True,True,True,False,False,14,,False,False,78,True,False,False,[],public,14,78,25,main,USGS-VIZLAB,18291557,MDEyOk9yZ2FuaXphdGlvbjE4MjkxNTU3,Organization,public,False,cc0-1.0,Creative Commons Zero v1.0 Universal,CC0-1.0,https://api.github.com/licenses/cc0-1.0,MDc6TGljZW5zZTY=,False,False,False,False,True,
84362130,MDEwOlJlcG9zaXRvcnk4NDM2MjEzMA==,gages-through-ages,USGS-VIZLAB/gages-through-ages,False,https://github.com/USGS-VIZLAB/gages-through-ages,U.S. Geological Survey active gages through time,False,https://api.github.com/repos/USGS-VIZLAB/gages-through-ages,2017-03-08T20:16:09Z,2022-09-02T17:38:46Z,2023-05-15T18:45:14Z,,269,1,1,R,True,True,True,True,False,False,9,,False,False,18,True,False,False,[],public,9,18,1,main,USGS-VIZLAB,18291557,MDEyOk9yZ2FuaXphdGlvbjE4MjkxNTU3,Organization,public,False,cc0-1.0,Creative Commons Zero v1.0 Universal,CC0-1.0,https://api.github.com/licenses/cc0-1.0,MDc6TGljZW5zZTY=,False,False,False,False,True,
86621177,MDEwOlJlcG9zaXRvcnk4NjYyMTE3Nw==,internal-analytics,USGS-VIZLAB/internal-analytics,False,https://github.com/USGS-VIZLAB/internal-analytics,,False,https://api.github.com/repos/USGS-VIZLAB/internal-analytics,2017-03-29T19:26:24Z,2021-12-14T13:19:21Z,2023-04-11T19:06:18Z,,621,3,3,R,True,True,True,True,False,False,13,,False,False,20,True,False,False,[],public,13,20,3,main,USGS-VIZLAB,18291557,MDEyOk9yZ2FuaXphdGlvbjE4MjkxNTU3,Organization,public,False,cc0-1.0,Creative Commons Zero v1.0 Universal,CC0-1.0,https://api.github.com/licenses/cc0-1.0,MDc6TGljZW5zZTY=,False,False,False,False,True,
94782627,MDEwOlJlcG9zaXRvcnk5NDc4MjYyNw==,active-flood-viz,USGS-VIZLAB/active-flood-viz,False,https://github.com/USGS-VIZLAB/active-flood-viz,,False,https://api.github.com/repos/USGS-VIZLAB/active-flood-viz,2017-06-19T13:58:42Z,2022-09-02T17:30:01Z,2023-04-11T19:08:19Z,,5747,3,3,Python,True,True,True,True,False,False,7,,False,False,10,True,False,False,[],public,7,10,3,main,USGS-VIZLAB,18291557,MDEyOk9yZ2FuaXphdGlvbjE4MjkxNTU3,Organization,public,False,cc0-1.0,Creative Commons Zero v1.0 Universal,CC0-1.0,https://api.github.com/licenses/cc0-1.0,MDc6TGljZW5zZTY=,False,False,False,False,True,
104134191,MDEwOlJlcG9zaXRvcnkxMDQxMzQxOTE=,how-to-gdp,USGS-VIZLAB/how-to-gdp,False,https://github.com/USGS-VIZLAB/how-to-gdp,Explanation of how the Geo Data Portal works.,False,https://api.github.com/repos/USGS-VIZLAB/how-to-gdp,2017-09-19T22:07:39Z,2023-04-11T23:18:57Z,2023-04-11T19:08:33Z,,10192,1,1,R,True,True,True,True,False,False,4,,True,False,1,True,False,False,[],public,4,1,1,main,USGS-VIZLAB,18291557,MDEyOk9yZ2FuaXphdGlvbjE4MjkxNTU3,Organization,public,False,cc0-1.0,Creative Commons Zero v1.0 Universal,CC0-1.0,https://api.github.com/licenses/cc0-1.0,MDc6TGljZW5zZTY=,False,False,False,False,True,
105569276,MDEwOlJlcG9zaXRvcnkxMDU1NjkyNzY=,vizstorm-interactive,USGS-VIZLAB/vizstorm-interactive,False,https://github.com/USGS-VIZLAB/vizstorm-interactive,Template for storm event visualizations,False,https://api.github.com/repos/USGS-VIZLAB/vizstorm-interactive,2017-10-02T18:25:45Z,2022-09-02T17:37:14Z,2023-04-11T19:08:37Z,,175,0,0,R,True,True,True,True,False,False,4,,False,False,24,True,False,False,[],public,4,24,0,main,USGS-VIZLAB,18291557,MDEyOk9yZ2FuaXphdGlvbjE4MjkxNTU3,Organization,public,False,cc0-1.0,Creative Commons Zero v1.0 Universal,CC0-1.0,https://api.github.com/licenses/cc0-1.0,MDc6TGljZW5zZTY=,False,False,False,False,True,
113366717,MDEwOlJlcG9zaXRvcnkxMTMzNjY3MTc=,D3Learners,USGS-VIZLAB/D3Learners,False,https://github.com/USGS-VIZLAB/D3Learners,Repo to accentuate D3 learning,False,https://api.github.com/repos/USGS-VIZLAB/D3Learners,2017-12-06T20:59:18Z,2022-09-02T17:11:24Z,2023-04-11T19:08:42Z,,1021,0,0,JavaScript,True,True,True,True,True,False,6,,False,False,8,True,False,False,[],public,6,8,0,main,USGS-VIZLAB,18291557,MDEyOk9yZ2FuaXphdGlvbjE4MjkxNTU3,Organization,public,False,cc0-1.0,Creative Commons Zero v1.0 Universal,CC0-1.0,https://api.github.com/licenses/cc0-1.0,MDc6TGljZW5zZTY=,False,False,False,False,True,
124263535,MDEwOlJlcG9zaXRvcnkxMjQyNjM1MzU=,viz-scratch,USGS-VIZLAB/viz-scratch,False,https://github.com/USGS-VIZLAB/viz-scratch,"Repository for one-off plots, ideas, and gifs - anything smaller or more transient than a regular visualization",False,https://api.github.com/repos/USGS-VIZLAB/viz-scratch,2018-03-07T16:28:36Z,2024-03-08T08:32:47Z,2023-04-11T19:08:50Z,,102096,16,16,HTML,True,True,True,True,False,False,26,,False,False,13,True,False,False,[],public,26,13,16,main,USGS-VIZLAB,18291557,MDEyOk9yZ2FuaXphdGlvbjE4MjkxNTU3,Organization,public,False,cc0-1.0,Creative Commons Zero v1.0 Universal,CC0-1.0,https://api.github.com/licenses/cc0-1.0,MDc6TGljZW5zZTY=,False,False,False,False,True,
136971385,MDEwOlJlcG9zaXRvcnkxMzY5NzEzODU=,gage-conditions,USGS-VIZLAB/gage-conditions,False,https://github.com/USGS-VIZLAB/gage-conditions,Viz w/ map showing gage conditions at various timesteps.,False,https://api.github.com/repos/USGS-VIZLAB/gage-conditions,2018-06-11T19:25:20Z,2022-09-02T17:10:29Z,2023-04-11T19:08:53Z,,199,3,3,JavaScript,True,True,True,True,False,False,7,,False,False,18,True,False,False,[],public,7,18,3,main,USGS-VIZLAB,18291557,MDEyOk9yZ2FuaXphdGlvbjE4MjkxNTU3,Organization,public,False,cc0-1.0,Creative Commons Zero v1.0 Universal,CC0-1.0,https://api.github.com/licenses/cc0-1.0,MDc6TGljZW5zZTY=,False,False,False,False,True,
