id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,license.key,license.name,license.spdx_id,license.url,license.node_id,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull,license
24231131,MDEwOlJlcG9zaXRvcnkyNDIzMTEzMQ==,STNPublic,USGS-WiM/STNPublic,False,https://github.com/USGS-WiM/STNPublic,Flood Event Viewer v1 (formerly STN public),False,https://api.github.com/repos/USGS-WiM/STNPublic,2014-09-19T13:39:43Z,2023-01-28T19:34:23Z,2018-05-30T16:13:28Z,,551,0,0,JavaScript,True,True,True,True,True,False,5,,True,False,1,True,False,False,[],public,5,1,0,master,USGS-WiM,8713649,MDEyOk9yZ2FuaXphdGlvbjg3MTM2NDk=,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
24508674,MDEwOlJlcG9zaXRvcnkyNDUwODY3NA==,STNField,USGS-WiM/STNField,False,https://github.com/USGS-WiM/STNField,code base for the STN Field map,False,https://api.github.com/repos/USGS-WiM/STNField,2014-09-26T17:28:18Z,2024-05-31T14:30:46Z,2018-05-30T16:31:24Z,,315,0,0,JavaScript,True,True,True,True,False,False,3,,True,False,0,True,False,False,[],public,3,0,0,master,USGS-WiM,8713649,MDEyOk9yZ2FuaXphdGlvbjg3MTM2NDk=,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
24696037,MDEwOlJlcG9zaXRvcnkyNDY5NjAzNw==,merlin_django,USGS-WiM/merlin_django,False,https://github.com/USGS-WiM/merlin_django,Mercury Research Laboratory Information Management System written in Django with Django Rest Framework,False,https://api.github.com/repos/USGS-WiM/merlin_django,2014-10-01T21:25:37Z,2023-07-18T18:53:49Z,2023-07-18T18:53:26Z,,6163,2,2,JavaScript,True,True,True,True,False,False,6,,True,False,16,True,False,False,[],public,6,16,2,master,USGS-WiM,8713649,MDEyOk9yZ2FuaXphdGlvbjg3MTM2NDk=,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
26458174,MDEwOlJlcG9zaXRvcnkyNjQ1ODE3NA==,STNDataPortal,USGS-WiM/STNDataPortal,False,https://github.com/USGS-WiM/STNDataPortal,,False,https://api.github.com/repos/USGS-WiM/STNDataPortal,2014-11-10T22:09:00Z,2024-05-31T14:30:08Z,2021-11-02T14:24:07Z,,354,0,0,JavaScript,True,True,True,True,False,False,4,,True,False,2,True,False,False,[],public,4,2,0,master,USGS-WiM,8713649,MDEyOk9yZ2FuaXphdGlvbjg3MTM2NDk=,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
31274007,MDEwOlJlcG9zaXRvcnkzMTI3NDAwNw==,NAWQATrends,USGS-WiM/NAWQATrends,False,https://github.com/USGS-WiM/NAWQATrends,NaWQA Decadal Trends in Groundwater,False,https://api.github.com/repos/USGS-WiM/NAWQATrends,2015-02-24T18:07:09Z,2018-07-09T17:12:58Z,2018-07-09T17:12:57Z,,6402,0,0,JavaScript,True,True,True,True,False,False,4,,False,False,5,True,False,False,[],public,4,5,0,master,USGS-WiM,8713649,MDEyOk9yZ2FuaXphdGlvbjg3MTM2NDk=,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
33211483,MDEwOlJlcG9zaXRvcnkzMzIxMTQ4Mw==,jstemplate-esri-bootstrap,USGS-WiM/jstemplate-esri-bootstrap,False,https://github.com/USGS-WiM/jstemplate-esri-bootstrap,"WiM template for building a map application with the ArcGIS API for JavaScript and Twitter Bootstrap, using the 'bootstrap-map-js' extension from Esri",False,https://api.github.com/repos/USGS-WiM/jstemplate-esri-bootstrap,2015-03-31T21:39:33Z,2023-01-28T19:34:23Z,2017-10-25T22:25:10Z,,59,0,0,HTML,True,True,True,True,False,False,3,,True,False,5,True,False,False,[],public,3,5,0,master,USGS-WiM,8713649,MDEyOk9yZ2FuaXphdGlvbjg3MTM2NDk=,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
33493108,MDEwOlJlcG9zaXRvcnkzMzQ5MzEwOA==,STNWeb1,USGS-WiM/STNWeb1,False,https://github.com/USGS-WiM/STNWeb1,Legacy STNWeb codebase,False,https://api.github.com/repos/USGS-WiM/STNWeb1,2015-04-06T16:49:23Z,2023-01-28T19:56:04Z,2018-02-28T16:17:41Z,,5739,0,0,C#,True,True,True,True,False,False,4,,True,False,0,True,False,False,[],public,4,0,0,master,USGS-WiM,8713649,MDEyOk9yZ2FuaXphdGlvbjg3MTM2NDk=,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
33626496,MDEwOlJlcG9zaXRvcnkzMzYyNjQ5Ng==,generator-wim,USGS-WiM/generator-wim,False,https://github.com/USGS-WiM/generator-wim,Yeoman generator for creating WIM compliant mapping templates,False,https://api.github.com/repos/USGS-WiM/generator-wim,2015-04-08T19:04:40Z,2018-08-01T19:18:43Z,2018-09-06T13:24:06Z,,5766,3,3,HTML,True,True,True,True,False,False,1,,False,False,15,True,False,False,[],public,1,15,3,staging,USGS-WiM,8713649,MDEyOk9yZ2FuaXphdGlvbjg3MTM2NDk=,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
33887048,MDEwOlJlcG9zaXRvcnkzMzg4NzA0OA==,BadRiverGroundwater,USGS-WiM/BadRiverGroundwater,False,https://github.com/USGS-WiM/BadRiverGroundwater,"3 map applications to support groundwater modeling in the Bad River watershed, northern Wisconsin",False,https://api.github.com/repos/USGS-WiM/BadRiverGroundwater,2015-04-13T18:47:40Z,2022-08-29T16:00:12Z,2022-08-29T16:00:08Z,,538,1,1,JavaScript,True,True,True,True,False,False,4,,False,False,0,True,False,False,[],public,4,0,1,master,USGS-WiM,8713649,MDEyOk9yZ2FuaXphdGlvbjg3MTM2NDk=,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
33890174,MDEwOlJlcG9zaXRvcnkzMzg5MDE3NA==,BadRiverInputs,USGS-WiM/BadRiverInputs,False,https://github.com/USGS-WiM/BadRiverInputs,2nd application for the Bad River Groundwater project to show inputs to the model,False,https://api.github.com/repos/USGS-WiM/BadRiverInputs,2015-04-13T19:50:51Z,2024-02-18T20:35:01Z,2022-08-29T16:02:08Z,,609,1,1,JavaScript,True,True,True,True,False,False,4,,False,False,0,True,False,False,[],public,4,0,1,master,USGS-WiM,8713649,MDEyOk9yZ2FuaXphdGlvbjg3MTM2NDk=,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
