id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,license.key,license.name,license.spdx_id,license.url,license.node_id,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull,license
67631906,MDEwOlJlcG9zaXRvcnk2NzYzMTkwNg==,PLT-Web-Map,VolpeUSDOT/PLT-Web-Map,False,https://github.com/VolpeUSDOT/PLT-Web-Map,Interactive map showing regional boundaries of Public Lands Team partner agencies. For Volpe PLT webpage.,False,https://api.github.com/repos/VolpeUSDOT/PLT-Web-Map,2016-09-07T18:12:46Z,2017-11-06T16:17:52Z,2017-11-06T16:30:22Z,,7013,0,0,CSS,True,True,True,True,True,False,1,,False,False,1,True,False,False,[],public,1,1,0,gh-pages,VolpeUSDOT,29147435,MDEyOk9yZ2FuaXphdGlvbjI5MTQ3NDM1,Organization,public,False,cc0-1.0,Creative Commons Zero v1.0 Universal,CC0-1.0,https://api.github.com/licenses/cc0-1.0,MDc6TGljZW5zZTY=,False,False,False,False,True,
88868655,MDEwOlJlcG9zaXRvcnk4ODg2ODY1NQ==,rec-gov-analysis,VolpeUSDOT/rec-gov-analysis,False,https://github.com/VolpeUSDOT/rec-gov-analysis,Tools for analyzing recreation.gov historical site reservations for transportation planning,False,https://api.github.com/repos/VolpeUSDOT/rec-gov-analysis,2017-04-20T13:28:34Z,2023-04-21T08:19:00Z,2018-01-17T15:10:01Z,,87,1,1,Python,True,True,True,True,False,False,1,,False,False,0,True,False,False,[],public,1,0,1,master,VolpeUSDOT,29147435,MDEyOk9yZ2FuaXphdGlvbjI5MTQ3NDM1,Organization,public,False,cc0-1.0,Creative Commons Zero v1.0 Universal,CC0-1.0,https://api.github.com/licenses/cc0-1.0,MDc6TGljZW5zZTY=,False,False,False,False,True,
93409853,MDEwOlJlcG9zaXRvcnk5MzQwOTg1Mw==,gtfs-measures,VolpeUSDOT/gtfs-measures,False,https://github.com/VolpeUSDOT/gtfs-measures,Source code for OST-P/Volpe project exploring estimation of segment-level transit ridership and other measures from GTFS feeds.,False,https://api.github.com/repos/VolpeUSDOT/gtfs-measures,2017-06-05T14:00:35Z,2021-10-12T02:31:49Z,2018-01-25T21:25:45Z,,311,5,5,Python,True,True,True,True,True,False,1,,False,False,0,True,False,False,"['aadt', 'gtfs', 'os43a1', 'ridership', 'transit']",public,1,0,5,master,VolpeUSDOT,29147435,MDEyOk9yZ2FuaXphdGlvbjI5MTQ3NDM1,Organization,public,False,cc0-1.0,Creative Commons Zero v1.0 Universal,CC0-1.0,https://api.github.com/licenses/cc0-1.0,MDc6TGljZW5zZTY=,False,False,False,False,True,
96899300,MDEwOlJlcG9zaXRvcnk5Njg5OTMwMA==,caco-parking-map,VolpeUSDOT/caco-parking-map,False,https://github.com/VolpeUSDOT/caco-parking-map,NPMap based application for parking management system developed by Volpe with the National Park Service Northeast Region and Cape Cod National Seashore.,False,https://api.github.com/repos/VolpeUSDOT/caco-parking-map,2017-07-11T13:58:21Z,2018-05-15T20:06:14Z,2018-05-15T20:06:13Z,,290,1,1,JavaScript,True,True,True,True,True,False,1,,False,False,0,True,False,False,['np88a1'],public,1,0,1,master,VolpeUSDOT,29147435,MDEyOk9yZ2FuaXphdGlvbjI5MTQ3NDM1,Organization,public,False,cc0-1.0,Creative Commons Zero v1.0 Universal,CC0-1.0,https://api.github.com/licenses/cc0-1.0,MDc6TGljZW5zZTY=,False,False,False,False,True,
97514282,MDEwOlJlcG9zaXRvcnk5NzUxNDI4Mg==,SNVA,VolpeUSDOT/SNVA,False,https://github.com/VolpeUSDOT/SNVA,SHRP2 NDS Video Analytics built on TensorFlow,False,https://api.github.com/repos/VolpeUSDOT/SNVA,2017-07-17T19:28:39Z,2023-04-18T22:23:23Z,2023-04-18T18:40:34Z,,1157,4,4,Python,True,True,True,True,False,False,3,,False,False,6,True,False,False,[],public,3,6,4,master,VolpeUSDOT,29147435,MDEyOk9yZ2FuaXphdGlvbjI5MTQ3NDM1,Organization,public,False,,,,,,False,False,False,False,True,
183667031,MDEwOlJlcG9zaXRvcnkxODM2NjcwMzE=,fra-gctd,VolpeUSDOT/fra-gctd,False,https://github.com/VolpeUSDOT/fra-gctd,Grade Crossing Trespass Detection,False,https://api.github.com/repos/VolpeUSDOT/fra-gctd,2019-04-26T17:11:42Z,2021-12-01T01:30:54Z,2023-05-10T19:31:14Z,,42137,0,0,Python,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,master,VolpeUSDOT,29147435,MDEyOk9yZ2FuaXphdGlvbjI5MTQ3NDM1,Organization,public,False,,,,,,False,False,False,False,True,
184258486,MDEwOlJlcG9zaXRvcnkxODQyNTg0ODY=,fra-gctd-model-dev,VolpeUSDOT/fra-gctd-model-dev,False,https://github.com/VolpeUSDOT/fra-gctd-model-dev,FRA Grade Crossing Trespass Detection Model Development,False,https://api.github.com/repos/VolpeUSDOT/fra-gctd-model-dev,2019-04-30T12:31:09Z,2021-12-01T01:41:41Z,2021-12-01T01:40:35Z,,581,0,0,Python,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,master,VolpeUSDOT,29147435,MDEyOk9yZ2FuaXphdGlvbjI5MTQ3NDM1,Organization,public,False,,,,,,False,False,False,False,True,
193519570,MDEwOlJlcG9zaXRvcnkxOTM1MTk1NzA=,FTOT-Public,VolpeUSDOT/FTOT-Public,False,https://github.com/VolpeUSDOT/FTOT-Public,Public Version of the Freight and Fuel Transportation Optimization Tool,False,https://api.github.com/repos/VolpeUSDOT/FTOT-Public,2019-06-24T14:17:37Z,2024-11-01T14:50:25Z,2024-11-08T20:39:34Z,,48825,10,10,Python,True,True,True,True,True,False,9,,False,False,6,True,False,False,[],public,9,6,10,master,VolpeUSDOT,29147435,MDEyOk9yZ2FuaXphdGlvbjI5MTQ3NDM1,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
314265906,MDEwOlJlcG9zaXRvcnkzMTQyNjU5MDY=,FHWA-DANATool,VolpeUSDOT/FHWA-DANATool,False,https://github.com/VolpeUSDOT/FHWA-DANATool,The Database for Air Quality and Noise Analysis (DANA) Tool provides traffic-related inputs to the Motor Vehicle Emission Simulator (MOVES) vehicle emissions model and the Traffic Noise Model (TNM).,False,https://api.github.com/repos/VolpeUSDOT/FHWA-DANATool,2020-11-19T14:04:01Z,2024-11-13T11:12:12Z,2024-11-14T17:21:31Z,,556143,10,10,Python,True,True,True,True,True,False,1,,False,False,32,True,False,False,[],public,1,32,10,main,VolpeUSDOT,29147435,MDEyOk9yZ2FuaXphdGlvbjI5MTQ3NDM1,Organization,public,False,,,,,,False,False,False,False,True,
325601425,MDEwOlJlcG9zaXRvcnkzMjU2MDE0MjU=,OST_StreetlightData,VolpeUSDOT/OST_StreetlightData,False,https://github.com/VolpeUSDOT/OST_StreetlightData,,False,https://api.github.com/repos/VolpeUSDOT/OST_StreetlightData,2020-12-30T16:48:20Z,2021-03-05T21:16:19Z,2021-03-05T21:16:17Z,,336,0,0,R,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,master,VolpeUSDOT,29147435,MDEyOk9yZ2FuaXphdGlvbjI5MTQ3NDM1,Organization,public,False,,,,,,False,False,False,False,True,
