id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,license,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull,license.key,license.name,license.spdx_id,license.url,license.node_id
89372460,MDEwOlJlcG9zaXRvcnk4OTM3MjQ2MA==,dds-docs,XDgov/dds-docs,False,https://github.com/XDgov/dds-docs,,False,https://api.github.com/repos/XDgov/dds-docs,2017-04-25T14:48:31Z,2017-04-25T14:51:35Z,2017-06-02T17:18:07Z,,5877,0,0,CSS,True,True,True,True,True,False,0,,False,False,11,,True,False,False,[],public,0,11,0,master,XDgov,27742181,MDEyOk9yZ2FuaXphdGlvbjI3NzQyMTgx,Organization,public,False,False,False,False,False,True,,,,,
91480599,MDEwOlJlcG9zaXRvcnk5MTQ4MDU5OQ==,xd.gov,XDgov/xd.gov,False,https://github.com/XDgov/xd.gov,,False,https://api.github.com/repos/XDgov/xd.gov,2017-05-16T16:32:05Z,2024-12-20T14:26:26Z,2024-12-20T14:26:25Z,,28950,2,2,SCSS,True,True,True,True,False,False,3,,False,False,17,,True,False,False,[],public,3,17,2,master,XDgov,27742181,MDEyOk9yZ2FuaXphdGlvbjI3NzQyMTgx,Organization,public,False,False,False,False,False,True,,,,,
101319085,MDEwOlJlcG9zaXRvcnkxMDEzMTkwODU=,recalls-api,XDgov/recalls-api,False,https://github.com/XDgov/recalls-api,,False,https://api.github.com/repos/XDgov/recalls-api,2017-08-24T17:07:13Z,2017-10-30T17:21:23Z,2017-09-14T23:19:47Z,,30699,1,1,Java,True,True,True,True,False,False,1,,False,False,0,,True,False,False,[],public,1,0,1,master,XDgov,27742181,MDEyOk9yZ2FuaXphdGlvbjI3NzQyMTgx,Organization,public,False,False,False,False,False,True,,,,,
107441915,MDEwOlJlcG9zaXRvcnkxMDc0NDE5MTU=,uswds-data,XDgov/uswds-data,False,https://github.com/XDgov/uswds-data,A data visualization guide for the U.S. Web Design Standards.,True,https://api.github.com/repos/XDgov/uswds-data,2017-10-18T17:37:18Z,2021-02-08T09:59:26Z,2017-10-18T19:38:48Z,https://federalist-proxy.app.cloud.gov/site/18f/uswds-data/,26381,2,2,JavaScript,False,True,True,True,True,False,2,,False,False,0,,True,False,False,[],public,2,0,2,master,XDgov,27742181,MDEyOk9yZ2FuaXphdGlvbjI3NzQyMTgx,Organization,public,False,False,False,False,False,True,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=
109726896,MDEwOlJlcG9zaXRvcnkxMDk3MjY4OTY=,data-design-standards,XDgov/data-design-standards,False,https://github.com/XDgov/data-design-standards,,False,https://api.github.com/repos/XDgov/data-design-standards,2017-11-06T17:24:25Z,2023-10-14T04:14:27Z,2021-10-20T22:43:17Z,,3694,8,8,CSS,True,True,True,True,True,False,3,,False,False,14,,True,False,False,[],public,3,14,8,master,XDgov,27742181,MDEyOk9yZ2FuaXphdGlvbjI3NzQyMTgx,Organization,public,False,False,False,False,False,True,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=
119849182,MDEwOlJlcG9zaXRvcnkxMTk4NDkxODI=,chartjs-plugin-us-error-bars,XDgov/chartjs-plugin-us-error-bars,False,https://github.com/XDgov/chartjs-plugin-us-error-bars,Chart.js Plugin for added Chart functionality and new Chart types.,False,https://api.github.com/repos/XDgov/chartjs-plugin-us-error-bars,2018-02-01T14:48:07Z,2018-08-17T16:00:02Z,2022-12-07T23:00:42Z,,3031,2,2,JavaScript,True,True,True,True,False,False,2,,False,False,12,,True,False,False,[],public,2,12,2,master,XDgov,27742181,MDEyOk9yZ2FuaXphdGlvbjI3NzQyMTgx,Organization,public,False,False,False,False,False,True,,,,,
127764775,MDEwOlJlcG9zaXRvcnkxMjc3NjQ3NzU=,veteran-voices-concept,XDgov/veteran-voices-concept,False,https://github.com/XDgov/veteran-voices-concept,,False,https://api.github.com/repos/XDgov/veteran-voices-concept,2018-04-02T14:07:34Z,2021-02-08T10:09:18Z,2018-04-05T00:11:32Z,,1488,1,1,CSS,True,True,True,True,True,False,2,,False,False,0,,True,False,False,[],public,2,0,1,master,XDgov,27742181,MDEyOk9yZ2FuaXphdGlvbjI3NzQyMTgx,Organization,public,False,False,False,False,False,True,,,,,
134762147,MDEwOlJlcG9zaXRvcnkxMzQ3NjIxNDc=,recalls-api-schema,XDgov/recalls-api-schema,False,https://github.com/XDgov/recalls-api-schema,,False,https://api.github.com/repos/XDgov/recalls-api-schema,2018-05-24T19:52:49Z,2018-09-17T18:23:13Z,2018-09-17T18:23:14Z,,19,0,0,,True,True,True,True,False,False,0,,False,False,1,,True,False,False,[],public,0,1,0,master,XDgov,27742181,MDEyOk9yZ2FuaXphdGlvbjI3NzQyMTgx,Organization,public,False,False,False,False,False,True,,,,,
150371688,MDEwOlJlcG9zaXRvcnkxNTAzNzE2ODg=,recalls_api,XDgov/recalls_api,False,https://github.com/XDgov/recalls_api,"Allows you to tap into a list of car, drug, food, and product safety recalls. Recalls are searchable by keyword, issuing agency, date, UPC code, vehicle-specific attributes, or any combination of these.",True,https://api.github.com/repos/XDgov/recalls_api,2018-09-26T05:11:15Z,2018-09-26T05:11:19Z,2018-09-26T06:34:46Z,,168,0,0,Ruby,False,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,0,master,XDgov,27742181,MDEyOk9yZ2FuaXphdGlvbjI3NzQyMTgx,Organization,public,False,False,False,False,False,True,cc0-1.0,Creative Commons Zero v1.0 Universal,CC0-1.0,https://api.github.com/licenses/cc0-1.0,MDc6TGljZW5zZTY=
159722820,MDEwOlJlcG9zaXRvcnkxNTk3MjI4MjA=,sas2db,XDgov/sas2db,False,https://github.com/XDgov/sas2db,Import SAS files to SQL databases,False,https://api.github.com/repos/XDgov/sas2db,2018-11-29T20:22:46Z,2024-12-18T16:40:20Z,2021-09-24T06:26:58Z,,48,10,10,Python,True,False,True,False,False,False,4,,False,False,10,,True,False,False,[],public,4,10,10,master,XDgov,27742181,MDEyOk9yZ2FuaXphdGlvbjI3NzQyMTgx,Organization,public,False,False,False,False,False,True,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=
