id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,license,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull,license.key,license.name,license.spdx_id,license.url,license.node_id
204685534,MDEwOlJlcG9zaXRvcnkyMDQ2ODU1MzQ=,ace-appointment-scheduler,aceuganda/ace-appointment-scheduler,False,https://github.com/aceuganda/ace-appointment-scheduler,An appointment scheduling app for the African Centers of Excellence. The app is built in ReactJs and NodeJs,False,https://api.github.com/repos/aceuganda/ace-appointment-scheduler,2019-08-27T11:08:48Z,2021-01-09T14:20:09Z,2023-01-04T08:19:13Z,https://aceuganda.github.io/ace-appointment-scheduler/,8205,6,6,JavaScript,True,True,True,True,True,False,2,,False,False,24,,True,False,False,[],public,2,24,6,master,aceuganda,54578289,MDEyOk9yZ2FuaXphdGlvbjU0NTc4Mjg5,Organization,public,False,False,False,False,False,True,,,,,
204902727,MDEwOlJlcG9zaXRvcnkyMDQ5MDI3Mjc=,ace-appointment-scheduler-server,aceuganda/ace-appointment-scheduler-server,False,https://github.com/aceuganda/ace-appointment-scheduler-server,,False,https://api.github.com/repos/aceuganda/ace-appointment-scheduler-server,2019-08-28T10:08:02Z,2020-09-02T05:21:44Z,2022-12-10T05:54:29Z,,267,5,5,JavaScript,True,True,True,True,False,False,0,,False,False,9,,True,False,False,[],public,0,9,5,master,aceuganda,54578289,MDEyOk9yZ2FuaXphdGlvbjU0NTc4Mjg5,Organization,public,False,False,False,False,False,True,,,,,
210522304,MDEwOlJlcG9zaXRvcnkyMTA1MjIzMDQ=,ACE,aceuganda/ACE,False,https://github.com/aceuganda/ACE,Seminar materials for BCBB ACE Workshops,True,https://api.github.com/repos/aceuganda/ACE,2019-09-24T05:53:05Z,2019-10-02T08:41:00Z,2019-09-17T14:38:03Z,,201906,1,1,,False,True,True,True,False,False,1,,False,False,0,,True,False,False,[],public,1,0,1,master,aceuganda,54578289,MDEyOk9yZ2FuaXphdGlvbjU0NTc4Mjg5,Organization,public,False,False,False,False,False,True,,,,,
227521267,MDEwOlJlcG9zaXRvcnkyMjc1MjEyNjc=,AI-ML-Bioinformatics-Training,aceuganda/AI-ML-Bioinformatics-Training,False,https://github.com/aceuganda/AI-ML-Bioinformatics-Training,Notes from the the MAPRONANO-ACE Training from 10th to 14th December 2019,False,https://api.github.com/repos/aceuganda/AI-ML-Bioinformatics-Training,2019-12-12T04:39:16Z,2020-02-06T10:59:44Z,2019-12-19T16:34:13Z,,13270,1,1,Jupyter Notebook,True,True,True,True,False,False,2,,False,False,0,,True,False,False,[],public,2,0,1,master,aceuganda,54578289,MDEyOk9yZ2FuaXphdGlvbjU0NTc4Mjg5,Organization,public,False,False,False,False,False,True,,,,,
298794753,MDEwOlJlcG9zaXRvcnkyOTg3OTQ3NTM=,R_Bioconductor,aceuganda/R_Bioconductor,False,https://github.com/aceuganda/R_Bioconductor,R programming and Bioconductor ,False,https://api.github.com/repos/aceuganda/R_Bioconductor,2020-09-26T10:57:15Z,2021-04-09T06:20:55Z,2021-04-09T06:20:53Z,,108,0,0,R,True,True,True,True,False,False,1,,False,False,0,,True,False,False,[],public,1,0,0,master,aceuganda,54578289,MDEyOk9yZ2FuaXphdGlvbjU0NTc4Mjg5,Organization,public,False,False,False,False,False,True,,,,,
453380981,R_kgDOGwYLdQ,epilepsy-smart-app,aceuganda/epilepsy-smart-app,False,https://github.com/aceuganda/epilepsy-smart-app,,False,https://api.github.com/repos/aceuganda/epilepsy-smart-app,2022-01-29T11:41:49Z,2024-08-13T18:07:41Z,2024-08-13T18:07:38Z,,54171,2,2,JavaScript,True,True,True,True,False,False,2,,False,False,0,,True,False,False,[],public,2,0,2,main,aceuganda,54578289,MDEyOk9yZ2FuaXphdGlvbjU0NTc4Mjg5,Organization,public,False,False,False,False,False,True,,,,,
453381926,R_kgDOGwYPJg,epilepsy-smart-server,aceuganda/epilepsy-smart-server,False,https://github.com/aceuganda/epilepsy-smart-server,Backend RESTFUL API for the Epilepsy SMART App ,False,https://api.github.com/repos/aceuganda/epilepsy-smart-server,2022-01-29T11:46:16Z,2024-08-27T09:52:20Z,2024-08-27T09:52:16Z,https://epilepsy-smartapp-api.onrender.com,124,0,0,Python,True,True,True,True,False,False,1,,False,False,0,,True,False,False,"['flask', 'swagger-documentation']",public,1,0,0,develop,aceuganda,54578289,MDEyOk9yZ2FuaXphdGlvbjU0NTc4Mjg5,Organization,public,False,False,False,False,False,True,,,,,
501333046,R_kgDOHeG8Ng,BigDataClass-ACE-Sem-II-2021-2022,aceuganda/BigDataClass-ACE-Sem-II-2021-2022,False,https://github.com/aceuganda/BigDataClass-ACE-Sem-II-2021-2022,This repository contains the teaching material for the BigBioDataClass-ACE Semester-2 Year: 2021-2022,False,https://api.github.com/repos/aceuganda/BigDataClass-ACE-Sem-II-2021-2022,2022-06-08T16:40:05Z,2022-06-08T17:24:21Z,2023-03-31T14:58:33Z,,107611,0,0,Jupyter Notebook,True,True,True,True,False,False,15,,False,False,2,,True,False,False,[],public,15,2,0,main,aceuganda,54578289,MDEyOk9yZ2FuaXphdGlvbjU0NTc4Mjg5,Organization,public,False,False,False,False,False,True,mit,MIT License,MIT,https://api.github.com/licenses/mit,MDc6TGljZW5zZTEz
604279825,R_kgDOJASUEQ,chatbot-client,aceuganda/chatbot-client,False,https://github.com/aceuganda/chatbot-client,,False,https://api.github.com/repos/aceuganda/chatbot-client,2023-02-20T18:06:04Z,2023-02-20T18:30:56Z,2023-05-31T09:21:59Z,,652,0,0,JavaScript,True,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,0,main,aceuganda,54578289,MDEyOk9yZ2FuaXphdGlvbjU0NTc4Mjg5,Organization,public,False,False,False,False,False,True,,,,,
734247143,R_kgDOK8O45w,heal,aceuganda/heal,False,https://github.com/aceuganda/heal,Ask Questions in natural language and get Answers backed by private sources. This is to assist medical personels in quick symptoms assessment and medical knowledge in both Luganda and English,False,https://api.github.com/repos/aceuganda/heal,2023-12-21T08:10:15Z,2024-04-28T19:14:05Z,2024-04-28T10:42:43Z,http://heal.aceuganda.org/,6262,0,0,Python,False,True,True,False,False,False,0,,False,False,0,,True,False,False,"['ai', 'assistant', 'health', 'nextjs', 'python', 'rag', 'web']",public,0,0,0,main,aceuganda,54578289,MDEyOk9yZ2FuaXphdGlvbjU0NTc4Mjg5,Organization,public,False,False,False,False,False,True,mit,MIT License,MIT,https://api.github.com/licenses/mit,MDc6TGljZW5zZTEz
823989756,R_kgDOMR0V_A,camo-net-amr-frontend,aceuganda/camo-net-amr-frontend,False,https://github.com/aceuganda/camo-net-amr-frontend,This repository contains code to the frontend  and visualisation tools  for AMR data from the data warehouse.,False,https://api.github.com/repos/aceuganda/camo-net-amr-frontend,2024-07-04T06:38:01Z,2024-12-11T08:07:04Z,2024-12-11T08:07:00Z,,7319,0,0,TypeScript,True,True,True,False,False,False,0,,False,False,0,,True,False,False,[],public,0,0,0,main,aceuganda,54578289,MDEyOk9yZ2FuaXphdGlvbjU0NTc4Mjg5,Organization,public,False,False,False,False,False,True,,,,,
