id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,license,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull,license.key,license.name,license.spdx_id,license.url,license.node_id
3137714,MDEwOlJlcG9zaXRvcnkzMTM3NzE0,LR.Net,adlnet-archive/LR.Net,False,https://github.com/adlnet-archive/LR.Net,A .Net client library for the Learning Registry,False,https://api.github.com/repos/adlnet-archive/LR.Net,2012-01-09T15:55:16Z,2015-10-06T15:00:06Z,2012-03-06T20:30:42Z,,1738,7,7,C#,True,True,True,True,False,False,7,,False,False,0,,True,False,False,[],public,7,0,7,master,adlnet-archive,14997882,MDEyOk9yZ2FuaXphdGlvbjE0OTk3ODgy,Organization,public,False,False,False,False,False,True,,,,,
3259370,MDEwOlJlcG9zaXRvcnkzMjU5Mzcw,3D-Repository,adlnet-archive/3D-Repository,False,https://github.com/adlnet-archive/3D-Repository,"The ADL 3D Repository is a website for uploading, finding, and downloading 3D models.",False,https://api.github.com/repos/adlnet-archive/3D-Repository,2012-01-24T20:12:55Z,2020-06-26T19:55:33Z,2015-11-10T21:07:41Z,,228520,25,25,JavaScript,True,True,True,True,False,False,16,,False,False,8,,True,False,False,[],public,16,8,25,master,adlnet-archive,14997882,MDEyOk9yZ2FuaXphdGlvbjE0OTk3ODgy,Organization,public,False,False,False,False,False,True,,,,,
3391637,MDEwOlJlcG9zaXRvcnkzMzkxNjM3,LR-Publisher,adlnet-archive/LR-Publisher,False,https://github.com/adlnet-archive/LR-Publisher,a graphical user interface for publishing to the learning registry,False,https://api.github.com/repos/adlnet-archive/LR-Publisher,2012-02-08T21:37:07Z,2015-10-06T15:00:32Z,2012-03-14T23:41:11Z,,241,6,6,C#,True,True,True,True,False,False,3,,False,False,0,,True,False,False,[],public,3,0,6,master,adlnet-archive,14997882,MDEyOk9yZ2FuaXphdGlvbjE0OTk3ODgy,Organization,public,False,False,False,False,False,True,,,,,
3408143,MDEwOlJlcG9zaXRvcnkzNDA4MTQz,scorm4unity,adlnet-archive/scorm4unity,False,https://github.com/adlnet-archive/scorm4unity,The Unity-SCORM Integration Toolkit is a demonstration of how content developers can use a game engine to create SCORM-Conformant content.,False,https://api.github.com/repos/adlnet-archive/scorm4unity,2012-02-10T15:15:44Z,2024-10-06T01:04:32Z,2013-10-30T19:53:27Z,,3139,35,35,C#,True,True,True,True,False,False,17,,False,False,5,,True,False,False,[],public,17,5,35,master,adlnet-archive,14997882,MDEyOk9yZ2FuaXphdGlvbjE0OTk3ODgy,Organization,public,False,False,False,False,False,True,,,,,
3518807,MDEwOlJlcG9zaXRvcnkzNTE4ODA3,TinCan_Prototypes,adlnet-archive/TinCan_Prototypes,False,https://github.com/adlnet-archive/TinCan_Prototypes,"The Learning Record Store (LRS) and client prototype deliverables from the original ""Project Tin Can"" BAA effort.",True,https://api.github.com/repos/adlnet-archive/TinCan_Prototypes,2012-02-22T20:50:29Z,2015-11-25T14:03:59Z,2012-02-21T23:11:14Z,,1396,17,17,JavaScript,False,True,True,True,False,False,11,,False,False,1,,True,False,False,[],public,11,1,17,master,adlnet-archive,14997882,MDEyOk9yZ2FuaXphdGlvbjE0OTk3ODgy,Organization,public,False,False,False,False,False,True,,,,,
4421563,MDEwOlJlcG9zaXRvcnk0NDIxNTYz,LRSGame,adlnet-archive/LRSGame,False,https://github.com/adlnet-archive/LRSGame,"This HTML5/jQuery Mobile sample demonstrates a simple conference web application with QR codes for the Experience API (""Tin Can API"").",False,https://api.github.com/repos/adlnet-archive/LRSGame,2012-05-23T15:09:46Z,2015-10-06T16:50:28Z,2013-12-10T11:57:39Z,,2490,8,8,JavaScript,True,True,True,True,False,False,8,,False,False,9,,True,False,False,[],public,8,9,8,master,adlnet-archive,14997882,MDEyOk9yZ2FuaXphdGlvbjE0OTk3ODgy,Organization,public,False,False,False,False,False,True,,,,,
4423066,MDEwOlJlcG9zaXRvcnk0NDIzMDY2,Bookmarklet,adlnet-archive/Bookmarklet,False,https://github.com/adlnet-archive/Bookmarklet,"This bookmarklet sample is used to report informal learning to a Learning Record Store (LRS) using the Experience API (""Tin Can API"").",False,https://api.github.com/repos/adlnet-archive/Bookmarklet,2012-05-23T17:27:00Z,2015-10-06T16:57:06Z,2012-06-05T13:03:51Z,,243,7,7,JavaScript,True,True,True,True,False,False,2,,False,False,1,,True,False,False,[],public,2,1,7,master,adlnet-archive,14997882,MDEyOk9yZ2FuaXphdGlvbjE0OTk3ODgy,Organization,public,False,False,False,False,False,True,,,,,
4783244,MDEwOlJlcG9zaXRvcnk0NzgzMjQ0,pytincan,adlnet-archive/pytincan,False,https://github.com/adlnet-archive/pytincan,"A community-supplied python library for the Experience API (""Tin Can API""). ",False,https://api.github.com/repos/adlnet-archive/pytincan,2012-06-25T15:09:40Z,2020-09-28T08:48:09Z,2012-07-05T13:15:36Z,,124,7,7,Python,True,True,True,True,False,False,5,,False,False,0,,True,False,False,[],public,5,0,7,master,adlnet-archive,14997882,MDEyOk9yZ2FuaXphdGlvbjE0OTk3ODgy,Organization,public,False,False,False,False,False,True,,,,,
5123932,MDEwOlJlcG9zaXRvcnk1MTIzOTMy,LRSGameDashboard,adlnet-archive/LRSGameDashboard,False,https://github.com/adlnet-archive/LRSGameDashboard,"This example reporting tool for the Experience API (""Tin Can API"") displays the Leaderboard on a large screen with data collected from the LRSGame.",False,https://api.github.com/repos/adlnet-archive/LRSGameDashboard,2012-07-20T14:13:08Z,2024-06-21T15:34:38Z,2013-12-10T11:57:16Z,,490,6,6,JavaScript,True,True,True,True,False,False,5,,False,False,1,,True,False,False,[],public,5,1,6,master,adlnet-archive,14997882,MDEyOk9yZ2FuaXphdGlvbjE0OTk3ODgy,Organization,public,False,False,False,False,False,True,,,,,
5703958,MDEwOlJlcG9zaXRvcnk1NzAzOTU4,xAPI-TestSpec,adlnet-archive/xAPI-TestSpec,False,https://github.com/adlnet-archive/xAPI-TestSpec,This is a test repository to define the workflow needed to iterate the Experience API specification on GitHub.,False,https://api.github.com/repos/adlnet-archive/xAPI-TestSpec,2012-09-06T15:07:54Z,2015-10-06T16:52:50Z,2013-03-27T13:06:32Z,,520,1,1,,True,True,True,True,False,False,3,,False,False,1,,True,False,False,[],public,3,1,1,master,adlnet-archive,14997882,MDEyOk9yZ2FuaXphdGlvbjE0OTk3ODgy,Organization,public,False,False,False,False,False,True,,,,,
6724020,MDEwOlJlcG9zaXRvcnk2NzI0MDIw,maslo-player,adlnet-archive/maslo-player,False,https://github.com/adlnet-archive/maslo-player,This iOS mobile application is used to display content packs created in the MASLO editor.,True,https://api.github.com/repos/adlnet-archive/maslo-player,2012-11-16T16:00:22Z,2016-06-10T14:30:33Z,2012-11-06T18:42:25Z,http://academiccolab.org/maslo/,3011,1,1,JavaScript,False,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,1,master,adlnet-archive,14997882,MDEyOk9yZ2FuaXphdGlvbjE0OTk3ODgy,Organization,public,False,False,False,False,False,True,,,,,
6724026,MDEwOlJlcG9zaXRvcnk2NzI0MDI2,maslo-player-customizer,adlnet-archive/maslo-player-customizer,False,https://github.com/adlnet-archive/maslo-player-customizer,A GUI tool to customize the look and feel for the MASLO player mobile apps.,True,https://api.github.com/repos/adlnet-archive/maslo-player-customizer,2012-11-16T16:01:04Z,2015-10-06T16:56:26Z,2012-08-27T17:14:52Z,,1227,0,0,JavaScript,False,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,0,master,adlnet-archive,14997882,MDEyOk9yZ2FuaXphdGlvbjE0OTk3ODgy,Organization,public,False,False,False,False,False,True,,,,,
6724032,MDEwOlJlcG9zaXRvcnk2NzI0MDMy,maslo-server,adlnet-archive/maslo-server,False,https://github.com/adlnet-archive/maslo-server,The MASLO store server software receives and serves MASLO content packs on any web server with PHP5/SQLite3/Python2 support.,True,https://api.github.com/repos/adlnet-archive/maslo-server,2012-11-16T16:01:32Z,2015-10-06T16:54:05Z,2012-11-08T22:13:40Z,,735,1,1,PHP,False,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,1,master,adlnet-archive,14997882,MDEyOk9yZ2FuaXphdGlvbjE0OTk3ODgy,Organization,public,False,False,False,False,False,True,gpl-3.0,GNU General Public License v3.0,GPL-3.0,https://api.github.com/licenses/gpl-3.0,MDc6TGljZW5zZTk=
6724036,MDEwOlJlcG9zaXRvcnk2NzI0MDM2,maslo-editor,adlnet-archive/maslo-editor,False,https://github.com/adlnet-archive/maslo-editor,Mobile Access to Supplemental Learning Objects (MASLO)  is an open source software system for authoring packages of supplemental learning materials and distributing them to mobile devices.,True,https://api.github.com/repos/adlnet-archive/maslo-editor,2012-11-16T16:01:58Z,2015-10-06T16:53:45Z,2012-11-13T15:39:02Z,,5844,2,2,JavaScript,False,True,True,True,False,False,1,,False,False,0,,True,False,False,[],public,1,0,2,master,adlnet-archive,14997882,MDEyOk9yZ2FuaXphdGlvbjE0OTk3ODgy,Organization,public,False,False,False,False,False,True,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=
