id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,license.key,license.name,license.spdx_id,license.url,license.node_id,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull,license
30170595,MDEwOlJlcG9zaXRvcnkzMDE3MDU5NQ==,glinski_rateconstants_toxletters2018,amphibian-exeff/glinski_rateconstants_toxletters2018,False,https://github.com/amphibian-exeff/glinski_rateconstants_toxletters2018,"Code and data repository for Glinski DA, Henderson WM, Van Meter RJ, Purucker ST, 2018. Using in vitro derived enzymatic rate constants to inform pesticide body burdens in amphibians. Toxicology Letters, 288:9-16.",False,https://api.github.com/repos/amphibian-exeff/glinski_rateconstants_toxletters2018,2015-02-02T04:09:51Z,2021-08-09T03:22:44Z,2021-08-09T03:05:23Z,https://doi.org/10.1016/j.toxlet.2018.02.016,45944,1,1,HTML,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,1,master,amphibian-exeff,76227082,MDEyOk9yZ2FuaXphdGlvbjc2MjI3MDgy,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
30198608,MDEwOlJlcG9zaXRvcnkzMDE5ODYwOA==,vanmeter_aerial_aect2015,amphibian-exeff/vanmeter_aerial_aect2015,False,https://github.com/amphibian-exeff/vanmeter_aerial_aect2015,"Code and data repository for Van Meter, R.J.; Glinski, D.; Henderson, M.; Garrison, W., Purucker, S. T., 2015. Pesticide uptake across the amphibian dermis through soil and aerial overspray exposures. Archives of Environmental Contamination and Toxicology, doi:10.1007/s00244-015-0183-2. (PubMed, Springer).",False,https://api.github.com/repos/amphibian-exeff/vanmeter_aerial_aect2015,2015-02-02T17:24:19Z,2021-08-09T04:00:42Z,2021-08-09T04:00:40Z,http://link.springer.com/article/10.1007%2Fs00244-015-0183-2#page-1,32,1,1,R,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,1,master,amphibian-exeff,76227082,MDEyOk9yZ2FuaXphdGlvbjc2MjI3MDgy,Organization,public,False,,,,,,False,False,False,False,True,
31033635,MDEwOlJlcG9zaXRvcnkzMTAzMzYzNQ==,vanmeter_soilom_etc2016,amphibian-exeff/vanmeter_soilom_etc2016,False,https://github.com/amphibian-exeff/vanmeter_soilom_etc2016,"Code and data repository for Van Meter, R.J.; Glinski, D.; Henderson, Purucker, S. T., 2016. Soil organic matter content effects on pesticide bioconcentration in American toads (Anaxyrus americanus) Environmental Toxicology and Chemistry, 35(11):2734-2741. ",False,https://api.github.com/repos/amphibian-exeff/vanmeter_soilom_etc2016,2015-02-19T19:52:22Z,2021-08-09T04:02:29Z,2021-08-09T04:02:08Z,https://doi.org/10.1002/etc.3439,1222,1,1,HTML,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,1,master,amphibian-exeff,76227082,MDEyOk9yZ2FuaXphdGlvbjc2MjI3MDgy,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
41526957,MDEwOlJlcG9zaXRvcnk0MTUyNjk1Nw==,vanmeter_bodyburdens_envpoll2014,amphibian-exeff/vanmeter_bodyburdens_envpoll2014,False,https://github.com/amphibian-exeff/vanmeter_bodyburdens_envpoll2014,"Code and data repository for Van Meter, R.J., Glinski, D.A., Hong, T., Cyterski, M.J., Henderson, W.M., Purucker, S.T., 2014. Estimating terrestrial amphibian pesticide body burden through dermal exposure. Environmental Pollution, 193:262-268.",False,https://api.github.com/repos/amphibian-exeff/vanmeter_bodyburdens_envpoll2014,2015-08-28T04:26:56Z,2021-08-09T03:59:32Z,2021-08-09T03:59:00Z,https://doi.org/10.1016/j.envpol.2014.07.003,52009,1,1,R,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,1,master,amphibian-exeff,76227082,MDEyOk9yZ2FuaXphdGlvbjc2MjI3MDgy,Organization,public,False,,,,,,False,False,False,False,True,
41876277,MDEwOlJlcG9zaXRvcnk0MTg3NjI3Nw==,purucker_dermalcollation,amphibian-exeff/purucker_dermalcollation,False,https://github.com/amphibian-exeff/purucker_dermalcollation,"Code and data repository for Purucker ST, Snyder MN, Glinski DA, Van Meter RJ, Garber K, Cyterski MJ, Sinnathamby S, Henderson WM, 2021. Estimating dermal contact soil exposure for amphibians. ",False,https://api.github.com/repos/amphibian-exeff/purucker_dermalcollation,2015-09-03T18:21:08Z,2024-10-26T08:00:58Z,2021-08-09T03:32:24Z,,18277,2,2,HTML,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,2,master,amphibian-exeff,76227082,MDEyOk9yZ2FuaXphdGlvbjc2MjI3MDgy,Organization,public,False,,,,,,False,False,False,False,True,
41876336,MDEwOlJlcG9zaXRvcnk0MTg3NjMzNg==,snyder_biomarkers_aquatictox2017,amphibian-exeff/snyder_biomarkers_aquatictox2017,False,https://github.com/amphibian-exeff/snyder_biomarkers_aquatictox2017,"Code and data repository for Snyder MN, Henderson WM, Glinski DG, Purucker ST, 2017. Biomarker analysis of american toad (Anaxyrus americanus) and grey tree frog (Hyla versicolor) tadpoles following exposure to atrazine. Aquatic Toxicology, 182:184-193.",False,https://api.github.com/repos/amphibian-exeff/snyder_biomarkers_aquatictox2017,2015-09-03T18:22:41Z,2021-08-09T03:21:17Z,2021-08-09T02:56:33Z,https://doi.org/10.1016/j.aquatox.2016.11.018,23804,1,1,R,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,1,master,amphibian-exeff,76227082,MDEyOk9yZ2FuaXphdGlvbjc2MjI3MDgy,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
46515460,MDEwOlJlcG9zaXRvcnk0NjUxNTQ2MA==,glinski_dehydration_espr2018,amphibian-exeff/glinski_dehydration_espr2018,False,https://github.com/amphibian-exeff/glinski_dehydration_espr2018,"Code and data repository for Glinski DA, Henderson WM, Van Meter RJ, Purucker ST 2017. Effect of hydration status on pesticide uptake in anurans following exposure to contaminated soils. Environmental Science and Pollution Research, 25:16192-16201.",False,https://api.github.com/repos/amphibian-exeff/glinski_dehydration_espr2018,2015-11-19T19:32:27Z,2021-08-09T03:38:22Z,2021-08-09T02:53:50Z,https://doi.org/10.1007/s11356-018-1830-8,4004,1,1,HTML,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,1,master,amphibian-exeff,76227082,MDEyOk9yZ2FuaXphdGlvbjc2MjI3MDgy,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
65318652,MDEwOlJlcG9zaXRvcnk2NTMxODY1Mg==,glinski_stemflow_chemosphere2018,amphibian-exeff/glinski_stemflow_chemosphere2018,False,https://github.com/amphibian-exeff/glinski_stemflow_chemosphere2018,"Code and data repository for Glinski DA, Purucker ST, Van Meter RJ, Black MC, Henderson WM, 2018. Analysis of pesticides in surface water, stemflow, and throughfall from agricultural use in south Georgia, USA. Chemosphere, 209:496-507. ",False,https://api.github.com/repos/amphibian-exeff/glinski_stemflow_chemosphere2018,2016-08-09T18:28:53Z,2021-08-09T03:23:32Z,2021-08-09T03:10:18Z,https://doi.org/10.1016/j.chemosphere.2018.06.116,5719,1,1,HTML,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,1,master,amphibian-exeff,76227082,MDEyOk9yZ2FuaXphdGlvbjc2MjI3MDgy,Organization,public,False,,,,,,False,False,False,False,True,
87220565,MDEwOlJlcG9zaXRvcnk4NzIyMDU2NQ==,glinski_biomarkers_envchem2018,amphibian-exeff/glinski_biomarkers_envchem2018,False,https://github.com/amphibian-exeff/glinski_biomarkers_envchem2018,"Code and data repository for Glinski DA, Purucker ST, Van Meter RJ, Black MC, Henderson WM, 2019. Endogenous and exogenous biomarker analysis in terrestrial phase amphibians (Lithobates sphenocephala) following dermal exposure to pesticide mixtures. Environmental Chemistry, 16:55-67.",False,https://api.github.com/repos/amphibian-exeff/glinski_biomarkers_envchem2018,2017-04-04T18:19:28Z,2021-08-09T03:37:08Z,2021-08-09T03:02:57Z,https://doi.org/10.1071/EN18163,44048,1,1,R,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,1,master,amphibian-exeff,76227082,MDEyOk9yZ2FuaXphdGlvbjc2MjI3MDgy,Organization,public,False,,,,,,False,False,False,False,True,
102496494,MDEwOlJlcG9zaXRvcnkxMDI0OTY0OTQ=,henderson_lab_utilities,amphibian-exeff/henderson_lab_utilities,False,https://github.com/amphibian-exeff/henderson_lab_utilities,scripts to support analyses conducted in Matt Henderson's lab,False,https://api.github.com/repos/amphibian-exeff/henderson_lab_utilities,2017-09-05T15:10:25Z,2021-08-09T03:24:02Z,2017-09-05T15:10:27Z,,0,1,1,,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,1,master,amphibian-exeff,76227082,MDEyOk9yZ2FuaXphdGlvbjc2MjI3MDgy,Organization,public,False,,,,,,False,False,False,False,True,
