id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,license,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull,license.key,license.name,license.spdx_id,license.url,license.node_id
32936375,MDEwOlJlcG9zaXRvcnkzMjkzNjM3NQ==,oss,anl-cyberscience/oss,False,https://github.com/anl-cyberscience/oss,\B\C\M\C\ Open Source Software,True,https://api.github.com/repos/anl-cyberscience/oss,2015-03-26T15:42:37Z,2015-04-16T13:15:00Z,2015-08-13T20:34:47Z,,107435,0,0,HTML,False,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,0,master,anl-cyberscience,10091937,MDEyOk9yZ2FuaXphdGlvbjEwMDkxOTM3,Organization,public,False,False,False,False,False,True,,,,,
32940256,MDEwOlJlcG9zaXRvcnkzMjk0MDI1Ng==,java-stix-validator,anl-cyberscience/java-stix-validator,False,https://github.com/anl-cyberscience/java-stix-validator,A Java STIX validator library with a JavaFX UI,True,https://api.github.com/repos/anl-cyberscience/java-stix-validator,2015-03-26T16:52:54Z,2015-04-10T18:42:34Z,2015-04-10T18:42:34Z,,988,0,0,Java,False,True,True,False,False,False,0,,False,False,0,,True,False,False,[],public,0,0,0,master,anl-cyberscience,10091937,MDEyOk9yZ2FuaXphdGlvbjEwMDkxOTM3,Organization,public,False,False,False,False,False,True,bsd-3-clause,"BSD 3-Clause ""New"" or ""Revised"" License",BSD-3-Clause,https://api.github.com/licenses/bsd-3-clause,MDc6TGljZW5zZTU=
32942429,MDEwOlJlcG9zaXRvcnkzMjk0MjQyOQ==,java-taxii,anl-cyberscience/java-taxii,False,https://github.com/anl-cyberscience/java-taxii,A Java library for handling TAXII Messages and invoking TAXII Services. See http://taxii.mitre.org/.,True,https://api.github.com/repos/anl-cyberscience/java-taxii,2015-03-26T17:36:25Z,2015-03-26T17:36:26Z,2015-08-25T18:13:49Z,,23260,0,0,Java,False,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,0,master,anl-cyberscience,10091937,MDEyOk9yZ2FuaXphdGlvbjEwMDkxOTM3,Organization,public,False,False,False,False,False,True,bsd-3-clause,"BSD 3-Clause ""New"" or ""Revised"" License",BSD-3-Clause,https://api.github.com/licenses/bsd-3-clause,MDc6TGljZW5zZTU=
32942876,MDEwOlJlcG9zaXRvcnkzMjk0Mjg3Ng==,java-taxii-clients,anl-cyberscience/java-taxii-clients,False,https://github.com/anl-cyberscience/java-taxii-clients,Sample clients that demonstrate the use of the java-taxii library.,True,https://api.github.com/repos/anl-cyberscience/java-taxii-clients,2015-03-26T17:45:18Z,2015-03-26T17:45:19Z,2015-08-28T20:28:20Z,,469,0,0,Java,False,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,0,master,anl-cyberscience,10091937,MDEyOk9yZ2FuaXphdGlvbjEwMDkxOTM3,Organization,public,False,False,False,False,False,True,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=
34286096,MDEwOlJlcG9zaXRvcnkzNDI4NjA5Ng==,LQMToolset,anl-cyberscience/LQMToolset,False,https://github.com/anl-cyberscience/LQMToolset,Flexible framework that allows automation to process cyber threat information and update endpoint defense tools.,False,https://api.github.com/repos/anl-cyberscience/LQMToolset,2015-04-20T20:58:05Z,2022-10-17T21:40:08Z,2018-10-24T13:22:41Z,https://cfm.gss.anl.gov/lqmt/,880,21,21,Python,True,True,True,True,False,False,6,,False,False,0,,True,False,False,"['bro', 'checkpoint', 'cybersecurity', 'endpoint-defense', 'palo-alto-firewalls', 'python', 'splunk']",public,6,0,21,master,anl-cyberscience,10091937,MDEyOk9yZ2FuaXphdGlvbjEwMDkxOTM3,Organization,public,False,False,False,False,False,True,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=
35681071,MDEwOlJlcG9zaXRvcnkzNTY4MTA3MQ==,FlexTransform,anl-cyberscience/FlexTransform,False,https://github.com/anl-cyberscience/FlexTransform,Enables dynamic translation of structured data between formats,False,https://api.github.com/repos/anl-cyberscience/FlexTransform,2015-05-15T15:18:52Z,2024-01-13T23:53:48Z,2018-12-14T20:44:37Z,https://cfm.gss.anl.gov/flexible-transform/,24569,14,14,Python,True,True,True,True,False,False,2,,False,False,12,,True,False,False,"['python', 'python-library', 'stix']",public,2,12,14,master,anl-cyberscience,10091937,MDEyOk9yZ2FuaXphdGlvbjEwMDkxOTM3,Organization,public,False,False,False,False,False,True,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=
49665206,MDEwOlJlcG9zaXRvcnk0OTY2NTIwNg==,anl-cyberscience.github.io,anl-cyberscience/anl-cyberscience.github.io,False,https://github.com/anl-cyberscience/anl-cyberscience.github.io,,False,https://api.github.com/repos/anl-cyberscience/anl-cyberscience.github.io,2016-01-14T18:05:01Z,2016-01-14T18:10:00Z,2016-01-14T18:09:59Z,,0,0,0,HTML,False,True,True,False,True,False,0,,False,False,0,,True,False,False,[],public,0,0,0,master,anl-cyberscience,10091937,MDEyOk9yZ2FuaXphdGlvbjEwMDkxOTM3,Organization,public,False,False,False,False,False,True,,,,,
100390674,MDEwOlJlcG9zaXRvcnkxMDAzOTA2NzQ=,trigger,anl-cyberscience/trigger,False,https://github.com/anl-cyberscience/trigger,Trigger is a robust network automation toolkit written in Python that was designed for interfacing with network devices.,True,https://api.github.com/repos/anl-cyberscience/trigger,2017-08-15T15:19:23Z,2017-08-15T15:19:25Z,2017-03-20T17:41:44Z,trigger.readthedocs.org,1889,0,0,Python,False,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,0,develop,anl-cyberscience,10091937,MDEyOk9yZ2FuaXphdGlvbjEwMDkxOTM3,Organization,public,False,False,False,False,False,True,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=
181547561,MDEwOlJlcG9zaXRvcnkxODE1NDc1NjE=,java-stix,anl-cyberscience/java-stix,False,https://github.com/anl-cyberscience/java-stix, Java bindings for STIX,True,https://api.github.com/repos/anl-cyberscience/java-stix,2019-04-15T18:53:29Z,2019-04-15T18:53:32Z,2019-04-16T15:24:44Z,,8221,0,0,Java,False,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,0,master,anl-cyberscience,10091937,MDEyOk9yZ2FuaXphdGlvbjEwMDkxOTM3,Organization,public,False,False,False,False,False,True,bsd-3-clause,"BSD 3-Clause ""New"" or ""Revised"" License",BSD-3-Clause,https://api.github.com/licenses/bsd-3-clause,MDc6TGljZW5zZTU=
181903027,MDEwOlJlcG9zaXRvcnkxODE5MDMwMjc=,STIX-Java,anl-cyberscience/STIX-Java,False,https://github.com/anl-cyberscience/STIX-Java,STIX 2.x Java Library,True,https://api.github.com/repos/anl-cyberscience/STIX-Java,2019-04-17T13:58:15Z,2019-05-10T13:10:51Z,2019-05-16T16:06:13Z,,1762,0,0,Java,False,True,True,False,False,False,0,,False,False,0,,True,False,False,[],public,0,0,0,master,anl-cyberscience,10091937,MDEyOk9yZ2FuaXphdGlvbjEwMDkxOTM3,Organization,public,False,False,False,False,False,True,mit,MIT License,MIT,https://api.github.com/licenses/mit,MDc6TGljZW5zZTEz
