id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,license.key,license.name,license.spdx_id,license.url,license.node_id,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull,license
104356811,MDEwOlJlcG9zaXRvcnkxMDQzNTY4MTE=,musclex,biocatiit/musclex,False,https://github.com/biocatiit/musclex,Muscle X program suite is a collection of programs intended to assist with analyzing diffraction X-ray images.,False,https://api.github.com/repos/biocatiit/musclex,2017-09-21T14:12:44Z,2024-12-13T18:45:40Z,2024-12-13T18:45:35Z,,699050,5,5,Python,True,True,True,False,False,False,7,,False,False,9,True,False,False,"['diffraction', 'fibers', 'muscle', 'musclex']",public,7,9,5,master,biocatiit,32169585,MDEyOk9yZ2FuaXphdGlvbjMyMTY5NTg1,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
110598962,MDEwOlJlcG9zaXRvcnkxMTA1OTg5NjI=,musclex_ccp13,biocatiit/musclex_ccp13,False,https://github.com/biocatiit/musclex_ccp13,Three methods of background subtractions from CCP13 fortran codes which are built and can be called from musclex programs which are written in python,False,https://api.github.com/repos/biocatiit/musclex_ccp13,2017-11-13T20:35:23Z,2023-08-04T16:07:56Z,2023-08-04T16:07:50Z,,10422,0,0,Fortran,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,master,biocatiit,32169585,MDEyOk9yZ2FuaXphdGlvbjMyMTY5NTg1,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
124695267,MDEwOlJlcG9zaXRvcnkxMjQ2OTUyNjc=,chiplot-analyze,biocatiit/chiplot-analyze,False,https://github.com/biocatiit/chiplot-analyze,"Chiplot-analyze is a utility program designed to take as input 1D traces of the integrated intensity along rectangular boxed shaped regions aligned along either the equator, the meridian, or along a layer line using the program  FIT2D (http://www.esrf.eu/computing/scientific/FIT2D/) and saved as “chiplot” files.",False,https://api.github.com/repos/biocatiit/chiplot-analyze,2018-03-10T20:19:05Z,2023-03-02T02:43:22Z,2022-11-09T21:03:23Z,,2306,1,1,Python,True,True,True,True,False,False,1,,False,False,0,True,False,False,[],public,1,0,1,master,biocatiit,32169585,MDEyOk9yZ2FuaXphdGlvbjMyMTY5NTg1,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
130899671,MDEwOlJlcG9zaXRvcnkxMzA4OTk2NzE=,beamline-utilities,biocatiit/beamline-utilities,False,https://github.com/biocatiit/beamline-utilities,Beamline utilities for the BioCAT beamline.,False,https://api.github.com/repos/biocatiit/beamline-utilities,2018-04-24T18:47:51Z,2024-08-13T20:32:34Z,2024-08-02T15:41:31Z,,199,1,1,Python,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,1,master,biocatiit,32169585,MDEyOk9yZ2FuaXphdGlvbjMyMTY5NTg1,Organization,public,False,gpl-3.0,GNU General Public License v3.0,GPL-3.0,https://api.github.com/licenses/gpl-3.0,MDc6TGljZW5zZTk=,False,False,False,False,True,
131211413,MDEwOlJlcG9zaXRvcnkxMzEyMTE0MTM=,beamline-control-user,biocatiit/beamline-control-user,False,https://github.com/biocatiit/beamline-control-user,Beamline control programs and utilities for the BioCAT (Sector 18) beamline at the APS,False,https://api.github.com/repos/biocatiit/beamline-control-user,2018-04-26T21:14:45Z,2024-12-16T22:48:14Z,2024-12-16T22:48:10Z,,1908,0,0,Python,True,True,True,True,False,False,0,,False,False,7,True,False,False,[],public,0,7,0,master,biocatiit,32169585,MDEyOk9yZ2FuaXphdGlvbjMyMTY5NTg1,Organization,public,False,gpl-3.0,GNU General Public License v3.0,GPL-3.0,https://api.github.com/licenses/gpl-3.0,MDc6TGljZW5zZTk=,False,False,False,False,True,
133856210,MDEwOlJlcG9zaXRvcnkxMzM4NTYyMTA=,beamline-control-staff,biocatiit/beamline-control-staff,False,https://github.com/biocatiit/beamline-control-staff,,False,https://api.github.com/repos/biocatiit/beamline-control-staff,2018-05-17T18:57:49Z,2024-11-25T21:44:44Z,2024-11-25T21:44:40Z,,4848,0,0,Python,True,True,True,True,False,False,0,,False,False,7,True,False,False,[],public,0,7,0,master,biocatiit,32169585,MDEyOk9yZ2FuaXphdGlvbjMyMTY5NTg1,Organization,public,False,gpl-3.0,GNU General Public License v3.0,GPL-3.0,https://api.github.com/licenses/gpl-3.0,MDc6TGljZW5zZTk=,False,False,False,False,True,
138326855,MDEwOlJlcG9zaXRvcnkxMzgzMjY4NTU=,website,biocatiit/website,False,https://github.com/biocatiit/website,The BioCAT website,False,https://api.github.com/repos/biocatiit/website,2018-06-22T16:50:54Z,2024-12-11T20:43:01Z,2024-12-11T20:42:57Z,,405010,0,0,CSS,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,master,biocatiit,32169585,MDEyOk9yZ2FuaXphdGlvbjMyMTY5NTg1,Organization,public,False,gpl-3.0,GNU General Public License v3.0,GPL-3.0,https://api.github.com/licenses/gpl-3.0,MDc6TGljZW5zZTk=,False,False,False,False,True,
140478984,MDEwOlJlcG9zaXRvcnkxNDA0Nzg5ODQ=,mx_databases,biocatiit/mx_databases,False,https://github.com/biocatiit/mx_databases,Contains MX databases for the BioCAT beamline,False,https://api.github.com/repos/biocatiit/mx_databases,2018-07-10T19:35:12Z,2024-11-26T21:17:16Z,2024-11-26T21:17:12Z,,165,0,0,Shell,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,master,biocatiit,32169585,MDEyOk9yZ2FuaXphdGlvbjMyMTY5NTg1,Organization,public,False,gpl-3.0,GNU General Public License v3.0,GPL-3.0,https://api.github.com/licenses/gpl-3.0,MDc6TGljZW5zZTk=,False,False,False,False,True,
183482711,MDEwOlJlcG9zaXRvcnkxODM0ODI3MTE=,epics_iocs,biocatiit/epics_iocs,False,https://github.com/biocatiit/epics_iocs,BioCAT EPICS IOCs,False,https://api.github.com/repos/biocatiit/epics_iocs,2019-04-25T17:44:48Z,2024-11-25T22:09:57Z,2024-11-25T22:09:52Z,,2045,0,0,Batchfile,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,master,biocatiit,32169585,MDEyOk9yZ2FuaXphdGlvbjMyMTY5NTg1,Organization,public,False,gpl-3.0,GNU General Public License v3.0,GPL-3.0,https://api.github.com/licenses/gpl-3.0,MDc6TGljZW5zZTk=,False,False,False,False,True,
273532380,MDEwOlJlcG9zaXRvcnkyNzM1MzIzODA=,saxs-pipeline,biocatiit/saxs-pipeline,False,https://github.com/biocatiit/saxs-pipeline,"Automation for SAXS processing, packaging, and reporting at BioCAT",False,https://api.github.com/repos/biocatiit/saxs-pipeline,2020-06-19T15:53:58Z,2024-12-04T21:17:40Z,2024-12-04T21:17:36Z,,217,1,1,Python,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,1,master,biocatiit,32169585,MDEyOk9yZ2FuaXphdGlvbjMyMTY5NTg1,Organization,public,False,gpl-3.0,GNU General Public License v3.0,GPL-3.0,https://api.github.com/licenses/gpl-3.0,MDc6TGljZW5zZTk=,False,False,False,False,True,
