id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,license,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull,license.key,license.name,license.spdx_id,license.url,license.node_id
279695945,MDEwOlJlcG9zaXRvcnkyNzk2OTU5NDU=,hello-numerical-world,bssw-tutorial/hello-numerical-world,False,https://github.com/bssw-tutorial/hello-numerical-world,Development repository for hands-on activities for the Better Scientific Software tutorials.  This repository is used as a template to create a new separate repository specifically for each tutorial event.  Tutorial participants should work with the repo for their event rather than this one.,False,https://api.github.com/repos/bssw-tutorial/hello-numerical-world,2020-07-14T21:23:52Z,2022-05-26T01:20:12Z,2021-11-04T13:47:34Z,https://bssw-tutorial.github.io/,50,2,2,C,True,True,True,True,False,False,2,,False,False,2,,True,True,False,[],public,2,2,2,main,bssw-tutorial,76485436,MDEyOk9yZ2FuaXphdGlvbjc2NDg1NDM2,Organization,public,False,False,False,False,False,True,,,,,
323685573,MDEwOlJlcG9zaXRvcnkzMjM2ODU1NzM=,presentations,bssw-tutorial/presentations,False,https://github.com/bssw-tutorial/presentations,Presentations for BSSw tutorial modules,False,https://api.github.com/repos/bssw-tutorial/presentations,2020-12-22T17:02:06Z,2024-10-01T16:54:03Z,2024-08-02T01:35:21Z,,943222,4,4,,True,True,True,True,False,False,2,,False,False,15,,True,False,False,[],public,2,15,4,main,bssw-tutorial,76485436,MDEyOk9yZ2FuaXphdGlvbjc2NDg1NDM2,Organization,public,False,False,False,False,False,True,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=
323968692,MDEwOlJlcG9zaXRvcnkzMjM5Njg2OTI=,bssw-tutorial.github.io,bssw-tutorial/bssw-tutorial.github.io,False,https://github.com/bssw-tutorial/bssw-tutorial.github.io,Top level web presence for the Better Scientific Software tutorial,False,https://api.github.com/repos/bssw-tutorial/bssw-tutorial.github.io,2020-12-23T17:56:06Z,2024-11-06T18:19:29Z,2024-12-20T12:03:22Z,https://bssw-tutorial.github.io/,23440,5,5,HTML,True,True,True,True,True,False,1,,False,False,22,,True,False,False,[],public,1,22,5,main,bssw-tutorial,76485436,MDEyOk9yZ2FuaXphdGlvbjc2NDg1NDM2,Organization,public,False,False,False,False,False,True,,,,,
324169377,MDEwOlJlcG9zaXRvcnkzMjQxNjkzNzc=,workshop-template,bssw-tutorial/workshop-template,False,https://github.com/bssw-tutorial/workshop-template,The Better Scientific Software Tutorial Template,True,https://api.github.com/repos/bssw-tutorial/workshop-template,2020-12-24T14:04:25Z,2020-12-28T16:33:35Z,2020-12-28T16:33:31Z,https://bssw-tutorial.github.io/workshop-template/,4837,0,0,HTML,True,True,True,False,True,False,0,,False,False,17,,True,True,False,[],public,0,17,0,bssw,bssw-tutorial,76485436,MDEyOk9yZ2FuaXphdGlvbjc2NDg1NDM2,Organization,public,False,False,False,False,False,True,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=
325071954,MDEwOlJlcG9zaXRvcnkzMjUwNzE5NTQ=,tutorial-management,bssw-tutorial/tutorial-management,False,https://github.com/bssw-tutorial/tutorial-management,An issues-only repository for overarching management of BSSw tutorial development and presentation,False,https://api.github.com/repos/bssw-tutorial/tutorial-management,2020-12-28T17:18:01Z,2024-07-02T21:33:08Z,2024-07-02T21:33:05Z,,51,0,0,,True,True,True,True,False,False,0,,False,False,36,,True,False,False,[],public,0,36,0,main,bssw-tutorial,76485436,MDEyOk9yZ2FuaXphdGlvbjc2NDg1NDM2,Organization,public,False,False,False,False,False,True,,,,,
350034413,MDEwOlJlcG9zaXRvcnkzNTAwMzQ0MTM=,hello-numerical-world-2021-03-iss,bssw-tutorial/hello-numerical-world-2021-03-iss,False,https://github.com/bssw-tutorial/hello-numerical-world-2021-03-iss,Repository for tutorial hands-on exercises for the 2021-03-25 tutorial at the Improving Scientific Software conference,False,https://api.github.com/repos/bssw-tutorial/hello-numerical-world-2021-03-iss,2021-03-21T15:12:21Z,2022-04-14T01:10:15Z,2021-03-25T15:55:35Z,,15,1,1,C,True,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,1,main,bssw-tutorial,76485436,MDEyOk9yZ2FuaXphdGlvbjc2NDg1NDM2,Organization,public,False,False,False,False,False,True,,,,,
376401025,MDEwOlJlcG9zaXRvcnkzNzY0MDEwMjU=,simple-heateq,bssw-tutorial/simple-heateq,False,https://github.com/bssw-tutorial/simple-heateq,Simple Heat Equation Tutorials,False,https://api.github.com/repos/bssw-tutorial/simple-heateq,2021-06-12T23:29:16Z,2022-09-27T03:41:16Z,2023-07-27T14:38:33Z,,23,2,2,Fortran,True,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,2,main,bssw-tutorial,76485436,MDEyOk9yZ2FuaXphdGlvbjc2NDg1NDM2,Organization,public,False,False,False,False,False,True,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=
379758081,MDEwOlJlcG9zaXRvcnkzNzk3NTgwODE=,hello-numerical-world-2021-06-isc,bssw-tutorial/hello-numerical-world-2021-06-isc,False,https://github.com/bssw-tutorial/hello-numerical-world-2021-06-isc,,False,https://api.github.com/repos/bssw-tutorial/hello-numerical-world-2021-06-isc,2021-06-24T00:06:13Z,2021-06-25T13:08:16Z,2021-06-25T14:01:42Z,,13,0,0,C,True,True,True,True,False,False,2,,False,False,0,,True,False,False,[],public,2,0,0,main,bssw-tutorial,76485436,MDEyOk9yZ2FuaXphdGlvbjc2NDg1NDM2,Organization,public,False,False,False,False,False,True,,,,,
395125516,MDEwOlJlcG9zaXRvcnkzOTUxMjU1MTY=,hello-numerical-world-2021-08-12-atpesc,bssw-tutorial/hello-numerical-world-2021-08-12-atpesc,False,https://github.com/bssw-tutorial/hello-numerical-world-2021-08-12-atpesc,Code repository for ATPESC 2021 hands-on activities,False,https://api.github.com/repos/bssw-tutorial/hello-numerical-world-2021-08-12-atpesc,2021-08-11T21:56:28Z,2021-08-11T21:56:32Z,2021-08-11T21:56:29Z,,10,0,0,C,True,True,True,True,False,False,2,,False,False,0,,True,False,False,[],public,2,0,0,main,bssw-tutorial,76485436,MDEyOk9yZ2FuaXphdGlvbjc2NDg1NDM2,Organization,public,False,False,False,False,False,True,,,,,
408275642,MDEwOlJlcG9zaXRvcnk0MDgyNzU2NDI=,hello-numerical-world-tdd,bssw-tutorial/hello-numerical-world-tdd,False,https://github.com/bssw-tutorial/hello-numerical-world-tdd,,False,https://api.github.com/repos/bssw-tutorial/hello-numerical-world-tdd,2021-09-20T01:14:15Z,2021-09-20T01:20:54Z,2021-09-20T01:20:52Z,,33,0,0,C,True,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,0,main,bssw-tutorial,76485436,MDEyOk9yZ2FuaXphdGlvbjc2NDg1NDM2,Organization,public,False,False,False,False,False,True,,,,,
