id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,license.key,license.name,license.spdx_id,license.url,license.node_id,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull,license
39508026,MDEwOlJlcG9zaXRvcnkzOTUwODAyNg==,cctbx_project,cctbx/cctbx_project,False,https://github.com/cctbx/cctbx_project,Computational Crystallography Toolbox,False,https://api.github.com/repos/cctbx/cctbx_project,2015-07-22T13:36:27Z,2024-12-20T10:01:47Z,2024-12-20T00:01:32Z,https://cci.lbl.gov/docs/cctbx ,130551,232,232,Python,True,True,True,True,False,False,119,,False,False,138,True,False,False,"['cctbx', 'cryo-em', 'crystallography', 'phenix']",public,119,138,232,master,cctbx,13463624,MDEyOk9yZ2FuaXphdGlvbjEzNDYzNjI0,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
44185482,MDEwOlJlcG9zaXRvcnk0NDE4NTQ4Mg==,cctbx.github.io,cctbx/cctbx.github.io,False,https://github.com/cctbx/cctbx.github.io,"The cctbx documentation, autogenerated from source daily via Jenkins at Diamond Light Source",False,https://api.github.com/repos/cctbx/cctbx.github.io,2015-10-13T15:23:02Z,2024-07-29T01:08:30Z,2024-07-29T01:08:26Z,,98114,0,0,HTML,False,True,True,False,True,False,1,,False,False,0,True,False,False,[],public,1,0,0,master,cctbx,13463624,MDEyOk9yZ2FuaXphdGlvbjEzNDYzNjI0,Organization,public,False,,,,,,False,False,False,False,True,
53392915,MDEwOlJlcG9zaXRvcnk1MzM5MjkxNQ==,annlib_adaptbx,cctbx/annlib_adaptbx,False,https://github.com/cctbx/annlib_adaptbx,annlib_adaptbx repository,False,https://api.github.com/repos/cctbx/annlib_adaptbx,2016-03-08T07:44:00Z,2020-10-31T00:07:59Z,2021-11-01T17:25:22Z,,165,0,0,Python,False,False,True,False,False,False,3,,False,False,0,True,False,False,[],public,3,0,0,master,cctbx,13463624,MDEyOk9yZ2FuaXphdGlvbjEzNDYzNjI0,Organization,public,False,,,,,,False,False,False,False,True,
62396924,MDEwOlJlcG9zaXRvcnk2MjM5NjkyNA==,cctbx-playground,cctbx/cctbx-playground,False,https://github.com/cctbx/cctbx-playground,A playground-copy of the full CCTBX SVN repository. Nobody will mind if you break things here,False,https://api.github.com/repos/cctbx/cctbx-playground,2016-07-01T14:01:24Z,2021-03-29T15:07:42Z,2016-11-04T17:20:49Z,http://cctbx.sourceforge.net/,66817,5,5,Python,True,True,True,True,False,False,2,,False,False,0,True,False,False,[],public,2,0,5,master,cctbx,13463624,MDEyOk9yZ2FuaXphdGlvbjEzNDYzNjI0,Organization,public,False,,,,,,False,False,False,False,True,
107537171,MDEwOlJlcG9zaXRvcnkxMDc1MzcxNzE=,python3,cctbx/python3,False,https://github.com/cctbx/python3,helper repository on the effort to move cctbx to Python3 land,False,https://api.github.com/repos/cctbx/python3,2017-10-19T11:24:53Z,2023-01-28T17:12:29Z,2019-06-05T01:34:12Z,https://github.com/cctbx/cctbx_project/projects/2,776,0,0,Shell,False,False,True,False,False,False,0,,True,False,0,True,False,False,[],public,0,0,0,master,cctbx,13463624,MDEyOk9yZ2FuaXphdGlvbjEzNDYzNjI0,Organization,public,False,,,,,,False,False,False,False,True,
126378823,MDEwOlJlcG9zaXRvcnkxMjYzNzg4MjM=,conda_build,cctbx/conda_build,False,https://github.com/cctbx/conda_build,Repository for building conda packages,False,https://api.github.com/repos/cctbx/conda_build,2018-03-22T18:29:17Z,2023-07-12T18:43:04Z,2020-05-08T18:19:52Z,,17,1,1,,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,1,master,cctbx,13463624,MDEyOk9yZ2FuaXphdGlvbjEzNDYzNjI0,Organization,public,False,,,,,,False,False,False,False,True,
157469992,MDEwOlJlcG9zaXRvcnkxNTc0Njk5OTI=,conda_matplotlib,cctbx/conda_matplotlib,False,https://github.com/cctbx/conda_matplotlib,For building matplotlib until main conda-forge package can be used,True,https://api.github.com/repos/cctbx/conda_matplotlib,2018-11-14T01:14:57Z,2023-01-28T16:50:06Z,2018-12-03T22:30:34Z,,229,0,0,Shell,False,True,True,False,False,False,0,,True,False,0,True,False,False,[],public,0,0,0,master,cctbx,13463624,MDEyOk9yZ2FuaXphdGlvbjEzNDYzNjI0,Organization,public,False,bsd-3-clause,"BSD 3-Clause ""New"" or ""Revised"" License",BSD-3-Clause,https://api.github.com/licenses/bsd-3-clause,MDc6TGljZW5zZTU=,False,False,False,False,True,
157616626,MDEwOlJlcG9zaXRvcnkxNTc2MTY2MjY=,conda_hdf5_plugins,cctbx/conda_hdf5_plugins,False,https://github.com/cctbx/conda_hdf5_plugins,Deprecated and moved to conda-forge,False,https://api.github.com/repos/cctbx/conda_hdf5_plugins,2018-11-14T21:58:36Z,2023-01-28T14:31:40Z,2019-11-05T19:29:19Z,,7,0,0,Shell,True,True,True,True,False,False,0,,True,False,0,True,False,False,[],public,0,0,0,master,cctbx,13463624,MDEyOk9yZ2FuaXphdGlvbjEzNDYzNjI0,Organization,public,False,bsd-3-clause,"BSD 3-Clause ""New"" or ""Revised"" License",BSD-3-Clause,https://api.github.com/licenses/bsd-3-clause,MDc6TGljZW5zZTU=,False,False,False,False,True,
157906550,MDEwOlJlcG9zaXRvcnkxNTc5MDY1NTA=,conda_procrunner,cctbx/conda_procrunner,False,https://github.com/cctbx/conda_procrunner,Deprecated and moved to conda-forge,False,https://api.github.com/repos/cctbx/conda_procrunner,2018-11-16T18:31:16Z,2023-01-28T16:50:06Z,2018-11-28T23:20:26Z,https://github.com/conda-forge/procrunner-feedstock,5,0,0,,True,True,True,True,False,False,0,,True,False,0,True,False,False,[],public,0,0,0,master,cctbx,13463624,MDEyOk9yZ2FuaXphdGlvbjEzNDYzNjI0,Organization,public,False,bsd-3-clause,"BSD 3-Clause ""New"" or ""Revised"" License",BSD-3-Clause,https://api.github.com/licenses/bsd-3-clause,MDc6TGljZW5zZTU=,False,False,False,False,True,
159239395,MDEwOlJlcG9zaXRvcnkxNTkyMzkzOTU=,conda_mrcfile,cctbx/conda_mrcfile,False,https://github.com/cctbx/conda_mrcfile,Deprecated and moved to conda-forge,False,https://api.github.com/repos/cctbx/conda_mrcfile,2018-11-26T22:07:44Z,2023-01-28T16:50:06Z,2019-01-22T20:00:27Z,https://github.com/conda-forge/mrcfile-feedstock,5,0,0,,True,True,True,True,False,False,0,,True,False,0,True,False,False,[],public,0,0,0,master,cctbx,13463624,MDEyOk9yZ2FuaXphdGlvbjEzNDYzNjI0,Organization,public,False,bsd-3-clause,"BSD 3-Clause ""New"" or ""Revised"" License",BSD-3-Clause,https://api.github.com/licenses/bsd-3-clause,MDc6TGljZW5zZTU=,False,False,False,False,True,
