id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,license.key,license.name,license.spdx_id,license.url,license.node_id,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull,license
213655579,MDEwOlJlcG9zaXRvcnkyMTM2NTU1Nzk=,enriched-LSTMs,cdcai/enriched-LSTMs,False,https://github.com/cdcai/enriched-LSTMs,Classifying multimodal health data with LSTMs,True,https://api.github.com/repos/cdcai/enriched-LSTMs,2019-10-08T13:52:16Z,2020-07-06T15:55:37Z,2020-03-16T14:12:50Z,,55,0,0,Python,True,True,True,True,False,False,1,,False,False,0,True,False,False,"['biomedical-informatics', 'multimodal-deep-learning', 'usg-artificial-intelligence']",public,1,0,0,master,cdcai,56178245,MDEyOk9yZ2FuaXphdGlvbjU2MTc4MjQ1,Organization,public,False,apache-2.0,Apache License 2.0,Apache-2.0,https://api.github.com/licenses/apache-2.0,MDc6TGljZW5zZTI=,False,False,False,False,True,
213655704,MDEwOlJlcG9zaXRvcnkyMTM2NTU3MDQ=,NRC,cdcai/NRC,False,https://github.com/cdcai/NRC,Natural language generation for discrete data in EHRs,True,https://api.github.com/repos/cdcai/NRC,2019-10-08T13:52:41Z,2023-03-15T05:12:42Z,2020-03-16T14:13:43Z,,44,1,1,Python,True,True,True,True,False,False,1,,False,False,0,True,False,False,"['electronic-health-record', 'natural-language-generation', 'usg-artificial-intelligence', 'usg-natural-language-processing']",public,1,0,1,master,cdcai,56178245,MDEyOk9yZ2FuaXphdGlvbjU2MTc4MjQ1,Organization,public,False,apache-2.0,Apache License 2.0,Apache-2.0,https://api.github.com/licenses/apache-2.0,MDc6TGljZW5zZTI=,False,False,False,False,True,
213655791,MDEwOlJlcG9zaXRvcnkyMTM2NTU3OTE=,injury-autocoding,cdcai/injury-autocoding,False,https://github.com/cdcai/injury-autocoding,An ensemble of BERTs for classifying injury narratives,True,https://api.github.com/repos/cdcai/injury-autocoding,2019-10-08T13:52:57Z,2023-03-16T12:12:14Z,2020-03-16T14:10:41Z,,172,0,0,Python,True,True,True,True,False,False,1,,True,False,0,True,False,False,"['bert', 'python', 'text-classification', 'usg-artificial-intelligence', 'usg-natural-language-processing']",public,1,0,0,master,cdcai,56178245,MDEyOk9yZ2FuaXphdGlvbjU2MTc4MjQ1,Organization,public,False,apache-2.0,Apache License 2.0,Apache-2.0,https://api.github.com/licenses/apache-2.0,MDc6TGljZW5zZTI=,False,False,False,False,True,
215652196,MDEwOlJlcG9zaXRvcnkyMTU2NTIxOTY=,R-tensorflow-projects,cdcai/R-tensorflow-projects,False,https://github.com/cdcai/R-tensorflow-projects,Random examples of Tensorflow in R,True,https://api.github.com/repos/cdcai/R-tensorflow-projects,2019-10-16T22:00:44Z,2020-12-16T17:55:56Z,2020-03-16T14:11:25Z,,37,1,1,R,True,True,True,True,False,False,1,,False,False,0,True,False,False,['usg-artificial-intelligence'],public,1,0,1,master,cdcai,56178245,MDEyOk9yZ2FuaXphdGlvbjU2MTc4MjQ1,Organization,public,False,mit,MIT License,MIT,https://api.github.com/licenses/mit,MDc6TGljZW5zZTEz,False,False,False,False,True,
228656704,MDEwOlJlcG9zaXRvcnkyMjg2NTY3MDQ=,autism_surveillance,cdcai/autism_surveillance,False,https://github.com/cdcai/autism_surveillance,Text classification algorithms for autism surveillance,True,https://api.github.com/repos/cdcai/autism_surveillance,2019-12-17T16:26:07Z,2023-01-28T15:25:36Z,2020-03-16T14:19:30Z,,36,0,0,Python,True,True,True,True,False,False,1,,True,False,0,True,False,False,"['usg-artificial-intelligence', 'usg-natural-language-processing']",public,1,0,0,master,cdcai,56178245,MDEyOk9yZ2FuaXphdGlvbjU2MTc4MjQ1,Organization,public,False,apache-2.0,Apache License 2.0,Apache-2.0,https://api.github.com/licenses/apache-2.0,MDc6TGljZW5zZTI=,False,False,False,False,True,
300380501,MDEwOlJlcG9zaXRvcnkzMDAzODA1MDE=,premier_analysis,cdcai/premier_analysis,False,https://github.com/cdcai/premier_analysis,A deep learning project predicting hyperinflammatory syndrome among COVID-19 patients using EHR data. ,False,https://api.github.com/repos/cdcai/premier_analysis,2020-10-01T18:19:43Z,2024-07-03T17:55:11Z,2024-07-30T21:16:41Z,,24478,5,5,Jupyter Notebook,True,True,True,True,False,False,9,,False,False,5,True,False,False,"['covid-19', 'deep-learning', 'ehr-data', 'usg-artificial-intelligence']",public,9,5,5,master,cdcai,56178245,MDEyOk9yZ2FuaXphdGlvbjU2MTc4MjQ1,Organization,public,False,,,,,,False,False,False,False,True,
460915532,R_kgDOG3kDTA,fair_classification,cdcai/fair_classification,False,https://github.com/cdcai/fair_classification,A Python package for enforcing fairness in binary and multiclass classification,True,https://api.github.com/repos/cdcai/fair_classification,2022-02-18T15:59:16Z,2022-02-18T16:01:24Z,2022-06-24T14:08:09Z,,33568,0,0,Jupyter Notebook,False,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,master,cdcai,56178245,MDEyOk9yZ2FuaXphdGlvbjU2MTc4MjQ1,Organization,public,False,apache-2.0,Apache License 2.0,Apache-2.0,https://api.github.com/licenses/apache-2.0,MDc6TGljZW5zZTI=,False,False,False,False,True,
463175599,R_kgDOG5t_rw,CDC-NLP-Occ-Injury-Coding,cdcai/CDC-NLP-Occ-Injury-Coding,False,https://github.com/cdcai/CDC-NLP-Occ-Injury-Coding,Natural Language Processing for Occupational Injury Coding,True,https://api.github.com/repos/cdcai/CDC-NLP-Occ-Injury-Coding,2022-02-24T14:17:45Z,2021-04-26T21:02:37Z,2022-02-10T01:07:43Z,,16109,0,0,,False,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,master,cdcai,56178245,MDEyOk9yZ2FuaXphdGlvbjU2MTc4MjQ1,Organization,public,False,,,,,,False,False,False,False,True,
484055614,R_kgDOHNoaPg,zsl-vaccine,cdcai/zsl-vaccine,False,https://github.com/cdcai/zsl-vaccine,,False,https://api.github.com/repos/cdcai/zsl-vaccine,2022-04-21T13:08:30Z,2022-04-25T17:42:29Z,2022-04-25T17:42:26Z,,20,0,0,Jupyter Notebook,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,master,cdcai,56178245,MDEyOk9yZ2FuaXphdGlvbjU2MTc4MjQ1,Organization,public,False,apache-2.0,Apache License 2.0,Apache-2.0,https://api.github.com/licenses/apache-2.0,MDc6TGljZW5zZTI=,False,False,False,False,True,
485501415,R_kgDOHPAp5w,hamlet,cdcai/hamlet,False,https://github.com/cdcai/hamlet,A Python package for using deep learning to interpret chest x-rays,True,https://api.github.com/repos/cdcai/hamlet,2022-04-25T19:09:14Z,2024-04-02T19:22:36Z,2023-05-22T20:16:17Z,,92171,3,3,Python,False,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,3,master,cdcai,56178245,MDEyOk9yZ2FuaXphdGlvbjU2MTc4MjQ1,Organization,public,False,apache-2.0,Apache License 2.0,Apache-2.0,https://api.github.com/licenses/apache-2.0,MDc6TGljZW5zZTI=,False,False,False,False,True,
