id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,license.key,license.name,license.spdx_id,license.url,license.node_id,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull,license
62654497,MDEwOlJlcG9zaXRvcnk2MjY1NDQ5Nw==,pshtt,cisagov/pshtt,False,https://github.com/cisagov/pshtt,Scan domains and return data based on HTTPS best practices,False,https://api.github.com/repos/cisagov/pshtt,2016-07-05T17:02:18Z,2024-11-28T16:32:46Z,2024-08-06T21:33:36Z,,1422,673,673,Python,True,False,True,False,False,True,81,,False,False,34,True,False,False,"['cisa-directives', 'hsts', 'https', 'us-federal-government']",public,81,34,673,develop,cisagov,18539691,MDEyOk9yZ2FuaXphdGlvbjE4NTM5Njkx,Organization,public,False,cc0-1.0,Creative Commons Zero v1.0 Universal,CC0-1.0,https://api.github.com/licenses/cc0-1.0,MDc6TGljZW5zZTY=,False,False,False,False,True,
90197258,MDEwOlJlcG9zaXRvcnk5MDE5NzI1OA==,dotgov-home,cisagov/dotgov-home,False,https://github.com/cisagov/dotgov-home,Home of the .gov registry,False,https://api.github.com/repos/cisagov/dotgov-home,2017-05-03T22:04:53Z,2024-03-12T12:41:52Z,2024-01-29T22:04:27Z,https://dotgov.gov,2766,28,28,SCSS,True,False,True,False,False,False,23,,True,False,9,True,False,False,[],public,23,9,28,main,cisagov,18539691,MDEyOk9yZ2FuaXphdGlvbjE4NTM5Njkx,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
95620558,MDEwOlJlcG9zaXRvcnk5NTYyMDU1OA==,trustymail,cisagov/trustymail,False,https://github.com/cisagov/trustymail,Scan domains and return data based on trustworthy email best practices,False,https://api.github.com/repos/cisagov/trustymail,2017-06-28T02:29:03Z,2024-12-12T16:55:15Z,2024-08-06T20:59:13Z,,1123,196,196,Python,True,False,True,False,False,False,32,,False,False,19,True,False,False,"['cisa-directives', 'dmarc', 'email-security', 'spf', 'starttls', 'us-federal-government']",public,32,19,196,develop,cisagov,18539691,MDEyOk9yZ2FuaXphdGlvbjE4NTM5Njkx,Organization,public,False,cc0-1.0,Creative Commons Zero v1.0 Universal,CC0-1.0,https://api.github.com/licenses/cc0-1.0,MDc6TGljZW5zZTY=,False,False,False,False,True,
105201139,MDEwOlJlcG9zaXRvcnkxMDUyMDExMzk=,cyber.dhs.gov,cisagov/cyber.dhs.gov,False,https://github.com/cisagov/cyber.dhs.gov,A site for CISA directives,False,https://api.github.com/repos/cisagov/cyber.dhs.gov,2017-09-28T21:30:05Z,2024-11-06T13:36:34Z,2024-06-05T09:01:21Z,https://cyber.dhs.gov,21963,156,156,SCSS,True,False,True,False,False,False,61,,False,False,15,True,False,False,"['jekyll', 'us-federal-government']",public,61,15,156,master,cisagov,18539691,MDEyOk9yZ2FuaXphdGlvbjE4NTM5Njkx,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
111950036,MDEwOlJlcG9zaXRvcnkxMTE5NTAwMzY=,cyhy-mailer,cisagov/cyhy-mailer,False,https://github.com/cisagov/cyhy-mailer,"Email Cyber Hygiene, Trustworthy Email, and HTTPS reports to the appropriate technical or distribution addresses",False,https://api.github.com/repos/cisagov/cyhy-mailer,2017-11-24T19:30:32Z,2024-12-02T18:53:41Z,2024-12-02T18:53:39Z,,771,10,10,Python,True,False,True,False,False,True,7,,False,False,5,True,False,False,[],public,7,5,10,develop,cisagov,18539691,MDEyOk9yZ2FuaXphdGlvbjE4NTM5Njkx,Organization,public,False,cc0-1.0,Creative Commons Zero v1.0 Universal,CC0-1.0,https://api.github.com/licenses/cc0-1.0,MDc6TGljZW5zZTY=,False,False,False,False,True,
114651812,MDEwOlJlcG9zaXRvcnkxMTQ2NTE4MTI=,scanner,cisagov/scanner,False,https://github.com/cisagov/scanner,"Automated pshtt, trustymail, and sslyze scanning",False,https://api.github.com/repos/cisagov/scanner,2017-12-18T14:41:02Z,2024-07-03T04:01:42Z,2024-12-06T23:26:50Z,,1666,24,24,Shell,True,True,True,True,False,False,5,,False,False,7,True,False,False,['cisa-directives'],public,5,7,24,develop,cisagov,18539691,MDEyOk9yZ2FuaXphdGlvbjE4NTM5Njkx,Organization,public,False,cc0-1.0,Creative Commons Zero v1.0 Universal,CC0-1.0,https://api.github.com/licenses/cc0-1.0,MDc6TGljZW5zZTY=,False,False,False,False,True,
114711301,MDEwOlJlcG9zaXRvcnkxMTQ3MTEzMDE=,gatherer,cisagov/gatherer,False,https://github.com/cisagov/gatherer,Gather domains as a precursor to scanning,False,https://api.github.com/repos/cisagov/gatherer,2017-12-19T02:48:37Z,2024-04-16T22:36:42Z,2024-12-06T23:27:46Z,,1639,16,16,Shell,True,False,True,False,False,False,8,,False,False,4,True,False,False,['cisa-directives'],public,8,4,16,develop,cisagov,18539691,MDEyOk9yZ2FuaXphdGlvbjE4NTM5Njkx,Organization,public,False,cc0-1.0,Creative Commons Zero v1.0 Universal,CC0-1.0,https://api.github.com/licenses/cc0-1.0,MDc6TGljZW5zZTY=,False,False,False,False,True,
114782925,MDEwOlJlcG9zaXRvcnkxMTQ3ODI5MjU=,lambda_functions,cisagov/lambda_functions,False,https://github.com/cisagov/lambda_functions,Generate AWS Lambda environment zip files for use by cisagov/domain-scan,False,https://api.github.com/repos/cisagov/lambda_functions,2017-12-19T15:43:24Z,2023-07-26T02:41:20Z,2023-10-11T19:08:40Z,,172,12,12,Shell,True,True,True,True,False,False,6,,False,False,2,True,False,False,[],public,6,2,12,develop,cisagov,18539691,MDEyOk9yZ2FuaXphdGlvbjE4NTM5Njkx,Organization,public,False,cc0-1.0,Creative Commons Zero v1.0 Universal,CC0-1.0,https://api.github.com/licenses/cc0-1.0,MDc6TGljZW5zZTY=,False,False,False,False,True,
115541936,MDEwOlJlcG9zaXRvcnkxMTU1NDE5MzY=,orchestrator,cisagov/orchestrator,False,https://github.com/cisagov/orchestrator,"Orchestrate gatherer, scanner, saver, and trustymail_reporter",False,https://api.github.com/repos/cisagov/orchestrator,2017-12-27T17:11:47Z,2024-11-20T19:11:37Z,2024-11-20T19:11:32Z,,878,14,14,Shell,True,True,True,True,False,False,5,,False,False,2,True,False,False,"['cisa-directives', 'hacktoberfest']",public,5,2,14,develop,cisagov,18539691,MDEyOk9yZ2FuaXphdGlvbjE4NTM5Njkx,Organization,public,False,cc0-1.0,Creative Commons Zero v1.0 Universal,CC0-1.0,https://api.github.com/licenses/cc0-1.0,MDc6TGljZW5zZTY=,False,False,False,False,True,
115542202,MDEwOlJlcG9zaXRvcnkxMTU1NDIyMDI=,saver,cisagov/saver,False,https://github.com/cisagov/saver,Save scan results to a database,False,https://api.github.com/repos/cisagov/saver,2017-12-27T17:15:10Z,2024-05-30T20:05:03Z,2024-12-06T23:27:06Z,,1134,9,9,Python,True,True,True,True,False,False,7,,False,False,8,True,False,False,['cisa-directives'],public,7,8,9,develop,cisagov,18539691,MDEyOk9yZ2FuaXphdGlvbjE4NTM5Njkx,Organization,public,False,cc0-1.0,Creative Commons Zero v1.0 Universal,CC0-1.0,https://api.github.com/licenses/cc0-1.0,MDc6TGljZW5zZTY=,False,False,False,False,True,
116880786,MDEwOlJlcG9zaXRvcnkxMTY4ODA3ODY=,trustymail_reporter,cisagov/trustymail_reporter,False,https://github.com/cisagov/trustymail_reporter,Generate Trustworthy Email reports based on scan data,False,https://api.github.com/repos/cisagov/trustymail_reporter,2018-01-09T23:03:39Z,2024-06-26T00:50:40Z,2024-12-06T23:26:36Z,,12726,10,10,Python,True,True,True,True,False,False,4,,False,False,8,True,False,False,['cisa-directives'],public,4,8,10,develop,cisagov,18539691,MDEyOk9yZ2FuaXphdGlvbjE4NTM5Njkx,Organization,public,False,cc0-1.0,Creative Commons Zero v1.0 Universal,CC0-1.0,https://api.github.com/licenses/cc0-1.0,MDc6TGljZW5zZTY=,False,False,False,False,True,
117888209,MDEwOlJlcG9zaXRvcnkxMTc4ODgyMDk=,pshtt_reporter,cisagov/pshtt_reporter,False,https://github.com/cisagov/pshtt_reporter,Generate HTTPS reports based on scan data,False,https://api.github.com/repos/cisagov/pshtt_reporter,2018-01-17T20:20:46Z,2024-01-19T21:48:52Z,2024-12-06T23:27:33Z,,12550,12,12,Python,True,True,True,True,False,False,9,,False,False,8,True,False,False,['cisa-directives'],public,9,8,12,develop,cisagov,18539691,MDEyOk9yZ2FuaXphdGlvbjE4NTM5Njkx,Organization,public,False,cc0-1.0,Creative Commons Zero v1.0 Universal,CC0-1.0,https://api.github.com/licenses/cc0-1.0,MDc6TGljZW5zZTY=,False,False,False,False,True,
123617236,MDEwOlJlcG9zaXRvcnkxMjM2MTcyMzY=,dmarc-import,cisagov/dmarc-import,False,https://github.com/cisagov/dmarc-import,A tool for parsing DMARC aggregate reports.,False,https://api.github.com/repos/cisagov/dmarc-import,2018-03-02T18:45:10Z,2024-04-05T15:24:29Z,2022-11-10T15:23:11Z,,128,12,12,Python,True,True,True,True,False,False,2,,False,False,4,True,False,False,['cisa-directives'],public,2,4,12,develop,cisagov,18539691,MDEyOk9yZ2FuaXphdGlvbjE4NTM5Njkx,Organization,public,False,cc0-1.0,Creative Commons Zero v1.0 Universal,CC0-1.0,https://api.github.com/licenses/cc0-1.0,MDc6TGljZW5zZTY=,False,False,False,False,True,
123978625,MDEwOlJlcG9zaXRvcnkxMjM5Nzg2MjU=,dmarc-import-tf-module,cisagov/dmarc-import-tf-module,False,https://github.com/cisagov/dmarc-import-tf-module,Terraform code to create AWS infrastructure for parsing DMARC aggregate reports.,False,https://api.github.com/repos/cisagov/dmarc-import-tf-module,2018-03-05T21:04:21Z,2024-11-28T10:20:43Z,2024-11-20T21:53:21Z,,1024,8,8,HCL,True,True,True,True,False,False,0,,False,False,3,True,False,False,[],public,0,3,8,develop,cisagov,18539691,MDEyOk9yZ2FuaXphdGlvbjE4NTM5Njkx,Organization,public,False,cc0-1.0,Creative Commons Zero v1.0 Universal,CC0-1.0,https://api.github.com/licenses/cc0-1.0,MDc6TGljZW5zZTY=,False,False,False,False,True,
132480650,MDEwOlJlcG9zaXRvcnkxMzI0ODA2NTA=,dmarc-import-lambda,cisagov/dmarc-import-lambda,False,https://github.com/cisagov/dmarc-import-lambda,AWS Lambda function for dmarc-import,False,https://api.github.com/repos/cisagov/dmarc-import-lambda,2018-05-07T15:28:24Z,2023-07-26T03:59:43Z,2019-03-08T22:23:41Z,,36,3,3,Python,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,3,develop,cisagov,18539691,MDEyOk9yZ2FuaXphdGlvbjE4NTM5Njkx,Organization,public,False,cc0-1.0,Creative Commons Zero v1.0 Universal,CC0-1.0,https://api.github.com/licenses/cc0-1.0,MDc6TGljZW5zZTY=,False,False,False,False,True,
142521033,MDEwOlJlcG9zaXRvcnkxNDI1MjEwMzM=,cyhy_amis,cisagov/cyhy_amis,False,https://github.com/cisagov/cyhy_amis,AWS infrastructure for Cyber Hygiene and BOD 18-01 scanning,False,https://api.github.com/repos/cisagov/cyhy_amis,2018-07-27T03:05:19Z,2024-12-03T10:22:24Z,2024-12-16T09:22:47Z,,2941,19,19,HCL,True,True,True,True,False,True,5,,False,False,33,True,False,False,"['ansible', 'aws', 'cyhy', 'packer', 'terraform']",public,5,33,19,develop,cisagov,18539691,MDEyOk9yZ2FuaXphdGlvbjE4NTM5Njkx,Organization,public,False,cc0-1.0,Creative Commons Zero v1.0 Universal,CC0-1.0,https://api.github.com/licenses/cc0-1.0,MDc6TGljZW5zZTY=,False,False,False,False,True,
143766031,MDEwOlJlcG9zaXRvcnkxNDM3NjYwMzE=,pca-vm-import,cisagov/pca-vm-import,False,https://github.com/cisagov/pca-vm-import,Terraform and Packer code for importing PCA VMs,False,https://api.github.com/repos/cisagov/pca-vm-import,2018-08-06T18:15:58Z,2024-02-02T15:28:39Z,2019-02-22T18:05:00Z,,8,1,1,HCL,True,True,True,True,False,False,0,,True,False,0,True,False,False,[],public,0,0,1,develop,cisagov,18539691,MDEyOk9yZ2FuaXphdGlvbjE4NTM5Njkx,Organization,public,False,cc0-1.0,Creative Commons Zero v1.0 Universal,CC0-1.0,https://api.github.com/licenses/cc0-1.0,MDc6TGljZW5zZTY=,False,False,False,False,True,
