id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,license.key,license.name,license.spdx_id,license.url,license.node_id,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull,license
29991068,MDEwOlJlcG9zaXRvcnkyOTk5MTA2OA==,cg-site,cloud-gov/cg-site,False,https://github.com/cloud-gov/cg-site,The cloud.gov website,False,https://api.github.com/repos/cloud-gov/cg-site,2015-01-28T22:15:24Z,2024-12-16T22:22:03Z,2024-12-16T22:22:00Z,https://cloud.gov,92197,59,59,SCSS,True,True,True,True,False,False,124,,False,False,76,True,False,True,['cloud-gov'],public,124,76,59,main,cloud-gov,60799422,MDEyOk9yZ2FuaXphdGlvbjYwNzk5NDIy,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
30517889,MDEwOlJlcG9zaXRvcnkzMDUxNzg4OQ==,cf-deploy,cloud-gov/cf-deploy,False,https://github.com/cloud-gov/cf-deploy,An experiment to make CloudFront/S3 deployments nice and easy.,False,https://api.github.com/repos/cloud-gov/cf-deploy,2015-02-09T04:03:42Z,2023-01-28T21:23:26Z,2015-02-09T21:36:05Z,,144,1,1,Makefile,True,True,True,True,False,False,2,,True,False,0,True,False,True,[],public,2,0,1,master,cloud-gov,60799422,MDEyOk9yZ2FuaXphdGlvbjYwNzk5NDIy,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
30626138,MDEwOlJlcG9zaXRvcnkzMDYyNjEzOA==,cg-manifests,cloud-gov/cg-manifests,False,https://github.com/cloud-gov/cg-manifests,DEPRECATED: Release Manifest for Cloud Foundry,False,https://api.github.com/repos/cloud-gov/cg-manifests,2015-02-11T02:25:24Z,2023-01-28T21:23:27Z,2016-03-31T21:52:36Z,https://github.com/18F/cg-provision,219,11,11,Shell,True,True,True,True,False,False,8,,True,False,3,True,False,True,[],public,8,3,11,master,cloud-gov,60799422,MDEyOk9yZ2FuaXphdGlvbjYwNzk5NDIy,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
31551459,MDEwOlJlcG9zaXRvcnkzMTU1MTQ1OQ==,harden-boshrelease,cloud-gov/harden-boshrelease,False,https://github.com/cloud-gov/harden-boshrelease,Ubuntu Hardening Bosh Release,False,https://api.github.com/repos/cloud-gov/harden-boshrelease,2015-03-02T16:59:37Z,2024-10-03T20:36:09Z,2024-10-08T14:29:31Z,,158,13,13,Shell,True,True,True,True,False,False,4,,False,False,6,True,False,True,[],public,4,6,13,jammy-main,cloud-gov,60799422,MDEyOk9yZ2FuaXphdGlvbjYwNzk5NDIy,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
32044400,MDEwOlJlcG9zaXRvcnkzMjA0NDQwMA==,cf-sinatra-ci,cloud-gov/cf-sinatra-ci,False,https://github.com/cloud-gov/cf-sinatra-ci,An experiment with using Travis-CI to a deploy a Sinatra app to Cloud Foundry,False,https://api.github.com/repos/cloud-gov/cf-sinatra-ci,2015-03-11T22:23:53Z,2023-01-28T21:23:28Z,2016-04-20T14:58:39Z,,3,1,1,Ruby,True,True,True,True,False,False,0,,True,False,1,True,False,True,[],public,0,1,1,master,cloud-gov,60799422,MDEyOk9yZ2FuaXphdGlvbjYwNzk5NDIy,Organization,public,False,,,,,,False,False,False,False,True,
32170128,MDEwOlJlcG9zaXRvcnkzMjE3MDEyOA==,oauth2_proxy,cloud-gov/oauth2_proxy,False,https://github.com/cloud-gov/oauth2_proxy,A reverse proxy that provides authentication using OAuth2,True,https://api.github.com/repos/cloud-gov/oauth2_proxy,2015-03-13T17:22:52Z,2023-01-28T01:25:18Z,2021-11-26T17:10:59Z,,542,7,7,Go,False,True,True,True,False,False,0,,True,False,1,True,False,True,[],public,0,1,7,master,cloud-gov,60799422,MDEyOk9yZ2FuaXphdGlvbjYwNzk5NDIy,Organization,public,False,mit,MIT License,MIT,https://api.github.com/licenses/mit,MDc6TGljZW5zZTEz,False,False,False,False,True,
32479807,MDEwOlJlcG9zaXRvcnkzMjQ3OTgwNw==,cg-scripts,cloud-gov/cg-scripts,False,https://github.com/cloud-gov/cg-scripts,Scripts to assist with the configuration and operation of Cloud Foundry.,False,https://api.github.com/repos/cloud-gov/cg-scripts,2015-03-18T19:31:44Z,2024-12-09T20:52:24Z,2024-12-09T20:52:22Z,,706,19,19,Shell,True,True,True,True,False,False,13,,False,False,5,True,False,True,[],public,13,5,19,main,cloud-gov,60799422,MDEyOk9yZ2FuaXphdGlvbjYwNzk5NDIy,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
32548685,MDEwOlJlcG9zaXRvcnkzMjU0ODY4NQ==,cf-ssh,cloud-gov/cf-ssh,False,https://github.com/cloud-gov/cf-ssh,"SSH into a running container for your Cloud Foundry application, run one-off tasks, debug your app, and more.",True,https://api.github.com/repos/cloud-gov/cf-ssh,2015-03-19T22:05:46Z,2023-01-28T21:23:29Z,2016-06-18T03:24:04Z,,24,0,0,Go,False,True,True,True,False,False,0,,True,False,0,True,False,True,[],public,0,0,0,master,cloud-gov,60799422,MDEyOk9yZ2FuaXphdGlvbjYwNzk5NDIy,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
32704419,MDEwOlJlcG9zaXRvcnkzMjcwNDQxOQ==,rds-service-broker,cloud-gov/rds-service-broker,False,https://github.com/cloud-gov/rds-service-broker,DEPRECATED: an RDS service broker for Cloud Foundry written in Ruby. see:,False,https://api.github.com/repos/cloud-gov/rds-service-broker,2015-03-23T01:19:18Z,2023-01-28T21:23:29Z,2015-04-01T06:00:02Z,https://github.com/dlapiduz/rds-broker,232,1,1,Ruby,True,True,True,False,False,False,0,,True,False,7,True,False,True,[],public,0,7,1,master,cloud-gov,60799422,MDEyOk9yZ2FuaXphdGlvbjYwNzk5NDIy,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
35198657,MDEwOlJlcG9zaXRvcnkzNTE5ODY1Nw==,hubot-cf-notifications,cloud-gov/hubot-cf-notifications,False,https://github.com/cloud-gov/hubot-cf-notifications,Cloud Foundry notifications for Hubot,False,https://api.github.com/repos/cloud-gov/hubot-cf-notifications,2015-05-07T04:28:09Z,2023-01-28T21:23:31Z,2016-01-05T15:36:20Z,,56,1,1,CoffeeScript,True,True,True,False,False,False,1,,True,False,8,True,False,True,[],public,1,8,1,master,cloud-gov,60799422,MDEyOk9yZ2FuaXphdGlvbjYwNzk5NDIy,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
