id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,license,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull,license.key,license.name,license.spdx_id,license.url,license.node_id
75760447,MDEwOlJlcG9zaXRvcnk3NTc2MDQ0Nw==,contributor-role-ontology,data2health/contributor-role-ontology,False,https://github.com/data2health/contributor-role-ontology,This ontology provides contribution roles for use in crediting persons or organizations. ,False,https://api.github.com/repos/data2health/contributor-role-ontology,2016-12-06T18:42:43Z,2024-10-25T13:43:55Z,2023-08-16T15:11:28Z,,856,21,21,Makefile,True,True,True,True,True,False,4,,False,False,18,,True,False,False,"['data2health', 'obofoundry', 'pea']",public,4,18,21,master,data2health,35613606,MDEyOk9yZ2FuaXphdGlvbjM1NjEzNjA2,Organization,public,False,False,False,False,False,True,,,,,
118657278,MDEwOlJlcG9zaXRvcnkxMTg2NTcyNzg=,website,data2health/website,False,https://github.com/data2health/website,Issues related to the CD2H website (https://ctsa.ncats.nih.gov/cd2h/home),False,https://api.github.com/repos/data2health/website,2018-01-23T19:18:09Z,2020-03-06T02:46:14Z,2020-03-06T02:46:12Z,,2848,0,0,,True,True,True,True,False,False,0,,False,False,21,,True,False,False,['data2health'],public,0,21,0,master,data2health,35613606,MDEyOk9yZ2FuaXphdGlvbjM1NjEzNjA2,Organization,public,False,False,False,False,False,True,,,,,
132290246,MDEwOlJlcG9zaXRvcnkxMzIyOTAyNDY=,all-hands,data2health/all-hands,False,https://github.com/data2health/all-hands,annual meetings and other resources,False,https://api.github.com/repos/data2health/all-hands,2018-05-05T22:50:53Z,2019-02-15T00:57:41Z,2018-06-22T23:27:41Z,,346,0,0,,True,True,True,True,True,False,0,,False,False,0,,True,False,False,['data2health'],public,0,0,0,master,data2health,35613606,MDEyOk9yZ2FuaXphdGlvbjM1NjEzNjA2,Organization,public,False,False,False,False,False,True,,,,,
140314786,MDEwOlJlcG9zaXRvcnkxNDAzMTQ3ODY=,schemas,data2health/schemas,False,https://github.com/data2health/schemas,Hosting CD2H data schemas in schema.org standard,False,https://api.github.com/repos/data2health/schemas,2018-07-09T16:40:39Z,2021-10-06T21:09:50Z,2021-10-06T21:09:47Z,,421,2,2,Python,True,True,True,True,False,False,2,,False,False,0,,True,False,False,"['data2health', 'schema', 'schema-org']",public,2,0,2,master,data2health,35613606,MDEyOk9yZ2FuaXphdGlvbjM1NjEzNjA2,Organization,public,False,False,False,False,False,True,mit,MIT License,MIT,https://api.github.com/licenses/mit,MDc6TGljZW5zZTEz
146948815,MDEwOlJlcG9zaXRvcnkxNDY5NDg4MTU=,mtip-tutorial,data2health/mtip-tutorial,False,https://github.com/data2health/mtip-tutorial,Managing Translational Informatics Projects Tutorial,False,https://api.github.com/repos/data2health/mtip-tutorial,2018-08-31T22:48:36Z,2019-10-01T19:46:26Z,2019-10-01T19:46:24Z,https://data2health.github.io/mtip-tutorial/,12645,0,0,,True,True,True,True,True,False,3,,False,False,11,,True,False,False,['data2health'],public,3,11,0,master,data2health,35613606,MDEyOk9yZ2FuaXphdGlvbjM1NjEzNjA2,Organization,public,False,False,False,False,False,True,,,,,
147568898,MDEwOlJlcG9zaXRvcnkxNDc1Njg4OTg=,credit-ontology,data2health/credit-ontology,False,https://github.com/data2health/credit-ontology,"An OWL implementation of CRediT; a high-level classification of the diverse roles performed in the work leading to a published research output in the sciences. Its purpose to provide transparency in contributions to scholarly published work, to enable improved systems of attribution, credit, and accountability.",False,https://api.github.com/repos/data2health/credit-ontology,2018-09-05T19:26:04Z,2024-10-25T13:49:37Z,2019-04-11T05:49:41Z,,73,5,5,Makefile,True,True,True,True,False,False,1,,False,False,7,,True,False,False,"['data2health', 'pea']",public,1,7,5,master,data2health,35613606,MDEyOk9yZ2FuaXphdGlvbjM1NjEzNjA2,Organization,public,False,False,False,False,False,True,,,,,
147571527,MDEwOlJlcG9zaXRvcnkxNDc1NzE1Mjc=,research-outputs-ontology,data2health/research-outputs-ontology,False,https://github.com/data2health/research-outputs-ontology,"This ontology provides scholarly research outputs, for use in crediting persons or organizations. ",False,https://api.github.com/repos/data2health/research-outputs-ontology,2018-09-05T19:48:58Z,2019-02-27T19:43:54Z,2019-02-27T19:43:53Z,,7467,0,0,Makefile,True,True,True,True,False,False,0,,False,False,4,,True,False,False,"['data2health', 'pea']",public,0,4,0,master,data2health,35613606,MDEyOk9yZ2FuaXphdGlvbjM1NjEzNjA2,Organization,public,False,False,False,False,False,True,,,,,
149169904,MDEwOlJlcG9zaXRvcnkxNDkxNjk5MDQ=,w3id.org,data2health/w3id.org,False,https://github.com/data2health/w3id.org,Website source code for w3id.org,True,https://api.github.com/repos/data2health/w3id.org,2018-09-17T18:27:38Z,2022-08-15T22:45:13Z,2023-08-16T16:41:56Z,,7515,0,0,HTML,False,True,True,True,False,False,1,,False,False,0,,True,False,False,[],public,1,0,0,master,data2health,35613606,MDEyOk9yZ2FuaXphdGlvbjM1NjEzNjA2,Organization,public,False,False,False,False,False,True,,,,,
150619743,MDEwOlJlcG9zaXRvcnkxNTA2MTk3NDM=,DQe-c,data2health/DQe-c,False,https://github.com/data2health/DQe-c,DQe-c is a tool for examining completeness in clinical research data repositories. ,True,https://api.github.com/repos/data2health/DQe-c,2018-09-27T16:54:27Z,2020-04-01T17:45:07Z,2019-03-20T22:51:01Z,,56375,1,1,HTML,False,True,True,True,False,False,2,,False,False,0,,True,False,False,[],public,2,0,1,master,data2health,35613606,MDEyOk9yZ2FuaXphdGlvbjM1NjEzNjA2,Organization,public,False,False,False,False,False,True,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=
152143618,MDEwOlJlcG9zaXRvcnkxNTIxNDM2MTg=,purl.obolibrary.org,data2health/purl.obolibrary.org,False,https://github.com/data2health/purl.obolibrary.org,A new system for managing OBO PURLs,True,https://api.github.com/repos/data2health/purl.obolibrary.org,2018-10-08T20:38:58Z,2018-10-08T20:41:09Z,2018-10-08T20:41:08Z,,570,0,0,Python,False,True,True,True,False,False,1,,False,False,0,,True,False,False,[],public,1,0,0,master,data2health,35613606,MDEyOk9yZ2FuaXphdGlvbjM1NjEzNjA2,Organization,public,False,False,False,False,False,True,,,,,
153533476,MDEwOlJlcG9zaXRvcnkxNTM1MzM0NzY=,cd2h-theme,data2health/cd2h-theme,False,https://github.com/data2health/cd2h-theme,WordPress theme for CD2H website; tickets for the website should be in website repo,False,https://api.github.com/repos/data2health/cd2h-theme,2018-10-17T22:52:06Z,2019-02-15T00:52:55Z,2019-02-01T22:09:11Z,https://ctsa.ncats.nih.gov/cd2h/,5083,0,0,PHP,True,True,True,True,False,False,0,,False,False,0,,True,False,False,"['data2health', 'wordpress']",public,0,0,0,master,data2health,35613606,MDEyOk9yZ2FuaXphdGlvbjM1NjEzNjA2,Organization,public,False,False,False,False,False,True,,,,,
156758935,MDEwOlJlcG9zaXRvcnkxNTY3NTg5MzU=,geonames,data2health/geonames,False,https://github.com/data2health/geonames,Application scaffold for GeoNames data,False,https://api.github.com/repos/data2health/geonames,2018-11-08T19:35:15Z,2020-01-19T20:18:51Z,2018-06-01T19:19:18Z,,82,0,0,Java,False,True,True,True,False,False,0,,False,False,0,,True,False,False,"['data2health', 'pea']",public,0,0,0,master,data2health,35613606,MDEyOk9yZ2FuaXphdGlvbjM1NjEzNjA2,Organization,public,False,False,False,False,False,True,,,,,
156758963,MDEwOlJlcG9zaXRvcnkxNTY3NTg5NjM=,GeoNamesTagLib,data2health/GeoNamesTagLib,False,https://github.com/data2health/GeoNamesTagLib,JSP Tag library providing access to a local cache of GeoNames data,False,https://api.github.com/repos/data2health/GeoNamesTagLib,2018-11-08T19:35:29Z,2020-01-19T20:39:39Z,2018-06-01T19:17:45Z,,354,0,0,Java,False,True,True,True,False,False,0,,False,False,0,,True,False,False,"['data2health', 'pea']",public,0,0,0,master,data2health,35613606,MDEyOk9yZ2FuaXphdGlvbjM1NjEzNjA2,Organization,public,False,False,False,False,False,True,,,,,
156759201,MDEwOlJlcG9zaXRvcnkxNTY3NTkyMDE=,FederationTagLib,data2health/FederationTagLib,False,https://github.com/data2health/FederationTagLib,A JSP tag library supporting the Direct2Experts API.,False,https://api.github.com/repos/data2health/FederationTagLib,2018-11-08T19:37:39Z,2020-01-19T19:54:04Z,2018-05-21T21:26:19Z,,159,0,0,Java,False,True,True,True,False,False,0,,False,False,0,,True,False,False,"['data2health', 'pea']",public,0,0,0,master,data2health,35613606,MDEyOk9yZ2FuaXphdGlvbjM1NjEzNjA2,Organization,public,False,False,False,False,False,True,,,,,
156759255,MDEwOlJlcG9zaXRvcnkxNTY3NTkyNTU=,direct2experts-reference-implementation,data2health/direct2experts-reference-implementation,False,https://github.com/data2health/direct2experts-reference-implementation,A JSP reference implementation for the direct2experts federated search protocol,True,https://api.github.com/repos/data2health/direct2experts-reference-implementation,2018-11-08T19:38:12Z,2019-02-12T20:38:21Z,2018-02-20T17:10:17Z,http://direct2experts.org,544,0,0,Java,False,True,True,True,False,False,0,,False,False,0,,True,False,False,"['data2health', 'pea']",public,0,0,0,master,data2health,35613606,MDEyOk9yZ2FuaXphdGlvbjM1NjEzNjA2,Organization,public,False,False,False,False,False,True,,,,,
157906104,MDEwOlJlcG9zaXRvcnkxNTc5MDYxMDQ=,discovery-app,data2health/discovery-app,False,https://github.com/data2health/discovery-app,The Data Discovery Engine project by the CD2H Data working-group,True,https://api.github.com/repos/data2health/discovery-app,2018-11-16T18:27:21Z,2023-04-27T00:22:43Z,2023-04-27T00:20:48Z,http://discovery.biothings.io,22898,0,0,HTML,False,True,True,True,False,False,0,,False,False,0,,True,False,False,['data2health'],public,0,0,0,master,data2health,35613606,MDEyOk9yZ2FuaXphdGlvbjM1NjEzNjA2,Organization,public,False,False,False,False,False,True,apache-2.0,Apache License 2.0,Apache-2.0,https://api.github.com/licenses/apache-2.0,MDc6TGljZW5zZTI=
164509518,MDEwOlJlcG9zaXRvcnkxNjQ1MDk1MTg=,CTS-Personas,data2health/CTS-Personas,False,https://github.com/data2health/CTS-Personas,Translational workforce roles and persona profiles,False,https://api.github.com/repos/data2health/CTS-Personas,2019-01-07T22:48:53Z,2024-08-26T16:39:59Z,2023-08-17T08:45:48Z,,89825,8,8,HTML,True,True,True,True,True,False,2,,False,False,6,,True,False,False,"['cd2hpm', 'data2health', 'pea', 'translational-research']",public,2,6,8,master,data2health,35613606,MDEyOk9yZ2FuaXphdGlvbjM1NjEzNjA2,Organization,public,False,False,False,False,False,True,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=
167262354,MDEwOlJlcG9zaXRvcnkxNjcyNjIzNTQ=,repository-and-index-software,data2health/repository-and-index-software,False,https://github.com/data2health/repository-and-index-software,"This is a list of repositories, repository frameworks, and data catalogs. It focuses on technical architecture, how metadata is handled and what standards are used, and what next-generation repository features (if any) are implemented.",False,https://api.github.com/repos/data2health/repository-and-index-software,2019-01-23T22:13:24Z,2024-02-05T11:29:56Z,2020-06-20T17:55:30Z,,22,4,4,,True,True,True,True,False,False,0,,False,False,2,,True,False,False,"['data-catalog', 'data2health', 'metadata', 'repository-tools']",public,0,2,4,master,data2health,35613606,MDEyOk9yZ2FuaXphdGlvbjM1NjEzNjA2,Organization,public,False,False,False,False,False,True,,,,,
