id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,license.key,license.name,license.spdx_id,license.url,license.node_id,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull,license
216030384,MDEwOlJlcG9zaXRvcnkyMTYwMzAzODQ=,qEEG-consistency,dbp-osel/qEEG-consistency,False,https://github.com/dbp-osel/qEEG-consistency,"Code from work published in Nahmias et. al. Journal of Neural Engineering, 2019",False,https://api.github.com/repos/dbp-osel/qEEG-consistency,2019-10-18T13:28:54Z,2020-03-05T19:41:14Z,2020-03-05T19:41:12Z,,434,0,0,Python,True,True,True,True,False,False,3,,False,False,0,True,False,False,[],public,3,0,0,master,dbp-osel,56271479,MDEyOk9yZ2FuaXphdGlvbjU2MjcxNDc5,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
237311754,MDEwOlJlcG9zaXRvcnkyMzczMTE3NTQ=,easyPEASI,dbp-osel/easyPEASI,False,https://github.com/dbp-osel/easyPEASI,easyPEASI: Easy Perturbation EEG Algorithm for Spectral Importance,False,https://api.github.com/repos/dbp-osel/easyPEASI,2020-01-30T21:44:04Z,2024-04-18T13:57:49Z,2020-03-05T19:58:16Z,,60255,2,2,Python,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,2,master,dbp-osel,56271479,MDEyOk9yZ2FuaXphdGlvbjU2MjcxNDc5,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
263102056,MDEwOlJlcG9zaXRvcnkyNjMxMDIwNTY=,medication-EEG-ML,dbp-osel/medication-EEG-ML,False,https://github.com/dbp-osel/medication-EEG-ML,Code from work submitted in Nahmias et. al. 2020,False,https://api.github.com/repos/dbp-osel/medication-EEG-ML,2020-05-11T16:47:39Z,2022-08-11T05:30:31Z,2020-05-11T21:35:08Z,,33,3,3,Python,True,True,True,True,False,False,0,,False,False,1,True,False,False,[],public,0,1,3,master,dbp-osel,56271479,MDEyOk9yZ2FuaXphdGlvbjU2MjcxNDc5,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
305462275,MDEwOlJlcG9zaXRvcnkzMDU0NjIyNzU=,IMU-Sensor-Placement-Optimization,dbp-osel/IMU-Sensor-Placement-Optimization,False,https://github.com/dbp-osel/IMU-Sensor-Placement-Optimization,"Data and code for analysis presented in Sensors journal manuscript titled ""Optimization of IMU Sensor Placement for the Measurement of Lower Limb Joint Kinematics"" by W. Niswander, W. Wang, and K. Kontson.",False,https://api.github.com/repos/dbp-osel/IMU-Sensor-Placement-Optimization,2020-10-19T17:28:31Z,2024-11-05T07:32:36Z,2020-12-04T20:12:16Z,,46746,12,12,MATLAB,True,True,True,True,False,False,3,,False,False,1,True,False,False,[],public,3,1,12,main,dbp-osel,56271479,MDEyOk9yZ2FuaXphdGlvbjU2MjcxNDc5,Organization,public,False,,,,,,False,False,False,False,True,
392404378,MDEwOlJlcG9zaXRvcnkzOTI0MDQzNzg=,Feaster-et-al.-2021-Supplement,dbp-osel/Feaster-et-al.-2021-Supplement,False,https://github.com/dbp-osel/Feaster-et-al.-2021-Supplement,"This is supplemental information for the publication titled "" Acute effects of cardiac contractility modulation on human induced pluripotent stem cell-derived cardiomyocytes"" by Tromondae K. Feaster, Maura Casciola, Akshay Narkar, and Ksenia Blinova.",False,https://api.github.com/repos/dbp-osel/Feaster-et-al.-2021-Supplement,2021-08-03T17:45:05Z,2021-12-01T23:45:24Z,2021-12-01T23:45:21Z,,74405,0,0,,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,main,dbp-osel,56271479,MDEyOk9yZ2FuaXphdGlvbjU2MjcxNDc5,Organization,public,False,,,,,,False,False,False,False,True,
495833796,R_kgDOHY3SxA,Comparison-of-Motion-Analysis-Systems,dbp-osel/Comparison-of-Motion-Analysis-Systems,False,https://github.com/dbp-osel/Comparison-of-Motion-Analysis-Systems,"This repository contains data from the peer-reviewed manuscript titled ""Comparison of Motion Analysis Systems in Tracking Upper Body Movement of Myoelectric Bypass Prosthesis Users"" by Sophie Wang, Gene Civillico, Wesley Niswander, and Kimberly Kontson.  Full citation of the paper is below: Wang SL, Civillico G, Niswander W, Kontson KL. Comparison of Motion Analysis Systems in Tracking Upper Body Movement of Myoelectric Bypass Prosthesis Users. Sensors. 2022; 22(8):2953. https://doi.org/10.3390/s22082953",False,https://api.github.com/repos/dbp-osel/Comparison-of-Motion-Analysis-Systems,2022-05-24T13:24:03Z,2022-05-24T13:24:03Z,2022-08-26T17:01:39Z,,98370,0,0,,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,main,dbp-osel,56271479,MDEyOk9yZ2FuaXphdGlvbjU2MjcxNDc5,Organization,public,False,,,,,,False,False,False,False,True,
527629043,R_kgDOH3L68w,ECGNExT,dbp-osel/ECGNExT,False,https://github.com/dbp-osel/ECGNExT,An algorithm for ECG noise extraction tool (ECGNExT),False,https://api.github.com/repos/dbp-osel/ECGNExT,2022-08-22T15:43:17Z,2024-07-19T15:39:35Z,2024-07-19T15:39:31Z,,211561,2,2,MATLAB,True,True,True,True,False,False,2,,False,False,0,True,False,False,[],public,2,0,2,main,dbp-osel,56271479,MDEyOk9yZ2FuaXphdGlvbjU2MjcxNDc5,Organization,public,False,cc0-1.0,Creative Commons Zero v1.0 Universal,CC0-1.0,https://api.github.com/licenses/cc0-1.0,MDc6TGljZW5zZTY=,False,False,False,False,True,
533374582,R_kgDOH8qmdg,Narkar-et-al.-2022-Supplement,dbp-osel/Narkar-et-al.-2022-Supplement,False,https://github.com/dbp-osel/Narkar-et-al.-2022-Supplement,"This is supplemental information for the publication titled "" Human in vitro neurocardiac coculture (ivNCC) assay development for evaluating cardiac contractility modulation."" by Akshay Narkar, Tromondae K. Feaster, Maura Casciola and Ksenia Blinova.",False,https://api.github.com/repos/dbp-osel/Narkar-et-al.-2022-Supplement,2022-09-06T14:57:16Z,2022-09-06T14:57:16Z,2022-09-06T15:10:00Z,,728,0,0,,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,main,dbp-osel,56271479,MDEyOk9yZ2FuaXphdGlvbjU2MjcxNDc5,Organization,public,False,,,,,,False,False,False,False,True,
557422394,R_kgDOITmXOg,Multi-frequency-3D-printed-Hand-Phantom-for-Electromagnetic-Measurements,dbp-osel/Multi-frequency-3D-printed-Hand-Phantom-for-Electromagnetic-Measurements,False,https://github.com/dbp-osel/Multi-frequency-3D-printed-Hand-Phantom-for-Electromagnetic-Measurements,,False,https://api.github.com/repos/dbp-osel/Multi-frequency-3D-printed-Hand-Phantom-for-Electromagnetic-Measurements,2022-10-25T16:56:47Z,2022-10-25T16:56:47Z,2022-10-25T16:58:07Z,,4392,0,0,,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,main,dbp-osel,56271479,MDEyOk9yZ2FuaXphdGlvbjU2MjcxNDc5,Organization,public,False,,,,,,False,False,False,False,True,
580475871,R_kgDOIplb3w,Endoscope-Geometric-Distortion,dbp-osel/Endoscope-Geometric-Distortion,False,https://github.com/dbp-osel/Endoscope-Geometric-Distortion,,False,https://api.github.com/repos/dbp-osel/Endoscope-Geometric-Distortion,2022-12-20T16:50:11Z,2022-12-20T16:50:29Z,2022-12-20T17:58:21Z,,1105,0,0,MATLAB,True,True,True,True,False,False,1,,False,False,0,True,False,False,[],public,1,0,0,main,dbp-osel,56271479,MDEyOk9yZ2FuaXphdGlvbjU2MjcxNDc5,Organization,public,False,cc0-1.0,Creative Commons Zero v1.0 Universal,CC0-1.0,https://api.github.com/licenses/cc0-1.0,MDc6TGljZW5zZTY=,False,False,False,False,True,
