id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,license,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull,license.key,license.name,license.spdx_id,license.url,license.node_id
17498573,MDEwOlJlcG9zaXRvcnkxNzQ5ODU3Mw==,dessn-dbscripts,dessn/dessn-dbscripts,False,https://github.com/dessn/dessn-dbscripts,Scripts for fetching SN data from the DES database. Maintainer: @kbarbary,False,https://api.github.com/repos/dessn/dessn-dbscripts,2014-03-07T01:14:22Z,2014-09-07T05:34:44Z,2015-09-15T18:48:20Z,,473,0,0,Python,True,True,True,True,False,False,3,,False,False,0,,True,False,False,[],public,3,0,0,master,dessn,8504951,MDEyOk9yZ2FuaXphdGlvbjg1MDQ5NTE=,Organization,public,False,False,False,False,False,True,,,,,
23235405,MDEwOlJlcG9zaXRvcnkyMzIzNTQwNQ==,atc-tools,dessn/atc-tools,False,https://github.com/dessn/atc-tools,Client-side scripting for ATC.  Maintainer: @rcthomas,False,https://api.github.com/repos/dessn/atc-tools,2014-08-22T18:29:20Z,2016-02-02T00:19:17Z,2016-02-02T00:19:14Z,,71,0,0,Python,True,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,0,master,dessn,8504951,MDEyOk9yZ2FuaXphdGlvbjg1MDQ5NTE=,Organization,public,False,False,False,False,False,True,,,,,
23268307,MDEwOlJlcG9zaXRvcnkyMzI2ODMwNw==,des_spec_select,dessn/des_spec_select,False,https://github.com/dessn/des_spec_select,,True,https://api.github.com/repos/dessn/des_spec_select,2014-08-23T23:13:09Z,2015-07-13T17:27:38Z,2015-10-30T20:57:14Z,,385,0,0,Python,False,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,0,master,dessn,8504951,MDEyOk9yZ2FuaXphdGlvbjg1MDQ5NTE=,Organization,public,False,False,False,False,False,True,bsd-2-clause,"BSD 2-Clause ""Simplified"" License",BSD-2-Clause,https://api.github.com/licenses/bsd-2-clause,MDc6TGljZW5zZTQ=
29996322,MDEwOlJlcG9zaXRvcnkyOTk5NjMyMg==,qscan,dessn/qscan,False,https://github.com/dessn/qscan,web application for quickly scanning sn objects -- maintainer: @dannygoldstein,False,https://api.github.com/repos/dessn/qscan,2015-01-29T00:52:57Z,2019-12-10T17:58:04Z,2022-12-07T23:22:25Z,,103,0,0,Python,True,True,True,True,False,False,0,,False,False,4,,True,False,False,[],public,0,4,0,master,dessn,8504951,MDEyOk9yZ2FuaXphdGlvbjg1MDQ5NTE=,Organization,public,False,False,False,False,False,True,,,,,
36975384,MDEwOlJlcG9zaXRvcnkzNjk3NTM4NA==,autoscan,dessn/autoscan,False,https://github.com/dessn/autoscan,Random Forest-Powered Artifact Rejection. Maintainer: @dannygoldstein,False,https://api.github.com/repos/dessn/autoscan,2015-06-06T09:54:38Z,2023-06-05T16:07:36Z,2015-06-06T09:55:22Z,,144,7,7,Python,True,True,True,True,False,False,5,,False,False,0,,True,False,False,[],public,5,0,7,master,dessn,8504951,MDEyOk9yZ2FuaXphdGlvbjg1MDQ5NTE=,Organization,public,False,False,False,False,False,True,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=
45723864,MDEwOlJlcG9zaXRvcnk0NTcyMzg2NA==,sn-bhm,dessn/sn-bhm,False,https://github.com/dessn/sn-bhm,"hierarchical model for the des-sn cosmology analysis. maintainer: @AlexGKim, @Samreay",False,https://api.github.com/repos/dessn/sn-bhm,2015-11-07T05:27:44Z,2019-08-21T01:46:10Z,2019-05-01T04:23:34Z,http://dessn.github.io/sn-doc,3304812,0,0,TeX,True,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,0,master,dessn,8504951,MDEyOk9yZ2FuaXphdGlvbjg1MDQ5NTE=,Organization,public,False,False,False,False,False,True,mit,MIT License,MIT,https://api.github.com/licenses/mit,MDc6TGljZW5zZTEz
57281099,MDEwOlJlcG9zaXRvcnk1NzI4MTA5OQ==,sn-doc,dessn/sn-doc,False,https://github.com/dessn/sn-doc,,False,https://api.github.com/repos/dessn/sn-doc,2016-04-28T07:40:33Z,2018-09-24T02:05:03Z,2018-09-24T02:05:01Z,,21129,0,0,HTML,True,True,True,True,True,False,0,,False,False,0,,True,False,False,[],public,0,0,0,gh-pages,dessn,8504951,MDEyOk9yZ2FuaXphdGlvbjg1MDQ5NTE=,Organization,public,False,False,False,False,False,True,,,,,
60301577,MDEwOlJlcG9zaXRvcnk2MDMwMTU3Nw==,DiscoveryEfficiency,dessn/DiscoveryEfficiency,False,https://github.com/dessn/DiscoveryEfficiency,,False,https://api.github.com/repos/dessn/DiscoveryEfficiency,2016-06-02T22:28:48Z,2016-06-02T22:29:21Z,2016-07-01T17:56:56Z,,19849,0,0,Python,True,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,0,master,dessn,8504951,MDEyOk9yZ2FuaXphdGlvbjg1MDQ5NTE=,Organization,public,False,False,False,False,False,True,,,,,
64902737,MDEwOlJlcG9zaXRvcnk2NDkwMjczNw==,Covariance,dessn/Covariance,False,https://github.com/dessn/Covariance,Covariance matrix calculations,True,https://api.github.com/repos/dessn/Covariance,2016-08-04T04:33:23Z,2022-02-16T00:27:39Z,2022-08-06T08:46:12Z,,391,1,1,Python,False,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,1,master,dessn,8504951,MDEyOk9yZ2FuaXphdGlvbjg1MDQ5NTE=,Organization,public,False,False,False,False,False,True,,,,,
75926527,MDEwOlJlcG9zaXRvcnk3NTkyNjUyNw==,hack_playground,dessn/hack_playground,False,https://github.com/dessn/hack_playground,,False,https://api.github.com/repos/dessn/hack_playground,2016-12-08T10:10:49Z,2016-12-08T10:50:08Z,2016-12-15T17:50:25Z,,4,0,0,Python,True,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,0,master,dessn,8504951,MDEyOk9yZ2FuaXphdGlvbjg1MDQ5NTE=,Organization,public,False,False,False,False,False,True,mit,MIT License,MIT,https://api.github.com/licenses/mit,MDc6TGljZW5zZTEz
