id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,license.key,license.name,license.spdx_id,license.url,license.node_id,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull,license
433530080,R_kgDOGdck4A,adcspy,dshield-proj/adcspy,False,https://github.com/dshield-proj/adcspy,,False,https://api.github.com/repos/dshield-proj/adcspy,2021-11-30T17:50:01Z,2022-06-07T10:20:53Z,2022-06-07T17:24:38Z,,20,0,0,Python,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,main,dshield-proj,107019130,O_kgDOBmD7eg,Organization,public,False,apache-2.0,Apache License 2.0,Apache-2.0,https://api.github.com/licenses/apache-2.0,MDc6TGljZW5zZTI=,False,False,False,False,True,
500782752,R_kgDOHdlWoA,instrupy,dshield-proj/instrupy,False,https://github.com/dshield-proj/instrupy,InstruPy is a python package to calculate observation data metrics for a given remote-sensing instrument and associated viewing geometry.,True,https://api.github.com/repos/dshield-proj/instrupy,2022-06-07T09:55:30Z,2022-06-07T18:13:51Z,2022-05-29T08:28:47Z,,121544,0,0,,False,True,True,True,False,False,0,,False,False,0,True,False,False,"['instruments', 'orbits', 'remote-sensing', 'satellites']",public,0,0,0,master,dshield-proj,107019130,O_kgDOBmD7eg,Organization,public,False,apache-2.0,Apache License 2.0,Apache-2.0,https://api.github.com/licenses/apache-2.0,MDc6TGljZW5zZTI=,False,False,False,False,True,
500789526,R_kgDOHdlxFg,orbitpy,dshield-proj/orbitpy,False,https://github.com/dshield-proj/orbitpy,Python package (with C++ base) to compute satellite remote-sensing related orbit data.,True,https://api.github.com/repos/dshield-proj/orbitpy,2022-06-07T10:17:25Z,2022-10-09T01:30:50Z,2022-10-09T01:30:31Z,,695489,0,0,C++,False,True,True,True,False,False,0,,False,False,0,True,False,False,"['coverage', 'cpp', 'orbits', 'python', 'remote-sensing', 'satellites']",public,0,0,0,master,dshield-proj,107019130,O_kgDOBmD7eg,Organization,public,False,apache-2.0,Apache License 2.0,Apache-2.0,https://api.github.com/licenses/apache-2.0,MDc6TGljZW5zZTI=,False,False,False,False,True,
500789787,R_kgDOHdlyGw,eosim-gui,dshield-proj/eosim-gui,False,https://github.com/dshield-proj/eosim-gui,A Graphical User Interface to the OrbitPy and InstruPy packages.,True,https://api.github.com/repos/dshield-proj/eosim-gui,2022-06-07T10:18:18Z,2022-06-07T18:18:55Z,2022-10-09T01:30:55Z,,5678,0,0,Python,False,True,True,True,False,False,0,,False,False,0,True,False,False,"['cesiumjs', 'instrupy', 'orbitpy']",public,0,0,0,main,dshield-proj,107019130,O_kgDOBmD7eg,Organization,public,False,apache-2.0,Apache License 2.0,Apache-2.0,https://api.github.com/licenses/apache-2.0,MDc6TGljZW5zZTI=,False,False,False,False,True,
500959348,R_kgDOHdwIdA,.github,dshield-proj/.github,False,https://github.com/dshield-proj/.github,,False,https://api.github.com/repos/dshield-proj/.github,2022-06-07T18:28:38Z,2022-06-07T18:28:38Z,2022-06-07T19:05:43Z,,2,0,0,,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,main,dshield-proj,107019130,O_kgDOBmD7eg,Organization,public,False,,,,,,False,False,False,False,True,
501478496,R_kgDOHeP0YA,soil-moisture-retrieval-and-simulation,dshield-proj/soil-moisture-retrieval-and-simulation,False,https://github.com/dshield-proj/soil-moisture-retrieval-and-simulation,,False,https://api.github.com/repos/dshield-proj/soil-moisture-retrieval-and-simulation,2022-06-09T02:31:18Z,2024-02-21T15:50:15Z,2022-06-29T18:53:36Z,,15492,2,2,Python,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,2,main,dshield-proj,107019130,O_kgDOBmD7eg,Organization,public,False,apache-2.0,Apache License 2.0,Apache-2.0,https://api.github.com/licenses/apache-2.0,MDc6TGljZW5zZTI=,False,False,False,False,True,
503124751,R_kgDOHf0TDw,dshield-constellation-design,dshield-proj/dshield-constellation-design,False,https://github.com/dshield-proj/dshield-constellation-design,,True,https://api.github.com/repos/dshield-proj/dshield-constellation-design,2022-06-13T21:47:41Z,2022-06-13T21:39:41Z,2022-06-13T21:37:25Z,,1,0,0,,False,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,main,dshield-proj,107019130,O_kgDOBmD7eg,Organization,public,False,,,,,,False,False,False,False,True,
503457802,R_kgDOHgIoCg,observation-planner,dshield-proj/observation-planner,False,https://github.com/dshield-proj/observation-planner,Python code for the observation planner,False,https://api.github.com/repos/dshield-proj/observation-planner,2022-06-14T17:29:09Z,2022-06-14T18:47:09Z,2022-08-15T20:31:58Z,,279,0,0,Python,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,main,dshield-proj,107019130,O_kgDOBmD7eg,Organization,public,False,apache-2.0,Apache License 2.0,Apache-2.0,https://api.github.com/licenses/apache-2.0,MDc6TGljZW5zZTI=,False,False,False,False,True,
530775866,R_kgDOH6L_Og,soil-moisture-prediction,dshield-proj/soil-moisture-prediction,False,https://github.com/dshield-proj/soil-moisture-prediction,Repo for forecasting global soil moisture at 9kmx9km spatial and 3-hours temporal resolution. The soil moisture is accompanied with a prediction uncertainty.,False,https://api.github.com/repos/dshield-proj/soil-moisture-prediction,2022-08-30T18:12:37Z,2022-08-30T18:45:18Z,2022-11-15T18:13:09Z,,23,0,0,Python,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,main,dshield-proj,107019130,O_kgDOBmD7eg,Organization,public,False,,,,,,False,False,False,False,True,
792514003,R_kgDOLzzN0w,dshield-planner,dshield-proj/dshield-planner,False,https://github.com/dshield-proj/dshield-planner,Integrated observation and downlink planner using Monte Carlo Tree Search,False,https://api.github.com/repos/dshield-proj/dshield-planner,2024-04-26T20:40:17Z,2024-04-26T20:47:53Z,2024-04-26T20:47:50Z,,36,0,0,Python,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,main,dshield-proj,107019130,O_kgDOBmD7eg,Organization,public,False,,,,,,False,False,False,False,True,
