id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,license.key,license.name,license.spdx_id,license.url,license.node_id,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull,license
26307245,MDEwOlJlcG9zaXRvcnkyNjMwNzI0NQ==,e-mission-server,e-mission/e-mission-server,False,https://github.com/e-mission/e-mission-server,The backend (server) code for the e-mission server,False,https://api.github.com/repos/e-mission/e-mission-server,2014-11-07T06:39:02Z,2024-12-17T02:56:33Z,2024-12-17T02:56:01Z,https://e-mission.eecs.berkeley.edu,199569,34,34,Jupyter Notebook,False,True,True,False,False,False,119,,False,False,21,True,False,False,[],public,119,21,34,master,e-mission,10713694,MDEyOk9yZ2FuaXphdGlvbjEwNzEzNjk0,Organization,public,False,bsd-3-clause,"BSD 3-Clause ""New"" or ""Revised"" License",BSD-3-Clause,https://api.github.com/licenses/bsd-3-clause,MDc6TGljZW5zZTU=,False,False,False,False,True,
26308508,MDEwOlJlcG9zaXRvcnkyNjMwODUwOA==,e-mission-phone-native,e-mission/e-mission-phone-native,False,https://github.com/e-mission/e-mission-phone-native,Android and iOS phone apps for the e-mission-project,False,https://api.github.com/repos/e-mission/e-mission-phone-native,2014-11-07T07:19:25Z,2023-01-28T19:02:14Z,2019-02-13T16:53:46Z,https://e-mission.eecs.berkeley.edu,11005,1,1,JavaScript,True,True,True,True,False,False,14,,True,False,7,True,False,False,[],public,14,7,1,master,e-mission,10713694,MDEyOk9yZ2FuaXphdGlvbjEwNzEzNjk0,Organization,public,False,bsd-3-clause,"BSD 3-Clause ""New"" or ""Revised"" License",BSD-3-Clause,https://api.github.com/licenses/bsd-3-clause,MDc6TGljZW5zZTU=,False,False,False,False,True,
29899183,MDEwOlJlcG9zaXRvcnkyOTg5OTE4Mw==,e-mission-phone-cordova-plugins,e-mission/e-mission-phone-cordova-plugins,False,https://github.com/e-mission/e-mission-phone-cordova-plugins,The cross-platform phone app for the e-mission project,False,https://api.github.com/repos/e-mission/e-mission-phone-cordova-plugins,2015-01-27T05:37:11Z,2023-01-28T14:11:21Z,2020-06-11T05:11:48Z,https://e-mission.eecs.berkeley.edu,5878,0,0,JavaScript,True,True,True,True,False,False,5,,True,False,2,True,False,False,[],public,5,2,0,master,e-mission,10713694,MDEyOk9yZ2FuaXphdGlvbjEwNzEzNjk0,Organization,public,False,bsd-3-clause,"BSD 3-Clause ""New"" or ""Revised"" License",BSD-3-Clause,https://api.github.com/licenses/bsd-3-clause,MDc6TGljZW5zZTU=,False,False,False,False,True,
30003805,MDEwOlJlcG9zaXRvcnkzMDAwMzgwNQ==,e-mission-data-collection,e-mission/e-mission-data-collection,False,https://github.com/e-mission/e-mission-data-collection,Repository for our own data collection,False,https://api.github.com/repos/e-mission/e-mission-data-collection,2015-01-29T04:35:25Z,2024-10-09T21:07:48Z,2024-10-09T21:10:56Z,,28055,4,4,Java,True,True,True,True,False,False,19,,False,False,23,True,False,False,[],public,19,23,4,master,e-mission,10713694,MDEyOk9yZ2FuaXphdGlvbjEwNzEzNjk0,Organization,public,False,bsd-3-clause,"BSD 3-Clause ""New"" or ""Revised"" License",BSD-3-Clause,https://api.github.com/licenses/bsd-3-clause,MDc6TGljZW5zZTU=,False,False,False,False,True,
49028878,MDEwOlJlcG9zaXRvcnk0OTAyODg3OA==,cordova-launch-native-screen,e-mission/cordova-launch-native-screen,False,https://github.com/e-mission/cordova-launch-native-screen,"My first plugin, which launches the specified native screen",False,https://api.github.com/repos/e-mission/cordova-launch-native-screen,2016-01-04T23:09:54Z,2023-01-28T14:11:22Z,2016-01-06T06:26:42Z,,9,0,0,Objective-C,True,True,True,True,False,False,1,,True,False,0,True,False,False,[],public,1,0,0,master,e-mission,10713694,MDEyOk9yZ2FuaXphdGlvbjEwNzEzNjk0,Organization,public,False,bsd-3-clause,"BSD 3-Clause ""New"" or ""Revised"" License",BSD-3-Clause,https://api.github.com/licenses/bsd-3-clause,MDc6TGljZW5zZTU=,False,False,False,False,True,
49307948,MDEwOlJlcG9zaXRvcnk0OTMwNzk0OA==,cordova-unified-logger,e-mission/cordova-unified-logger,False,https://github.com/e-mission/cordova-unified-logger,,False,https://api.github.com/repos/e-mission/cordova-unified-logger,2016-01-09T02:43:33Z,2022-02-23T07:30:34Z,2023-03-17T03:19:54Z,,93,0,0,Objective-C,True,True,True,True,False,False,4,,False,False,0,True,False,False,[],public,4,0,0,master,e-mission,10713694,MDEyOk9yZ2FuaXphdGlvbjEwNzEzNjk0,Organization,public,False,bsd-3-clause,"BSD 3-Clause ""New"" or ""Revised"" License",BSD-3-Clause,https://api.github.com/licenses/bsd-3-clause,MDc6TGljZW5zZTU=,False,False,False,False,True,
50162042,MDEwOlJlcG9zaXRvcnk1MDE2MjA0Mg==,cordova-connection-settings,e-mission/cordova-connection-settings,False,https://github.com/e-mission/cordova-connection-settings,Plugin to store connection settings in a plist or .xml file and to load them on demand,False,https://api.github.com/repos/e-mission/cordova-connection-settings,2016-01-22T06:19:05Z,2022-05-29T04:55:52Z,2022-05-29T05:16:32Z,,45,0,0,Java,True,True,True,True,False,False,4,,False,False,2,True,False,False,[],public,4,2,0,master,e-mission,10713694,MDEyOk9yZ2FuaXphdGlvbjEwNzEzNjk0,Organization,public,False,bsd-3-clause,"BSD 3-Clause ""New"" or ""Revised"" License",BSD-3-Clause,https://api.github.com/licenses/bsd-3-clause,MDc6TGljZW5zZTU=,False,False,False,False,True,
50162207,MDEwOlJlcG9zaXRvcnk1MDE2MjIwNw==,cordova-server-communication,e-mission/cordova-server-communication,False,https://github.com/e-mission/cordova-server-communication,Wrappers for native code to make authenticated calls to the server,False,https://api.github.com/repos/e-mission/cordova-server-communication,2016-01-22T06:22:25Z,2024-08-29T17:58:18Z,2024-08-29T18:03:21Z,,69,0,0,Objective-C,True,True,True,True,False,False,3,,False,False,1,True,False,False,[],public,3,1,0,master,e-mission,10713694,MDEyOk9yZ2FuaXphdGlvbjEwNzEzNjk0,Organization,public,False,bsd-3-clause,"BSD 3-Clause ""New"" or ""Revised"" License",BSD-3-Clause,https://api.github.com/licenses/bsd-3-clause,MDc6TGljZW5zZTU=,False,False,False,False,True,
50530862,MDEwOlJlcG9zaXRvcnk1MDUzMDg2Mg==,cordova-server-sync,e-mission/cordova-server-sync,False,https://github.com/e-mission/cordova-server-sync,,False,https://api.github.com/repos/e-mission/cordova-server-sync,2016-01-27T19:07:54Z,2024-08-28T22:41:37Z,2024-08-28T22:42:30Z,,126,0,0,Objective-C,True,True,True,True,False,False,6,,False,False,2,True,False,False,[],public,6,2,0,master,e-mission,10713694,MDEyOk9yZ2FuaXphdGlvbjEwNzEzNjk0,Organization,public,False,bsd-3-clause,"BSD 3-Clause ""New"" or ""Revised"" License",BSD-3-Clause,https://api.github.com/licenses/bsd-3-clause,MDc6TGljZW5zZTU=,False,False,False,False,True,
50534355,MDEwOlJlcG9zaXRvcnk1MDUzNDM1NQ==,cordova-jwt-auth,e-mission/cordova-jwt-auth,False,https://github.com/e-mission/cordova-jwt-auth,,False,https://api.github.com/repos/e-mission/cordova-jwt-auth,2016-01-27T20:08:12Z,2021-10-24T05:02:00Z,2023-07-12T20:43:10Z,,1945,2,2,Java,True,True,True,True,False,False,9,,False,False,0,True,False,False,[],public,9,0,2,master,e-mission,10713694,MDEyOk9yZ2FuaXphdGlvbjEwNzEzNjk0,Organization,public,False,bsd-3-clause,"BSD 3-Clause ""New"" or ""Revised"" License",BSD-3-Clause,https://api.github.com/licenses/bsd-3-clause,MDc6TGljZW5zZTU=,False,False,False,False,True,
