id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,license.key,license.name,license.spdx_id,license.url,license.node_id,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull,license
339831245,MDEwOlJlcG9zaXRvcnkzMzk4MzEyNDU=,jms-client,faa-swim/jms-client,False,https://github.com/faa-swim/jms-client,Provides a very basic JMS Client that simplifies connecting and consuming from FAA SWIM.,False,https://api.github.com/repos/faa-swim/jms-client,2021-02-17T19:19:41Z,2024-01-10T09:45:27Z,2021-05-04T22:47:53Z,,38,9,9,Java,True,True,True,True,False,False,2,,False,False,1,True,False,False,[],public,2,1,9,v1.0,faa-swim,73847616,MDEyOk9yZ2FuaXphdGlvbjczODQ3NjE2,Organization,public,False,apache-2.0,Apache License 2.0,Apache-2.0,https://api.github.com/licenses/apache-2.0,MDc6TGljZW5zZTI=,False,False,False,False,True,
339855942,MDEwOlJlcG9zaXRvcnkzMzk4NTU5NDI=,aixm-5.1,faa-swim/aixm-5.1,False,https://github.com/faa-swim/aixm-5.1,Provides Java XML Bindings for the AIXM 5.1 Schema for use with the FAA SWIM FNS Service.,False,https://api.github.com/repos/faa-swim/aixm-5.1,2021-02-17T21:05:36Z,2024-10-08T20:12:06Z,2022-06-20T19:25:41Z,,1600,4,4,Java,True,True,True,True,False,False,2,,False,False,1,True,False,False,[],public,2,1,4,v1.0,faa-swim,73847616,MDEyOk9yZ2FuaXphdGlvbjczODQ3NjE2,Organization,public,False,apache-2.0,Apache License 2.0,Apache-2.0,https://api.github.com/licenses/apache-2.0,MDc6TGljZW5zZTI=,False,False,False,False,True,
339857948,MDEwOlJlcG9zaXRvcnkzMzk4NTc5NDg=,swim-utilities,faa-swim/swim-utilities,False,https://github.com/faa-swim/swim-utilities,Basic set of utilities to help in working with consuming SWIM data,False,https://api.github.com/repos/faa-swim/swim-utilities,2021-02-17T21:15:10Z,2023-05-04T16:18:07Z,2021-02-18T21:50:19Z,,11,5,5,Java,True,True,True,True,False,False,1,,False,False,0,True,False,False,[],public,1,0,5,v1.0,faa-swim,73847616,MDEyOk9yZ2FuaXphdGlvbjczODQ3NjE2,Organization,public,False,apache-2.0,Apache License 2.0,Apache-2.0,https://api.github.com/licenses/apache-2.0,MDc6TGljZW5zZTI=,False,False,False,False,True,
339861473,MDEwOlJlcG9zaXRvcnkzMzk4NjE0NzM=,fns-client,faa-swim/fns-client,False,https://github.com/faa-swim/fns-client,"The System Wide Information Service (SWIM) Federal NOTAM System (FNS) Java Messaging Service (JMS) Reference Implementation (FnsClient) provides an example implementation on how to establish and maintain a local instance of the FNS NOTAM Database through the use of the FNS Initial Load (FIL) and SWIM FNS JMS services. FIL provides all active NOTAMS, via SFTP, that is required to initialize a NOTAM database and the SWIM JMS service provides, via JMS, NOTAM updates to keep the NOTAM database current. FIL also provides for re-initialization of a NOTAM database in the case of JMS service interruption.",False,https://api.github.com/repos/faa-swim/fns-client,2021-02-17T21:32:37Z,2024-10-06T15:30:14Z,2024-03-28T08:19:20Z,,60653,13,13,Java,True,True,True,True,False,False,8,,False,False,3,True,False,False,[],public,8,3,13,v1.0,faa-swim,73847616,MDEyOk9yZ2FuaXphdGlvbjczODQ3NjE2,Organization,public,False,apache-2.0,Apache License 2.0,Apache-2.0,https://api.github.com/licenses/apache-2.0,MDc6TGljZW5zZTI=,False,False,False,False,True,
343895493,MDEwOlJlcG9zaXRvcnkzNDM4OTU0OTM=,BasicScdsAmqpDotNetConsumer,faa-swim/BasicScdsAmqpDotNetConsumer,False,https://github.com/faa-swim/BasicScdsAmqpDotNetConsumer,Provides a basic example of how to connect to SCDS using AMQP in .net core,False,https://api.github.com/repos/faa-swim/BasicScdsAmqpDotNetConsumer,2021-03-02T19:55:23Z,2023-06-30T16:46:59Z,2022-08-04T15:22:38Z,,36,1,1,C#,True,True,True,True,False,False,1,,False,False,1,True,False,False,[],public,1,1,1,main,faa-swim,73847616,MDEyOk9yZ2FuaXphdGlvbjczODQ3NjE2,Organization,public,False,apache-2.0,Apache License 2.0,Apache-2.0,https://api.github.com/licenses/apache-2.0,MDc6TGljZW5zZTI=,False,False,False,False,True,
411751402,R_kgDOGIrT6g,swim-discovery-service,faa-swim/swim-discovery-service,False,https://github.com/faa-swim/swim-discovery-service,,False,https://api.github.com/repos/faa-swim/swim-discovery-service,2021-09-29T16:34:16Z,2022-08-22T16:41:15Z,2022-07-05T16:33:59Z,,50,1,1,,True,True,True,True,False,True,1,,False,False,6,True,False,False,[],public,1,6,1,main,faa-swim,73847616,MDEyOk9yZ2FuaXphdGlvbjczODQ3NjE2,Organization,public,False,,,,,,False,False,False,False,True,
428748819,R_kgDOGY4wEw,sdcm,faa-swim/sdcm,False,https://github.com/faa-swim/sdcm,Issues tracking for Service Description Conceptural Model,False,https://api.github.com/repos/faa-swim/sdcm,2021-11-16T17:18:17Z,2023-03-07T17:39:05Z,2022-12-08T12:11:40Z,,1,1,1,,True,True,True,True,False,False,0,,False,False,17,True,False,False,[],public,0,17,1,main,faa-swim,73847616,MDEyOk9yZ2FuaXphdGlvbjczODQ3NjE2,Organization,public,False,,,,,,False,False,False,False,True,
435651825,R_kgDOGfeE8Q,s3-archiver,faa-swim/s3-archiver,False,https://github.com/faa-swim/s3-archiver,"Provides a tool to archive data in S3, and query data that is archived through S3 Select.",False,https://api.github.com/repos/faa-swim/s3-archiver,2021-12-06T21:23:06Z,2022-01-07T02:52:15Z,2022-01-07T02:52:13Z,,27,0,0,Java,True,True,True,True,False,False,2,,False,False,0,True,False,False,[],public,2,0,0,main,faa-swim,73847616,MDEyOk9yZ2FuaXphdGlvbjczODQ3NjE2,Organization,public,False,apache-2.0,Apache License 2.0,Apache-2.0,https://api.github.com/licenses/apache-2.0,MDc6TGljZW5zZTI=,False,False,False,False,True,
649942747,R_kgDOJr1W2w,nesg-jumpstart-kit,faa-swim/nesg-jumpstart-kit,False,https://github.com/faa-swim/nesg-jumpstart-kit,NESG Jumpstart Kit,False,https://api.github.com/repos/faa-swim/nesg-jumpstart-kit,2023-06-06T01:38:49Z,2023-06-06T01:49:31Z,2023-06-14T21:04:25Z,,88997,0,0,,True,True,True,False,False,False,0,,False,False,1,True,False,False,[],public,0,1,0,main,faa-swim,73847616,MDEyOk9yZ2FuaXphdGlvbjczODQ3NjE2,Organization,public,False,,,,,,False,False,False,False,True,
705688580,R_kgDOKg_0BA,sds20,faa-swim/sds20,False,https://github.com/faa-swim/sds20,SWIM Discovery Service Discussions,False,https://api.github.com/repos/faa-swim/sds20,2023-10-16T13:58:50Z,2023-10-16T14:12:26Z,2023-10-16T13:58:50Z,,0,0,0,,True,True,True,False,False,False,0,,False,False,11,True,False,False,[],public,0,11,0,main,faa-swim,73847616,MDEyOk9yZ2FuaXphdGlvbjczODQ3NjE2,Organization,public,False,,,,,,False,False,False,False,True,
