id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,license.key,license.name,license.spdx_id,license.url,license.node_id,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull,license
22161276,MDEwOlJlcG9zaXRvcnkyMjE2MTI3Ng==,FEC,fecgov/FEC,False,https://github.com/fecgov/FEC,A general discussion forum for FEC.gov. This is the best place to submit general feedback.,False,https://api.github.com/repos/fecgov/FEC,2014-07-23T16:34:17Z,2024-11-29T07:46:20Z,2024-11-25T21:00:09Z,https://www.fec.gov,15126,228,228,,True,True,True,True,False,False,56,,False,False,426,True,False,False,[],public,56,426,228,master,fecgov,24719213,MDEyOk9yZ2FuaXphdGlvbjI0NzE5MjEz,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
23116127,MDEwOlJlcG9zaXRvcnkyMzExNjEyNw==,openFEC,fecgov/openFEC,False,https://github.com/fecgov/openFEC,"The first RESTful API for the Federal Election Commission. We're aiming to make campaign finance more accessible for journalists, academics, developers, and other transparency seekers.",False,https://api.github.com/repos/fecgov/openFEC,2014-08-19T15:51:14Z,2024-12-18T18:49:41Z,2024-12-18T18:49:37Z,https://api.open.fec.gov/developers,399338,483,483,Python,True,True,True,True,False,False,106,,False,False,203,True,False,False,[],public,106,203,483,develop,fecgov,24719213,MDEyOk9yZ2FuaXphdGlvbjI0NzE5MjEz,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
25273785,MDEwOlJlcG9zaXRvcnkyNTI3Mzc4NQ==,openFEC-web-app,fecgov/openFEC-web-app,False,https://github.com/fecgov/openFEC-web-app,DEPRECATED See https://github.com/18F/fec-cms for fec.gov's code,False,https://api.github.com/repos/fecgov/openFEC-web-app,2014-10-15T21:12:32Z,2023-01-28T21:20:12Z,2017-08-31T18:44:03Z,,14713,43,43,HTML,True,True,True,True,False,False,31,,True,False,0,True,False,False,[],public,31,0,43,develop,fecgov,24719213,MDEyOk9yZ2FuaXphdGlvbjI0NzE5MjEz,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
40841283,MDEwOlJlcG9zaXRvcnk0MDg0MTI4Mw==,fec-cms,fecgov/fec-cms,False,https://github.com/fecgov/fec-cms,The content management system (CMS) for the new Federal Election Commission website.,False,https://api.github.com/repos/fecgov/fec-cms,2015-08-16T21:11:22Z,2024-12-13T17:33:00Z,2024-12-17T19:52:00Z,https://www.fec.gov,80853,99,99,Python,True,True,True,True,False,False,40,,False,False,523,True,False,False,[],public,40,523,99,develop,fecgov,24719213,MDEyOk9yZ2FuaXphdGlvbjI0NzE5MjEz,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
43096879,MDEwOlJlcG9zaXRvcnk0MzA5Njg3OQ==,fec-proxy,fecgov/fec-proxy,False,https://github.com/fecgov/fec-proxy,Reverse proxy app to combine multiple applications.,False,https://api.github.com/repos/fecgov/fec-proxy,2015-09-24T22:40:11Z,2024-11-14T20:26:43Z,2024-11-14T20:28:36Z,,6367,8,8,Shell,True,True,True,True,False,False,6,,False,False,7,True,False,False,[],public,6,7,8,develop,fecgov,24719213,MDEyOk9yZ2FuaXphdGlvbjI0NzE5MjEz,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
47775597,MDEwOlJlcG9zaXRvcnk0Nzc3NTU5Nw==,fec-eregs,fecgov/fec-eregs,False,https://github.com/fecgov/fec-eregs,"The Federal Election Commission's web-based application that makes regulations easier to find, read and understand.",False,https://api.github.com/repos/fecgov/fec-eregs,2015-12-10T17:01:12Z,2024-07-15T04:19:17Z,2024-05-21T10:55:07Z,https://www.fec.gov/regulations/,6993,33,33,SCSS,True,True,True,True,False,False,13,,True,False,22,True,False,False,[],public,13,22,33,develop,fecgov,24719213,MDEyOk9yZ2FuaXphdGlvbjI0NzE5MjEz,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
61831370,MDEwOlJlcG9zaXRvcnk2MTgzMTM3MA==,fec-transition,fecgov/fec-transition,False,https://github.com/fecgov/fec-transition,Repository for planning and executing the transition of fec related projects from 18F back to the Federal Elections Commission,False,https://api.github.com/repos/fecgov/fec-transition,2016-06-23T19:32:57Z,2023-01-28T20:11:32Z,2016-06-23T22:43:36Z,,97,2,2,,True,True,True,True,False,False,3,,True,False,7,True,False,False,[],public,3,7,2,master,fecgov,24719213,MDEyOk9yZ2FuaXphdGlvbjI0NzE5MjEz,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
66722882,MDEwOlJlcG9zaXRvcnk2NjcyMjg4Mg==,fec-epics,fecgov/fec-epics,False,https://github.com/fecgov/fec-epics,Tracks high level epics for the FEC project,False,https://api.github.com/repos/fecgov/fec-epics,2016-08-27T16:00:27Z,2018-02-13T18:09:06Z,2016-08-27T16:04:44Z,,3,0,0,,True,True,True,True,False,False,3,,False,False,46,True,False,False,[],public,3,46,0,master,fecgov,24719213,MDEyOk9yZ2FuaXphdGlvbjI0NzE5MjEz,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
70199326,MDEwOlJlcG9zaXRvcnk3MDE5OTMyNg==,fec-testing,fecgov/fec-testing,False,https://github.com/fecgov/fec-testing,"FEC repository that tracks ideas through concept, design, usability testing, documentation, and feeds project improvements over time.",False,https://api.github.com/repos/fecgov/fec-testing,2016-10-06T22:52:44Z,2019-10-21T16:18:46Z,2018-03-23T14:26:42Z,,332,3,3,,True,True,True,True,False,False,8,,False,False,11,True,False,False,[],public,8,11,3,master,fecgov,24719213,MDEyOk9yZ2FuaXphdGlvbjI0NzE5MjEz,Organization,public,False,,,,,,False,False,False,False,True,
72254392,MDEwOlJlcG9zaXRvcnk3MjI1NDM5Mg==,fec-pattern-library,fecgov/fec-pattern-library,False,https://github.com/fecgov/fec-pattern-library,Pattern Library for FEC.gov,False,https://api.github.com/repos/fecgov/fec-pattern-library,2016-10-29T00:40:35Z,2024-11-18T16:58:15Z,2024-07-22T15:24:13Z,https://fec-pattern-library.app.cloud.gov/,9163,10,10,HTML,True,True,True,True,False,False,10,,False,False,23,True,False,False,[],public,10,23,10,master,fecgov,24719213,MDEyOk9yZ2FuaXphdGlvbjI0NzE5MjEz,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
