id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,license,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull,license.key,license.name,license.spdx_id,license.url,license.node_id
89622098,MDEwOlJlcG9zaXRvcnk4OTYyMjA5OA==,Open-Source-Catalog,ghrcdaac/Open-Source-Catalog,False,https://github.com/ghrcdaac/Open-Source-Catalog,contains the NASA open source software catalog for automatic deployment to code.nasa.gov,True,https://api.github.com/repos/ghrcdaac/Open-Source-Catalog,2017-04-27T17:14:01Z,2020-04-27T13:31:38Z,2017-05-02T22:40:45Z,,994,0,0,,False,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,0,master,ghrcdaac,18572004,MDEyOk9yZ2FuaXphdGlvbjE4NTcyMDA0,Organization,public,False,False,False,False,False,True,,,,,
259402687,MDEwOlJlcG9zaXRvcnkyNTk0MDI2ODc=,cumulus-dashboard,ghrcdaac/cumulus-dashboard,False,https://github.com/ghrcdaac/cumulus-dashboard,Cumulus API Dashboard,True,https://api.github.com/repos/ghrcdaac/cumulus-dashboard,2020-04-27T17:24:47Z,2021-11-19T18:19:39Z,2024-02-01T17:21:50Z,,16644,0,0,JavaScript,False,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,0,GHRC-DASHBOARD,ghrcdaac,18572004,MDEyOk9yZ2FuaXphdGlvbjE4NTcyMDA0,Organization,public,False,False,False,False,False,True,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=
260010876,MDEwOlJlcG9zaXRvcnkyNjAwMTA4NzY=,operational-recovery-cloud-archive,ghrcdaac/operational-recovery-cloud-archive,False,https://github.com/ghrcdaac/operational-recovery-cloud-archive,Operational Recovery Cloud Archive (ORCA) software for the Cumulus ingest and Archive system.,True,https://api.github.com/repos/ghrcdaac/operational-recovery-cloud-archive,2020-04-29T18:34:31Z,2020-06-23T13:13:37Z,2020-06-23T15:32:42Z,,630,0,0,Python,False,True,True,True,False,False,1,,False,False,0,,True,False,False,[],public,1,0,0,develop,ghrcdaac,18572004,MDEyOk9yZ2FuaXphdGlvbjE4NTcyMDA0,Organization,public,False,False,False,False,False,True,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=
261788190,MDEwOlJlcG9zaXRvcnkyNjE3ODgxOTA=,dmrpp-generator,ghrcdaac/dmrpp-generator,False,https://github.com/ghrcdaac/dmrpp-generator,An Activity to generate DMR++ files from netCDF4 and HDF files,False,https://api.github.com/repos/ghrcdaac/dmrpp-generator,2020-05-06T14:42:14Z,2024-12-09T18:03:45Z,2024-12-09T18:03:43Z,,151839,7,7,Python,True,True,True,True,True,False,7,,False,False,5,,True,False,False,[],public,7,5,7,master,ghrcdaac,18572004,MDEyOk9yZ2FuaXphdGlvbjE4NTcyMDA0,Organization,public,False,False,False,False,False,True,apache-2.0,Apache License 2.0,Apache-2.0,https://api.github.com/licenses/apache-2.0,MDc6TGljZW5zZTI=
261839983,MDEwOlJlcG9zaXRvcnkyNjE4Mzk5ODM=,terraform-aws-ecr-docker-image,ghrcdaac/terraform-aws-ecr-docker-image,False,https://github.com/ghrcdaac/terraform-aws-ecr-docker-image,Terraform module to build & push a Docker image to an AWS ECR repository,True,https://api.github.com/repos/ghrcdaac/terraform-aws-ecr-docker-image,2020-05-06T18:01:57Z,2020-05-06T18:01:59Z,2019-04-06T12:20:44Z,,4,0,0,,False,True,True,False,False,False,0,,False,False,0,,True,False,False,[],public,0,0,0,master,ghrcdaac,18572004,MDEyOk9yZ2FuaXphdGlvbjE4NTcyMDA0,Organization,public,False,False,False,False,False,True,,,,,
261865691,MDEwOlJlcG9zaXRvcnkyNjE4NjU2OTE=,dmrpp-file-generator-docker,ghrcdaac/dmrpp-file-generator-docker,False,https://github.com/ghrcdaac/dmrpp-file-generator-docker,Docker image to generate dmrpp files from netCDF and HDF files,False,https://api.github.com/repos/ghrcdaac/dmrpp-file-generator-docker,2020-05-06T19:59:56Z,2024-02-06T17:22:35Z,2024-07-06T00:40:31Z,,111810,5,5,Python,True,True,True,True,False,False,11,,False,False,4,,True,False,False,[],public,11,4,5,master,ghrcdaac,18572004,MDEyOk9yZ2FuaXphdGlvbjE4NTcyMDA0,Organization,public,False,False,False,False,False,True,apache-2.0,Apache License 2.0,Apache-2.0,https://api.github.com/licenses/apache-2.0,MDc6TGljZW5zZTI=
263439875,MDEwOlJlcG9zaXRvcnkyNjM0Mzk4NzU=,ldm-ghrc-docker,ghrcdaac/ldm-ghrc-docker,False,https://github.com/ghrcdaac/ldm-ghrc-docker,,True,https://api.github.com/repos/ghrcdaac/ldm-ghrc-docker,2020-05-12T20:02:54Z,2021-11-04T20:02:46Z,2024-02-13T18:55:46Z,,37,0,0,Dockerfile,False,True,True,True,False,False,1,,False,False,0,,True,False,False,[],public,1,0,0,master,ghrcdaac,18572004,MDEyOk9yZ2FuaXphdGlvbjE4NTcyMDA0,Organization,public,False,False,False,False,False,True,,,,,
263453981,MDEwOlJlcG9zaXRvcnkyNjM0NTM5ODE=,cumulus-api,ghrcdaac/cumulus-api,False,https://github.com/ghrcdaac/cumulus-api,"Python client library that abstracts CUMULUS API calls to interact with the Cumulus Framework, such as monitoring status or creating, editing, and deleting records. This is the same API that powers the Cumulus dashboard.",False,https://api.github.com/repos/ghrcdaac/cumulus-api,2020-05-12T21:15:36Z,2024-10-17T18:00:27Z,2024-10-17T18:35:54Z,,136,3,3,Python,True,True,True,True,False,False,4,,False,False,5,,True,False,False,[],public,4,5,3,master,ghrcdaac,18572004,MDEyOk9yZ2FuaXphdGlvbjE4NTcyMDA0,Organization,public,False,False,False,False,False,True,apache-2.0,Apache License 2.0,Apache-2.0,https://api.github.com/licenses/apache-2.0,MDc6TGljZW5zZTI=
267607735,MDEwOlJlcG9zaXRvcnkyNjc2MDc3MzU=,GHRC-docker-gitlab-ci,ghrcdaac/GHRC-docker-gitlab-ci,False,https://github.com/ghrcdaac/GHRC-docker-gitlab-ci,Docker image used for gitlab-ci containing python3 and node 10,False,https://api.github.com/repos/ghrcdaac/GHRC-docker-gitlab-ci,2020-05-28T14:11:06Z,2020-05-28T14:20:23Z,2020-05-28T14:20:20Z,,1,0,0,Dockerfile,True,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,0,master,ghrcdaac,18572004,MDEyOk9yZ2FuaXphdGlvbjE4NTcyMDA0,Organization,public,False,False,False,False,False,True,,,,,
276523101,MDEwOlJlcG9zaXRvcnkyNzY1MjMxMDE=,GHRC-TF-CICD,ghrcdaac/GHRC-TF-CICD,False,https://github.com/ghrcdaac/GHRC-TF-CICD,,True,https://api.github.com/repos/ghrcdaac/GHRC-TF-CICD,2020-07-02T01:52:19Z,2024-02-01T16:21:43Z,2024-04-23T18:04:20Z,,25,0,0,Shell,False,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,0,master,ghrcdaac,18572004,MDEyOk9yZ2FuaXphdGlvbjE4NTcyMDA0,Organization,public,False,False,False,False,False,True,apache-2.0,Apache License 2.0,Apache-2.0,https://api.github.com/licenses/apache-2.0,MDc6TGljZW5zZTI=
