id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,license.key,license.name,license.spdx_id,license.url,license.node_id,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull,license
1833401,MDEwOlJlcG9zaXRvcnkxODMzNDAx,glideinwms,glideinWMS/glideinwms,False,https://github.com/glideinWMS/glideinwms,The glideinWMS Project,False,https://api.github.com/repos/glideinWMS/glideinwms,2011-06-01T18:43:35Z,2024-12-19T20:43:32Z,2024-12-19T20:43:28Z,http://tinyurl.com/glideinwms,136338,16,16,Python,True,True,True,True,False,True,46,,False,False,72,True,False,False,[],public,46,72,16,master,glideinWMS,12418062,MDEyOk9yZ2FuaXphdGlvbjEyNDE4MDYy,Organization,public,False,apache-2.0,Apache License 2.0,Apache-2.0,https://api.github.com/licenses/apache-2.0,MDc6TGljZW5zZTI=,False,False,False,False,True,
191257500,MDEwOlJlcG9zaXRvcnkxOTEyNTc1MDA=,docs,glideinWMS/docs,False,https://github.com/glideinWMS/docs,Home of the OSG Site documentation,True,https://api.github.com/repos/glideinWMS/docs,2019-06-10T23:04:41Z,2019-06-10T23:04:43Z,2019-06-10T23:05:25Z,https://opensciencegrid.org/docs,120877,0,0,Python,False,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,master,glideinWMS,12418062,MDEyOk9yZ2FuaXphdGlvbjEyNDE4MDYy,Organization,public,False,cc-by-4.0,Creative Commons Attribution 4.0 International,CC-BY-4.0,https://api.github.com/licenses/cc-by-4.0,MDc6TGljZW5zZTI1,False,False,False,False,True,
212184079,MDEwOlJlcG9zaXRvcnkyMTIxODQwNzk=,glideinmonitor,glideinWMS/glideinmonitor,False,https://github.com/glideinWMS/glideinmonitor,Glidein Monitor - read only mirror,False,https://api.github.com/repos/glideinWMS/glideinmonitor,2019-10-01T19:37:44Z,2024-08-02T15:48:56Z,2024-08-02T15:48:52Z,,818,0,0,JavaScript,True,True,True,True,False,False,6,,False,False,1,True,False,False,[],public,6,1,0,master,glideinWMS,12418062,MDEyOk9yZ2FuaXphdGlvbjEyNDE4MDYy,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
218326263,MDEwOlJlcG9zaXRvcnkyMTgzMjYyNjM=,pychirp,glideinWMS/pychirp,False,https://github.com/glideinWMS/pychirp,Drop-in replacement of condor_chirp in Pure Python,False,https://api.github.com/repos/glideinWMS/pychirp,2019-10-29T15:56:06Z,2023-09-05T21:13:07Z,2023-09-06T22:01:39Z,,19,0,0,Python,True,True,True,True,False,False,1,,False,False,0,True,False,False,[],public,1,0,0,master,glideinWMS,12418062,MDEyOk9yZ2FuaXphdGlvbjEyNDE4MDYy,Organization,public,False,,,,,,False,False,False,False,True,
304451681,MDEwOlJlcG9zaXRvcnkzMDQ0NTE2ODE=,containers,glideinWMS/containers,False,https://github.com/glideinWMS/containers,GlideinWMS containers,False,https://api.github.com/repos/glideinWMS/containers,2020-10-15T21:26:02Z,2024-12-13T20:09:44Z,2024-12-13T20:09:39Z,,242,0,0,Dockerfile,True,True,True,True,False,False,13,,False,False,4,True,False,False,[],public,13,4,0,main,glideinWMS,12418062,MDEyOk9yZ2FuaXphdGlvbjEyNDE4MDYy,Organization,public,False,apache-2.0,Apache License 2.0,Apache-2.0,https://api.github.com/licenses/apache-2.0,MDc6TGljZW5zZTI=,False,False,False,False,True,
337277368,MDEwOlJlcG9zaXRvcnkzMzcyNzczNjg=,dev-tools,glideinWMS/dev-tools,False,https://github.com/glideinWMS/dev-tools,GlideinWMS developer tools to ease installation and testing,False,https://api.github.com/repos/glideinWMS/dev-tools,2021-02-09T03:08:13Z,2023-02-25T04:57:41Z,2023-12-20T19:32:20Z,,909,0,0,Shell,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,master,glideinWMS,12418062,MDEyOk9yZ2FuaXphdGlvbjEyNDE4MDYy,Organization,public,False,,,,,,False,False,False,False,True,
337295315,MDEwOlJlcG9zaXRvcnkzMzcyOTUzMTU=,cloud-vms,glideinWMS/cloud-vms,False,https://github.com/glideinWMS/cloud-vms,,False,https://api.github.com/repos/glideinWMS/cloud-vms,2021-02-09T04:47:58Z,2021-02-09T05:31:02Z,2021-02-09T05:30:55Z,,174,0,0,Python,True,True,True,True,False,False,1,,False,False,1,True,False,False,[],public,1,1,0,6710,glideinWMS,12418062,MDEyOk9yZ2FuaXphdGlvbjEyNDE4MDYy,Organization,public,False,,,,,,False,False,False,False,True,
379395733,MDEwOlJlcG9zaXRvcnkzNzkzOTU3MzM=,contrib,glideinWMS/contrib,False,https://github.com/glideinWMS/contrib,GlideinWMS contributed software,False,https://api.github.com/repos/glideinWMS/contrib,2021-06-22T20:42:04Z,2024-09-27T18:04:28Z,2024-09-27T18:04:24Z,,4826,0,0,R,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,main,glideinWMS,12418062,MDEyOk9yZ2FuaXphdGlvbjEyNDE4MDYy,Organization,public,False,apache-2.0,Apache License 2.0,Apache-2.0,https://api.github.com/licenses/apache-2.0,MDc6TGljZW5zZTI=,False,False,False,False,True,
515595970,R_kgDOHrtewg,glideinWMS.github.io,glideinWMS/glideinWMS.github.io,False,https://github.com/glideinWMS/glideinWMS.github.io,,False,https://api.github.com/repos/glideinWMS/glideinWMS.github.io,2022-07-19T13:26:14Z,2022-07-19T13:26:14Z,2022-07-19T13:26:15Z,,4,0,0,,True,True,True,True,True,False,0,,False,False,0,True,False,False,[],public,0,0,0,main,glideinWMS,12418062,MDEyOk9yZ2FuaXphdGlvbjEyNDE4MDYy,Organization,public,False,apache-2.0,Apache License 2.0,Apache-2.0,https://api.github.com/licenses/apache-2.0,MDc6TGljZW5zZTI=,False,False,False,False,True,
516521484,R_kgDOHsl-DA,glideintracer,glideinWMS/glideintracer,False,https://github.com/glideinWMS/glideintracer,Tracing for Glieins,False,https://api.github.com/repos/glideinWMS/glideintracer,2022-07-21T21:05:32Z,2022-07-26T19:30:53Z,2022-07-26T19:30:49Z,,27,0,0,Python,True,True,True,True,False,False,1,,False,False,0,True,False,False,[],public,1,0,0,main,glideinWMS,12418062,MDEyOk9yZ2FuaXphdGlvbjEyNDE4MDYy,Organization,public,False,apache-2.0,Apache License 2.0,Apache-2.0,https://api.github.com/licenses/apache-2.0,MDc6TGljZW5zZTI=,False,False,False,False,True,
579386564,R_kgDOIoi8xA,glideinbenchmark,glideinWMS/glideinbenchmark,False,https://github.com/glideinWMS/glideinbenchmark,Application to benchmark GlideinWMS provisioned resources,False,https://api.github.com/repos/glideinWMS/glideinbenchmark,2022-12-17T14:23:01Z,2023-12-29T14:13:31Z,2024-06-28T21:41:14Z,,28,0,0,Python,True,True,True,True,False,False,1,,False,False,1,True,False,False,[],public,1,1,0,main,glideinWMS,12418062,MDEyOk9yZ2FuaXphdGlvbjEyNDE4MDYy,Organization,public,False,apache-2.0,Apache License 2.0,Apache-2.0,https://api.github.com/licenses/apache-2.0,MDc6TGljZW5zZTI=,False,False,False,False,True,
595300102,R_kgDOI3uPBg,scripts,glideinWMS/scripts,False,https://github.com/glideinWMS/scripts,Collection of custom scripts that can be used in the Frontend or Factory,False,https://api.github.com/repos/glideinWMS/scripts,2023-01-30T20:00:03Z,2023-01-30T22:59:00Z,2023-01-30T23:07:18Z,,12,0,0,Shell,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,main,glideinWMS,12418062,MDEyOk9yZ2FuaXphdGlvbjEyNDE4MDYy,Organization,public,False,apache-2.0,Apache License 2.0,Apache-2.0,https://api.github.com/licenses/apache-2.0,MDc6TGljZW5zZTI=,False,False,False,False,True,
652783667,R_kgDOJuiwMw,python23,glideinWMS/python23,False,https://github.com/glideinWMS/python23,Exercises used during the USCMS Undergraduate Summer Internship 2023 lectures,False,https://api.github.com/repos/glideinWMS/python23,2023-06-12T19:41:44Z,2023-08-03T14:34:14Z,2023-08-03T14:37:00Z,,65,0,0,Python,True,True,True,True,False,False,2,,False,False,0,True,False,False,[],public,2,0,0,main,glideinWMS,12418062,MDEyOk9yZ2FuaXphdGlvbjEyNDE4MDYy,Organization,public,False,,,,,,False,False,False,False,True,
829108123,R_kgDOMWsvmw,gwms-testbed,glideinWMS/gwms-testbed,False,https://github.com/glideinWMS/gwms-testbed,Testbed infrastructure for GlideinWMS,False,https://api.github.com/repos/glideinWMS/gwms-testbed,2024-07-15T19:19:02Z,2024-07-15T19:19:02Z,2024-07-15T19:19:02Z,,0,0,0,,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,main,glideinWMS,12418062,MDEyOk9yZ2FuaXphdGlvbjEyNDE4MDYy,Organization,public,False,,,,,,False,False,False,False,True,
