id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,license.key,license.name,license.spdx_id,license.url,license.node_id,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull,license
442046,MDEwOlJlcG9zaXRvcnk0NDIwNDY=,semantic-menu,globegit/semantic-menu,False,https://github.com/globegit/semantic-menu,A plugin to make rails menus easier to write,True,https://api.github.com/repos/globegit/semantic-menu,2009-12-18T18:45:12Z,2013-09-05T15:51:44Z,2009-09-16T20:51:31Z,,86,1,1,Ruby,False,True,True,True,False,False,3,,False,False,0,True,False,False,[],public,3,0,1,master,globegit,129701,MDEyOk9yZ2FuaXphdGlvbjEyOTcwMQ==,Organization,public,False,mit,MIT License,MIT,https://api.github.com/licenses/mit,MDc6TGljZW5zZTEz,False,False,False,False,True,
453760,MDEwOlJlcG9zaXRvcnk0NTM3NjA=,simple-navigation,globegit/simple-navigation,False,https://github.com/globegit/simple-navigation,A simple navigation plugin for rails,True,https://api.github.com/repos/globegit/simple-navigation,2009-12-30T20:24:38Z,2014-02-25T12:59:06Z,2009-12-31T20:07:48Z,http://blog.andischacke.com/2009/03/simple-navigation-plugin-for-rails.html,325,5,5,Ruby,False,True,True,True,False,False,3,,False,False,0,True,False,False,[],public,3,0,5,master,globegit,129701,MDEyOk9yZ2FuaXphdGlvbjEyOTcwMQ==,Organization,public,False,,,,,,False,False,False,False,True,
1083030,MDEwOlJlcG9zaXRvcnkxMDgzMDMw,postgis_adapter,globegit/postgis_adapter,False,https://github.com/globegit/postgis_adapter,Fork of spatial_adapter to give postgis more love,True,https://api.github.com/repos/globegit/postgis_adapter,2010-11-15T20:21:54Z,2013-09-05T15:51:50Z,2010-11-17T16:18:32Z,http://rubyforge.org/projects/postgis-adapter,236,1,1,Ruby,False,True,True,False,False,False,4,,False,False,0,True,False,False,[],public,4,0,1,master,globegit,129701,MDEyOk9yZ2FuaXphdGlvbjEyOTcwMQ==,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
1083374,MDEwOlJlcG9zaXRvcnkxMDgzMzc0,savage-beast,globegit/savage-beast,False,https://github.com/globegit/savage-beast,Version of Savage Beast that is Rails 2.3-compatible,True,https://api.github.com/repos/globegit/savage-beast,2010-11-15T22:27:54Z,2014-05-03T14:38:15Z,2010-02-03T17:33:10Z,http://www.williambharding.com/blog/rails/savage-beast-23-a-rails-22-23-message-forum-plugin/,197,1,1,Ruby,False,True,True,True,False,False,3,,False,False,0,True,False,False,[],public,3,0,1,master,globegit,129701,MDEyOk9yZ2FuaXphdGlvbjEyOTcwMQ==,Organization,public,False,,,,,,False,False,False,False,True,
1136503,MDEwOlJlcG9zaXRvcnkxMTM2NTAz,composite_primary_keys,globegit/composite_primary_keys,False,https://github.com/globegit/composite_primary_keys,Composite Primary Keys support for Active Record,True,https://api.github.com/repos/globegit/composite_primary_keys,2010-12-03T21:31:36Z,2014-05-03T14:38:11Z,2010-12-06T21:15:31Z,http://compositekeys.rubyforge.org,1172,6,6,Ruby,False,True,True,True,False,False,3,,False,False,0,True,False,False,[],public,3,0,6,master,globegit,129701,MDEyOk9yZ2FuaXphdGlvbjEyOTcwMQ==,Organization,public,False,,,,,,False,False,False,False,True,
1672832,MDEwOlJlcG9zaXRvcnkxNjcyODMy,solar_noon,globegit/solar_noon,False,https://github.com/globegit/solar_noon,Solar noon calculator.,False,https://api.github.com/repos/globegit/solar_noon,2011-04-27T21:24:43Z,2023-01-30T16:28:59Z,2011-03-29T17:32:27Z,,537,1,1,Ruby,False,True,True,True,False,False,3,,False,False,0,True,False,False,[],public,3,0,1,master,globegit,129701,MDEyOk9yZ2FuaXphdGlvbjEyOTcwMQ==,Organization,public,False,,,,,,False,False,False,False,True,
1708750,MDEwOlJlcG9zaXRvcnkxNzA4NzUw,rack-auth-kerberos,globegit/rack-auth-kerberos,False,https://github.com/globegit/rack-auth-kerberos,A Rack library for authenticating users via Kerberos,True,https://api.github.com/repos/globegit/rack-auth-kerberos,2011-05-05T22:22:14Z,2013-09-05T15:51:50Z,2011-05-05T23:01:05Z,,331,0,0,Ruby,False,True,True,True,False,False,3,,False,False,0,True,False,False,[],public,3,0,0,master,globegit,129701,MDEyOk9yZ2FuaXphdGlvbjEyOTcwMQ==,Organization,public,False,,,,,,False,False,False,False,True,
1708765,MDEwOlJlcG9zaXRvcnkxNzA4NzY1,rack-auth-cheat,globegit/rack-auth-cheat,False,https://github.com/globegit/rack-auth-cheat,Rack middleware that authenticates requests with matching username and password,True,https://api.github.com/repos/globegit/rack-auth-cheat,2011-05-05T22:25:05Z,2013-09-05T15:51:44Z,2009-12-21T19:52:26Z,,179,1,1,Ruby,False,True,True,True,False,False,4,,False,False,0,True,False,False,[],public,4,0,1,master,globegit,129701,MDEyOk9yZ2FuaXphdGlvbjEyOTcwMQ==,Organization,public,False,,,,,,False,False,False,False,True,
1740739,MDEwOlJlcG9zaXRvcnkxNzQwNzM5,humidity,globegit/humidity,False,https://github.com/globegit/humidity,RH calculator,False,https://api.github.com/repos/globegit/humidity,2011-05-12T22:16:22Z,2014-01-09T04:25:06Z,2011-05-12T22:35:14Z,,88,0,0,Ruby,True,True,True,True,False,False,4,,False,False,0,True,False,False,[],public,4,0,0,master,globegit,129701,MDEyOk9yZ2FuaXphdGlvbjEyOTcwMQ==,Organization,public,False,,,,,,False,False,False,False,True,
1757168,MDEwOlJlcG9zaXRvcnkxNzU3MTY4,krb5-auth,globegit/krb5-auth,False,https://github.com/globegit/krb5-auth,Mirror of the krb5-auth repository on RubyForge,True,https://api.github.com/repos/globegit/krb5-auth,2011-05-16T19:30:10Z,2013-09-05T15:51:44Z,2011-03-14T21:14:36Z,http://rubyforge.org/projects/krb5-auth/,1423,1,1,C,False,True,True,True,False,False,3,,False,False,0,True,False,False,[],public,3,0,1,custom,globegit,129701,MDEyOk9yZ2FuaXphdGlvbjEyOTcwMQ==,Organization,public,False,,,,,,False,False,False,False,True,
