id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,license.key,license.name,license.spdx_id,license.url,license.node_id,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull,license
56796130,MDEwOlJlcG9zaXRvcnk1Njc5NjEzMA==,wbstats,gshs-ornl/wbstats,False,https://github.com/gshs-ornl/wbstats,wbstats: An R package for searching and downloading data from the World Bank API,False,https://api.github.com/repos/gshs-ornl/wbstats,2016-04-21T18:19:07Z,2024-08-02T11:56:14Z,2023-12-02T12:40:47Z,http://gshs-ornl.github.io/wbstats/,14706,127,127,R,True,True,True,True,True,False,23,,False,False,15,True,False,False,"['open-data', 'r', 'r-package', 'rstats', 'world-bank', 'world-bank-api', 'worldbank']",public,23,15,127,master,gshs-ornl,17930698,MDEyOk9yZ2FuaXphdGlvbjE3OTMwNjk4,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
99731328,MDEwOlJlcG9zaXRvcnk5OTczMTMyOA==,revengc,gshs-ornl/revengc,False,https://github.com/gshs-ornl/revengc,revengc: An R package to reverse engineering decoupled and censored data,False,https://api.github.com/repos/gshs-ornl/revengc,2017-08-08T20:01:14Z,2022-11-09T17:18:11Z,2022-11-15T20:15:56Z,,1675,5,5,R,True,True,True,True,False,False,2,,False,False,1,True,False,False,[],public,2,1,5,master,gshs-ornl,17930698,MDEyOk9yZ2FuaXphdGlvbjE3OTMwNjk4,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
134438429,MDEwOlJlcG9zaXRvcnkxMzQ0Mzg0Mjk=,container-recipes,gshs-ornl/container-recipes,False,https://github.com/gshs-ornl/container-recipes,Sanitized mirror of code.ornl.gov private container-recipes,True,https://api.github.com/repos/gshs-ornl/container-recipes,2018-05-22T15:47:12Z,2018-05-22T15:54:05Z,2018-05-22T15:54:03Z,,543504,0,0,Shell,False,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,master,gshs-ornl,17930698,MDEyOk9yZ2FuaXphdGlvbjE3OTMwNjk4,Organization,public,False,mit,MIT License,MIT,https://api.github.com/licenses/mit,MDc6TGljZW5zZTEz,False,False,False,False,True,
157562880,MDEwOlJlcG9zaXRvcnkxNTc1NjI4ODA=,ornlsolar,gshs-ornl/ornlsolar,False,https://github.com/gshs-ornl/ornlsolar,"Contains a report and data related to an ORNL project focused on detecting and characterizing buildings with installed solar panels using high resolution overhead imagery. In addition, contains code for classifying parcels containing solar panels as residential or commercial.",False,https://api.github.com/repos/gshs-ornl/ornlsolar,2018-11-14T14:42:29Z,2018-11-14T14:46:04Z,2018-11-14T14:46:00Z,,45354,0,0,R,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,master,gshs-ornl,17930698,MDEyOk9yZ2FuaXphdGlvbjE3OTMwNjk4,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
241655156,MDEwOlJlcG9zaXRvcnkyNDE2NTUxNTY=,choppy,gshs-ornl/choppy,False,https://github.com/gshs-ornl/choppy,,False,https://api.github.com/repos/gshs-ornl/choppy,2020-02-19T15:49:35Z,2022-01-21T15:27:51Z,2023-07-06T22:48:07Z,,59,4,4,Python,True,True,True,True,False,False,1,,False,False,2,True,False,False,[],public,1,2,4,develop,gshs-ornl,17930698,MDEyOk9yZ2FuaXphdGlvbjE3OTMwNjk4,Organization,public,False,gpl-3.0,GNU General Public License v3.0,GPL-3.0,https://api.github.com/licenses/gpl-3.0,MDc6TGljZW5zZTk=,False,False,False,False,True,
248351533,MDEwOlJlcG9zaXRvcnkyNDgzNTE1MzM=,covid19,gshs-ornl/covid19,False,https://github.com/gshs-ornl/covid19,Scripts to parse web pages for COVID-19 cases,False,https://api.github.com/repos/gshs-ornl/covid19,2020-03-18T21:55:15Z,2020-03-23T22:02:38Z,2020-05-17T20:32:45Z,,255369,0,0,,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,master,gshs-ornl,17930698,MDEyOk9yZ2FuaXphdGlvbjE3OTMwNjk4,Organization,public,False,,,,,,False,False,False,False,True,
249031766,MDEwOlJlcG9zaXRvcnkyNDkwMzE3NjY=,covidR,gshs-ornl/covidR,False,https://github.com/gshs-ornl/covidR,The covidR package used for scraping data sources with R and integrating them into the covidb database,False,https://api.github.com/repos/gshs-ornl/covidR,2020-03-21T17:58:35Z,2020-03-22T03:44:03Z,2020-03-23T19:11:28Z,,95,1,1,R,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,1,master,gshs-ornl,17930698,MDEyOk9yZ2FuaXphdGlvbjE3OTMwNjk4,Organization,public,False,gpl-3.0,GNU General Public License v3.0,GPL-3.0,https://api.github.com/licenses/gpl-3.0,MDc6TGljZW5zZTk=,False,False,False,False,True,
250084418,MDEwOlJlcG9zaXRvcnkyNTAwODQ0MTg=,covid-model,gshs-ornl/covid-model,False,https://github.com/gshs-ornl/covid-model,,False,https://api.github.com/repos/gshs-ornl/covid-model,2020-03-25T20:28:52Z,2020-05-04T20:45:05Z,2020-05-04T20:45:01Z,,14685,0,0,HTML,True,True,True,True,False,False,2,,False,False,1,True,False,False,[],public,2,1,0,master,gshs-ornl,17930698,MDEyOk9yZ2FuaXphdGlvbjE3OTMwNjk4,Organization,public,False,,,,,,False,False,False,False,True,
255154924,MDEwOlJlcG9zaXRvcnkyNTUxNTQ5MjQ=,covidmodeldata,gshs-ornl/covidmodeldata,False,https://github.com/gshs-ornl/covidmodeldata,An R Package for organizing the data used in the county level covid19 model,False,https://api.github.com/repos/gshs-ornl/covidmodeldata,2020-04-12T19:27:54Z,2021-03-08T15:36:07Z,2020-05-31T13:37:04Z,,3084,0,0,R,True,True,True,True,False,False,0,,False,False,1,True,False,False,[],public,0,1,0,master,gshs-ornl,17930698,MDEyOk9yZ2FuaXphdGlvbjE3OTMwNjk4,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
475462565,R_kgDOHFb7pQ,odsc-2022,gshs-ornl/odsc-2022,False,https://github.com/gshs-ornl/odsc-2022,A collection of external resources related to geospatial computing and geographic data science put together for the 2022 Open Data Science Conference,False,https://api.github.com/repos/gshs-ornl/odsc-2022,2022-03-29T13:45:58Z,2024-10-01T12:59:14Z,2022-04-11T21:06:04Z,,15,6,6,,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,6,main,gshs-ornl,17930698,MDEyOk9yZ2FuaXphdGlvbjE3OTMwNjk4,Organization,public,False,,,,,,False,False,False,False,True,
