id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,license.key,license.name,license.spdx_id,license.url,license.node_id,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull,license
43023379,MDEwOlJlcG9zaXRvcnk0MzAyMzM3OQ==,atomate,hackingmaterials/atomate,False,https://github.com/hackingmaterials/atomate,atomate is a powerful software for computational materials science and contains pre-built workflows.,False,https://api.github.com/repos/hackingmaterials/atomate,2015-09-23T19:53:55Z,2024-12-12T05:11:21Z,2024-07-18T19:48:05Z,https://hackingmaterials.github.io/atomate,398745,246,246,Python,True,True,True,True,True,False,175,,False,False,47,True,False,False,[],public,175,47,246,main,hackingmaterials,14116185,MDEyOk9yZ2FuaXphdGlvbjE0MTE2MTg1,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
43091756,MDEwOlJlcG9zaXRvcnk0MzA5MTc1Ng==,matminer,hackingmaterials/matminer,False,https://github.com/hackingmaterials/matminer,Data mining for materials science,False,https://api.github.com/repos/hackingmaterials/matminer,2015-09-24T20:37:00Z,2024-12-18T08:51:48Z,2024-12-16T08:08:40Z,https://hackingmaterials.github.io/matminer/,43710,490,490,HTML,True,True,True,True,True,False,194,,False,False,29,True,False,False,"['condensed-matter', 'data-mining', 'machine-learning', 'materials-science', 'matminer']",public,194,29,490,main,hackingmaterials,14116185,MDEyOk9yZ2FuaXphdGlvbjE0MTE2MTg1,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
43092394,MDEwOlJlcG9zaXRvcnk0MzA5MjM5NA==,figrecipes,hackingmaterials/figrecipes,False,https://github.com/hackingmaterials/figrecipes,recipes for making figures (plotting),False,https://api.github.com/repos/hackingmaterials/figrecipes,2015-09-24T20:51:18Z,2024-11-13T10:44:57Z,2023-07-06T23:39:58Z,,11020,4,4,HTML,True,True,True,True,True,False,4,,False,False,2,True,False,False,[],public,4,2,4,main,hackingmaterials,14116185,MDEyOk9yZ2FuaXphdGlvbjE0MTE2MTg1,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
48566316,MDEwOlJlcG9zaXRvcnk0ODU2NjMxNg==,chronograph,hackingmaterials/chronograph,False,https://github.com/hackingmaterials/chronograph,A stopwatch/chronometer for timing Python code,False,https://api.github.com/repos/hackingmaterials/chronograph,2015-12-25T04:18:39Z,2023-03-17T19:40:10Z,2021-12-01T23:53:39Z,,38,2,2,Python,True,True,True,True,False,False,2,,False,False,0,True,False,False,[],public,2,0,2,main,hackingmaterials,14116185,MDEyOk9yZ2FuaXphdGlvbjE0MTE2MTg1,Organization,public,False,mit,MIT License,MIT,https://api.github.com/licenses/mit,MDc6TGljZW5zZTEz,False,False,False,False,True,
60730156,MDEwOlJlcG9zaXRvcnk2MDczMDE1Ng==,CompoundSearch,hackingmaterials/CompoundSearch,False,https://github.com/hackingmaterials/CompoundSearch,A repo to help you find if a chemical formula is new or known,False,https://api.github.com/repos/hackingmaterials/CompoundSearch,2016-06-08T20:55:04Z,2023-01-27T18:23:39Z,2021-03-10T18:15:40Z,,20,6,6,Python,True,True,True,True,False,False,3,,False,False,0,True,False,False,[],public,3,0,6,main,hackingmaterials,14116185,MDEyOk9yZ2FuaXphdGlvbjE0MTE2MTg1,Organization,public,False,,,,,,False,False,False,False,True,
61060281,MDEwOlJlcG9zaXRvcnk2MTA2MDI4MQ==,FireWorks_link,hackingmaterials/FireWorks_link,False,https://github.com/hackingmaterials/FireWorks_link,link to FireWorks repo ...,False,https://api.github.com/repos/hackingmaterials/FireWorks_link,2016-06-13T18:32:32Z,2021-03-10T18:16:41Z,2021-03-10T18:16:39Z,,0,0,0,,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,main,hackingmaterials,14116185,MDEyOk9yZ2FuaXphdGlvbjE0MTE2MTg1,Organization,public,False,,,,,,False,False,False,False,True,
61670965,MDEwOlJlcG9zaXRvcnk2MTY3MDk2NQ==,rocketsled,hackingmaterials/rocketsled,False,https://github.com/hackingmaterials/rocketsled,plug-n-play black box optimizer for high-throughput computing,False,https://api.github.com/repos/hackingmaterials/rocketsled,2016-06-21T22:17:53Z,2024-08-15T19:41:36Z,2023-03-08T14:01:03Z,,14921,43,43,Python,True,True,True,True,True,False,11,,False,False,27,True,False,False,"['black-box-optimization', 'high-performance-computing', 'optimization']",public,11,27,43,main,hackingmaterials,14116185,MDEyOk9yZ2FuaXphdGlvbjE0MTE2MTg1,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
61778563,MDEwOlJlcG9zaXRvcnk2MTc3ODU2Mw==,hackingmaterials.github.io,hackingmaterials/hackingmaterials.github.io,False,https://github.com/hackingmaterials/hackingmaterials.github.io,HackingMaterials group web site,False,https://api.github.com/repos/hackingmaterials/hackingmaterials.github.io,2016-06-23T06:03:32Z,2024-06-04T17:33:29Z,2024-06-04T17:33:26Z,,139489,0,0,JavaScript,True,True,True,True,True,False,0,,False,False,0,True,False,False,[],public,0,0,0,master,hackingmaterials,14116185,MDEyOk9yZ2FuaXphdGlvbjE0MTE2MTg1,Organization,public,False,,,,,,False,False,False,False,True,
62836920,MDEwOlJlcG9zaXRvcnk2MjgzNjkyMA==,materials-coord,hackingmaterials/materials-coord,False,https://github.com/hackingmaterials/materials-coord,MaterialsCoord: infrastructure to benchmark crystal structure coordination algorithms,False,https://api.github.com/repos/hackingmaterials/materials-coord,2016-07-07T20:42:49Z,2024-04-20T15:37:52Z,2023-03-13T09:57:40Z,,33106,17,17,Python,True,True,True,True,False,False,6,,False,False,9,True,False,False,"['benchmark', 'coordination-number', 'local-environment', 'materials-science']",public,6,9,17,main,hackingmaterials,14116185,MDEyOk9yZ2FuaXphdGlvbjE0MTE2MTg1,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
66402073,MDEwOlJlcG9zaXRvcnk2NjQwMjA3Mw==,amset,hackingmaterials/amset,False,https://github.com/hackingmaterials/amset,Electronic transport properties from first-principles calculations,False,https://api.github.com/repos/hackingmaterials/amset,2016-08-23T20:47:19Z,2024-12-01T09:23:00Z,2024-12-02T00:33:08Z,https://hackingmaterials.lbl.gov/amset/,36547,136,136,Python,True,True,True,True,True,False,46,,False,False,6,True,False,False,"['materials-science', 'mobility', 'seebeck', 'thermoelectric', 'transport']",public,46,6,136,main,hackingmaterials,14116185,MDEyOk9yZ2FuaXphdGlvbjE0MTE2MTg1,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
