id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,license.key,license.name,license.spdx_id,license.url,license.node_id,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull,license
2231998,MDEwOlJlcG9zaXRvcnkyMjMxOTk4,libcircle,hpc/libcircle,False,https://github.com/hpc/libcircle,An API to provide an efficient distributed queue on a cluster. Libcircle is currently used in production to quickly traverse and perform operations on a file tree which contains several hundred-million file nodes.,False,https://api.github.com/repos/hpc/libcircle,2011-08-19T03:58:53Z,2024-11-06T23:24:40Z,2020-10-09T14:22:09Z,http://hpc.github.io/libcircle/,1641,98,98,C,True,True,True,True,True,False,30,,False,False,5,True,False,False,[],public,30,5,98,master,hpc,957578,MDEyOk9yZ2FuaXphdGlvbjk1NzU3OA==,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
2337247,MDEwOlJlcG9zaXRvcnkyMzM3MjQ3,supermagic,hpc/supermagic,False,https://github.com/hpc/supermagic,"Very simple MPI sanity code. Nothing more, nothing less.",False,https://api.github.com/repos/hpc/supermagic,2011-09-06T20:40:15Z,2023-12-13T10:41:17Z,2022-03-09T04:23:12Z,https://hpc.github.io/supermagic,446,14,14,C,True,True,True,True,True,False,6,,False,False,1,True,False,False,[],public,6,1,14,master,hpc,957578,MDEyOk9yZ2FuaXphdGlvbjk1NzU3OA==,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
2344173,MDEwOlJlcG9zaXRvcnkyMzQ0MTcz,mpimemu,hpc/mpimemu,False,https://github.com/hpc/mpimemu,MPI Library Memory Consumption Utilities,False,https://api.github.com/repos/hpc/mpimemu,2011-09-07T20:06:14Z,2024-09-10T17:52:39Z,2023-04-21T14:33:11Z,https://hpc.github.io/mpimemu,5587,18,18,C,True,True,True,True,True,False,7,,False,False,7,True,False,False,"['benchmark', 'memory', 'mpi']",public,7,7,18,master,hpc,957578,MDEyOk9yZ2FuaXphdGlvbjk1NzU3OA==,Organization,public,False,bsd-3-clause,"BSD 3-Clause ""New"" or ""Revised"" License",BSD-3-Clause,https://api.github.com/licenses/bsd-3-clause,MDc6TGljZW5zZTU=,False,False,False,False,True,
2353148,MDEwOlJlcG9zaXRvcnkyMzUzMTQ4,MPI-Examples,hpc/MPI-Examples,False,https://github.com/hpc/MPI-Examples,Some example MPI programs,False,https://api.github.com/repos/hpc/MPI-Examples,2011-09-09T03:20:55Z,2024-12-12T03:02:12Z,2011-09-09T03:58:49Z,,138,96,96,,True,True,True,True,False,False,35,,False,False,0,True,False,False,[],public,35,0,96,master,hpc,957578,MDEyOk9yZ2FuaXphdGlvbjk1NzU3OA==,Organization,public,False,,,,,,False,False,False,False,True,
2368282,MDEwOlJlcG9zaXRvcnkyMzY4Mjgy,Parallel-coreutils,hpc/Parallel-coreutils,False,https://github.com/hpc/Parallel-coreutils,Parallelized gnu-coreutils,False,https://api.github.com/repos/hpc/Parallel-coreutils,2011-09-12T00:00:20Z,2023-12-04T08:00:04Z,2011-09-13T14:57:10Z,,8332,12,12,C,True,True,True,True,False,False,1,,False,False,0,True,False,False,[],public,1,0,12,master,hpc,957578,MDEyOk9yZ2FuaXphdGlvbjk1NzU3OA==,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
2374034,MDEwOlJlcG9zaXRvcnkyMzc0MDM0,sprintstatf,hpc/sprintstatf,False,https://github.com/hpc/sprintstatf,Print a stat struct using a method similar to sprintf(3).,False,https://api.github.com/repos/hpc/sprintstatf,2011-09-12T20:31:41Z,2024-02-02T10:42:51Z,2011-10-21T16:43:40Z,,100,10,10,C,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,10,master,hpc,957578,MDEyOk9yZ2FuaXphdGlvbjk1NzU3OA==,Organization,public,False,unlicense,The Unlicense,Unlicense,https://api.github.com/licenses/unlicense,MDc6TGljZW5zZTE1,False,False,False,False,True,
2528572,MDEwOlJlcG9zaXRvcnkyNTI4NTcy,dcp,hpc/dcp,False,https://github.com/hpc/dcp,dcp is a distributed file copy program that automatically distributes and dynamically balances work equally across nodes in a large distributed system without centralized state.,False,https://api.github.com/repos/hpc/dcp,2011-10-06T20:20:08Z,2024-11-28T00:05:43Z,2019-01-28T16:42:12Z,http://filecopy.org/,2023,194,194,Shell,True,True,True,True,True,False,18,,False,False,3,True,False,False,[],public,18,3,194,master,hpc,957578,MDEyOk9yZ2FuaXphdGlvbjk1NzU3OA==,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
3271070,MDEwOlJlcG9zaXRvcnkzMjcxMDcw,lustre,hpc/lustre,False,https://github.com/hpc/lustre,Yet another branch of lustre.,False,https://api.github.com/repos/hpc/lustre,2012-01-26T03:47:14Z,2024-05-11T10:57:21Z,2012-01-26T03:50:58Z,,45802,8,8,C,True,True,True,True,False,False,7,,False,False,0,True,False,False,[],public,7,0,8,master,hpc,957578,MDEyOk9yZ2FuaXphdGlvbjk1NzU3OA==,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
3371279,MDEwOlJlcG9zaXRvcnkzMzcxMjc5,cce-mpi-openmpi-1.4.3,hpc/cce-mpi-openmpi-1.4.3,False,https://github.com/hpc/cce-mpi-openmpi-1.4.3,CCE MPI: Open MPI 1.4.3,False,https://api.github.com/repos/hpc/cce-mpi-openmpi-1.4.3,2012-02-06T21:32:12Z,2014-02-10T06:37:48Z,2012-03-12T22:22:43Z,,7754,0,0,C,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,master,hpc,957578,MDEyOk9yZ2FuaXphdGlvbjk1NzU3OA==,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
3562304,MDEwOlJlcG9zaXRvcnkzNTYyMzA0,cce-mpi-openmpi-1.4.4,hpc/cce-mpi-openmpi-1.4.4,False,https://github.com/hpc/cce-mpi-openmpi-1.4.4,CCE MPI: Open MPI 1.4.4,False,https://api.github.com/repos/hpc/cce-mpi-openmpi-1.4.4,2012-02-27T16:45:20Z,2020-06-02T17:30:49Z,2012-03-12T22:22:59Z,,7936,0,0,C,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,master,hpc,957578,MDEyOk9yZ2FuaXphdGlvbjk1NzU3OA==,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
