id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,license,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull,license.key,license.name,license.spdx_id,license.url,license.node_id
16811176,MDEwOlJlcG9zaXRvcnkxNjgxMTE3Ng==,stork,idaholab/stork,False,https://github.com/idaholab/stork,DEPRECATED,False,https://api.github.com/repos/idaholab/stork,2014-02-13T17:41:19Z,2023-06-20T02:21:09Z,2020-03-14T17:20:15Z,,14714,10,10,,True,True,True,True,False,False,406,,False,False,8,,True,False,False,[],public,406,8,10,master,idaholab,3855370,MDEyOk9yZ2FuaXphdGlvbjM4NTUzNzA=,Organization,public,False,False,False,False,False,True,,,,,
16851223,MDEwOlJlcG9zaXRvcnkxNjg1MTIyMw==,moose,idaholab/moose,False,https://github.com/idaholab/moose,Multiphysics Object Oriented Simulation Environment,False,https://api.github.com/repos/idaholab/moose,2014-02-14T22:26:15Z,2024-12-19T01:21:39Z,2024-12-19T00:40:36Z,https://www.mooseframework.org,577167,1795,1795,C++,True,True,True,True,True,True,1057,,False,False,2290,,True,False,False,"['amr', 'fem', 'finite-elements', 'finite-volumes', 'multiphysics', 'object-oriented', 'parallel', 'simulation']",public,1057,2290,1795,next,idaholab,3855370,MDEyOk9yZ2FuaXphdGlvbjM4NTUzNzA=,Organization,public,False,False,False,False,False,True,lgpl-2.1,GNU Lesser General Public License v2.1,LGPL-2.1,https://api.github.com/licenses/lgpl-2.1,MDc6TGljZW5zZTEx
18809854,MDEwOlJlcG9zaXRvcnkxODgwOTg1NA==,pika,idaholab/pika,False,https://github.com/idaholab/pika,Phase-field snow microstructure,False,https://api.github.com/repos/idaholab/pika,2014-04-15T17:51:52Z,2024-08-18T06:57:58Z,2023-01-10T15:22:52Z,,24163,16,16,Assembly,True,True,True,False,True,False,25,,True,False,21,,True,False,False,['moose-framework'],public,25,21,16,devel,idaholab,3855370,MDEyOk9yZ2FuaXphdGlvbjM4NTUzNzA=,Organization,public,False,False,False,False,False,True,lgpl-2.1,GNU Lesser General Public License v2.1,LGPL-2.1,https://api.github.com/licenses/lgpl-2.1,MDc6TGljZW5zZTEx
29887679,MDEwOlJlcG9zaXRvcnkyOTg4NzY3OQ==,presentations,idaholab/presentations,False,https://github.com/idaholab/presentations,Storage for MOOSE public presentations,False,https://api.github.com/repos/idaholab/presentations,2015-01-26T23:37:46Z,2023-01-28T17:56:58Z,2019-02-21T20:28:21Z,,57224,3,3,Python,False,False,True,False,False,False,5,,True,False,0,,True,False,False,[],public,5,0,3,master,idaholab,3855370,MDEyOk9yZ2FuaXphdGlvbjM4NTUzNzA=,Organization,public,False,False,False,False,False,True,,,,,
34398573,MDEwOlJlcG9zaXRvcnkzNDM5ODU3Mw==,magpie,idaholab/magpie,False,https://github.com/idaholab/magpie,Mesoscale Atomistic Glue Program for Integrated Execution,False,https://api.github.com/repos/idaholab/magpie,2015-04-22T15:25:40Z,2024-12-18T04:23:48Z,2024-12-18T04:50:40Z,http://mooseframework.org/magpie/,12784,8,8,C++,True,True,True,True,False,False,28,,False,False,41,,True,False,False,"['fem', 'monte-carlo']",public,28,41,8,devel,idaholab,3855370,MDEyOk9yZ2FuaXphdGlvbjM4NTUzNzA=,Organization,public,False,False,False,False,False,True,lgpl-2.1,GNU Lesser General Public License v2.1,LGPL-2.1,https://api.github.com/licenses/lgpl-2.1,MDc6TGljZW5zZTEx
34399485,MDEwOlJlcG9zaXRvcnkzNDM5OTQ4NQ==,SPPARKS,idaholab/SPPARKS,False,https://github.com/idaholab/SPPARKS,Kinetic Monte Carlo Simulator,False,https://api.github.com/repos/idaholab/SPPARKS,2015-04-22T15:42:41Z,2024-12-13T07:53:20Z,2020-11-06T17:44:43Z,,5718,29,29,C++,True,True,True,True,False,False,11,,False,False,3,,True,False,False,[],public,11,3,29,master,idaholab,3855370,MDEyOk9yZ2FuaXphdGlvbjM4NTUzNzA=,Organization,public,False,False,False,False,False,True,gpl-2.0,GNU General Public License v2.0,GPL-2.0,https://api.github.com/licenses/gpl-2.0,MDc6TGljZW5zZTg=
34399531,MDEwOlJlcG9zaXRvcnkzNDM5OTUzMQ==,mytrim,idaholab/mytrim,False,https://github.com/idaholab/mytrim,Three dimensional binary collision Monte Carlo library,False,https://api.github.com/repos/idaholab/mytrim,2015-04-22T15:43:26Z,2024-08-17T03:10:36Z,2020-01-09T16:09:54Z,,634,11,11,C,True,True,True,True,False,False,9,,False,False,5,,True,False,False,[],public,9,5,11,master,idaholab,3855370,MDEyOk9yZ2FuaXphdGlvbjM4NTUzNzA=,Organization,public,False,False,False,False,False,True,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=
39916678,MDEwOlJlcG9zaXRvcnkzOTkxNjY3OA==,falcon,idaholab/falcon,False,https://github.com/idaholab/falcon,Fracturing And Liquid CONservation ,False,https://api.github.com/repos/idaholab/falcon,2015-07-29T21:13:58Z,2024-12-18T03:59:08Z,2024-12-18T04:37:16Z,,65544,29,29,C++,True,False,True,False,False,False,50,,False,False,14,,True,False,False,[],public,50,14,29,devel,idaholab,3855370,MDEyOk9yZ2FuaXphdGlvbjM4NTUzNzA=,Organization,public,False,False,False,False,False,True,lgpl-2.1,GNU Lesser General Public License v2.1,LGPL-2.1,https://api.github.com/licenses/lgpl-2.1,MDc6TGljZW5zZTEx
40130989,MDEwOlJlcG9zaXRvcnk0MDEzMDk4OQ==,advcubit,idaholab/advcubit,False,https://github.com/idaholab/advcubit,,False,https://api.github.com/repos/idaholab/advcubit,2015-08-03T15:02:48Z,2021-08-23T18:42:26Z,2021-08-23T18:42:22Z,,113,1,1,Python,True,True,True,True,False,False,4,,False,False,0,,True,False,False,[],public,4,0,1,master,idaholab,3855370,MDEyOk9yZ2FuaXphdGlvbjM4NTUzNzA=,Organization,public,False,False,False,False,False,True,lgpl-2.1,GNU Lesser General Public License v2.1,LGPL-2.1,https://api.github.com/licenses/lgpl-2.1,MDc6TGljZW5zZTEx
41037358,MDEwOlJlcG9zaXRvcnk0MTAzNzM1OA==,schematics,idaholab/schematics,False,https://github.com/idaholab/schematics,,False,https://api.github.com/repos/idaholab/schematics,2015-08-19T13:54:35Z,2023-01-28T14:33:05Z,2015-11-29T08:16:54Z,,46,0,0,Python,True,True,True,True,False,False,0,,True,False,0,,True,False,False,[],public,0,0,0,master,idaholab,3855370,MDEyOk9yZ2FuaXphdGlvbjM4NTUzNzA=,Organization,public,False,False,False,False,False,True,,,,,
