id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,license.key,license.name,license.spdx_id,license.url,license.node_id,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull,license
3720251,MDEwOlJlcG9zaXRvcnkzNzIwMjUx,pyoos,ioos/pyoos,False,https://github.com/ioos/pyoos,A Python library for collecting Met/Ocean observations,False,https://api.github.com/repos/ioos/pyoos,2012-03-14T17:43:16Z,2024-11-28T16:29:51Z,2022-08-30T17:48:48Z,,1897,33,33,Jupyter Notebook,True,True,True,True,False,False,33,,False,False,15,True,False,False,[],public,33,15,33,master,ioos,5313832,MDEyOk9yZ2FuaXphdGlvbjUzMTM4MzI=,Organization,public,False,lgpl-3.0,GNU Lesser General Public License v3.0,LGPL-3.0,https://api.github.com/licenses/lgpl-3.0,MDc6TGljZW5zZTEy,False,False,False,False,True,
4140627,MDEwOlJlcG9zaXRvcnk0MTQwNjI3,sos-injector,ioos/sos-injector,False,https://github.com/ioos/sos-injector,Injection modules for registering sensors and inserting observations to an SOS (developed against 52 North),False,https://api.github.com/repos/ioos/sos-injector,2012-04-25T19:42:02Z,2023-01-28T16:54:35Z,2016-09-28T16:55:14Z,,420,3,3,Java,True,True,True,True,False,False,8,,True,False,1,True,False,False,[],public,8,1,3,master,ioos,5313832,MDEyOk9yZ2FuaXphdGlvbjUzMTM4MzI=,Organization,public,False,unlicense,The Unlicense,Unlicense,https://api.github.com/licenses/unlicense,MDc6TGljZW5zZTE1,False,False,False,False,True,
4669343,MDEwOlJlcG9zaXRvcnk0NjY5MzQz,sensor-web-harvester,ioos/sensor-web-harvester,False,https://github.com/ioos/sensor-web-harvester,,False,https://api.github.com/repos/ioos/sensor-web-harvester,2012-06-14T22:47:59Z,2024-06-04T00:24:33Z,2017-08-18T21:02:52Z,,170964,6,6,Scala,True,True,True,True,False,False,10,,True,False,0,True,False,False,[],public,10,0,6,master,ioos,5313832,MDEyOk9yZ2FuaXphdGlvbjUzMTM4MzI=,Organization,public,False,,,,,,False,False,False,False,True,
5120849,MDEwOlJlcG9zaXRvcnk1MTIwODQ5,cf4j,ioos/cf4j,False,https://github.com/ioos/cf4j,CF Standard Names for Java,False,https://api.github.com/repos/ioos/cf4j,2012-07-20T08:24:22Z,2023-01-28T16:54:33Z,2016-08-21T20:21:32Z,,1896,1,1,Java,True,True,True,True,True,False,3,,True,False,0,True,False,False,[],public,3,0,1,master,ioos,5313832,MDEyOk9yZ2FuaXphdGlvbjUzMTM4MzI=,Organization,public,False,,,,,,False,False,False,False,True,
6084494,MDEwOlJlcG9zaXRvcnk2MDg0NDk0,phenomena,ioos/phenomena,False,https://github.com/ioos/phenomena,Generate static ontology members for IOOS parameters using Maven schemagen plugin,False,https://api.github.com/repos/ioos/phenomena,2012-10-05T01:36:59Z,2023-01-28T16:54:35Z,2016-09-28T16:53:35Z,,166,1,1,Java,True,True,True,True,False,False,6,,True,False,0,True,False,False,[],public,6,0,1,master,ioos,5313832,MDEyOk9yZ2FuaXphdGlvbjUzMTM4MzI=,Organization,public,False,,,,,,False,False,False,False,True,
10212210,MDEwOlJlcG9zaXRvcnkxMDIxMjIxMA==,ioos-sos-common,ioos/ioos-sos-common,False,https://github.com/ioos/ioos-sos-common,Shared IOOS SOS resources,False,https://api.github.com/repos/ioos/ioos-sos-common,2013-05-22T05:06:50Z,2023-01-28T16:54:35Z,2016-08-21T21:15:35Z,,43,0,0,Java,True,True,True,True,False,False,3,,True,False,1,True,False,False,[],public,3,1,0,master,ioos,5313832,MDEyOk9yZ2FuaXphdGlvbjUzMTM4MzI=,Organization,public,False,unlicense,The Unlicense,Unlicense,https://api.github.com/licenses/unlicense,MDc6TGljZW5zZTE1,False,False,False,False,True,
10353414,MDEwOlJlcG9zaXRvcnkxMDM1MzQxNA==,sos-injector-example,ioos/sos-injector-example,False,https://github.com/ioos/sos-injector-example,Example usage of the sos-injector,False,https://api.github.com/repos/ioos/sos-injector-example,2013-05-29T06:33:29Z,2023-01-28T16:54:35Z,2016-08-26T21:03:51Z,,36,1,1,Java,True,True,True,True,False,False,4,,True,False,0,True,False,False,[],public,4,0,1,master,ioos,5313832,MDEyOk9yZ2FuaXphdGlvbjUzMTM4MzI=,Organization,public,False,unlicense,The Unlicense,Unlicense,https://api.github.com/licenses/unlicense,MDc6TGljZW5zZTE1,False,False,False,False,True,
10463510,MDEwOlJlcG9zaXRvcnkxMDQ2MzUxMA==,wicken,ioos/wicken,False,https://github.com/ioos/wicken,metadata companion library for paegan data model,False,https://api.github.com/repos/ioos/wicken,2013-06-03T20:09:38Z,2023-01-28T16:54:33Z,2016-02-03T22:21:05Z,,85,1,1,Python,True,True,True,True,False,False,6,,True,False,3,True,False,False,[],public,6,3,1,master,ioos,5313832,MDEyOk9yZ2FuaXphdGlvbjUzMTM4MzI=,Organization,public,False,apache-2.0,Apache License 2.0,Apache-2.0,https://api.github.com/licenses/apache-2.0,MDc6TGljZW5zZTI=,False,False,False,False,True,
10624247,MDEwOlJlcG9zaXRvcnkxMDYyNDI0Nw==,thredds_crawler,ioos/thredds_crawler,False,https://github.com/ioos/thredds_crawler,A crawler/parser for THREDDS catalogs,False,https://api.github.com/repos/ioos/thredds_crawler,2013-06-11T15:15:29Z,2023-12-04T16:50:11Z,2022-08-11T12:23:21Z,,89,16,16,Python,True,True,True,True,False,False,22,,True,False,5,True,False,False,[],public,22,5,16,master,ioos,5313832,MDEyOk9yZ2FuaXphdGlvbjUzMTM4MzI=,Organization,public,False,mit,MIT License,MIT,https://api.github.com/licenses/mit,MDc6TGljZW5zZTEz,False,False,False,False,True,
10898016,MDEwOlJlcG9zaXRvcnkxMDg5ODAxNg==,ioos-sos-validator,ioos/ioos-sos-validator,False,https://github.com/ioos/ioos-sos-validator,Validation library for IOOS SOS responses,False,https://api.github.com/repos/ioos/ioos-sos-validator,2013-06-24T03:43:20Z,2023-01-28T16:54:34Z,2014-10-06T02:12:19Z,,348,0,0,Java,True,True,True,True,False,False,3,,True,False,1,True,False,False,[],public,3,1,0,master,ioos,5313832,MDEyOk9yZ2FuaXphdGlvbjUzMTM4MzI=,Organization,public,False,unlicense,The Unlicense,Unlicense,https://api.github.com/licenses/unlicense,MDc6TGljZW5zZTE1,False,False,False,False,True,
