id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,license,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull,license.key,license.name,license.spdx_id,license.url,license.node_id
135326121,MDEwOlJlcG9zaXRvcnkxMzUzMjYxMjE=,jmhatch-NOAA.github.io,jmhatch-NOAA/jmhatch-NOAA.github.io,False,https://github.com/jmhatch-NOAA/jmhatch-NOAA.github.io,,False,https://api.github.com/repos/jmhatch-NOAA/jmhatch-NOAA.github.io,2018-05-29T16:47:42Z,2021-05-27T12:52:53Z,2021-05-27T12:52:51Z,https://jmhatch-noaa.github.io,11691,1,1,HTML,True,True,True,True,True,False,0,,False,False,0,,True,False,False,[],public,0,0,1,master,jmhatch-NOAA,81630987,MDEyOk9yZ2FuaXphdGlvbjgxNjMwOTg3,Organization,public,False,False,False,False,False,True,,,,,
232621425,MDEwOlJlcG9zaXRvcnkyMzI2MjE0MjU=,NEFSC-Pro-Shiny-Server,jmhatch-NOAA/NEFSC-Pro-Shiny-Server,False,https://github.com/jmhatch-NOAA/NEFSC-Pro-Shiny-Server,Repository for all things Shiny,False,https://api.github.com/repos/jmhatch-NOAA/NEFSC-Pro-Shiny-Server,2020-01-08T17:37:09Z,2021-07-01T20:54:20Z,2020-05-04T12:01:15Z,,6254,2,2,,True,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,2,master,jmhatch-NOAA,81630987,MDEyOk9yZ2FuaXphdGlvbjgxNjMwOTg3,Organization,public,False,False,False,False,False,True,,,,,
244948011,MDEwOlJlcG9zaXRvcnkyNDQ5NDgwMTE=,PSB-Openscapes-Initiative,jmhatch-NOAA/PSB-Openscapes-Initiative,False,https://github.com/jmhatch-NOAA/PSB-Openscapes-Initiative,Case study implementing Openscapes' principles for PSB,False,https://api.github.com/repos/jmhatch-NOAA/PSB-Openscapes-Initiative,2020-03-04T16:22:46Z,2021-03-30T13:32:42Z,2020-05-05T16:49:30Z,,13505,1,1,R,True,True,True,True,False,False,0,,False,False,2,,True,False,False,[],public,0,2,1,master,jmhatch-NOAA,81630987,MDEyOk9yZ2FuaXphdGlvbjgxNjMwOTg3,Organization,public,False,False,False,False,False,True,,,,,
254658592,MDEwOlJlcG9zaXRvcnkyNTQ2NTg1OTI=,seebirdr,jmhatch-NOAA/seebirdr,False,https://github.com/jmhatch-NOAA/seebirdr,An R package for formatting and summarizing seabird shipboard survey data,False,https://api.github.com/repos/jmhatch-NOAA/seebirdr,2020-04-10T14:44:34Z,2021-03-30T13:31:25Z,2020-04-16T18:40:29Z,,418,0,0,R,True,True,True,True,False,False,0,,False,False,4,,True,False,False,[],public,0,4,0,master,jmhatch-NOAA,81630987,MDEyOk9yZ2FuaXphdGlvbjgxNjMwOTg3,Organization,public,False,False,False,False,False,True,,,,,
261449916,MDEwOlJlcG9zaXRvcnkyNjE0NDk5MTY=,R-Shiny-Working-Group,jmhatch-NOAA/R-Shiny-Working-Group,False,https://github.com/jmhatch-NOAA/R-Shiny-Working-Group,A repository to summarize meeting details and outcomes,False,https://api.github.com/repos/jmhatch-NOAA/R-Shiny-Working-Group,2020-05-05T11:51:58Z,2022-07-06T20:06:18Z,2023-06-05T16:51:49Z,,13608,2,2,R,True,True,True,True,True,False,1,,False,False,0,,True,False,False,[],public,1,0,2,master,jmhatch-NOAA,81630987,MDEyOk9yZ2FuaXphdGlvbjgxNjMwOTg3,Organization,public,False,False,False,False,False,True,,,,,
376922325,MDEwOlJlcG9zaXRvcnkzNzY5MjIzMjU=,r3-train,jmhatch-NOAA/r3-train,False,https://github.com/jmhatch-NOAA/r3-train,Reproducible Reporting with R (R^3) training materials for marine ecosystem indicators,True,https://api.github.com/repos/jmhatch-NOAA/r3-train,2021-06-14T18:38:14Z,2021-08-10T17:01:27Z,2021-08-10T17:01:21Z,http://noaa-iea.github.io/r3-train,69357,0,0,CSS,False,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,0,master,jmhatch-NOAA,81630987,MDEyOk9yZ2FuaXphdGlvbjgxNjMwOTg3,Organization,public,False,False,False,False,False,True,,,,,
376923797,MDEwOlJlcG9zaXRvcnkzNzY5MjM3OTc=,r3-exercises,jmhatch-NOAA/r3-exercises,False,https://github.com/jmhatch-NOAA/r3-exercises,Exercises from https://noaa-iea.github.io/r3-train,False,https://api.github.com/repos/jmhatch-NOAA/r3-exercises,2021-06-14T18:44:10Z,2021-06-15T13:49:13Z,2021-06-15T13:49:10Z,https://jmhatch-noaa.github.io/r3-exercises,1155,0,0,HTML,True,True,True,True,True,False,0,,False,False,2,,True,False,False,[],public,0,2,0,main,jmhatch-NOAA,81630987,MDEyOk9yZ2FuaXphdGlvbjgxNjMwOTg3,Organization,public,False,False,False,False,False,True,,,,,
386039290,MDEwOlJlcG9zaXRvcnkzODYwMzkyOTA=,Test-Email,jmhatch-NOAA/Test-Email,False,https://github.com/jmhatch-NOAA/Test-Email,Test email notifications with GitHub Actions,False,https://api.github.com/repos/jmhatch-NOAA/Test-Email,2021-07-14T18:29:10Z,2021-07-16T14:09:38Z,2021-07-16T14:09:35Z,,3552,0,0,HTML,True,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,0,main,jmhatch-NOAA,81630987,MDEyOk9yZ2FuaXphdGlvbjgxNjMwOTg3,Organization,public,False,False,False,False,False,True,,,,,
460467086,R_kgDOG3Irjg,READ-PSB-TE-Wind,jmhatch-NOAA/READ-PSB-TE-Wind,False,https://github.com/jmhatch-NOAA/READ-PSB-TE-Wind,Understanding Offshore Wind Development Effects on Sea Turtles,False,https://api.github.com/repos/jmhatch-NOAA/READ-PSB-TE-Wind,2022-02-17T14:21:31Z,2024-12-20T02:33:35Z,2024-12-20T02:33:31Z,,75212,4,4,,True,True,True,True,True,False,0,,False,False,0,,True,False,False,[],public,0,0,4,main,jmhatch-NOAA,81630987,MDEyOk9yZ2FuaXphdGlvbjgxNjMwOTg3,Organization,public,False,False,False,False,False,True,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=
467631271,R_kgDOG998pw,r-raster-point,jmhatch-NOAA/r-raster-point,False,https://github.com/jmhatch-NOAA/r-raster-point,https://jmhatch-noaa.github.io/r-raster-point/,False,https://api.github.com/repos/jmhatch-NOAA/r-raster-point,2022-03-08T18:30:42Z,2022-03-08T18:43:28Z,2022-03-08T18:44:44Z,,525,0,0,,True,True,True,True,True,False,0,,False,False,0,,True,False,False,[],public,0,0,0,main,jmhatch-NOAA,81630987,MDEyOk9yZ2FuaXphdGlvbjgxNjMwOTg3,Organization,public,False,False,False,False,False,True,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=
