id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,license.key,license.name,license.spdx_id,license.url,license.node_id,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull,license
32349845,MDEwOlJlcG9zaXRvcnkzMjM0OTg0NQ==,ProgrammingGuide,kokkos/ProgrammingGuide,False,https://github.com/kokkos/ProgrammingGuide,Programing guide,False,https://api.github.com/repos/kokkos/ProgrammingGuide,2015-03-16T20:05:48Z,2024-04-15T20:12:07Z,2024-04-15T20:01:01Z,,9917,3,3,TeX,True,True,True,True,False,False,0,,True,False,0,True,False,False,[],public,0,0,3,master,kokkos,10199860,MDEyOk9yZ2FuaXphdGlvbjEwMTk5ODYw,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
33634359,MDEwOlJlcG9zaXRvcnkzMzYzNDM1OQ==,kokkos,kokkos/kokkos,False,https://github.com/kokkos/kokkos,Kokkos C++ Performance Portability Programming Ecosystem: The Programming Model - Parallel Execution and Memory Abstraction,False,https://api.github.com/repos/kokkos/kokkos,2015-04-08T21:55:55Z,2024-12-19T03:11:58Z,2024-12-19T03:11:53Z,https://kokkos.org,35390,2037,2037,C++,True,True,True,True,False,False,440,,False,False,498,True,False,False,"['abstraction', 'c-plus-plus', 'high-performance-computing', 'hpsf', 'kokkos', 'parallel-computing', 'programming-model']",public,440,498,2037,develop,kokkos,10199860,MDEyOk9yZ2FuaXphdGlvbjEwMTk5ODYw,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
35506673,MDEwOlJlcG9zaXRvcnkzNTUwNjY3Mw==,array_ref,kokkos/array_ref,False,https://github.com/kokkos/array_ref,Polymorphic multidimensional array view,False,https://api.github.com/repos/kokkos/array_ref,2015-05-12T18:53:16Z,2024-09-18T20:07:30Z,2020-06-17T22:00:06Z,,705,36,36,C++,True,True,True,True,True,False,9,,True,False,13,True,False,False,[],public,9,13,36,master,kokkos,10199860,MDEyOk9yZ2FuaXphdGlvbjEwMTk5ODYw,Organization,public,False,,,,,,False,False,False,False,True,
41895541,MDEwOlJlcG9zaXRvcnk0MTg5NTU0MQ==,kokkos-tutorials,kokkos/kokkos-tutorials,False,https://github.com/kokkos/kokkos-tutorials,Tutorials for the Kokkos C++ Performance Portability Programming Ecosystem,False,https://api.github.com/repos/kokkos/kokkos-tutorials,2015-09-04T03:15:02Z,2024-12-17T19:19:58Z,2024-12-17T19:19:54Z,https://kokkos.org,123718,303,303,C++,True,True,True,True,False,False,102,,False,False,26,True,False,False,[],public,102,26,303,main,kokkos,10199860,MDEyOk9yZ2FuaXphdGlvbjEwMTk5ODYw,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
51485092,MDEwOlJlcG9zaXRvcnk1MTQ4NTA5Mg==,kokkos-tools,kokkos/kokkos-tools,False,https://github.com/kokkos/kokkos-tools,Kokkos C++ Performance Portability Programming Ecosystem: Profiling and Debugging Tools,False,https://api.github.com/repos/kokkos/kokkos-tools,2016-02-11T00:49:46Z,2024-12-16T20:37:08Z,2024-12-16T20:37:04Z,,15347,115,115,C++,True,True,True,True,False,False,58,,False,False,44,True,False,False,"['debug', 'debugging', 'hpsf', 'kokkos', 'memory-analysis', 'profiler', 'profiling', 'snl-performance-workflow', 'snl-prog-models-runtimes', 'timing', 'tools']",public,58,44,115,develop,kokkos,10199860,MDEyOk9yZ2FuaXphdGlvbjEwMTk5ODYw,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
54587285,MDEwOlJlcG9zaXRvcnk1NDU4NzI4NQ==,nvcc_wrapper,kokkos/nvcc_wrapper,False,https://github.com/kokkos/nvcc_wrapper,Wrapper shell script for NVIDIA nvcc to better conform to host compiler command line arguments,False,https://api.github.com/repos/kokkos/nvcc_wrapper,2016-03-23T19:26:53Z,2024-05-23T20:06:55Z,2020-10-07T18:40:33Z,,31,7,7,Shell,True,True,True,True,False,False,13,,True,False,1,True,False,False,[],public,13,1,7,master,kokkos,10199860,MDEyOk9yZ2FuaXphdGlvbjEwMTk5ODYw,Organization,public,False,,,,,,False,False,False,False,True,
69893853,MDEwOlJlcG9zaXRvcnk2OTg5Mzg1Mw==,kokkos-miniapps,kokkos/kokkos-miniapps,False,https://github.com/kokkos/kokkos-miniapps,Mini-applications that exclusively use the Kokkos programming model,False,https://api.github.com/repos/kokkos/kokkos-miniapps,2016-10-03T17:30:16Z,2024-02-21T15:30:04Z,2023-03-21T21:28:11Z,,94,12,12,C++,True,True,True,True,False,False,7,,False,False,2,True,False,False,"['kokkos', 'mini-app', 'performance', 'programming-model', 'snl-mini-apps', 'snl-prog-models-runtimes']",public,7,2,12,master,kokkos,10199860,MDEyOk9yZ2FuaXphdGlvbjEwMTk5ODYw,Organization,public,False,,,,,,False,False,False,False,True,
78572774,MDEwOlJlcG9zaXRvcnk3ODU3Mjc3NA==,kokkos-kernels,kokkos/kokkos-kernels,False,https://github.com/kokkos/kokkos-kernels,"Kokkos C++ Performance Portability Programming Ecosystem: Math Kernels - Provides BLAS, Sparse BLAS and Graph Kernels",False,https://api.github.com/repos/kokkos/kokkos-kernels,2017-01-10T20:49:21Z,2024-12-19T00:10:38Z,2024-12-19T00:10:34Z,,30608,317,317,C++,True,True,True,True,False,False,99,,False,False,253,True,False,False,"['blas', 'hpsf', 'kokkos', 'linear-algebra', 'performance-portability', 'sparse-matrix']",public,99,253,317,develop,kokkos,10199860,MDEyOk9yZ2FuaXphdGlvbjEwMTk5ODYw,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
80766901,MDEwOlJlcG9zaXRvcnk4MDc2NjkwMQ==,kokkos-docs,kokkos/kokkos-docs,False,https://github.com/kokkos/kokkos-docs,Documentation and github pages for Kokkos projects. ,False,https://api.github.com/repos/kokkos/kokkos-docs,2017-02-02T20:43:12Z,2019-06-20T15:19:55Z,2019-06-20T15:19:54Z,,8802,0,0,,True,True,True,True,True,False,1,,False,False,0,True,False,False,[],public,1,0,0,master,kokkos,10199860,MDEyOk9yZ2FuaXphdGlvbjEwMTk5ODYw,Organization,public,False,,,,,,False,False,False,False,True,
82230111,MDEwOlJlcG9zaXRvcnk4MjIzMDExMQ==,kokkos.github.io,kokkos/kokkos.github.io,False,https://github.com/kokkos/kokkos.github.io,Source code for kokkos.org pages,False,https://api.github.com/repos/kokkos/kokkos.github.io,2017-02-16T21:56:04Z,2024-09-14T12:20:32Z,2024-09-14T12:20:29Z,https://kokkos.org,12381,1,1,HTML,True,True,True,True,True,False,13,,False,False,79,True,False,False,[],public,13,79,1,main,kokkos,10199860,MDEyOk9yZ2FuaXphdGlvbjEwMTk5ODYw,Organization,public,False,,,,,,False,False,False,False,True,
