id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,license.key,license.name,license.spdx_id,license.url,license.node_id,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull,license
64699444,MDEwOlJlcG9zaXRvcnk2NDY5OTQ0NA==,PowerModels.jl,lanl-ansi/PowerModels.jl,False,https://github.com/lanl-ansi/PowerModels.jl,A Julia/JuMP Package for Power Network Optimization,False,https://api.github.com/repos/lanl-ansi/PowerModels.jl,2016-08-01T20:30:54Z,2024-12-13T14:15:07Z,2024-11-04T01:28:48Z,https://lanl-ansi.github.io/PowerModels.jl/stable/,5862,401,401,Julia,True,True,True,False,True,False,150,,False,False,93,True,False,False,"['network', 'optimal-power-flow', 'optimization', 'power-network']",public,150,93,401,master,lanl-ansi,17053288,MDEyOk9yZ2FuaXphdGlvbjE3MDUzMjg4,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
66858408,MDEwOlJlcG9zaXRvcnk2Njg1ODQwOA==,GasModels.jl,lanl-ansi/GasModels.jl,False,https://github.com/lanl-ansi/GasModels.jl,A Julia/JuMP Package for Gas Network Optimization,False,https://api.github.com/repos/lanl-ansi/GasModels.jl,2016-08-29T16:01:10Z,2024-11-25T17:45:32Z,2024-10-17T19:52:22Z,https://lanl-ansi.github.io/GasModels.jl/latest/,7316,66,66,Julia,True,True,True,False,True,False,16,,False,False,48,True,False,False,"['gas-flow', 'gas-network-formulations', 'network', 'optimization']",public,16,48,66,master,lanl-ansi,17053288,MDEyOk9yZ2FuaXphdGlvbjE3MDUzMjg4,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
69613436,MDEwOlJlcG9zaXRvcnk2OTYxMzQzNg==,ansi-maven,lanl-ansi/ansi-maven,False,https://github.com/lanl-ansi/ansi-maven,A GitHub Maven repository for LANL ANSI projects.,False,https://api.github.com/repos/lanl-ansi/ansi-maven,2016-09-29T22:38:31Z,2016-09-30T20:17:02Z,2016-09-29T22:38:32Z,,0,0,0,,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,master,lanl-ansi,17053288,MDEyOk9yZ2FuaXphdGlvbjE3MDUzMjg4,Organization,public,False,,,,,,False,False,False,False,True,
71157162,MDEwOlJlcG9zaXRvcnk3MTE1NzE2Mg==,HFS-algorithm,lanl-ansi/HFS-algorithm,False,https://github.com/lanl-ansi/HFS-algorithm,Alex Selby's Chimera-QUBO solver,True,https://api.github.com/repos/lanl-ansi/HFS-algorithm,2016-10-17T16:12:19Z,2024-08-22T11:30:34Z,2017-05-07T23:11:30Z,,71,5,5,C,True,False,True,False,False,False,1,,False,False,3,True,False,False,[],public,1,3,5,master,lanl-ansi,17053288,MDEyOk9yZ2FuaXphdGlvbjE3MDUzMjg4,Organization,public,False,mit,MIT License,MIT,https://api.github.com/licenses/mit,MDc6TGljZW5zZTEz,False,False,False,False,True,
71490614,MDEwOlJlcG9zaXRvcnk3MTQ5MDYxNA==,Alpine.jl,lanl-ansi/Alpine.jl,False,https://github.com/lanl-ansi/Alpine.jl,A Julia/JuMP-based Global Optimization Solver for Non-convex Programs,False,https://api.github.com/repos/lanl-ansi/Alpine.jl,2016-10-20T18:08:33Z,2024-12-04T02:52:35Z,2024-12-04T02:55:40Z,https://lanl-ansi.github.io/Alpine.jl/latest/,5429,245,245,Julia,True,True,True,False,True,True,40,,False,False,10,True,False,False,"['global-optimization', 'julia-language', 'minlp', 'minlp-solver', 'mixed-integer-nonlinear-programming', 'mixed-integer-programming', 'non-convex-optimization', 'nonlinear-optimization', 'optimization', 'optimization-algorithms']",public,40,10,245,master,lanl-ansi,17053288,MDEyOk9yZ2FuaXphdGlvbjE3MDUzMjg4,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
78665305,MDEwOlJlcG9zaXRvcnk3ODY2NTMwNQ==,gmd-data,lanl-ansi/gmd-data,False,https://github.com/lanl-ansi/gmd-data,A Repository for Software to Capture and Analyze Data on Geomagnetic Disturbances (GMDs),False,https://api.github.com/repos/lanl-ansi/gmd-data,2017-01-11T18:07:13Z,2019-01-10T23:22:16Z,2018-05-15T20:07:10Z,,1132,2,2,Python,True,True,True,True,False,False,2,,False,False,0,True,False,False,[],public,2,0,2,master,lanl-ansi,17053288,MDEyOk9yZ2FuaXphdGlvbjE3MDUzMjg4,Organization,public,False,,,,,,False,False,False,False,True,
81481121,MDEwOlJlcG9zaXRvcnk4MTQ4MTEyMQ==,quantum-sociology,lanl-ansi/quantum-sociology,False,https://github.com/lanl-ansi/quantum-sociology,"A repository for code exploring the use of quantum computing, on the D-Wave 2X, in social network analysis.",False,https://api.github.com/repos/lanl-ansi/quantum-sociology,2017-02-09T18:24:47Z,2017-02-14T19:40:00Z,2017-10-14T22:49:51Z,,23741,0,0,Python,True,True,True,True,False,False,1,,False,False,0,True,False,False,[],public,1,0,0,master,lanl-ansi,17053288,MDEyOk9yZ2FuaXphdGlvbjE3MDUzMjg4,Organization,public,False,,,,,,False,False,False,False,True,
82844590,MDEwOlJlcG9zaXRvcnk4Mjg0NDU5MA==,PowerModelsGMD.jl,lanl-ansi/PowerModelsGMD.jl,False,https://github.com/lanl-ansi/PowerModelsGMD.jl,GMD problem formulation for PowerModels.jl,False,https://api.github.com/repos/lanl-ansi/PowerModelsGMD.jl,2017-02-22T19:33:47Z,2024-12-03T20:16:28Z,2024-12-10T22:31:41Z,https://lanl-ansi.github.io/PowerModelsGMD.jl/latest/,9198,12,12,Julia,True,True,True,True,False,False,4,,False,False,45,True,False,False,"['gmd', 'optimization']",public,4,45,12,master,lanl-ansi,17053288,MDEyOk9yZ2FuaXphdGlvbjE3MDUzMjg4,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
82984031,MDEwOlJlcG9zaXRvcnk4Mjk4NDAzMQ==,dwig,lanl-ansi/dwig,False,https://github.com/lanl-ansi/dwig,D-Wave Instance Generator (D-WIG),False,https://api.github.com/repos/lanl-ansi/dwig,2017-02-24T00:14:33Z,2024-12-19T00:23:16Z,2022-12-08T05:16:06Z,,1268,9,9,Python,True,True,True,False,False,False,2,,False,False,16,True,False,False,"['aqc', 'd-wave', 'generator', 'ising-model', 'python']",public,2,16,9,master,lanl-ansi,17053288,MDEyOk9yZ2FuaXphdGlvbjE3MDUzMjg4,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
84364230,MDEwOlJlcG9zaXRvcnk4NDM2NDIzMA==,micot,lanl-ansi/micot,False,https://github.com/lanl-ansi/micot,,False,https://api.github.com/repos/lanl-ansi/micot,2017-03-08T20:42:24Z,2024-07-21T19:52:28Z,2020-10-29T17:59:48Z,,189697,3,3,Java,True,True,True,True,False,False,4,,False,False,20,True,False,False,[],public,4,20,3,master,lanl-ansi,17053288,MDEyOk9yZ2FuaXphdGlvbjE3MDUzMjg4,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
84681525,MDEwOlJlcG9zaXRvcnk4NDY4MTUyNQ==,bqpjson,lanl-ansi/bqpjson,False,https://github.com/lanl-ansi/bqpjson,Utilities for working with bqpjson data,False,https://api.github.com/repos/lanl-ansi/bqpjson,2017-03-11T21:38:33Z,2022-06-09T11:51:30Z,2020-12-18T19:54:28Z,http://bqpjson.readthedocs.io/,75,4,4,Python,True,True,True,False,False,False,1,,False,False,16,True,False,False,"['ising-model', 'json-data', 'python', 'quadratic-programming']",public,1,16,4,master,lanl-ansi,17053288,MDEyOk9yZ2FuaXphdGlvbjE3MDUzMjg4,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
87589565,MDEwOlJlcG9zaXRvcnk4NzU4OTU2NQ==,dmcis2017,lanl-ansi/dmcis2017,False,https://github.com/lanl-ansi/dmcis2017,,False,https://api.github.com/repos/lanl-ansi/dmcis2017,2017-04-07T21:49:09Z,2018-10-07T09:29:58Z,2017-11-18T01:24:28Z,,68,1,1,HTML,True,True,True,True,True,False,1,,False,False,0,True,False,False,[],public,1,0,1,master,lanl-ansi,17053288,MDEyOk9yZ2FuaXphdGlvbjE3MDUzMjg4,Organization,public,False,,,,,,False,False,False,False,True,
90551257,MDEwOlJlcG9zaXRvcnk5MDU1MTI1Nw==,bqpsolvers,lanl-ansi/bqpsolvers,False,https://github.com/lanl-ansi/bqpsolvers,Solver interfaces for bqpjson data files,False,https://api.github.com/repos/lanl-ansi/bqpsolvers,2017-05-07T17:55:22Z,2020-09-28T11:22:33Z,2020-01-05T00:11:23Z,,36,6,6,Python,True,True,True,True,False,False,0,,False,False,4,True,False,False,['python'],public,0,4,6,master,lanl-ansi,17053288,MDEyOk9yZ2FuaXphdGlvbjE3MDUzMjg4,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
92082059,MDEwOlJlcG9zaXRvcnk5MjA4MjA1OQ==,WaterModels.jl,lanl-ansi/WaterModels.jl,False,https://github.com/lanl-ansi/WaterModels.jl,A Julia/JuMP Package for Water Distribution Network Optimization,False,https://api.github.com/repos/lanl-ansi/WaterModels.jl,2017-05-22T17:45:40Z,2024-12-04T06:51:05Z,2024-04-23T22:12:58Z,https://lanl-ansi.github.io/WaterModels.jl/latest/,3022,74,74,Julia,True,True,True,True,True,False,11,,False,False,14,True,False,False,"['julia', 'network', 'optimization', 'water']",public,11,14,74,master,lanl-ansi,17053288,MDEyOk9yZ2FuaXphdGlvbjE3MDUzMjg4,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
