id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,license.key,license.name,license.spdx_id,license.url,license.node_id,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull,license
1437241,MDEwOlJlcG9zaXRvcnkxNDM3MjQx,CODY,lanl/CODY,False,https://github.com/lanl/CODY,Continuum Dynamics Evaluation and Test Suite,False,https://api.github.com/repos/lanl/CODY,2011-03-03T23:20:00Z,2024-08-12T19:10:25Z,2017-08-29T18:12:11Z,,2735,14,14,C++,True,True,True,True,False,False,9,,False,False,0,True,False,False,[],public,9,0,14,master,lanl,585305,MDEyOk9yZ2FuaXphdGlvbjU4NTMwNQ==,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
1606631,MDEwOlJlcG9zaXRvcnkxNjA2NjMx,losalamos.github.com,lanl/losalamos.github.com,False,https://github.com/lanl/losalamos.github.com,Portal for LANL open source at GitHub,False,https://api.github.com/repos/lanl/losalamos.github.com,2011-04-12T22:23:25Z,2024-08-12T19:10:26Z,2016-01-11T20:02:00Z,https://losalamos.github.io,53,5,5,CSS,True,True,True,True,True,False,1,,False,False,0,True,False,False,[],public,1,0,5,master,lanl,585305,MDEyOk9yZ2FuaXphdGlvbjU4NTMwNQ==,Organization,public,False,,,,,,False,False,False,False,True,
1704009,MDEwOlJlcG9zaXRvcnkxNzA0MDA5,coNCePTuaL,lanl/coNCePTuaL,False,https://github.com/lanl/coNCePTuaL,Network Correctness and Performance Testing Language,False,https://api.github.com/repos/lanl/coNCePTuaL,2011-05-04T23:43:22Z,2024-11-19T17:16:52Z,2019-03-04T23:01:56Z,http://conceptual.sourceforge.net/,13065,6,6,Python,True,True,True,True,False,False,5,,False,False,0,True,False,False,[],public,5,0,6,master,lanl,585305,MDEyOk9yZ2FuaXphdGlvbjU4NTMwNQ==,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
1790303,MDEwOlJlcG9zaXRvcnkxNzkwMzAz,McPhD,lanl/McPhD,False,https://github.com/lanl/McPhD,A Parallel Haskell framework for particle-based Monte Carlo simulations,False,https://api.github.com/repos/lanl/McPhD,2011-05-23T21:35:31Z,2024-07-10T16:41:05Z,2019-04-02T22:34:03Z,,3523,13,13,Roff,True,True,True,True,False,False,8,,False,False,0,True,False,False,[],public,8,0,13,ghc-8.0.2,lanl,585305,MDEyOk9yZ2FuaXphdGlvbjU4NTMwNQ==,Organization,public,False,bsd-3-clause,"BSD 3-Clause ""New"" or ""Revised"" License",BSD-3-Clause,https://api.github.com/licenses/bsd-3-clause,MDc6TGljZW5zZTU=,False,False,False,False,True,
2140001,MDEwOlJlcG9zaXRvcnkyMTQwMDAx,go-papi,lanl/go-papi,False,https://github.com/lanl/go-papi,Go language interface to the PAPI performance API,False,https://api.github.com/repos/lanl/go-papi,2011-08-02T01:04:13Z,2024-08-12T19:10:32Z,2019-03-04T18:33:36Z,,44,17,17,Go,True,True,True,True,False,False,5,,False,False,0,True,False,False,[],public,5,0,17,master,lanl,585305,MDEyOk9yZ2FuaXphdGlvbjU4NTMwNQ==,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
2373100,MDEwOlJlcG9zaXRvcnkyMzczMTAw,goop,lanl/goop,False,https://github.com/lanl/goop,Dynamic object-oriented programming support for the Go language,False,https://api.github.com/repos/lanl/goop,2011-09-12T18:19:30Z,2024-08-12T19:10:36Z,2022-08-17T00:21:36Z,,38,113,113,Go,True,True,True,True,False,False,15,,False,False,0,True,False,False,[],public,15,0,113,master,lanl,585305,MDEyOk9yZ2FuaXphdGlvbjU4NTMwNQ==,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
2380795,MDEwOlJlcG9zaXRvcnkyMzgwNzk1,HILO,lanl/HILO,False,https://github.com/lanl/HILO,HILO: Quasi Diffusion Accelerated Monte Carlo on Hybrid Architectures,False,https://api.github.com/repos/lanl/HILO,2011-09-13T19:35:35Z,2024-08-12T19:10:36Z,2011-09-30T18:46:40Z,,1200,4,4,C,True,True,True,True,False,False,5,,False,False,0,True,False,False,[],public,5,0,4,master,lanl,585305,MDEyOk9yZ2FuaXphdGlvbjU4NTMwNQ==,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
3539447,MDEwOlJlcG9zaXRvcnkzNTM5NDQ3,PISTON,lanl/PISTON,False,https://github.com/lanl/PISTON,A Portable Cross-Platform Framework for Data-Parallel Visualization Operators,False,https://api.github.com/repos/lanl/PISTON,2012-02-24T20:32:31Z,2024-08-12T19:10:48Z,2013-10-12T21:52:15Z,http://viz.lanl.gov/projects/PISTON.html,817,25,25,C++,True,True,True,True,False,False,9,,False,False,1,True,False,False,[],public,9,1,25,master,lanl,585305,MDEyOk9yZ2FuaXphdGlvbjU4NTMwNQ==,Organization,public,False,,,,,,False,False,False,False,True,
3978649,MDEwOlJlcG9zaXRvcnkzOTc4NjQ5,CLAMR,lanl/CLAMR,False,https://github.com/lanl/CLAMR,Cell-Based Adaptive Mesh Refinement,False,https://api.github.com/repos/lanl/CLAMR,2012-04-10T03:45:50Z,2024-11-21T09:01:40Z,2021-05-05T18:44:34Z,,43525,76,76,C++,True,True,True,True,True,False,28,,False,False,2,True,False,False,[],public,28,2,76,master,lanl,585305,MDEyOk9yZ2FuaXphdGlvbjU4NTMwNQ==,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
4000578,MDEwOlJlcG9zaXRvcnk0MDAwNTc4,ExascaleDocs,lanl/ExascaleDocs,False,https://github.com/lanl/ExascaleDocs,Exascale papers and presentations,False,https://api.github.com/repos/lanl/ExascaleDocs,2012-04-12T02:23:36Z,2024-08-12T19:10:53Z,2019-04-16T00:29:17Z,,73460,20,20,Shell,True,True,True,True,False,False,2,,False,False,0,True,False,False,[],public,2,0,20,master,lanl,585305,MDEyOk9yZ2FuaXphdGlvbjU4NTMwNQ==,Organization,public,False,,,,,,False,False,False,False,True,
