id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,license,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull,license.key,license.name,license.spdx_id,license.url,license.node_id
61151126,MDEwOlJlcG9zaXRvcnk2MTE1MTEyNg==,berkeley-data-cloud,lbl-anp/berkeley-data-cloud,False,https://github.com/lbl-anp/berkeley-data-cloud,This is the public repo for the Berkeley Data Cloud software. This software powers the Data Service portal for multiple projects. More details at http://bdc.lbl.gov/,False,https://api.github.com/repos/lbl-anp/berkeley-data-cloud,2016-06-14T19:46:14Z,2016-06-14T19:46:14Z,2016-06-14T19:46:14Z,,0,0,0,,True,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,0,master,lbl-anp,2237126,MDEyOk9yZ2FuaXphdGlvbjIyMzcxMjY=,Organization,public,False,False,False,False,False,True,,,,,
70008066,MDEwOlJlcG9zaXRvcnk3MDAwODA2Ng==,becquerel,lbl-anp/becquerel,False,https://github.com/lbl-anp/becquerel,Becquerel is a Python package for analyzing nuclear spectroscopic measurements.,False,https://api.github.com/repos/lbl-anp/becquerel,2016-10-04T21:30:59Z,2024-11-13T15:29:30Z,2024-10-16T01:30:52Z,,34510,45,45,Python,True,True,True,True,False,False,16,,False,False,54,,True,False,False,"['gamma-ray', 'nuclear-physics', 'python', 'spectroscopy']",public,16,54,45,main,lbl-anp,2237126,MDEyOk9yZ2FuaXphdGlvbjIyMzcxMjY=,Organization,public,False,False,False,False,False,True,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=
103486965,MDEwOlJlcG9zaXRvcnkxMDM0ODY5NjU=,vectornav,lbl-anp/vectornav,False,https://github.com/lbl-anp/vectornav,ROS Interface for the VectorNav IMU/GPS,True,https://api.github.com/repos/lbl-anp/vectornav,2017-09-14T04:46:42Z,2022-10-29T05:59:25Z,2020-08-27T20:39:06Z,,4409,1,1,C++,False,True,True,True,False,False,1,,False,False,0,,True,False,False,[],public,1,0,1,master,lbl-anp,2237126,MDEyOk9yZ2FuaXphdGlvbjIyMzcxMjY=,Organization,public,False,False,False,False,False,True,,,,,
104129108,MDEwOlJlcG9zaXRvcnkxMDQxMjkxMDg=,robot_localization,lbl-anp/robot_localization,False,https://github.com/lbl-anp/robot_localization,"robot_localization is a package of nonlinear state estimation nodes. The package was developed by Charles River Analytics, Inc.",True,https://api.github.com/repos/lbl-anp/robot_localization,2017-09-19T21:11:27Z,2017-09-19T21:11:29Z,2017-09-20T22:12:58Z,www.cra.com,14814,0,0,C++,False,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,0,kinetic-devel,lbl-anp,2237126,MDEyOk9yZ2FuaXphdGlvbjIyMzcxMjY=,Organization,public,False,False,False,False,False,True,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=
138515108,MDEwOlJlcG9zaXRvcnkxMzg1MTUxMDg=,GammaRayImagingWorkshop_EBSS2018,lbl-anp/GammaRayImagingWorkshop_EBSS2018,False,https://github.com/lbl-anp/GammaRayImagingWorkshop_EBSS2018,High resolution gamma-ray imaging workshop for the Exotic Beams Summer School 2018 @ Lawrence Berkeley National Lab,False,https://api.github.com/repos/lbl-anp/GammaRayImagingWorkshop_EBSS2018,2018-06-24T21:01:57Z,2024-03-13T05:33:18Z,2019-04-10T17:03:55Z,,36,5,5,Jupyter Notebook,True,True,True,True,False,False,6,,False,False,0,,True,False,False,[],public,6,0,5,master,lbl-anp,2237126,MDEyOk9yZ2FuaXphdGlvbjIyMzcxMjY=,Organization,public,False,False,False,False,False,True,bsd-3-clause,"BSD 3-Clause ""New"" or ""Revised"" License",BSD-3-Clause,https://api.github.com/licenses/bsd-3-clause,MDc6TGljZW5zZTU=
145482216,MDEwOlJlcG9zaXRvcnkxNDU0ODIyMTY=,camera_aravis,lbl-anp/camera_aravis,False,https://github.com/lbl-anp/camera_aravis,ROS Camera Driver for GigE Cameras,True,https://api.github.com/repos/lbl-anp/camera_aravis,2018-08-20T23:51:33Z,2020-07-28T20:35:52Z,2018-10-27T00:04:09Z,,125,0,0,C++,False,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,0,master,lbl-anp,2237126,MDEyOk9yZ2FuaXphdGlvbjIyMzcxMjY=,Organization,public,False,False,False,False,False,True,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=
149794634,MDEwOlJlcG9zaXRvcnkxNDk3OTQ2MzQ=,GammaRayTrackingSchool_2018,lbl-anp/GammaRayTrackingSchool_2018,False,https://github.com/lbl-anp/GammaRayTrackingSchool_2018,Gamma Ray Tracking School,False,https://api.github.com/repos/lbl-anp/GammaRayTrackingSchool_2018,2018-09-21T17:16:34Z,2020-12-09T15:30:54Z,2018-10-01T19:47:22Z,,942,2,2,Jupyter Notebook,True,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,2,master,lbl-anp,2237126,MDEyOk9yZ2FuaXphdGlvbjIyMzcxMjY=,Organization,public,False,False,False,False,False,True,,,,,
150663656,MDEwOlJlcG9zaXRvcnkxNTA2NjM2NTY=,cartographer,lbl-anp/cartographer,False,https://github.com/lbl-anp/cartographer,Cartographer is a system that provides real-time simultaneous localization and mapping (SLAM) in 2D and 3D across multiple platforms and sensor configurations.,True,https://api.github.com/repos/lbl-anp/cartographer,2018-09-28T00:34:04Z,2022-03-09T19:01:00Z,2022-03-09T19:00:48Z,,5939,0,0,C++,False,True,False,False,False,False,0,,False,False,1,,True,False,False,[],public,0,1,0,master,lbl-anp,2237126,MDEyOk9yZ2FuaXphdGlvbjIyMzcxMjY=,Organization,public,False,False,False,False,False,True,apache-2.0,Apache License 2.0,Apache-2.0,https://api.github.com/licenses/apache-2.0,MDc6TGljZW5zZTI=
153665222,MDEwOlJlcG9zaXRvcnkxNTM2NjUyMjI=,advanced_navigation_driver,lbl-anp/advanced_navigation_driver,False,https://github.com/lbl-anp/advanced_navigation_driver,ROS driver for Advanced Navigation devices,True,https://api.github.com/repos/lbl-anp/advanced_navigation_driver,2018-10-18T17:55:55Z,2018-10-18T17:56:16Z,2018-12-11T01:11:04Z,,61,0,0,C,False,True,True,True,False,False,0,,False,False,1,,True,False,False,[],public,0,1,0,master,lbl-anp,2237126,MDEyOk9yZ2FuaXphdGlvbjIyMzcxMjY=,Organization,public,False,False,False,False,False,True,mit,MIT License,MIT,https://api.github.com/licenses/mit,MDc6TGljZW5zZTEz
154385436,MDEwOlJlcG9zaXRvcnkxNTQzODU0MzY=,pylon_camera,lbl-anp/pylon_camera,False,https://github.com/lbl-anp/pylon_camera,ROS-Driver for Basler Cameras,True,https://api.github.com/repos/lbl-anp/pylon_camera,2018-10-23T19:30:31Z,2018-10-23T19:30:34Z,2018-09-07T15:33:12Z,,1150,0,0,C++,False,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,0,indigo-devel,lbl-anp,2237126,MDEyOk9yZ2FuaXphdGlvbjIyMzcxMjY=,Organization,public,False,False,False,False,False,True,bsd-3-clause,"BSD 3-Clause ""New"" or ""Revised"" License",BSD-3-Clause,https://api.github.com/licenses/bsd-3-clause,MDc6TGljZW5zZTU=
