id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,license.key,license.name,license.spdx_id,license.url,license.node_id,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull,license
74422837,MDEwOlJlcG9zaXRvcnk3NDQyMjgzNw==,tabletools,maragkakislab/tabletools,False,https://github.com/maragkakislab/tabletools,Miscellaneous scripts for manipulating table files,False,https://api.github.com/repos/maragkakislab/tabletools,2016-11-22T01:43:04Z,2024-09-27T16:02:28Z,2024-09-27T16:02:24Z,,51,0,0,Python,True,True,True,True,False,False,5,,False,False,0,True,False,False,[],public,5,0,0,master,maragkakislab,66754119,MDEyOk9yZ2FuaXphdGlvbjY2NzU0MTE5,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
143456025,MDEwOlJlcG9zaXRvcnkxNDM0NTYwMjU=,samql,maragkakislab/samql,False,https://github.com/maragkakislab/samql,SQL-like query language for the SAM/BAM file format,False,https://api.github.com/repos/maragkakislab/samql,2018-08-03T17:36:30Z,2024-07-22T12:02:00Z,2023-09-20T16:58:03Z,,67,26,26,Go,True,True,True,True,False,False,5,,False,False,0,True,False,False,"['bam', 'bioinformatics', 'go', 'sam', 'sequencing', 'sql']",public,5,0,26,master,maragkakislab,66754119,MDEyOk9yZ2FuaXphdGlvbjY2NzU0MTE5,Organization,public,False,mit,MIT License,MIT,https://api.github.com/licenses/mit,MDc6TGljZW5zZTEz,False,False,False,False,True,
192438515,MDEwOlJlcG9zaXRvcnkxOTI0Mzg1MTU=,samutils,maragkakislab/samutils,False,https://github.com/maragkakislab/samutils,Standalone utility scripts for manipulating SAM files,False,https://api.github.com/repos/maragkakislab/samutils,2019-06-18T00:45:01Z,2020-12-10T01:03:12Z,2020-12-10T01:03:09Z,,19,0,0,Perl,True,True,True,True,False,False,2,,False,False,0,True,False,False,[],public,2,0,0,master,maragkakislab,66754119,MDEyOk9yZ2FuaXphdGlvbjY2NzU0MTE5,Organization,public,False,,,,,,False,False,False,False,True,
192443753,MDEwOlJlcG9zaXRvcnkxOTI0NDM3NTM=,bioutils,maragkakislab/bioutils,False,https://github.com/maragkakislab/bioutils,Standalone utility scripts for bioinformatics,False,https://api.github.com/repos/maragkakislab/bioutils,2019-06-18T01:33:44Z,2024-03-13T05:34:24Z,2022-02-28T13:55:34Z,,14,1,1,Perl,True,True,True,True,False,False,4,,False,False,0,True,False,False,[],public,4,0,1,master,maragkakislab,66754119,MDEyOk9yZ2FuaXphdGlvbjY2NzU0MTE5,Organization,public,False,,,,,,False,False,False,False,True,
375820851,MDEwOlJlcG9zaXRvcnkzNzU4MjA4NTE=,nanoplen,maragkakislab/nanoplen,False,https://github.com/maragkakislab/nanoplen,"Package for the analysis of the nanopore read lengths,  e.g. to calculate the significant differential transcript length.",False,https://api.github.com/repos/maragkakislab/nanoplen,2021-06-10T20:19:20Z,2024-12-12T00:34:33Z,2024-12-12T00:34:27Z,,8508,1,1,R,True,True,True,True,False,False,2,,False,False,0,True,False,False,[],public,2,0,1,main,maragkakislab,66754119,MDEyOk9yZ2FuaXphdGlvbjY2NzU0MTE5,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
525058772,R_kgDOH0vC1A,rnakinet-pub,maragkakislab/rnakinet-pub,False,https://github.com/maragkakislab/rnakinet-pub,,False,https://api.github.com/repos/maragkakislab/rnakinet-pub,2022-08-15T16:27:09Z,2024-08-29T21:35:12Z,2024-08-29T21:35:08Z,,474597,1,1,Python,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,1,master,maragkakislab,66754119,MDEyOk9yZ2FuaXphdGlvbjY2NzU0MTE5,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
560624053,R_kgDOIWpxtQ,mouse_liver,maragkakislab/mouse_liver,False,https://github.com/maragkakislab/mouse_liver,Collaboration with Payel Sen,False,https://api.github.com/repos/maragkakislab/mouse_liver,2022-11-01T22:44:03Z,2022-12-10T16:21:31Z,2022-12-15T17:35:47Z,,74,0,0,Python,True,True,True,True,False,False,1,,False,False,0,True,False,False,[],public,1,0,0,main,maragkakislab,66754119,MDEyOk9yZ2FuaXphdGlvbjY2NzU0MTE5,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
630663379,R_kgDOJZco0w,senescence-omics,maragkakislab/senescence-omics,False,https://github.com/maragkakislab/senescence-omics,"Source code for manuscript ""Senescence-specific translation dysregulation desensitizes cells to stress by inhibiting activation of the integrated stress response""",False,https://api.github.com/repos/maragkakislab/senescence-omics,2023-04-20T21:52:22Z,2023-04-20T22:48:17Z,2023-04-20T22:48:13Z,,21,0,0,R,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,main,maragkakislab,66754119,MDEyOk9yZ2FuaXphdGlvbjY2NzU0MTE5,Organization,public,False,,,,,,False,False,False,False,True,
642075870,R_kgDOJkVM3g,Hackathon202305,maragkakislab/Hackathon202305,False,https://github.com/maragkakislab/Hackathon202305,Our first hackathon! Training for mRNA decay rates,False,https://api.github.com/repos/maragkakislab/Hackathon202305,2023-05-17T19:09:27Z,2023-05-23T16:10:33Z,2023-05-24T01:59:59Z,,44545,0,0,Jupyter Notebook,True,True,True,False,False,False,1,,False,False,0,True,False,False,[],public,1,0,0,main,maragkakislab,66754119,MDEyOk9yZ2FuaXphdGlvbjY2NzU0MTE5,Organization,public,False,,,,,,False,False,False,False,True,
713953099,R_kgDOKo4PSw,rnakinet,maragkakislab/rnakinet,False,https://github.com/maragkakislab/rnakinet,RNAkinet: Detect 5eu-modified reads directly from the raw nanopore sequencing signal to quantify RNA kinetics,False,https://api.github.com/repos/maragkakislab/rnakinet,2023-11-03T15:33:04Z,2024-11-03T12:37:00Z,2024-09-04T20:09:46Z,,448945,4,4,Python,True,True,True,False,False,False,0,,False,False,0,True,False,False,[],public,0,0,4,master,maragkakislab,66754119,MDEyOk9yZ2FuaXphdGlvbjY2NzU0MTE5,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
