id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,license,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull
3401559,MDEwOlJlcG9zaXRvcnkzNDAxNTU5,METS-schematron,mets/METS-schematron,False,https://github.com/mets/METS-schematron,Schematron schemas for checking METS usage.,True,https://api.github.com/repos/mets/METS-schematron,2012-02-09T21:37:58Z,2014-06-18T22:03:47Z,2012-02-10T21:43:38Z,,96,3,3,,False,True,True,True,False,False,1,,False,False,0,,True,False,False,[],public,1,0,3,master,mets,1423664,MDEyOk9yZ2FuaXphdGlvbjE0MjM2NjQ=,Organization,public,False,False,False,False,False,True
6280339,MDEwOlJlcG9zaXRvcnk2MjgwMzM5,METS-board,mets/METS-board,False,https://github.com/mets/METS-board,Documents and wiki pages relevant to the business of the METS Editorial Board,False,https://api.github.com/repos/mets/METS-board,2012-10-18T14:54:21Z,2024-08-09T10:11:14Z,2024-08-09T10:11:11Z,,70662,14,14,HTML,True,True,True,True,False,False,6,,False,False,8,,True,False,False,[],public,6,8,14,master,mets,1423664,MDEyOk9yZ2FuaXphdGlvbjE0MjM2NjQ=,Organization,public,False,False,False,False,False,True
6507900,MDEwOlJlcG9zaXRvcnk2NTA3OTAw,METS-schema,mets/METS-schema,False,https://github.com/mets/METS-schema,METS 1.x and (draft) METS 2 schemas,False,https://api.github.com/repos/mets/METS-schema,2012-11-02T15:10:50Z,2024-07-19T04:53:19Z,2024-12-11T08:53:09Z,https://www.loc.gov/standards/mets/,393,21,21,Shell,True,True,True,True,False,False,2,,False,False,6,,True,False,False,[],public,2,6,21,main,mets,1423664,MDEyOk9yZ2FuaXphdGlvbjE0MjM2NjQ=,Organization,public,False,False,False,False,False,True
7896006,MDEwOlJlcG9zaXRvcnk3ODk2MDA2,METS2,mets/METS2,False,https://github.com/mets/METS2,METS 2 Schema Design,False,https://api.github.com/repos/mets/METS2,2013-01-29T16:24:05Z,2024-07-10T01:52:40Z,2023-07-06T15:47:06Z,,7355,7,7,,True,True,True,True,False,False,2,,True,False,0,,True,False,False,[],public,2,0,7,master,mets,1423664,MDEyOk9yZ2FuaXphdGlvbjE0MjM2NjQ=,Organization,public,False,False,False,False,False,True
28878761,MDEwOlJlcG9zaXRvcnkyODg3ODc2MQ==,METS-profiles,mets/METS-profiles,False,https://github.com/mets/METS-profiles,New METS Profiles will be kept here until they are uploaded to LoC,False,https://api.github.com/repos/mets/METS-profiles,2015-01-06T19:07:41Z,2022-05-08T09:02:32Z,2024-03-26T19:51:19Z,,591,5,5,HTML,True,True,True,True,False,False,1,,False,False,3,,True,False,False,[],public,1,3,5,master,mets,1423664,MDEyOk9yZ2FuaXphdGlvbjE0MjM2NjQ=,Organization,public,False,False,False,False,False,True
76677525,MDEwOlJlcG9zaXRvcnk3NjY3NzUyNQ==,mets.github.io,mets/mets.github.io,False,https://github.com/mets/mets.github.io,METS github landing page,False,https://api.github.com/repos/mets/mets.github.io,2016-12-16T18:50:28Z,2024-12-12T22:41:55Z,2024-12-12T22:41:51Z,,20077,0,0,HTML,True,True,True,True,True,False,0,,False,False,0,,True,False,False,[],public,0,0,0,main,mets,1423664,MDEyOk9yZ2FuaXphdGlvbjE0MjM2NjQ=,Organization,public,False,False,False,False,False,True
131904593,MDEwOlJlcG9zaXRvcnkxMzE5MDQ1OTM=,external-extender-schemas,mets/external-extender-schemas,False,https://github.com/mets/external-extender-schemas,External schemas are schemas that define an XML vocabulary and syntax appropriate for use in conjunction with METS in its descriptive and administrative metadata contexts.,False,https://api.github.com/repos/mets/external-extender-schemas,2018-05-02T20:51:09Z,2018-05-03T15:32:48Z,2018-05-03T15:32:47Z,,83,0,0,,True,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,0,master,mets,1423664,MDEyOk9yZ2FuaXphdGlvbjE0MjM2NjQ=,Organization,public,False,False,False,False,False,True
137380245,MDEwOlJlcG9zaXRvcnkxMzczODAyNDU=,METS-Rights-Schema,mets/METS-Rights-Schema,False,https://github.com/mets/METS-Rights-Schema,"This schema allows the documentation of minimal administrative metadata about the intellectual rights associated with a digital object or its parts, and is to be used as an extension to the Metadata Encoding and Transmission Standard (METS).  ",False,https://api.github.com/repos/mets/METS-Rights-Schema,2018-06-14T16:01:11Z,2018-06-14T16:30:44Z,2018-06-14T16:30:41Z,,7,0,0,,True,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,0,master,mets,1423664,MDEyOk9yZ2FuaXphdGlvbjE0MjM2NjQ=,Organization,public,False,False,False,False,False,True
690247301,R_kgDOKSRWhQ,METS1to2,mets/METS1to2,False,https://github.com/mets/METS1to2,XSLT transformation from METS 1 to METS 2,False,https://api.github.com/repos/mets/METS1to2,2023-09-11T20:30:33Z,2023-09-19T15:04:51Z,2023-09-19T15:04:21Z,,5,1,1,XSLT,True,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,1,main,mets,1423664,MDEyOk9yZ2FuaXphdGlvbjE0MjM2NjQ=,Organization,public,False,False,False,False,False,True
777950601,R_kgDOLl6ViQ,METS-primer,mets/METS-primer,False,https://github.com/mets/METS-primer,"Documentation for METS 2, updated from primer for METS 1",False,https://api.github.com/repos/mets/METS-primer,2024-03-26T19:59:16Z,2024-12-12T22:11:17Z,2024-12-12T22:11:12Z,,247,2,2,Shell,True,True,True,True,True,False,1,,False,False,15,,True,False,False,[],public,1,15,2,main,mets,1423664,MDEyOk9yZ2FuaXphdGlvbjE0MjM2NjQ=,Organization,public,False,False,False,False,False,True
