id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,license.key,license.name,license.spdx_id,license.url,license.node_id,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull,license
14879092,MDEwOlJlcG9zaXRvcnkxNDg3OTA5Mg==,gibs-web-examples,nasa-gibs/gibs-web-examples,False,https://github.com/nasa-gibs/gibs-web-examples,Examples of using GIBS with various web mapping libraries,False,https://api.github.com/repos/nasa-gibs/gibs-web-examples,2013-12-03T00:25:20Z,2024-10-23T20:25:19Z,2024-10-23T21:27:05Z,,29156,188,188,JavaScript,True,True,True,True,True,False,71,,False,False,4,True,False,False,[],public,71,4,188,main,nasa-gibs,6089130,MDEyOk9yZ2FuaXphdGlvbjYwODkxMzA=,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
14939581,MDEwOlJlcG9zaXRvcnkxNDkzOTU4MQ==,onearth,nasa-gibs/onearth,False,https://github.com/nasa-gibs/onearth,High-performance web services for tiled raster imagery and vector tiles,False,https://api.github.com/repos/nasa-gibs/onearth,2013-12-05T00:08:57Z,2024-12-16T22:42:31Z,2024-12-17T02:33:47Z,,298602,178,178,Python,True,True,True,True,False,False,48,,False,False,2,True,False,False,[],public,48,2,178,main,nasa-gibs,6089130,MDEyOk9yZ2FuaXphdGlvbjYwODkxMzA=,Organization,public,False,apache-2.0,Apache License 2.0,Apache-2.0,https://api.github.com/licenses/apache-2.0,MDc6TGljZW5zZTI=,False,False,False,False,True,
19028976,MDEwOlJlcG9zaXRvcnkxOTAyODk3Ng==,worldview,nasa-gibs/worldview,False,https://github.com/nasa-gibs/worldview,"Interactive interface for browsing global, full-resolution satellite imagery",False,https://api.github.com/repos/nasa-gibs/worldview,2014-04-22T12:37:53Z,2024-12-17T17:44:48Z,2024-12-17T20:10:03Z,https://worldview.earthdata.nasa.gov/,574428,711,711,JavaScript,True,True,True,False,False,False,188,,False,False,9,True,False,False,"['data-visualization', 'earth-science', 'hacktoberfest', 'nasa', 'nasa-gibs', 'satellite-imagery', 'web-mapping']",public,188,9,711,main,nasa-gibs,6089130,MDEyOk9yZ2FuaXphdGlvbjYwODkxMzA=,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
19548125,MDEwOlJlcG9zaXRvcnkxOTU0ODEyNQ==,worldview-options-eosdis,nasa-gibs/worldview-options-eosdis,False,https://github.com/nasa-gibs/worldview-options-eosdis,Configuration and branding for NASA EOSDIS Worldview,False,https://api.github.com/repos/nasa-gibs/worldview-options-eosdis,2014-05-07T19:51:31Z,2023-01-28T19:40:28Z,2018-11-15T16:32:48Z,,5166,9,9,,True,True,True,True,False,False,16,,True,False,0,True,False,False,[],public,16,0,9,master,nasa-gibs,6089130,MDEyOk9yZ2FuaXphdGlvbjYwODkxMzA=,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
19584716,MDEwOlJlcG9zaXRvcnkxOTU4NDcxNg==,worldview-options-template,nasa-gibs/worldview-options-template,False,https://github.com/nasa-gibs/worldview-options-template,Generic branding with basic configuration,False,https://api.github.com/repos/nasa-gibs/worldview-options-template,2014-05-08T18:41:56Z,2023-01-28T15:56:55Z,2016-10-11T17:47:42Z,,13,2,2,HTML,True,True,True,True,False,False,11,,True,False,0,True,False,False,[],public,11,0,2,master,nasa-gibs,6089130,MDEyOk9yZ2FuaXphdGlvbjYwODkxMzA=,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
20277636,MDEwOlJlcG9zaXRvcnkyMDI3NzYzNg==,mrf,nasa-gibs/mrf,False,https://github.com/nasa-gibs/mrf,GDAL-compatible file format driver designed for fast access to imagery,False,https://api.github.com/repos/nasa-gibs/mrf,2014-05-29T00:51:27Z,2024-12-17T18:29:31Z,2024-11-07T00:45:56Z,,1959,79,79,Python,True,True,True,True,False,False,22,,False,False,12,True,False,False,[],public,22,12,79,master,nasa-gibs,6089130,MDEyOk9yZ2FuaXphdGlvbjYwODkxMzA=,Organization,public,False,apache-2.0,Apache License 2.0,Apache-2.0,https://api.github.com/licenses/apache-2.0,MDc6TGljZW5zZTI=,False,False,False,False,True,
28867903,MDEwOlJlcG9zaXRvcnkyODg2NzkwMw==,ol3,nasa-gibs/ol3,False,https://github.com/nasa-gibs/ol3,OpenLayers 3,True,https://api.github.com/repos/nasa-gibs/ol3,2015-01-06T14:52:57Z,2023-01-28T15:56:55Z,2015-06-23T12:37:24Z,http://openlayers.org,28377,3,3,JavaScript,False,True,True,True,False,False,7,,True,False,0,True,False,False,[],public,7,0,3,worldview,nasa-gibs,6089130,MDEyOk9yZ2FuaXphdGlvbjYwODkxMzA=,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
32094079,MDEwOlJlcG9zaXRvcnkzMjA5NDA3OQ==,worldview-design,nasa-gibs/worldview-design,False,https://github.com/nasa-gibs/worldview-design,Wireframes and designs for NASA Worldview,False,https://api.github.com/repos/nasa-gibs/worldview-design,2015-03-12T18:23:07Z,2022-11-07T14:26:39Z,2018-02-02T23:38:51Z,,509877,17,17,JavaScript,True,True,True,True,True,False,11,,False,False,1,True,False,False,[],public,11,1,17,master,nasa-gibs,6089130,MDEyOk9yZ2FuaXphdGlvbjYwODkxMzA=,Organization,public,False,agpl-3.0,GNU Affero General Public License v3.0,AGPL-3.0,https://api.github.com/licenses/agpl-3.0,MDc6TGljZW5zZTE=,False,False,False,False,True,
35219757,MDEwOlJlcG9zaXRvcnkzNTIxOTc1Nw==,data-curtains,nasa-gibs/data-curtains,False,https://github.com/nasa-gibs/data-curtains,Exploring data curtains using Cesium,False,https://api.github.com/repos/nasa-gibs/data-curtains,2015-05-07T12:50:08Z,2024-06-03T15:39:27Z,2021-04-07T01:30:03Z,,131834,22,22,JavaScript,True,True,True,True,True,False,11,,False,False,1,True,False,False,[],public,11,1,22,master,nasa-gibs,6089130,MDEyOk9yZ2FuaXphdGlvbjYwODkxMzA=,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
36461248,MDEwOlJlcG9zaXRvcnkzNjQ2MTI0OA==,onearth-boxes,nasa-gibs/onearth-boxes,False,https://github.com/nasa-gibs/onearth-boxes,OnEarth VM,False,https://api.github.com/repos/nasa-gibs/onearth-boxes,2015-05-28T19:30:03Z,2023-01-28T09:42:46Z,2019-05-14T02:03:08Z,,126063,18,18,Shell,True,True,True,True,False,False,10,,True,False,0,True,False,False,[],public,10,0,18,master,nasa-gibs,6089130,MDEyOk9yZ2FuaXphdGlvbjYwODkxMzA=,Organization,public,False,apache-2.0,Apache License 2.0,Apache-2.0,https://api.github.com/licenses/apache-2.0,MDc6TGljZW5zZTI=,False,False,False,False,True,
53611695,MDEwOlJlcG9zaXRvcnk1MzYxMTY5NQ==,tie,nasa-gibs/tie,False,https://github.com/nasa-gibs/tie,(DEPRECATED) The Imagery Exchange is the data management and workflow system for imagery capturing and generation,False,https://api.github.com/repos/nasa-gibs/tie,2016-03-10T19:38:49Z,2023-01-28T19:51:13Z,2017-02-14T00:34:58Z,,8542,6,6,Groovy,True,True,True,True,False,False,3,,True,False,0,True,False,False,[],public,3,0,6,master,nasa-gibs,6089130,MDEyOk9yZ2FuaXphdGlvbjYwODkxMzA=,Organization,public,False,apache-2.0,Apache License 2.0,Apache-2.0,https://api.github.com/licenses/apache-2.0,MDc6TGljZW5zZTI=,False,False,False,False,True,
61812218,MDEwOlJlcG9zaXRvcnk2MTgxMjIxOA==,reference-layer-styles,nasa-gibs/reference-layer-styles,False,https://github.com/nasa-gibs/reference-layer-styles,"Reference Layer Styles (e.g. Coastlines, Admin Boundaries, Roads)",False,https://api.github.com/repos/nasa-gibs/reference-layer-styles,2016-06-23T14:36:54Z,2023-01-28T12:25:20Z,2016-09-23T21:28:33Z,,2597,0,0,CartoCSS,True,True,True,True,False,False,3,,True,False,0,True,False,False,[],public,3,0,0,master,nasa-gibs,6089130,MDEyOk9yZ2FuaXphdGlvbjYwODkxMzA=,Organization,public,False,,,,,,False,False,False,False,True,
65206953,MDEwOlJlcG9zaXRvcnk2NTIwNjk1Mw==,worldview-components,nasa-gibs/worldview-components,False,https://github.com/nasa-gibs/worldview-components,Modular components used with NASA Worldview,False,https://api.github.com/repos/nasa-gibs/worldview-components,2016-08-08T13:36:30Z,2023-01-28T19:58:51Z,2018-09-25T16:37:11Z,,1158,6,6,JavaScript,True,True,True,True,False,False,3,,True,False,0,True,False,False,"['archived', 'deprecated']",public,3,0,6,master,nasa-gibs,6089130,MDEyOk9yZ2FuaXphdGlvbjYwODkxMzA=,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
