id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,license.key,license.name,license.spdx_id,license.url,license.node_id,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull,license
2150215,MDEwOlJlcG9zaXRvcnkyMTUwMjE1,DAVEtools,nasa/DAVEtools,False,https://github.com/nasa/DAVEtools,"A Java package, nominally built in NetBeans, that allows use of DAVE-ML simulation models within tools such as Mathwork's Simulink(R) and Matlab(R) products",False,https://api.github.com/repos/nasa/DAVEtools,2011-08-03T18:39:10Z,2024-08-22T08:18:18Z,2015-03-02T15:31:13Z,http://www.daveml.org,65944,31,31,Java,True,True,True,True,False,False,22,,False,False,0,True,False,False,"['test1', 'test2']",public,22,0,31,master,nasa,848102,MDEyOk9yZ2FuaXphdGlvbjg0ODEwMg==,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
3043479,MDEwOlJlcG9zaXRvcnkzMDQzNDc5,World-Wind-Java,nasa/World-Wind-Java,False,https://github.com/nasa/World-Wind-Java,"World Wind, an open source 3D interactive world viewer, was created by NASA's Learning Technologies project, and released in mid-2004. It is now developed by NASA staff and open source community developers.",False,https://api.github.com/repos/nasa/World-Wind-Java,2011-12-24T03:21:15Z,2024-12-06T16:36:53Z,2020-10-03T03:32:04Z,http://worldwind.arc.nasa.gov/java/,88323,332,332,C++,True,True,True,True,False,False,160,,False,False,14,True,False,False,[],public,160,14,332,master,nasa,848102,MDEyOk9yZ2FuaXphdGlvbjg0ODEwMg==,Organization,public,False,,,,,,False,False,False,False,True,
3063999,MDEwOlJlcG9zaXRvcnkzMDYzOTk5,OpenMDAO-Framework,nasa/OpenMDAO-Framework,False,https://github.com/nasa/OpenMDAO-Framework,"OpenMDAO is an open-source Multidisciplinary Design Analysis and Optimization (MDAO) framework, written in Python. It helps users solve complex problems by allowing them to link together analysis codes from multiple disciplines at multiple levels of fidelity.  The development effort for OpenMDAO is being led out of the NASA Glenn Research Center in the MDAO branch. The development effort is being funded by the Fundamental Aeronautic Program, Subsonic Fixe Wing project. The ultimate goal is to provide a flexible common analysis platform that can be shared between industry, academia, and government.",True,https://api.github.com/repos/nasa/OpenMDAO-Framework,2011-12-28T17:34:37Z,2024-10-16T04:11:01Z,2015-05-06T13:44:26Z,openmdao.org,92883,143,143,Python,False,True,True,True,False,False,37,,False,False,0,True,False,False,[],public,37,0,143,dev,nasa,848102,MDEyOk9yZ2FuaXphdGlvbjg0ODEwMg==,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
3071996,MDEwOlJlcG9zaXRvcnkzMDcxOTk2,visionworkbench,nasa/visionworkbench,False,https://github.com/nasa/visionworkbench,The NASA Vision Workbench is a general purpose image processing and computer vision library developed by the Autonomous Systems and Robotics (ASR) Area in the Intelligent Systems Division at the NASA Ames Research Center.,True,https://api.github.com/repos/nasa/visionworkbench,2011-12-30T00:40:23Z,2024-08-20T07:06:03Z,2017-04-03T16:31:12Z,http://ti.arc.nasa.gov/project/nasa-vision-workbench/,24861,265,265,C++,False,True,True,True,False,False,61,,False,False,0,True,False,False,[],public,61,0,265,master,nasa,848102,MDEyOk9yZ2FuaXphdGlvbjg0ODEwMg==,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
3072001,MDEwOlJlcG9zaXRvcnkzMDcyMDAx,StereoPipeline,nasa/StereoPipeline,False,https://github.com/nasa/StereoPipeline,The NASA Ames Stereo Pipeline is a suite of automated geodesy & stereogrammetry tools designed for processing planetary imagery captured from orbiting and landed robotic explorers on other planets.,True,https://api.github.com/repos/nasa/StereoPipeline,2011-12-30T00:40:53Z,2024-10-11T19:27:36Z,2015-05-10T18:59:54Z,,73033,79,79,C++,False,True,True,True,False,False,31,,False,False,1,True,False,False,[],public,31,1,79,master,nasa,848102,MDEyOk9yZ2FuaXphdGlvbjg0ODEwMg==,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
3072005,MDEwOlJlcG9zaXRvcnkzMDcyMDA1,NASA-Space-Weather-Media-Viewer,nasa/NASA-Space-Weather-Media-Viewer,False,https://github.com/nasa/NASA-Space-Weather-Media-Viewer,Space Weather and the Sun.,False,https://api.github.com/repos/nasa/NASA-Space-Weather-Media-Viewer,2011-12-30T00:41:33Z,2024-12-06T17:00:17Z,2017-03-02T21:23:11Z,http://www.ideum.com/blog/category/nasa-2/,11878,54,54,,False,True,True,True,False,False,17,,False,False,1,True,False,False,[],public,17,1,54,master,nasa,848102,MDEyOk9yZ2FuaXphdGlvbjg0ODEwMg==,Organization,public,False,,,,,,False,False,False,False,True,
3291825,MDEwOlJlcG9zaXRvcnkzMjkxODI1,OpenVSP,nasa/OpenVSP,False,https://github.com/nasa/OpenVSP,A parametric aircraft geometry tool,True,https://api.github.com/repos/nasa/OpenVSP,2012-01-28T17:01:19Z,2024-04-19T14:41:39Z,2016-10-17T07:01:13Z,www.openvsp.org,2634,73,73,C++,True,True,True,True,False,False,47,,True,False,2,True,False,False,[],public,47,2,73,master,nasa,848102,MDEyOk9yZ2FuaXphdGlvbjg0ODEwMg==,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
3561837,MDEwOlJlcG9zaXRvcnkzNTYxODM3,CertWare,nasa/CertWare,False,https://github.com/nasa/CertWare,,False,https://api.github.com/repos/nasa/CertWare,2012-02-27T15:57:50Z,2024-08-22T08:17:35Z,2016-06-26T15:53:36Z,,794122,50,50,Java,True,True,True,True,True,False,37,,False,False,11,True,False,False,[],public,37,11,50,master,nasa,848102,MDEyOk9yZ2FuaXphdGlvbjg0ODEwMg==,Organization,public,False,,,,,,False,False,False,False,True,
4814601,MDEwOlJlcG9zaXRvcnk0ODE0NjAx,osal,nasa/osal,False,https://github.com/nasa/osal,The Core Flight System (cFS) Operating System Abstraction Layer (OSAL),False,https://api.github.com/repos/nasa/osal,2012-06-27T23:10:37Z,2024-12-13T02:01:20Z,2024-12-10T16:39:45Z,,13397,560,560,C,True,True,True,True,False,False,218,,False,False,159,True,False,False,[],public,218,159,560,main,nasa,848102,MDEyOk9yZ2FuaXphdGlvbjg0ODEwMg==,Organization,public,False,apache-2.0,Apache License 2.0,Apache-2.0,https://api.github.com/licenses/apache-2.0,MDc6TGljZW5zZTI=,False,False,False,False,True,
5531703,MDEwOlJlcG9zaXRvcnk1NTMxNzAz,digital-strategy,nasa/digital-strategy,False,https://github.com/nasa/digital-strategy,Machine-readable schema for NASA's response to the president's digital strategy.,False,https://api.github.com/repos/nasa/digital-strategy,2012-08-23T20:05:39Z,2024-10-04T21:26:55Z,2021-03-18T14:44:08Z,,297,39,39,HTML,True,True,True,True,False,False,35,,False,False,2,True,False,False,[],public,35,2,39,master,nasa,848102,MDEyOk9yZ2FuaXphdGlvbjg0ODEwMg==,Organization,public,False,,,,,,False,False,False,False,True,
