id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,license,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull,license.key,license.name,license.spdx_id,license.url,license.node_id
294194551,MDEwOlJlcG9zaXRvcnkyOTQxOTQ1NTE=,gold_parser,nimh-sfim/gold_parser,False,https://github.com/nimh-sfim/gold_parser,Extract metadata from TGZ archives generated by Oxygen/Gold for loading into Osmium,True,https://api.github.com/repos/nimh-sfim/gold_parser,2020-09-09T18:21:20Z,2020-09-09T18:21:22Z,2019-03-25T12:18:27Z,,72,0,0,,False,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,0,master,nimh-sfim,70591309,MDEyOk9yZ2FuaXphdGlvbjcwNTkxMzA5,Organization,public,False,False,False,False,False,True,,,,,
295821363,MDEwOlJlcG9zaXRvcnkyOTU4MjEzNjM=,egi-pynetstation,nimh-sfim/egi-pynetstation,False,https://github.com/nimh-sfim/egi-pynetstation,Python package to enable the use of a Python-based API for EGI's NetStation EEG amplifier interface.,False,https://api.github.com/repos/nimh-sfim/egi-pynetstation,2020-09-15T18:52:32Z,2024-08-17T08:29:58Z,2023-11-01T22:20:02Z,https://egi-pynetstation.readthedocs.io,1357,11,11,Python,True,True,True,True,True,False,7,,False,False,1,,True,False,False,[],public,7,1,11,main,nimh-sfim,70591309,MDEyOk9yZ2FuaXphdGlvbjcwNTkxMzA5,Organization,public,False,False,False,False,False,True,gpl-3.0,GNU General Public License v3.0,GPL-3.0,https://api.github.com/licenses/gpl-3.0,MDc6TGljZW5zZTk=
296398800,MDEwOlJlcG9zaXRvcnkyOTYzOTg4MDA=,PRJ_FAConn,nimh-sfim/PRJ_FAConn,False,https://github.com/nimh-sfim/PRJ_FAConn,Code for supplementary analysis on multiple flip angle data previously published as a pre-print by University of Allahabad ,True,https://api.github.com/repos/nimh-sfim/PRJ_FAConn,2020-09-17T17:39:02Z,2021-10-26T17:33:01Z,2021-10-26T17:32:58Z,,8951,0,0,Jupyter Notebook,False,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,0,master,nimh-sfim,70591309,MDEyOk9yZ2FuaXphdGlvbjcwNTkxMzA5,Organization,public,False,False,False,False,False,True,,,,,
309753452,MDEwOlJlcG9zaXRvcnkzMDk3NTM0NTI=,lab-docs,nimh-sfim/lab-docs,False,https://github.com/nimh-sfim/lab-docs,Lab documentation,False,https://api.github.com/repos/nimh-sfim/lab-docs,2020-11-03T17:03:16Z,2024-10-09T20:46:08Z,2024-10-09T20:46:04Z,,824,3,3,Vim Script,True,True,True,True,False,False,7,,False,False,1,,True,False,False,[],public,7,1,3,main,nimh-sfim,70591309,MDEyOk9yZ2FuaXphdGlvbjcwNTkxMzA5,Organization,public,False,False,False,False,False,True,cc0-1.0,Creative Commons Zero v1.0 Universal,CC0-1.0,https://api.github.com/licenses/cc0-1.0,MDc6TGljZW5zZTY=
318333950,MDEwOlJlcG9zaXRvcnkzMTgzMzM5NTA=,sfim_dcm_anon,nimh-sfim/sfim_dcm_anon,False,https://github.com/nimh-sfim/sfim_dcm_anon,Anonymizes dicom files coming from oxygen tarballs,False,https://api.github.com/repos/nimh-sfim/sfim_dcm_anon,2020-12-03T22:15:59Z,2020-12-14T23:16:24Z,2020-12-14T23:16:25Z,,18,0,0,Python,True,True,True,True,False,False,0,,False,False,1,,True,False,False,[],public,0,1,0,main,nimh-sfim,70591309,MDEyOk9yZ2FuaXphdGlvbjcwNTkxMzA5,Organization,public,False,False,False,False,False,True,gpl-2.0,GNU General Public License v2.0,GPL-2.0,https://api.github.com/licenses/gpl-2.0,MDc6TGljZW5zZTg=
348789581,MDEwOlJlcG9zaXRvcnkzNDg3ODk1ODE=,code-review-practice-2,nimh-sfim/code-review-practice-2,False,https://github.com/nimh-sfim/code-review-practice-2,For code review practice with group 2,False,https://api.github.com/repos/nimh-sfim/code-review-practice-2,2021-03-17T17:07:41Z,2021-03-18T17:06:31Z,2021-03-18T18:27:05Z,,3,0,0,,True,True,True,True,False,False,0,,False,False,2,,True,False,False,[],public,0,2,0,main,nimh-sfim,70591309,MDEyOk9yZ2FuaXphdGlvbjcwNTkxMzA5,Organization,public,False,False,False,False,False,True,,,,,
396944686,MDEwOlJlcG9zaXRvcnkzOTY5NDQ2ODY=,hcp7t_fv_sleep,nimh-sfim/hcp7t_fv_sleep,False,https://github.com/nimh-sfim/hcp7t_fv_sleep,"Code for ""Ultra-slow fluctuations in the fourth ventricle as a marker of drowsiness"" Gonzalez-Castillo et al. 2022 Neuroimage",False,https://api.github.com/repos/nimh-sfim/hcp7t_fv_sleep,2021-08-16T19:37:49Z,2024-10-11T04:26:32Z,2023-01-31T16:30:28Z,,43630,1,1,Jupyter Notebook,True,True,True,True,False,False,0,,False,False,0,,True,False,False,"['fmri', 'resting-state']",public,0,0,1,main,nimh-sfim,70591309,MDEyOk9yZ2FuaXphdGlvbjcwNTkxMzA5,Organization,public,False,False,False,False,False,True,,,,,
454923803,R_kgDOGx2WGw,ComplexMultiEcho1,nimh-sfim/ComplexMultiEcho1,False,https://github.com/nimh-sfim/ComplexMultiEcho1,,False,https://api.github.com/repos/nimh-sfim/ComplexMultiEcho1,2022-02-02T20:24:18Z,2023-11-24T20:26:42Z,2023-08-11T15:18:43Z,,102650,4,4,Python,True,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,4,main,nimh-sfim,70591309,MDEyOk9yZ2FuaXphdGlvbjcwNTkxMzA5,Organization,public,False,False,False,False,False,True,,,,,
505996616,R_kgDOHijlSA,manifold_learning_fmri,nimh-sfim/manifold_learning_fmri,False,https://github.com/nimh-sfim/manifold_learning_fmri,"Codigo asociado con el manuscrito: ""Manifold learning for fMRI time-varying functional connectivity"" publicado en Frontiers in Human Neuroscience",False,https://api.github.com/repos/nimh-sfim/manifold_learning_fmri,2022-06-21T20:38:11Z,2024-09-19T22:23:05Z,2023-05-31T15:10:53Z,https://www.frontiersin.org/articles/10.3389/fnhum.2023.1134012/full,223955,2,2,Jupyter Notebook,True,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,2,main,nimh-sfim,70591309,MDEyOk9yZ2FuaXphdGlvbjcwNTkxMzA5,Organization,public,False,False,False,False,False,True,,,,,
529291074,R_kgDOH4xXQg,SFIM_Frontiers_Neuroimaging_QC_Project,nimh-sfim/SFIM_Frontiers_Neuroimaging_QC_Project,False,https://github.com/nimh-sfim/SFIM_Frontiers_Neuroimaging_QC_Project,For the Frontiers in Neuroimaging special call for papers; code and instructions used for the project.,False,https://api.github.com/repos/nimh-sfim/SFIM_Frontiers_Neuroimaging_QC_Project,2022-08-26T14:31:49Z,2023-02-01T16:25:05Z,2023-03-06T20:03:45Z,,71,0,0,Shell,True,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,0,main,nimh-sfim,70591309,MDEyOk9yZ2FuaXphdGlvbjcwNTkxMzA5,Organization,public,False,False,False,False,False,True,mit,MIT License,MIT,https://api.github.com/licenses/mit,MDc6TGljZW5zZTEz
