id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,license.key,license.name,license.spdx_id,license.url,license.node_id,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull,license
54140768,MDEwOlJlcG9zaXRvcnk1NDE0MDc2OA==,utility,njoy/utility,False,https://github.com/njoy/utility,a repository for string and stream parsing routines and general purpose data types,False,https://api.github.com/repos/njoy/utility,2016-03-17T18:09:50Z,2020-10-29T15:41:08Z,2020-10-29T19:25:09Z,,289,0,0,C++,True,True,True,True,True,False,2,,False,False,2,True,False,False,['utility'],public,2,2,0,master,njoy,17747175,MDEyOk9yZ2FuaXphdGlvbjE3NzQ3MTc1,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
55441934,MDEwOlJlcG9zaXRvcnk1NTQ0MTkzNA==,math,njoy/math,False,https://github.com/njoy/math,A library providing mathematical abstractions encountered in nuclear data,False,https://api.github.com/repos/njoy/math,2016-04-04T20:20:07Z,2023-01-28T20:20:13Z,2018-07-24T19:19:20Z,,189,1,1,C++,True,True,True,True,False,False,0,,True,False,10,True,False,False,[],public,0,10,1,master,njoy,17747175,MDEyOk9yZ2FuaXphdGlvbjE3NzQ3MTc1,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
56833900,MDEwOlJlcG9zaXRvcnk1NjgzMzkwMA==,nuclearData,njoy/nuclearData,False,https://github.com/njoy/nuclearData,,False,https://api.github.com/repos/njoy/nuclearData,2016-04-22T07:04:34Z,2023-05-31T13:56:52Z,2017-01-03T15:13:09Z,,33,4,4,C++,True,True,True,True,True,False,0,,True,False,0,True,False,False,[],public,0,0,4,master,njoy,17747175,MDEyOk9yZ2FuaXphdGlvbjE3NzQ3MTc1,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
61145680,MDEwOlJlcG9zaXRvcnk2MTE0NTY4MA==,ENDFtk,njoy/ENDFtk,False,https://github.com/njoy/ENDFtk,Toolkit for reading and interacting with ENDF-6 formatted files,False,https://api.github.com/repos/njoy/ENDFtk,2016-06-14T18:17:43Z,2024-12-02T09:14:49Z,2024-10-29T01:39:48Z,,45106,35,35,C++,True,True,True,True,False,False,7,,False,False,14,True,False,False,"['endf', 'nuclear-data']",public,7,14,35,main,njoy,17747175,MDEyOk9yZ2FuaXphdGlvbjE3NzQ3MTc1,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
61583098,MDEwOlJlcG9zaXRvcnk2MTU4MzA5OA==,disco,njoy/disco,False,https://github.com/njoy/disco,A header-only library for parsing data in fixed-width ascii format,False,https://api.github.com/repos/njoy/disco,2016-06-20T21:57:26Z,2023-03-19T18:11:40Z,2022-09-27T20:54:37Z,,250,1,1,C++,True,True,True,True,False,False,4,,False,False,3,True,False,False,[],public,4,3,1,master,njoy,17747175,MDEyOk9yZ2FuaXphdGlvbjE3NzQ3MTc1,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
69891567,MDEwOlJlcG9zaXRvcnk2OTg5MTU2Nw==,metaconfigure,njoy/metaconfigure,False,https://github.com/njoy/metaconfigure,python scripts assisting in the generation of build system configuration files for NJOY21 projects,False,https://api.github.com/repos/njoy/metaconfigure,2016-10-03T17:00:31Z,2019-10-30T15:18:01Z,2019-10-30T15:17:58Z,https://www.njoy21.io/metaconfigure/,104,0,0,Python,True,True,True,True,True,False,1,,False,False,7,True,False,False,['cmake'],public,1,7,0,master,njoy,17747175,MDEyOk9yZ2FuaXphdGlvbjE3NzQ3MTc1,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
70206828,MDEwOlJlcG9zaXRvcnk3MDIwNjgyOA==,Log,njoy/Log,False,https://github.com/njoy/Log,A global logger singleton without global initialization requirements,False,https://api.github.com/repos/njoy/Log,2016-10-07T01:39:07Z,2020-10-29T15:26:53Z,2023-03-22T16:39:25Z,,135,1,1,CMake,True,True,True,True,False,False,1,,False,False,2,True,False,False,['logging'],public,1,2,1,master,njoy,17747175,MDEyOk9yZ2FuaXphdGlvbjE3NzQ3MTc1,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
70598963,MDEwOlJlcG9zaXRvcnk3MDU5ODk2Mw==,DimensionalAnalysis,njoy/DimensionalAnalysis,False,https://github.com/njoy/DimensionalAnalysis,A compact C++ header-only library providing compile-time dimensional analysis and unit awareness,False,https://api.github.com/repos/njoy/DimensionalAnalysis,2016-10-11T13:57:08Z,2023-08-10T19:52:22Z,2022-09-21T19:44:30Z,,214,9,9,C++,True,True,True,True,False,False,3,,False,False,4,True,False,False,['dimensional-analysis'],public,3,4,9,master,njoy,17747175,MDEyOk9yZ2FuaXphdGlvbjE3NzQ3MTc1,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
70841465,MDEwOlJlcG9zaXRvcnk3MDg0MTQ2NQ==,header-utilities,njoy/header-utilities,False,https://github.com/njoy/header-utilities,A header distilling a subset of the NJOY utility library for use with header-only libraries.,False,https://api.github.com/repos/njoy/header-utilities,2016-10-13T19:37:55Z,2020-10-29T16:35:20Z,2023-03-02T19:00:35Z,,146,0,0,C++,True,True,True,True,False,False,2,,False,False,2,True,False,False,['utility'],public,2,2,0,master,njoy,17747175,MDEyOk9yZ2FuaXphdGlvbjE3NzQ3MTc1,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
78030075,MDEwOlJlcG9zaXRvcnk3ODAzMDA3NQ==,jekyll-website,njoy/jekyll-website,False,https://github.com/njoy/jekyll-website,Common jekyll stuff for website,False,https://api.github.com/repos/njoy/jekyll-website,2017-01-04T15:57:02Z,2018-11-07T20:05:29Z,2018-11-07T20:05:28Z,https://njoy.github.io/jekyll-website/README-jekyll.html,20,0,0,CSS,True,True,True,True,True,False,1,,False,False,0,True,False,False,['jekyll'],public,1,0,0,master,njoy,17747175,MDEyOk9yZ2FuaXphdGlvbjE3NzQ3MTc1,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
78032164,MDEwOlJlcG9zaXRvcnk3ODAzMjE2NA==,njoy.github.io,njoy/njoy.github.io,False,https://github.com/njoy/njoy.github.io,NJOY GitHub-hosted webpage,False,https://api.github.com/repos/njoy/njoy.github.io,2017-01-04T16:21:24Z,2023-04-05T05:58:53Z,2023-07-25T15:10:33Z,https://www.njoy21.io,71,1,1,SCSS,True,True,True,True,True,False,2,,False,False,2,True,False,False,[],public,2,2,1,master,njoy,17747175,MDEyOk9yZ2FuaXphdGlvbjE3NzQ3MTc1,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
78050741,MDEwOlJlcG9zaXRvcnk3ODA1MDc0MQ==,DevelopersGuide,njoy/DevelopersGuide,False,https://github.com/njoy/DevelopersGuide,Developers guide and NJOY21 programming style ,False,https://api.github.com/repos/njoy/DevelopersGuide,2017-01-04T20:35:19Z,2019-01-11T23:04:15Z,2018-07-24T19:27:34Z,http://www.njoy21.io/DevelopersGuide,33,0,0,CSS,True,True,True,True,True,False,0,,False,False,0,True,False,False,[],public,0,0,0,master,njoy,17747175,MDEyOk9yZ2FuaXphdGlvbjE3NzQ3MTc1,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
78125500,MDEwOlJlcG9zaXRvcnk3ODEyNTUwMA==,variant-adapter,njoy/variant-adapter,False,https://github.com/njoy/variant-adapter,An adapter repository to plug anthonyw's implementation of c++ 17 variant to the NJOY21 build system,True,https://api.github.com/repos/njoy/variant-adapter,2017-01-05T15:40:02Z,2017-01-05T15:40:05Z,2017-07-08T13:23:30Z,,128,0,0,C++,False,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,master,njoy,17747175,MDEyOk9yZ2FuaXphdGlvbjE3NzQ3MTc1,Organization,public,False,,,,,,False,False,False,False,True,
78125641,MDEwOlJlcG9zaXRvcnk3ODEyNTY0MQ==,tclap-adapter,njoy/tclap-adapter,False,https://github.com/njoy/tclap-adapter,An adapter repository to plug the TCLAP header-only library into the NJOY21 build system ,True,https://api.github.com/repos/njoy/tclap-adapter,2017-01-05T15:41:49Z,2020-02-20T15:10:10Z,2020-05-20T22:13:41Z,,225,0,0,C++,True,True,True,True,False,False,0,,False,False,0,True,False,False,['command-line'],public,0,0,0,master,njoy,17747175,MDEyOk9yZ2FuaXphdGlvbjE3NzQ3MTc1,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
78127330,MDEwOlJlcG9zaXRvcnk3ODEyNzMzMA==,spdlog-adapter,njoy/spdlog-adapter,False,https://github.com/njoy/spdlog-adapter,An adapter repository to plug the spdlog header-only logging library library into the NJOY21 build system,True,https://api.github.com/repos/njoy/spdlog-adapter,2017-01-05T16:02:33Z,2020-02-13T22:39:30Z,2020-07-20T21:56:34Z,,2401,0,0,C++,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,master,njoy,17747175,MDEyOk9yZ2FuaXphdGlvbjE3NzQ3MTc1,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
78129686,MDEwOlJlcG9zaXRvcnk3ODEyOTY4Ng==,fmt-adapter,njoy/fmt-adapter,False,https://github.com/njoy/fmt-adapter,An adapter repository to plug the fmt open-source formatting library library into the NJOY21 build system ,True,https://api.github.com/repos/njoy/fmt-adapter,2017-01-05T16:33:59Z,2020-02-13T22:26:08Z,2020-05-20T22:13:37Z,,4569,0,0,C++,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,master,njoy,17747175,MDEyOk9yZ2FuaXphdGlvbjE3NzQ3MTc1,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
78130460,MDEwOlJlcG9zaXRvcnk3ODEzMDQ2MA==,catch-adapter,njoy/catch-adapter,False,https://github.com/njoy/catch-adapter,An adapter repository to plug the Catch Unit Testing library into the NJOY21 build system,True,https://api.github.com/repos/njoy/catch-adapter,2017-01-05T16:44:35Z,2020-02-13T22:41:44Z,2021-02-08T07:53:04Z,,5597,0,0,C++,True,True,True,True,False,False,1,,False,False,1,True,False,False,[],public,1,1,0,master,njoy,17747175,MDEyOk9yZ2FuaXphdGlvbjE3NzQ3MTc1,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
78131149,MDEwOlJlcG9zaXRvcnk3ODEzMTE0OQ==,hana-adapter,njoy/hana-adapter,False,https://github.com/njoy/hana-adapter,An adapter repository to plug the Boost Hana metaprogramming library into the NJOY21 build system,True,https://api.github.com/repos/njoy/hana-adapter,2017-01-05T16:52:44Z,2020-04-07T14:50:34Z,2022-06-22T10:57:54Z,,9536,0,0,C++,False,True,True,True,False,False,1,,False,False,1,True,False,False,[],public,1,1,0,master,njoy,17747175,MDEyOk9yZ2FuaXphdGlvbjE3NzQ3MTc1,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
78686040,MDEwOlJlcG9zaXRvcnk3ODY4NjA0MA==,NJOY2016,njoy/NJOY2016,False,https://github.com/njoy/NJOY2016,Nuclear data processing with legacy NJOY,False,https://api.github.com/repos/njoy/NJOY2016,2017-01-11T22:34:13Z,2024-12-14T09:16:17Z,2024-11-15T14:15:58Z,https://www.njoy21.io/NJOY2016,487416,99,99,Fortran,True,True,True,True,True,True,87,,False,False,73,True,False,False,"['cross-sections', 'endf-format', 'nuclear-data', 'resonance']",public,87,73,99,main,njoy,17747175,MDEyOk9yZ2FuaXphdGlvbjE3NzQ3MTc1,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
78759973,MDEwOlJlcG9zaXRvcnk3ODc1OTk3Mw==,njoy_c_bindings,njoy/njoy_c_bindings,False,https://github.com/njoy/njoy_c_bindings,,False,https://api.github.com/repos/njoy/njoy_c_bindings,2017-01-12T15:38:35Z,2020-10-29T17:06:45Z,2021-03-05T13:23:04Z,,81,0,0,Fortran,True,True,True,True,False,False,0,,False,False,1,True,False,False,[],public,0,1,0,master,njoy,17747175,MDEyOk9yZ2FuaXphdGlvbjE3NzQ3MTc1,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
78787106,MDEwOlJlcG9zaXRvcnk3ODc4NzEwNg==,NJOY2016-manual,njoy/NJOY2016-manual,False,https://github.com/njoy/NJOY2016-manual,Users manual for NJOY2016,False,https://api.github.com/repos/njoy/NJOY2016-manual,2017-01-12T21:07:31Z,2023-06-01T09:54:29Z,2023-02-21T21:37:53Z,,36295,6,6,TeX,True,True,True,True,False,False,6,,False,False,19,True,False,False,['njoy'],public,6,19,6,master,njoy,17747175,MDEyOk9yZ2FuaXphdGlvbjE3NzQ3MTc1,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
80131441,MDEwOlJlcG9zaXRvcnk4MDEzMTQ0MQ==,NJOY21,njoy/NJOY21,False,https://github.com/njoy/NJOY21,NJOY for the 21st Century,False,https://api.github.com/repos/njoy/NJOY21,2017-01-26T16:20:39Z,2024-12-11T13:29:55Z,2024-01-22T17:41:47Z,https://www.njoy21.io/NJOY21,422892,75,75,CMake,True,True,True,True,True,True,38,,False,False,32,True,False,False,"['njoy', 'nuclear-data']",public,38,32,75,master,njoy,17747175,MDEyOk9yZ2FuaXphdGlvbjE3NzQ3MTc1,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
81867017,MDEwOlJlcG9zaXRvcnk4MTg2NzAxNw==,range-v3-adapter,njoy/range-v3-adapter,False,https://github.com/njoy/range-v3-adapter,,False,https://api.github.com/repos/njoy/range-v3-adapter,2017-02-13T20:14:54Z,2020-10-29T16:06:42Z,2020-10-29T16:06:38Z,,985,0,0,C++,True,True,True,True,False,False,0,,False,False,1,True,False,False,[],public,0,1,0,master,njoy,17747175,MDEyOk9yZ2FuaXphdGlvbjE3NzQ3MTc1,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
85611343,MDEwOlJlcG9zaXRvcnk4NTYxMTM0Mw==,interpolation,njoy/interpolation,False,https://github.com/njoy/interpolation,A generic programming library for interpolation of one dimensional data,False,https://api.github.com/repos/njoy/interpolation,2017-03-20T18:22:23Z,2024-06-10T21:57:46Z,2024-06-17T16:36:49Z,,156,3,3,C++,True,True,True,True,False,False,2,,False,False,4,True,False,False,"['generic', 'interpolation', 'range']",public,2,4,3,master,njoy,17747175,MDEyOk9yZ2FuaXphdGlvbjE3NzQ3MTc1,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
