id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,license.key,license.name,license.spdx_id,license.url,license.node_id,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull,license
303838555,MDEwOlJlcG9zaXRvcnkzMDM4Mzg1NTU=,ss3-source-code,nmfs-ost/ss3-source-code,False,https://github.com/nmfs-ost/ss3-source-code,The source code for Stock Synthesis (SS3).,False,https://api.github.com/repos/nmfs-ost/ss3-source-code,2020-10-13T22:00:58Z,2024-12-18T15:22:49Z,2024-12-18T15:22:48Z,https://nmfs-ost.github.io/ss3-website/,25329,38,38,C++,True,True,True,True,False,True,16,,False,False,106,True,False,False,"['fisheries', 'stock-synthesis', 'stockassessment']",public,16,106,38,main,nmfs-ost,72827324,MDEyOk9yZ2FuaXphdGlvbjcyODI3MzI0,Organization,public,False,cc0-1.0,Creative Commons Zero v1.0 Universal,CC0-1.0,https://api.github.com/licenses/cc0-1.0,MDc6TGljZW5zZTY=,False,False,False,False,True,
304696303,MDEwOlJlcG9zaXRvcnkzMDQ2OTYzMDM=,ss3-user-examples,nmfs-ost/ss3-user-examples,False,https://github.com/nmfs-ost/ss3-user-examples,Stock synthesis example models for users,False,https://api.github.com/repos/nmfs-ost/ss3-user-examples,2020-10-16T17:34:04Z,2024-12-10T17:01:51Z,2024-12-10T17:02:02Z,,612,1,1,Scheme,True,True,True,True,False,False,5,,False,False,7,True,False,False,"['fisheries', 'stock-synthesis']",public,5,7,1,main,nmfs-ost,72827324,MDEyOk9yZ2FuaXphdGlvbjcyODI3MzI0,Organization,public,False,cc0-1.0,Creative Commons Zero v1.0 Universal,CC0-1.0,https://api.github.com/licenses/cc0-1.0,MDc6TGljZW5zZTY=,False,False,False,False,True,
312407704,MDEwOlJlcG9zaXRvcnkzMTI0MDc3MDQ=,ss3-doc,nmfs-ost/ss3-doc,False,https://github.com/nmfs-ost/ss3-doc,Source code for the Stock Synthesis manual and other documentation,False,https://api.github.com/repos/nmfs-ost/ss3-doc,2020-11-12T22:09:03Z,2024-12-05T21:48:38Z,2024-12-05T21:57:18Z,https://nmfs-ost.github.io/ss3-website/,376213,4,4,TeX,True,True,True,True,True,True,2,,False,False,15,True,False,False,"['latex', 'stock-synthesis']",public,2,15,4,main,nmfs-ost,72827324,MDEyOk9yZ2FuaXphdGlvbjcyODI3MzI0,Organization,public,False,cc0-1.0,Creative Commons Zero v1.0 Universal,CC0-1.0,https://api.github.com/licenses/cc0-1.0,MDc6TGljZW5zZTY=,False,False,False,False,True,
319785910,MDEwOlJlcG9zaXRvcnkzMTk3ODU5MTA=,ss3-flowcharts,nmfs-ost/ss3-flowcharts,False,https://github.com/nmfs-ost/ss3-flowcharts,Flowcharts for the tpl code,False,https://api.github.com/repos/nmfs-ost/ss3-flowcharts,2020-12-08T23:21:08Z,2023-12-11T20:46:26Z,2023-12-11T20:46:04Z,,1173,1,1,,True,True,True,True,False,False,0,,True,False,0,True,False,False,"['drawio', 'fisheries', 'stock-synthesis']",public,0,0,1,main,nmfs-ost,72827324,MDEyOk9yZ2FuaXphdGlvbjcyODI3MzI0,Organization,public,False,cc0-1.0,Creative Commons Zero v1.0 Universal,CC0-1.0,https://api.github.com/licenses/cc0-1.0,MDc6TGljZW5zZTY=,False,False,False,False,True,
327986182,MDEwOlJlcG9zaXRvcnkzMjc5ODYxODI=,ss3-ssi,nmfs-ost/ss3-ssi,False,https://github.com/nmfs-ost/ss3-ssi,"The source code for Stock Synthesis Interface (SSI), the Stock Synthesis GUI",False,https://api.github.com/repos/nmfs-ost/ss3-ssi,2021-01-08T18:49:36Z,2024-04-22T16:59:21Z,2024-04-22T16:59:15Z,,656906,2,2,C++,True,True,True,True,False,False,0,,False,False,0,True,False,False,"['qt', 'stock-synthesis']",public,0,0,2,master,nmfs-ost,72827324,MDEyOk9yZ2FuaXphdGlvbjcyODI3MzI0,Organization,public,False,cc0-1.0,Creative Commons Zero v1.0 Universal,CC0-1.0,https://api.github.com/licenses/cc0-1.0,MDc6TGljZW5zZTY=,False,False,False,False,True,
341312524,MDEwOlJlcG9zaXRvcnkzNDEzMTI1MjQ=,ss3-test-models,nmfs-ost/ss3-test-models,False,https://github.com/nmfs-ost/ss3-test-models,Stock Synthesis models used for testing,False,https://api.github.com/repos/nmfs-ost/ss3-test-models,2021-02-22T19:25:22Z,2024-12-10T17:04:00Z,2024-12-10T17:03:56Z,,9186,3,3,Scheme,True,True,True,True,False,False,1,,False,False,12,True,False,False,"['fisheries', 'stock-synthesis']",public,1,12,3,main,nmfs-ost,72827324,MDEyOk9yZ2FuaXphdGlvbjcyODI3MzI0,Organization,public,False,cc0-1.0,Creative Commons Zero v1.0 Universal,CC0-1.0,https://api.github.com/licenses/cc0-1.0,MDc6TGljZW5zZTY=,False,False,False,False,True,
426319800,R_kgDOGWkfuA,ss3-workflows,nmfs-ost/ss3-workflows,False,https://github.com/nmfs-ost/ss3-workflows,This repo contains a collection of reusable workflows found helpful for the SS3 project,False,https://api.github.com/repos/nmfs-ost/ss3-workflows,2021-11-09T17:15:39Z,2023-12-20T17:11:44Z,2023-10-24T12:36:00Z,,167,0,0,,True,True,True,True,False,True,0,,True,False,0,True,False,False,[],public,0,0,0,main,nmfs-ost,72827324,MDEyOk9yZ2FuaXphdGlvbjcyODI3MzI0,Organization,public,False,cc0-1.0,Creative Commons Zero v1.0 Universal,CC0-1.0,https://api.github.com/licenses/cc0-1.0,MDc6TGljZW5zZTY=,False,False,False,False,True,
434618809,R_kgDOGefBuQ,ss3-helper,nmfs-ost/ss3-helper,False,https://github.com/nmfs-ost/ss3-helper,A shiny app to help users chose Stock Synthesis model settings,False,https://api.github.com/repos/nmfs-ost/ss3-helper,2021-12-03T14:09:53Z,2023-12-11T17:34:14Z,2022-11-22T15:24:52Z,https://connect.fisheries.noaa.gov/ss3-helper/,183,2,2,R,True,True,True,True,False,False,0,,False,False,4,True,False,False,"['shiny', 'stock-synthesis']",public,0,4,2,main,nmfs-ost,72827324,MDEyOk9yZ2FuaXphdGlvbjcyODI3MzI0,Organization,public,False,gpl-3.0,GNU General Public License v3.0,GPL-3.0,https://api.github.com/licenses/gpl-3.0,MDc6TGljZW5zZTk=,False,False,False,False,True,
480997385,R_kgDOHKtwCQ,ss3-tpl-format,nmfs-ost/ss3-tpl-format,False,https://github.com/nmfs-ost/ss3-tpl-format,Fix problems in tpl code after formatting with clang-format,False,https://api.github.com/repos/nmfs-ost/ss3-tpl-format,2022-04-12T22:53:01Z,2024-06-13T20:06:59Z,2023-12-05T18:25:10Z,,2476,0,0,C++,True,True,True,True,False,False,0,,True,False,0,True,False,False,[],public,0,0,0,main,nmfs-ost,72827324,MDEyOk9yZ2FuaXphdGlvbjcyODI3MzI0,Organization,public,False,,,,,,False,False,False,False,True,
515616488,R_kgDOHruu6A,k-doering-utilities,nmfs-ost/k-doering-utilities,False,https://github.com/nmfs-ost/k-doering-utilities,Utility scripts and functions,False,https://api.github.com/repos/nmfs-ost/k-doering-utilities,2022-07-19T14:21:59Z,2024-07-15T16:55:33Z,2024-07-15T16:55:30Z,,16,1,1,R,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,1,main,nmfs-ost,72827324,MDEyOk9yZ2FuaXphdGlvbjcyODI3MzI0,Organization,public,False,mit,MIT License,MIT,https://api.github.com/licenses/mit,MDc6TGljZW5zZTEz,False,False,False,False,True,
