id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,license,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull,license.key,license.name,license.spdx_id,license.url,license.node_id
116319815,MDEwOlJlcG9zaXRvcnkxMTYzMTk4MTU=,VRAPCpp,noaa-nwfsc/VRAPCpp,False,https://github.com/noaa-nwfsc/VRAPCpp,R package for VRAP rewrite,False,https://api.github.com/repos/noaa-nwfsc/VRAPCpp,2018-01-05T00:03:05Z,2024-04-09T20:41:17Z,2024-01-26T23:29:57Z,https://noaa-nwfsc.github.io/VRAPCpp/,11459,0,0,R,True,False,True,False,True,False,0,,False,False,0,,True,False,False,"['cpp', 'nwfsc-cb', 'nwfsc-cb-mathbio', 'protected-species', 'r-package', 'salmon']",public,0,0,0,master,noaa-nwfsc,80544774,MDEyOk9yZ2FuaXphdGlvbjgwNTQ0Nzc0,Organization,public,False,False,False,False,False,True,,,,,
120357033,MDEwOlJlcG9zaXRvcnkxMjAzNTcwMzM=,cb-math-bio,noaa-nwfsc/cb-math-bio,False,https://github.com/noaa-nwfsc/cb-math-bio,NWFC Math Bio landing page,False,https://api.github.com/repos/noaa-nwfsc/cb-math-bio,2018-02-05T20:22:29Z,2024-02-15T16:04:43Z,2023-01-13T15:51:07Z,https://noaa-nwfsc.github.io/cb-math-bio,1211,1,1,CSS,True,True,True,True,True,False,0,,False,False,0,,True,True,False,['nwfsc-cb-mathbio'],public,0,0,1,master,noaa-nwfsc,80544774,MDEyOk9yZ2FuaXphdGlvbjgwNTQ0Nzc0,Organization,public,False,False,False,False,False,True,,,,,
339098194,MDEwOlJlcG9zaXRvcnkzMzkwOTgxOTQ=,srkw-status,noaa-nwfsc/srkw-status,False,https://github.com/noaa-nwfsc/srkw-status,"Repo for archiving code related to SRKW population projections, etc",False,https://api.github.com/repos/noaa-nwfsc/srkw-status,2021-02-15T14:10:41Z,2024-11-25T20:58:13Z,2024-11-25T21:10:08Z,,6907,2,2,R,True,True,True,True,True,False,0,,False,False,0,,True,False,False,"['esa', 'killer-whale', 'marine-mammals', 'nwfsc-cb', 'r-package', 'srkw', 'status-review']",public,0,0,2,main,noaa-nwfsc,80544774,MDEyOk9yZ2FuaXphdGlvbjgwNTQ0Nzc0,Organization,public,False,False,False,False,False,True,gpl-3.0,GNU General Public License v3.0,GPL-3.0,https://api.github.com/licenses/gpl-3.0,MDc6TGljZW5zZTk=
407005535,MDEwOlJlcG9zaXRvcnk0MDcwMDU1MzU=,zoid,noaa-nwfsc/zoid,False,https://github.com/noaa-nwfsc/zoid,"Trinomial mixture models in Stan, for fitting to compositional data with 0s",False,https://api.github.com/repos/noaa-nwfsc/zoid,2021-09-16T03:27:26Z,2024-04-22T20:53:11Z,2024-04-22T20:53:05Z,https://noaa-nwfsc.github.io/zoid/,96485,8,8,C++,True,True,True,True,True,False,2,,False,False,1,,True,False,False,"['cran', 'mixture-models', 'nwfsc-cb', 'r-package', 'stan']",public,2,1,8,main,noaa-nwfsc,80544774,MDEyOk9yZ2FuaXphdGlvbjgwNTQ0Nzc0,Organization,public,False,False,False,False,False,True,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=
513314772,R_kgDOHpiP1A,mizersalmon,noaa-nwfsc/mizersalmon,False,https://github.com/noaa-nwfsc/mizersalmon,Multispecies age based model for Puget Sound,False,https://api.github.com/repos/noaa-nwfsc/mizersalmon,2022-07-12T22:58:02Z,2024-02-22T21:55:43Z,2022-07-12T23:15:11Z,,75,0,0,R,True,True,True,True,False,False,0,,False,False,0,,True,False,False,['nwfsc-cb'],public,0,0,0,main,noaa-nwfsc,80544774,MDEyOk9yZ2FuaXphdGlvbjgwNTQ0Nzc0,Organization,public,False,False,False,False,False,True,mit,MIT License,MIT,https://api.github.com/licenses/mit,MDc6TGljZW5zZTEz
576474133,R_kgDOIlxMFQ,pycax,noaa-nwfsc/pycax,False,https://github.com/noaa-nwfsc/pycax,"Python client for the CAX API. Holmes, E. E and M. Williams. 2023. pycax: a Python client for the Coordinated Assessments data exchange REST API",False,https://api.github.com/repos/noaa-nwfsc/pycax,2022-12-10T00:41:59Z,2024-02-27T22:45:13Z,2024-01-26T00:27:57Z,https://noaa-nwfsc.github.io/pycax/,6252,0,0,Jupyter Notebook,True,True,True,False,True,False,0,,False,False,2,,True,False,False,"['nwfsc-cb', 'nwfsc-cb-mathbio', 'python', 'python-package', 'rest-api', 'salmon']",public,0,2,0,main,noaa-nwfsc,80544774,MDEyOk9yZ2FuaXphdGlvbjgwNTQ0Nzc0,Organization,public,False,False,False,False,False,True,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=
635904921,R_kgDOJecjmQ,NWFSC-Template,noaa-nwfsc/NWFSC-Template,False,https://github.com/noaa-nwfsc/NWFSC-Template,Default template to be used when creating noaa-nwfsc repositories,False,https://api.github.com/repos/noaa-nwfsc/NWFSC-Template,2023-05-03T17:53:28Z,2024-01-23T01:31:04Z,2024-04-12T15:45:40Z,,68,0,0,,True,True,True,True,False,True,0,,False,False,2,,True,True,False,[],public,0,2,0,main,noaa-nwfsc,80544774,MDEyOk9yZ2FuaXphdGlvbjgwNTQ0Nzc0,Organization,public,False,False,False,False,False,True,apache-2.0,Apache License 2.0,Apache-2.0,https://api.github.com/licenses/apache-2.0,MDc6TGljZW5zZTI=
653303630,R_kgDOJvCfTg,helperRfunctions,noaa-nwfsc/helperRfunctions,False,https://github.com/noaa-nwfsc/helperRfunctions,Code for helper R functions,False,https://api.github.com/repos/noaa-nwfsc/helperRfunctions,2023-06-13T19:50:39Z,2024-01-20T01:40:23Z,2023-06-13T19:52:52Z,,15,0,0,,True,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,0,main,noaa-nwfsc,80544774,MDEyOk9yZ2FuaXphdGlvbjgwNTQ0Nzc0,Organization,public,False,False,False,False,False,True,gpl-3.0,GNU General Public License v3.0,GPL-3.0,https://api.github.com/licenses/gpl-3.0,MDc6TGljZW5zZTk=
736986494,R_kgDOK-2Ffg,zoidtmb,noaa-nwfsc/zoidtmb,False,https://github.com/noaa-nwfsc/zoidtmb,,False,https://api.github.com/repos/noaa-nwfsc/zoidtmb,2023-12-29T13:09:14Z,2024-02-22T21:50:37Z,2024-02-15T00:45:54Z,,485,1,1,R,True,True,True,True,False,False,0,,False,False,0,,True,False,False,"['nwfsc-cb', 'r-package']",public,0,0,1,main,noaa-nwfsc,80544774,MDEyOk9yZ2FuaXphdGlvbjgwNTQ0Nzc0,Organization,public,False,False,False,False,False,True,gpl-3.0,GNU General Public License v3.0,GPL-3.0,https://api.github.com/licenses/gpl-3.0,MDc6TGljZW5zZTk=
744774901,R_kgDOLGRc9Q,.github,noaa-nwfsc/.github,False,https://github.com/noaa-nwfsc/.github,,False,https://api.github.com/repos/noaa-nwfsc/.github,2024-01-18T01:20:10Z,2024-01-18T01:20:11Z,2024-03-01T00:42:47Z,,97,0,0,,True,True,True,True,False,False,0,,False,False,1,,True,False,False,[],public,0,1,0,main,noaa-nwfsc,80544774,MDEyOk9yZ2FuaXphdGlvbjgwNTQ0Nzc0,Organization,public,False,False,False,False,False,True,,,,,
