id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,license,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull,license.key,license.name,license.spdx_id,license.url,license.node_id
47772665,MDEwOlJlcG9zaXRvcnk0Nzc3MjY2NQ==,plot-verif,noaa-nws-cpc/plot-verif,False,https://github.com/noaa-nws-cpc/plot-verif,"Plot Heidke, RPSS, and reliability scores given csv files with daily scores for multiple models",False,https://api.github.com/repos/noaa-nws-cpc/plot-verif,2015-12-10T16:07:45Z,2022-05-25T19:07:16Z,2015-12-10T16:11:53Z,,1,0,0,Python,True,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,0,master,noaa-nws-cpc,32134724,MDEyOk9yZ2FuaXphdGlvbjMyMTM0NzI0,Organization,public,False,False,False,False,False,True,,,,,
65842269,MDEwOlJlcG9zaXRvcnk2NTg0MjI2OQ==,cpc.geoplot,noaa-nws-cpc/cpc.geoplot,False,https://github.com/noaa-nws-cpc/cpc.geoplot,CPC geospatial plotting package,False,https://api.github.com/repos/noaa-nws-cpc/cpc.geoplot,2016-08-16T18:02:38Z,2022-05-25T19:07:16Z,2019-04-25T18:19:57Z,,7592,0,0,Python,True,True,True,True,True,False,0,,False,False,3,,True,False,False,[],public,0,3,0,master,noaa-nws-cpc,32134724,MDEyOk9yZ2FuaXphdGlvbjMyMTM0NzI0,Organization,public,False,False,False,False,False,True,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=
66490732,MDEwOlJlcG9zaXRvcnk2NjQ5MDczMg==,cpc.geogrids,noaa-nws-cpc/cpc.geogrids,False,https://github.com/noaa-nws-cpc/cpc.geogrids,"CPC geospatial grids (grid definitions, interpolation, etc.)",False,https://api.github.com/repos/noaa-nws-cpc/cpc.geogrids,2016-08-24T18:49:20Z,2022-05-25T19:07:16Z,2018-06-29T17:30:56Z,https://mikecharles.github.io/cpc.geogrids/,1213,0,0,Python,True,True,True,True,True,False,0,,False,False,2,,True,False,False,[],public,0,2,0,master,noaa-nws-cpc,32134724,MDEyOk9yZ2FuaXphdGlvbjMyMTM0NzI0,Organization,public,False,False,False,False,False,True,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=
66592665,MDEwOlJlcG9zaXRvcnk2NjU5MjY2NQ==,cpc.geofiles,noaa-nws-cpc/cpc.geofiles,False,https://github.com/noaa-nws-cpc/cpc.geofiles,"CPC geospatial file interaction (reading, writing, etc.)",False,https://api.github.com/repos/noaa-nws-cpc/cpc.geofiles,2016-08-25T20:56:06Z,2022-05-25T19:07:17Z,2019-10-16T16:07:38Z,https://mikecharles.github.io/cpc.geofiles/,122,0,0,Python,True,True,True,True,True,False,0,,False,False,2,,True,False,False,[],public,0,2,0,master,noaa-nws-cpc,32134724,MDEyOk9yZ2FuaXphdGlvbjMyMTM0NzI0,Organization,public,False,False,False,False,False,True,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=
67158853,MDEwOlJlcG9zaXRvcnk2NzE1ODg1Mw==,cpc.units,noaa-nws-cpc/cpc.units,False,https://github.com/noaa-nws-cpc/cpc.units,CPC Unit Conversion,False,https://api.github.com/repos/noaa-nws-cpc/cpc.units,2016-09-01T19:08:10Z,2022-05-25T19:07:17Z,2017-03-16T14:57:32Z,,19,0,0,Python,True,True,True,True,True,False,0,,False,False,0,,True,False,False,[],public,0,0,0,master,noaa-nws-cpc,32134724,MDEyOk9yZ2FuaXphdGlvbjMyMTM0NzI0,Organization,public,False,False,False,False,False,True,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=
69998853,MDEwOlJlcG9zaXRvcnk2OTk5ODg1Mw==,plot-climos,noaa-nws-cpc/plot-climos,False,https://github.com/noaa-nws-cpc/plot-climos,,False,https://api.github.com/repos/noaa-nws-cpc/plot-climos,2016-10-04T19:29:08Z,2022-05-25T19:07:17Z,2016-10-24T20:35:08Z,,4,0,0,Python,True,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,0,master,noaa-nws-cpc,32134724,MDEyOk9yZ2FuaXphdGlvbjMyMTM0NzI0,Organization,public,False,False,False,False,False,True,,,,,
76291003,MDEwOlJlcG9zaXRvcnk3NjI5MTAwMw==,plot-terciles-from-poe,noaa-nws-cpc/plot-terciles-from-poe,False,https://github.com/noaa-nws-cpc/plot-terciles-from-poe,Plot tercile probabilities from a POE file,False,https://api.github.com/repos/noaa-nws-cpc/plot-terciles-from-poe,2016-12-12T20:02:37Z,2022-05-25T19:07:17Z,2016-12-12T20:58:06Z,,1,0,0,Python,True,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,0,master,noaa-nws-cpc,32134724,MDEyOk9yZ2FuaXphdGlvbjMyMTM0NzI0,Organization,public,False,False,False,False,False,True,,,,,
94562706,MDEwOlJlcG9zaXRvcnk5NDU2MjcwNg==,reformat-bin-fcsts,noaa-nws-cpc/reformat-bin-fcsts,False,https://github.com/noaa-nws-cpc/reformat-bin-fcsts,"Reformats binary forecasts into separate files per fhr, variable, and member",False,https://api.github.com/repos/noaa-nws-cpc/reformat-bin-fcsts,2017-06-16T16:36:11Z,2022-05-25T19:07:18Z,2017-06-28T14:47:48Z,,2,0,0,Python,True,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,0,master,noaa-nws-cpc,32134724,MDEyOk9yZ2FuaXphdGlvbjMyMTM0NzI0,Organization,public,False,False,False,False,False,True,,,,,
104229916,MDEwOlJlcG9zaXRvcnkxMDQyMjk5MTY=,github,noaa-nws-cpc/github,False,https://github.com/noaa-nws-cpc/github,Information about using GitHub at CPC,False,https://api.github.com/repos/noaa-nws-cpc/github,2017-09-20T14:58:32Z,2022-05-25T19:07:18Z,2019-04-10T13:50:04Z,,1381,1,1,,True,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,1,master,noaa-nws-cpc,32134724,MDEyOk9yZ2FuaXphdGlvbjMyMTM0NzI0,Organization,public,False,False,False,False,False,True,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=
104263855,MDEwOlJlcG9zaXRvcnkxMDQyNjM4NTU=,test,noaa-nws-cpc/test,False,https://github.com/noaa-nws-cpc/test,,False,https://api.github.com/repos/noaa-nws-cpc/test,2017-09-20T20:22:08Z,2022-05-25T19:07:18Z,2017-11-07T20:15:45Z,,0,0,0,,True,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,0,master,noaa-nws-cpc,32134724,MDEyOk9yZ2FuaXphdGlvbjMyMTM0NzI0,Organization,public,False,False,False,False,False,True,,,,,
116051773,MDEwOlJlcG9zaXRvcnkxMTYwNTE3NzM=,cpc.mpp,noaa-nws-cpc/cpc.mpp,False,https://github.com/noaa-nws-cpc/cpc.mpp,CPC's model post-processing package,False,https://api.github.com/repos/noaa-nws-cpc/cpc.mpp,2018-01-02T19:57:01Z,2020-11-19T20:22:35Z,2022-12-26T19:45:17Z,,40,0,0,Python,True,True,True,True,False,False,0,,False,False,1,,True,False,False,[],public,0,1,0,master,noaa-nws-cpc,32134724,MDEyOk9yZ2FuaXphdGlvbjMyMTM0NzI0,Organization,public,False,False,False,False,False,True,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=
